Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HST,25,0.638910616329321,0.0066045557150975565,0.34562306166829027,0.0191091291281837,0.00012620730799408283,0.12620730799408283
AIV,25,-0.07179733876069562,0.006353780606447289,0.18167582693296416,0.0349731756486885,0.0002222118851825116,0.2222118851825116
HON,25,0.2634260028312063,0.0042934748087411255,0.3004405116389649,0.014290598778837567,6.135632585876579e-05,0.06135632585876579
FISV,25,0.6076455016830083,0.008292805218831916,0.3752762397039286,0.022097869093376292,0.00018325332414261542,0.18325332414261541
ORLY,25,-0.1330025357041158,0.006890335155118422,0.26446761966139515,0.02605360597240713,0.0001795180771492801,0.17951807714928011
PNW,25,0.2597069601389181,0.00120365941176107,0.04570521657627457,0.026335274218695765,3.1698700674641815e-05,0.03169870067464182
FLS,25,0.8702769735158786,0.003932315191685451,0.101395888048734,0.0387818013862205,0.00015250226675196275,0.15250226675196274
MUR,25,0.5231896704972132,-0.0035957084383000824,-0.09550930199588566,0.0376477302541168,-0.0001353702613575731,-0.1353702613575731
EBAY,25,-0.17472724804397494,-0.0023459733657370287,-0.05290175045310171,0.04434585520599688,-0.00010403419519409944,-0.10403419519409944
HIG,25,0.44347448987969523,0.006675621080002793,0.24899227376732394,0.0268105551188346,0.00017897710691786907,0.17897710691786906
KLAC,25,0.2856385741086193,0.011251164922416077,0.3767359926914724,0.029864852683800264,0.00033601438292909716,0.3360143829290972
XEC,25,0.34188012394532796,0.010188772301749716,0.2402260693295787,0.04241326651259987,0.0004321391150703063,0.43213911507030633
C,25,0.3541091469872546,0.0017972359532325835,0.058910522918251426,0.03050789339837571,5.4829882872947804e-05,0.0548298828729478
ETN,25,1.1779587872485089,-0.004314191276117934,-0.1780604495465782,0.024228801438521585,-0.00010452768379686348,-0.10452768379686347
MAR,25,0.5972397745967652,0.019788106789078903,1.2182972254386548,0.01624242949576946,0.00032140692937637105,0.32140692937637105
UTX,25,0.7830664674122849,-0.003309570370978349,-0.2401756941725102,0.013779788926523076,-4.560518114955633e-05,-0.04560518114955633
RIG,25,1.0648401389842936,-0.012583848669172315,-0.2896213764492788,0.043449308968311305,-0.000546759528837341,-0.5467595288373409
CCL,25,0.37092441766119166,0.008649006686873965,0.26934975822371954,0.03211069036746703,0.0002777255757083618,0.27772557570836176
AMAT,25,0.6716081521240036,0.007592214615139779,0.19521233388756562,0.03889208465440809,0.0002952770535264506,0.2952770535264506
EL,25,0.4990253290418966,0.001468477434017818,0.05959965132818489,0.024639027264298265,3.6181855533771774e-05,0.036181855533771776
TGT,25,0.2875056748477052,-5.955019495303897e-06,-0.00019376559376277098,0.030733110970127556,-1.8301627497844764e-07,-0.00018301627497844763
PNC,25,0.3652956352212298,0.006736341125701107,0.31379969074464664,0.021467010084413308,0.00014460910287747376,0.14460910287747375
ROK,25,0.8149261852802178,0.0008386365003123727,0.032906299995817116,0.02548559091781744,2.1373146775711207e-05,0.021373146775711206
