Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HST,25,1.3173469254878456,-0.01623907818030844,-0.3198947653051885,0.05076381342100396,-0.0008243575348742741,-0.8243575348742741
AIV,25,0.5987157405215497,0.000498831735994841,0.012256130261095113,0.04070059026528894,2.0302746098048804e-05,0.020302746098048805
HON,25,1.3370826440793084,-0.003947579172775811,-0.14914609237606186,0.0264678685836586,-0.00010448400676861788,-0.10448400676861788
FISV,25,0.7379765464354422,-0.004885692893263889,-0.1775177201327643,0.0275222827873742,-0.0001344654214206732,-0.1344654214206732
ORLY,25,0.7476972651387673,0.007344094643196072,0.17590076512241903,0.0417513513263283,0.0003066258756218848,0.3066258756218848
PNW,25,0.4563419703604271,0.001043836438256291,0.050186022317818484,0.020799345914403706,2.1711115157351705e-05,0.021711115157351704
FLS,25,1.485046784871849,-0.01913457144052775,-0.398763184098035,0.047984799509032804,-0.0009181685742649891,-0.9181685742649891
MUR,25,0.9787624423431127,-0.01614577573127264,-0.3047282609436106,0.05298417574161389,-0.0008554706188304342,-0.8554706188304342
EBAY,25,1.296380988630757,0.005416664258391711,0.12079162960555867,0.04484304314859945,0.00024289970906053593,0.24289970906053593
HIG,25,1.2000035145982815,-0.01963799522669998,-0.38090046252785015,0.05155676392822473,-0.001012471483926575,-1.0124714839265752
KLAC,25,1.0653670021469541,0.0012418543899884622,0.02720823954632486,0.04564258513947864,5.6681444725883705e-05,0.056681444725883705
XEC,25,1.6671962568308383,-0.013433003097388478,-0.20255468198004709,0.06631790964334122,-0.0008908486856513319,-0.8908486856513319
C,25,1.4969945616676705,-0.023888929876974156,-0.3917616773895341,0.06097822032046554,-0.001456704429258282,-1.456704429258282
ETN,25,1.5687258996693705,-0.009905574772755932,-0.29197634505453063,0.033925949620699336,-0.00033605603070458806,-0.33605603070458806
MAR,25,1.1103056515190184,-0.014417388173154057,-0.38088632937124073,0.03785220697459524,-0.0005457299611633089,-0.5457299611633089
UTX,25,1.2947173761606372,-0.004493105552564513,-0.24794114315295848,0.018121661840498376,-8.14225394372397e-05,-0.0814225394372397
RIG,25,0.8719318640297024,-0.011919325309057711,-0.19532979220388383,0.061021542973927936,-0.000727335621566892,-0.727335621566892
CCL,25,1.26932686505895,-0.012172096599638891,-0.28846102416124353,0.0421966767781943,-0.0005136220259279202,-0.5136220259279202
AMAT,25,1.0252664571811607,-0.00689733829612923,-0.19820988905803424,0.034798154264188835,-0.00024001464204100232,-0.2400146420410023
EL,25,1.110185931762332,0.01067506681995767,0.30862390514987503,0.03458924160386606,0.00036924246537293,0.36924246537293
TGT,25,0.7127119011040352,-0.004576784271246518,-0.1523545952050614,0.030040342827115932,-0.00013748816855399735,-0.13748816855399734
PNC,25,1.1239044905157998,-0.007568534457542632,-0.1955047670607467,0.03871278727025085,-0.0002929990644024113,-0.2929990644024113
ROK,25,1.7654255197964888,-0.009414988365631743,-0.19335705602630607,0.048692240971805245,-0.00045843688224608364,-0.45843688224608364
XOM,25,0.7941141190762167,0.0036192694201219594,0.1244355388674167,0.02908549641897891,0.00010526824775827712,0.10526824775827712
IBM,25,0.7662509006421868,0.008561229183693068,0.3475842560841019,0.024630658707457634,0.00021086871413987006,0.21086871413987004
CMG,25,1.0492778587404088,0.02017034189639526,0.33625530775351686,0.05998520002896311,0.001209921993307845,1.209921993307845
RL,25,1.0747317825847698,0.014691574759029347,0.32469165950622364,0.045247773784431754,0.0006647610512336273,0.6647610512336273
ROP,25,1.1060673504460534,-0.0008504668626502527,-0.03288037539463132,0.02586548518509665,-2.199773803629574e-05,-0.02199773803629574
NFX,25,1.6123112646566446,-0.020080400483305824,-0.32676018433292314,0.061453021041409046,-0.0012340012734205132,-1.2340012734205132
ITW,25,1.3506573995820192,-0.007849856730943116,-0.21585816221858006,0.03636580915107706,-0.000285466391740775,-0.28546639174077504
