Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HST,25,0.9959017247918636,0.009119641083778851,0.23012807799176802,0.039628545822666075,0.0003613981145747983,0.3613981145747983
AIV,25,0.5333867295963757,0.003066309045003798,0.05882311305748605,0.052127622725563455,0.00015983940105794076,0.15983940105794076
HON,25,0.6265275437317088,0.008567094574974718,0.3972888358368329,0.021563894582965922,0.00018473992429705405,0.18473992429705405
FISV,25,0.5309780001817372,0.01144854165413878,0.43807827253921483,0.026133552773069696,0.0002991910674931224,0.2991910674931224
ORLY,25,0.2629711014516152,0.007438671581783209,0.1291009977464191,0.057619009237978865,0.00042860888658905757,0.42860888658905755
PNW,25,0.16030935605591812,0.009318012794296546,0.4553194520823979,0.02046478082954886,0.00019069108960221095,0.19069108960221096
FLS,25,0.7601524616618354,0.015274731895730382,0.46815221767287635,0.03262770380894292,0.0004983794280549041,0.4983794280549041
MUR,25,0.856212881435546,0.002224696813973883,0.05617874471959693,0.03960032971683396,8.809872735335579e-05,0.08809872735335579
EBAY,25,0.4613128412770254,0.014878867937897285,0.30003661025576894,0.04959017476305194,0.0007378456613166966,0.7378456613166966
HIG,25,0.9959363987691716,-0.001312421985647778,-0.028360784475973785,0.04627594087743284,-6.0733562214079595e-05,-0.06073356221407959
KLAC,25,0.8282943800859689,0.0037012533468613294,0.08399616137741776,0.04406455350061277,0.00016309407612209313,0.16309407612209315
XEC,25,0.8289887837676791,-0.004488761626121874,-0.057454583758612524,0.07812712811532643,-0.00035069405464318464,-0.35069405464318465
C,25,1.3881119019341734,-0.0003578223193515251,-0.005723671658176232,0.06251622048242023,-2.2369699010110925e-05,-0.022369699010110926
ETN,25,0.8955239208661808,0.005281536201650658,0.17612011375618322,0.029988262493188592,0.00015838409398237816,0.15838409398237815
MAR,25,0.6055054135897977,0.011705213807115807,0.34429463642590163,0.03399766528060619,0.00039794994105225325,0.39794994105225323
UTX,25,0.5337870517599738,0.0001708084151997853,0.006984476486113775,0.02445543564208126,4.177194205044244e-06,0.004177194205044244
RIG,25,0.8183792249129227,-0.006252751354223724,-0.09757288606619678,0.06408287800344087,-0.0004006943022185686,-0.40069430221856855
CCL,25,0.5089094139002417,0.0037762700251960865,0.0837521741668873,0.04508862083593637,0.00017026680734017824,0.17026680734017824
AMAT,25,0.9274445177955264,-0.002226763683588616,-0.061669104263892,0.03610825404662822,-8.040454878882341e-05,-0.08040454878882342
EL,25,0.42292939136448643,0.01035931348018081,0.20753563354620203,0.04991583037172553,0.000517093734444235,0.517093734444235
TGT,25,0.19017423848585974,0.009397693702243663,0.29264755338371373,0.03211266792967714,0.0003017850171649689,0.30178501716496886
PNC,25,0.5256596919748178,0.00772916615155095,0.19987243041556962,0.03867049665369389,0.00029889069379939506,0.29889069379939504
ROK,25,0.7653637116235021,0.003727273020302688,0.10418823902849703,0.03577441230466736,0.00013334100180037117,0.13334100180037117
XOM,25,0.43670971060671404,0.006914411406138384,0.2862225828987032,0.024157462825305637,0.0001670346365026573,0.1670346365026573
IBM,25,0.3896757881882895,0.0036046184781846516,0.11692381752959909,0.03082877855294237,0.00011112598483179876,0.11112598483179875
CMG,25,0.4478298060520145,-0.0018570955752679479,-0.023695448732242226,0.07837351367568791,-0.00014554710546532202,-0.145547105465322
RL,25,0.7182797817710416,-0.0007489551911192419,-0.018517372027051008,0.04044608435933212,-3.029230484136857e-05,-0.030292304841368568
ROP,25,0.429505663861662,0.014462848349212496,0.5571839750186959,0.02595704291159344,0.0003754127752243771,0.3754127752243771
NFX,25,0.49496567717273066,-0.013493636897240263,-0.21628812649164117,0.062387321560907545,-0.0008418318641342551,-0.841831864134255
ITW,25,0.6055435617655902,0.009844900486261576,0.33144389001028807,0.029703068250725603,0.0002924237510650293,0.29242375106502927
UPS,25,0.37548339090557326,0.0032047860187283082,0.12751321282365521,0.02513297208784455,8.054579755621303e-05,0.08054579755621304
SLB,25,0.8546211693654127,0.002126365002135813,0.0658880546780027,0.032272390079316135,6.862288079993285e-05,0.06862288079993285
ADP,25,0.36869679388923005,0.006586857314711651,0.23693984091357803,0.027799703457698173,0.000183112680067154,0.18311268006715398
GLW,25,0.4713336432499774,-0.0011746614741800464,-0.026728926756972027,0.04394719940910629,-5.162308204398526e-05,-0.051623082043985254
SEE,25,0.8027805093671256,-0.007883476859710168,-0.13507392590812461,0.058364164709867085,-0.00046011254192654996,-0.46011254192654993
PPG,25,0.6096073326931488,0.015834717716490785,0.605699633619491,0.026142855035039325,0.0004139647297829875,0.41396472978298754
SCHW,25,0.692088877076139,0.0009093958047323436,0.02048968923686846,0.04438309406352573,4.0361799542411284e-05,0.040361799542411286
UNP,25,0.5535759105862171,0.011020301608326045,0.352947210528386,0.031223654075145976,0.0003440940852221473,0.3440940852221473
AAP,25,0.5677074308891449,0.002454882586288782,0.038026509043461984,0.0645571378504138,0.00015848019352962525,0.15848019352962525
D,25,0.05319661677830638,0.00256132859689578,0.11846311882379859,0.02162131659479172,5.5379296496777325e-05,0.05537929649677732
WU,25,0.5690501130291568,0.0032701857241484787,0.10274735521069259,0.03182744429229027,0.00010408165396077863,0.10408165396077863
ETFC,25,1.1330906538281367,-0.010285529355254293,-0.16831995622043544,0.06110701063743233,-0.0006285179517231466,-0.6285179517231466
DGX,25,0.2996975866857746,0.007081661309154828,0.15537728111695448,0.04557719930640549,0.00032276228890781004,0.32276228890781006
PM,25,0.24403589386597604,0.01390530458885017,0.4401308251205475,0.03159357126382058,0.00043931823147296917,0.43931823147296917
URBN,25,0.38240432631159754,0.016830290506405252,0.26823243955303144,0.06274517181609492,0.0010560194695391886,1.0560194695391887
CAH,25,0.25448906986597314,-0.004575692184075522,-0.14030506311889623,0.03261245234035513,-0.00014922454327729847,-0.14922454327729848
ED,25,0.06872781225393572,0.0031066698604115374,0.13229299908215933,0.02348325218995277,7.295471180296949e-05,0.07295471180296949
APH,25,0.8662414989145963,0.007881672316351406,0.19915833292114807,0.039574906059652366,0.0003119164415125696,0.3119164415125696
MSI,25,0.33805240549063426,0.005513238135711971,0.1702764245469365,0.03237816480103652,0.00017850853294544157,0.17850853294544156
LEG,25,0.5669796231005924,0.005381973372368747,0.1366696196542615,0.0393794420880349,0.00021193910873654095,0.21193910873654095
AMP,25,0.8101852492019734,0.008702713255700625,0.25019509027850795,0.0347837091687654,0.00030271264686545,0.30271264686545
T,25,0.1274162005633116,0.013362727581329135,0.5316356031090891,0.0251351254565755,0.0003358738341987495,0.3358738341987495
MCO,25,0.8335900028784247,0.010007834592569468,0.27129614446726835,0.036888967265721335,0.0003691786826860487,0.3691786826860487
MCHP,25,0.5308104725330065,-0.0005916833447394522,-0.01711985084353985,0.03456124414557753,-2.0449312534412125e-05,-0.020449312534412126
MNST,25,-0.09423682497983807,0.008096518972908329,0.11632988678781943,0.06959964628587684,0.0005635148566613106,0.5635148566613105
MHK,25,0.6401354385495287,0.018490135923921867,0.3448282915432965,0.05362128449834649,0.0009914648387897111,0.9914648387897111
AN,25,0.2754450578637194,0.00920875773457222,0.1565006346515981,0.05884166383780339,0.0005418586269814705,0.5418586269814706
XLNX,25,0.7111877417724033,0.0025376701277942497,0.1233021843320963,0.020580901640472226,5.222753929609804e-05,0.05222753929609804
WHR,25,0.7445444405955505,0.015799506812195316,0.23117376391530425,0.06834472279468454,0.0010798129133722189,1.079812913372219
RCL,25,1.2165844641230519,0.005461661307962442,0.11056249393708231,0.0493988613450643,0.00026979984966573917,0.26979984966573917
AES,25,0.43332865811342947,-0.00010512014092232437,-0.0033630712906079986,0.03125718482860946,-3.2857596740185657e-06,-0.003285759674018566
CMI,25,1.043751256663699,-0.00275179860235191,-0.08049562383067241,0.03418569198420638,-9.4072139422572e-05,-0.094072139422572
EMN,25,0.8438783803667465,0.013926447862830614,0.35575350881677736,0.03914634014194111,0.0005451694650073761,0.5451694650073761
