Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HST,25,1.0693769191560636,0.012868386558853365,0.28458512458620305,0.045218057611284,0.0005818834447825042,0.5818834447825042
AIV,25,0.6628988881745803,0.004907352049427483,0.09701179258568006,0.05058510845568953,0.00024823893565053954,0.24823893565053953
HON,25,0.711490209929821,0.010853819262571385,0.4801657847317516,0.022604316275127677,0.0002453431634042367,0.24534316340423667
FISV,25,0.5906676629197356,0.013409298908668182,0.4880705918636388,0.027474097256026814,0.00036840838235188385,0.36840838235188383
ORLY,25,0.4248735209729015,0.008165039420166489,0.14696594050413653,0.05555735833865993,0.0004536280209154737,0.4536280209154737
PNW,25,0.21025392074334018,0.009850961519244413,0.49718852167593264,0.019813332548463916,0.0001951803765029109,0.1951803765029109
FLS,25,0.8475730761944076,0.018078128267120665,0.5212104600522194,0.03468489152214912,0.0006270379178685779,0.6270379178685779
MUR,25,0.9005105569816008,0.005482525208872627,0.12230261340193167,0.044827539300857124,0.0002457681142686776,0.2457681142686776
EBAY,25,0.6218179035775679,0.01638147048104812,0.35025216266643217,0.04677050487379647,0.0007661696449738141,0.7661696449738141
HIG,25,1.08656452879829,0.002404741011519061,0.04792251428239082,0.05017977557163952,0.0001206693642659439,0.1206693642659439
KLAC,25,1.0375463230144235,0.006545163786816887,0.1681464907338977,0.03892536655537472,0.00025477289956681183,0.2547728995668118
XEC,25,0.862891743042127,-0.0013179024036187787,-0.01627318078124866,0.08098615884224537,-0.00010673185339804738,-0.10673185339804739
C,25,1.5160449448029727,0.00482007752885576,0.07086201462250458,0.06802061096531378,0.0003278646184129487,0.3278646184129487
ETN,25,1.0022926395714191,0.008577184989996009,0.26202954023834646,0.03273365660296949,0.00028076262808267365,0.28076262808267366
MAR,25,0.5463117108345055,0.014176501181446192,0.3479857358195929,0.04073874220176585,0.0005775328269539654,0.5775328269539655
UTX,25,0.5668037035764087,0.002191844070678609,0.07984929710536372,0.0274497603627794,6.016559449270673e-05,0.060165594492706725
RIG,25,0.6354004877197825,-0.0027222368256819814,-0.037042024510543135,0.0734904979318061,-0.00020005853980766808,-0.20005853980766808
CCL,25,0.6293014307953916,0.005538701108479281,0.12708823066826166,0.04358154236120376,0.00024138513698523603,0.24138513698523603
AMAT,25,1.0124193197734115,0.0012336938593564908,0.030583076687790527,0.04033910230650568,4.9766102807489306e-05,0.049766102807489304
EL,25,0.40704457774995667,0.012038362646934794,0.23235472486372186,0.05181027695475271,0.0006237109028194416,0.6237109028194415
TGT,25,0.2446713282308435,0.010038715107253649,0.3173721819989517,0.03163073412428695,0.0003175319285070029,0.3175319285070029
PNC,25,0.6135389621352108,0.009617053051589157,0.2504358514041574,0.038401263228358636,0.0003693069857151649,0.3693069857151649
ROK,25,0.8684074535314963,0.006522107430422698,0.1773902225230403,0.03676700630766488,0.00023979836503361932,0.23979836503361932
XOM,25,0.4865996221012935,0.008525587079162119,0.3396283893763844,0.02510269266599459,0.00021401519224538114,0.21401519224538115
IBM,25,0.41460495486595683,0.005078489113913537,0.15812991503227755,0.03211592893651346,0.00016310039548730434,0.16310039548730434
