Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HST,25,0.8742071464821911,-0.008931053040482584,-0.22201456807036504,0.040227328855519,-0.0003592724076855758,-0.3592724076855758
AIV,25,0.9743173742326222,0.002861178706809001,0.1097775564232345,0.02606342134067971,7.457210616654409e-05,0.0745721061665441
HON,25,0.39880684268090033,0.00206664770365034,0.06877472062538004,0.030049525245002328,6.210178234336698e-05,0.062101782343366975
FISV,25,0.4163941714158925,0.011112762609519617,0.4767015704724629,0.02331178099225825,0.00025905828817207756,0.25905828817207754
ORLY,25,0.6523664701763786,0.01667276640314286,0.4850803954280162,0.034371140454834206,0.0005730619958130642,0.5730619958130642
PNW,25,1.1843096906698332,0.002190533230412602,0.10449435642894624,0.02096317260829406,4.5920526213343354e-05,0.04592052621334335
FLS,25,0.07499968855471745,-0.021237793049344058,-0.4332096976336366,0.049024278923932955,-0.0010411674901798077,-1.0411674901798078
MUR,25,-0.19468086873663534,-0.028474237014174904,-0.4926633174369165,0.05779654381883407,-0.0016457124872976269,-1.6457124872976268
EBAY,25,0.18338601715473185,0.005635384439558686,0.14922642466898772,0.037763984844232705,0.00021281457256691903,0.21281457256691905
HIG,25,0.3474366736869895,0.009495646571827035,0.3235162948280497,0.02935137031312136,0.00027871023889221666,0.27871023889221663
KLAC,25,0.1815016052745991,-0.007567017084287544,-0.12220235328962493,0.06192202425393054,-0.00046856501542316003,-0.46856501542316004
XEC,25,-0.026056909254206135,-0.012863457226466327,-0.15724860238613225,0.08180331673078675,-0.0010522734657495527,-1.0522734657495527
C,25,-0.07803231511279875,0.001572764051510678,0.047804153609856195,0.03290015475112204,5.174418068170298e-05,0.05174418068170298
ETN,25,0.3394244624907818,-0.007636948462226171,-0.17969790952950335,0.04249881638702265,-0.000324561270453305,-0.324561270453305
MAR,25,0.6571149712568622,0.0003765769715045127,0.007349294611565008,0.051239879662998276,1.929575870374756e-05,0.01929575870374756
UTX,25,0.42709882396209714,-0.006547943326113608,-0.19175442196441372,0.03414754798890005,-0.00022359620895706224,-0.22359620895706225
RIG,25,-0.0795948108324104,-0.04023882744231941,-0.40556148650685375,0.09921757558613593,-0.003992398903255806,-3.9923989032558063
CCL,25,0.5073238465521946,0.010979979906136026,0.19061562842044008,0.057602726476957765,0.0006324767792556459,0.6324767792556459
AMAT,25,0.2898200160340726,-0.014550978100473386,-0.2500393968562768,0.05819474164240333,-0.0008467904112013175,-0.8467904112013175
EL,25,0.0470392121440098,0.0020608407527803224,0.05562247762559627,0.03705050261608569,7.635518570222333e-05,0.07635518570222333
TGT,25,-0.12947928403444212,0.011707836052086496,0.37881966453156724,0.030906093712331228,0.0003618434781943953,0.36184347819439533
PNC,25,-0.057089981658974144,0.00397029101477808,0.1348704687599406,0.029437808374825937,0.00011687666608533032,0.11687666608533032
ROK,25,0.11578843966156276,-0.0011890650533986759,-0.027038741260260884,0.04397634645612209,-5.229073674712749e-05,-0.05229073674712749
XOM,25,0.1581826770440821,-0.010341034251017185,-0.4120109539948014,0.0250989303821948,-0.0002595488987461723,-0.25954889874617226
IBM,25,-0.15253615729521458,-0.008897921141637878,-0.25635733079828493,0.034709056744857504,-0.0003088384498163764,-0.30883844981637637
CMG,25,0.5477330871909152,0.0018772421668701604,0.041591635222433816,0.045135089227210955,8.472949270276752e-05,0.08472949270276753
RL,25,0.2809739038017952,-0.01747914718777094,-0.3408709813002408,0.0512778973472524,-0.0008962939152120339,-0.8962939152120339
ROP,25,0.2749030981724225,0.003029046191731247,0.08689130771302815,0.03486017498706701,0.0001055930802876602,0.10559308028766021
NFX,25,0.38873740906535614,-0.015763735415827474,-0.12814380807070572,0.12301597442093762,-0.001939191272691861,-1.939191272691861
ITW,25,0.37160799193705885,-0.0013305861163057965,-0.03826938995525166,0.03476893982009247,-4.62630686032868e-05,-0.0462630686032868
UPS,25,0.2470341275000398,0.00145197146990079,0.04736385093311076,0.030655688701312012,4.4511185384465043e-05,0.044511185384465045
SLB,25,0.08186738470866038,-0.015302778589262362,-0.2871439787219237,0.05329305060609297,-0.000815531753771395,-0.815531753771395
ADP,25,0.7300991526103067,0.0022538460430856907,0.08989407987915657,0.025072241087683488,5.65089713667659e-05,0.0565089713667659
GLW,25,0.3865097450843148,-0.007991060050511253,-0.16989999827405522,0.047033903070566055,-0.00037585074384681894,-0.37585074384681894
SEE,25,0.15282011553849972,0.014840486198195578,0.24329064740659204,0.06099899998783706,0.0009052548174232281,0.9052548174232281
PPG,25,0.08028411313083952,-0.002746549704738697,-0.0621446002329855,0.04419611188167023,-0.00012138681803919981,-0.1213868180391998
SCHW,25,-0.32459989981822124,0.0033466551784767126,0.05995487402542457,0.05581956818152139,0.0001868088469150225,0.1868088469150225
UNP,25,0.2796241390701659,-0.0075900136606159765,-0.15514776330948468,0.04892119292416493,-0.00037131252258804147,-0.3713125225880415
D,25,0.8404345851096506,0.0006175596318215575,0.029808746997049756,0.02071739653742168,1.2794227777951341e-05,0.01279422777795134
WU,25,0.5454386304858764,0.002760646378764576,0.06346115499595788,0.04350135730968675,0.00012009186452833065,0.12009186452833065
ETFC,25,0.05082406967605076,0.0070276403932642735,0.13524853397317924,0.051960935818039296,0.00036516277142666537,0.36516277142666537
DGX,25,0.5391054955340645,0.0035080784803491406,0.10804722837790715,0.03246800989729461,0.00011390032682046215,0.11390032682046215
PM,25,0.4527539446943341,-0.0010979772944166141,-0.04417598125852285,0.02485462151912657,-2.7289810089319545e-05,-0.027289810089319546
URBN,25,-0.1598239305338166,-0.009985819913560763,-0.1387852299374563,0.07195160405801744,-0.00071849576061519,-0.7184957606151899
CAH,25,0.2105430981639934,0.005427890728423115,0.19947754134134463,0.02721053554161741,0.0001476958135817728,0.1476958135817728
ED,25,1.0312941461495724,0.003893371710433002,0.2156683364771061,0.01805258840509625,7.028543699649256e-05,0.07028543699649256
APH,25,0.0778644916346851,0.001559536030642307,0.04230772038684211,0.03686173625954401,5.748720584879287e-05,0.057487205848792876
MSI,25,0.36871261192250093,0.003446295491695049,0.09656957641573548,0.03568717622679242,0.00012298855454172144,0.12298855454172145
LEG,25,0.5297354174827196,0.009140226293354193,0.21817051804366508,0.04189487367640045,0.0003829286259337878,0.3829286259337878
AMP,25,0.17997253724018625,-0.0031021579150238995,-0.07723490174257328,0.040165234175651626,-0.0001245988991067861,-0.1245988991067861
T,25,-0.12620322478307544,0.0013341779936099293,0.06078392240751442,0.021949521201760934,2.928456815766401e-05,0.02928456815766401
MCO,25,0.2356314845175818,0.004560236720090913,0.15842313813434894,0.028785168465881895,0.00013126718223211762,0.1312671822321176
MCHP,25,-0.01620280850853211,-0.00440211177698678,-0.0860336209073788,0.051167342842933006,-0.0002252443625259956,-0.22524436252599558
MNST,25,0.023250931261738102,0.018329442569543847,0.41468341576261886,0.044201050422610445,0.0008101806152347499,0.8101806152347499
MHK,25,0.4318851428865237,0.010743020428096306,0.2559478292074433,0.04197347741280974,0.0004509219252840539,0.45092192528405395
AN,25,0.5128031628334615,0.0034006526037524626,0.08716121673044358,0.03901566237044837,0.00013267871382719224,0.13267871382719224
XLNX,25,0.22182964971997826,-0.000348933064940167,-0.005691009872044201,0.061313031041155236,-2.1394143841961897e-05,-0.021394143841961897
WHR,25,0.4158008613232847,0.004411382581914313,0.09434195506932415,0.04675949929882999,0.00020627404074589315,0.20627404074589314
RCL,25,0.8982093603157856,0.012849171883465672,0.18022894595087458,0.07129360833618813,0.0009160638277041623,0.9160638277041623
AES,25,0.2034074557010214,-0.009092978599507548,-0.2697475742567744,0.03370921360298085,-0.00030651715789813355,-0.30651715789813355
CMI,25,0.5136191732011242,-0.006604567046967962,-0.1972628388806763,0.03348105038153205,-0.00022112784204774067,-0.22112784204774066
EMN,25,-0.38019111694508895,-0.0036557406344383883,-0.0665843872567903,0.054903871388642604,-0.00020071431362344,-0.20071431362344
VMC,25,0.4787386127072711,0.014133688095421168,0.3075993448888935,0.0459483686498953,0.0006494199109910484,0.6494199109910483
HBAN,25,-0.029981709575708997,0.004824496827701074,0.17175928013128847,0.028088711270874853,0.0001355138984205471,0.13551389842054712
GNW,25,-1.4495498695903508,-0.03898400253336978,-0.31860354894721266,0.12235897139937002,-0.004770042451013562,-4.770042451013562
KSS,25,-0.4232818503156275,-0.0036761128170501416,-0.0685372840731098,0.053636686465847905,-0.00019717451058120334,-0.19717451058120333
GT,25,0.6036628643834998,0.003735458638384475,0.05265024344631458,0.07094855396430176,0.0002650253887868381,0.2650253887868381
BBBY,25,0.1587391877527775,-0.0013673048536487723,-0.040724342366187036,0.033574633111424536,-4.590675881272755e-05,-0.04590675881272755
DISCK,25,-0.16698941640994927,-0.020886507323835866,-0.3629826424336481,0.05754133912244535,-0.0012018376010042781,-1.2018376010042782
BXP,25,0.8526830204785976,-0.0007526258619309426,-0.029621455285307914,0.02540813254047788,-1.9122817653332795e-05,-0.019122817653332794
NEM,25,0.7395404288470935,-0.020374965688701594,-0.22948909341705337,0.08878402622678855,-0.0018089714880755992,-1.8089714880755992
AZO,25,0.5734151585561944,0.010931539738555677,0.43264042835044747,0.025267032441316162,0.0002762075692076231,0.27620756920762307
COF,25,0.08716921416342063,-0.0017993492106679202,-0.05287184722274086,0.034032274361202895,-6.123594600906453e-05,-0.06123594600906453
STX,25,0.557019544009396,-0.008356830400427749,-0.15941102875609667,0.0524231633509745,-0.00043809148517801353,-0.43809148517801355
HAS,25,-0.02380263485650778,0.015361804998548815,0.37392938988491164,0.04108210109742079,0.0006310952259892464,0.6310952259892464
EMC,25,-0.14552795707452196,-0.006394125170469814,-0.20023021608954214,0.031933867401962884,-0.00020418914534533637,-0.20418914534533636
NRG,25,0.19307925581691235,-0.017008243230453687,-0.31942157316594305,0.0532470085281864,-0.0009056380723414361,-0.9056380723414361
OI,25,0.11809999814655446,-0.01593802342160241,-0.3006295134631366,0.053015498172493104,-0.0008449622515811148,-0.8449622515811148
JBHT,25,0.48356153613347846,-0.001473899710622306,-0.03547769448175573,0.04154440507345407,-6.123228661573982e-05,-0.061232286615739824
PH,25,0.3847236522933781,-0.002734961344457584,-0.06424655490502942,0.04256977434043678,-0.00011642668726337695,-0.11642668726337695
AAPL,25,0.09662413316055914,0.004391419692285519,0.1111704887849835,0.03950166757635679,0.00017346840087292963,0.17346840087292964
CSCO,25,0.29508903187405566,0.002549020684219928,0.06147037318495208,0.0414674672065262,0.00010570143163164684,0.10570143163164684
CCI,25,0.4212451088677243,0.0029278237725720493,0.10238468922549065,0.028596304727983787,8.372494079030543e-05,0.08372494079030543
LM,25,0.21106305814283127,-0.003901167185041871,-0.09874863075916879,0.039506038261494056,-0.0001541196600767492,-0.1541196600767492
AMGN,25,0.928091193258563,0.0036801523639226185,0.08322999755515663,0.04421665832062264,0.00016272403964339812,0.16272403964339813
GS,25,-0.04963270428954473,0.002652734382622373,0.09579576251627184,0.02769156289321023,7.345836099536865e-05,0.07345836099536865
ORCL,25,0.43158382967593883,-0.004981409115341318,-0.12844414844478094,0.03878268629327915,-0.00019319242701876355,-0.19319242701876355
EA,25,0.5620793616478073,0.022038434260107806,0.4803707319059347,0.0458779704847283,0.001011078636514851,1.011078636514851
PSA,25,1.0854815818605108,0.006412832842806513,0.3107745584769824,0.020634999448584147,0.0001323288021751747,0.1323288021751747
SNA,25,0.17464644482536915,0.010187359702086812,0.2856478171463183,0.03566405584282308,0.0003633225653061496,0.3633225653061496
VAR,25,0.33263561426142363,-0.0020720156373355736,-0.06577700775074807,0.031500606491361854,-6.526974923565624e-05,-0.06526974923565623
TDC,25,-0.03938187017549614,-0.017080870679954483,-0.31743618503980603,0.05380883303462258,-0.0009191017185036511,-0.9191017185036511
CCE,25,0.6280586255384537,0.002255187867621684,0.05213616132621702,0.043255732878201905,9.754980399200533e-05,0.09754980399200533
FITB,25,-0.3445050168764202,0.0006639106321859362,0.020540749033774747,0.03232163691276696,2.1458678396039404e-05,0.021458678396039405
PGR,25,0.24698842766475618,0.008271523685234714,0.3643318248776062,0.02270326971302453,0.00018779063316355432,0.18779063316355432
RAI,25,0.5728075436567288,0.013794583359149747,0.4595413309886875,0.030018155993653872,0.00041408795514241893,0.4140879551424189
HSIC,25,0.5076591126955537,0.005070361965703038,0.18872653694065444,0.026866184522303965,0.00013622128016544966,0.13622128016544965
MMM,25,0.392471096868679,0.00032971553167573595,0.009971621523494699,0.03306538770037296,1.0902171885692811e-05,0.010902171885692811
AIG,25,-0.16216287799310591,0.004065458339816852,0.13047945124425148,0.031157843637819278,0.00012667091526808182,0.12667091526808183
USB,25,0.18202605964015403,0.0008985127317820432,0.0333130443266788,0.026971798883672363,2.4234504696044318e-05,0.024234504696044316
CVS,25,0.27812981189774866,0.011323109338449122,0.4264287038785272,0.026553346984997124,0.0003006664512129008,0.3006664512129008
WEC,25,1.2092694012934269,0.0018414116381337163,0.08097252857227541,0.022741189766478483,4.187589150100085e-05,0.04187589150100085
SO,25,0.9275010597376824,-7.241372153273494e-05,-0.0036652188413532714,0.019756998058538398,-1.4306777557337844e-06,-0.0014306777557337844
BBY,25,-0.27073782661873524,0.006489983902684367,0.09860731157982068,0.06581645720490871,0.00042714774779157205,0.42714774779157205
MMC,25,0.3843915145508715,0.0013543450636196658,0.05000768198217901,0.027082740289828013,3.667937562082201e-05,0.03667937562082201
NI,25,0.45001758198392805,0.0039308504021737896,0.120501081085113,0.032620872499868524,0.0001282277697853681,0.1282277697853681
IP,25,0.5525682250120318,-0.004301929185429674,-0.11485921253428481,0.03745393243180709,-0.00016112416503750193,-0.16112416503750193
PNR,25,0.18235874726313386,-0.007475148357510116,-0.1496383827807445,0.04995475237434883,-0.00037341918516093823,-0.37341918516093825
NUE,25,-0.15093337497525722,-0.007778787331853243,-0.15386376301169663,0.05055633100083419,-0.0003932669471342684,-0.3932669471342684
AMT,25,0.5855907846169441,-0.00225090392219368,-0.09993570316346054,0.022523521133502943,-5.069828206101402e-05,-0.05069828206101402
GIS,25,0.38936678199143676,0.0032330057272006727,0.15687103774522246,0.020609321986200316,6.663005601510837e-05,0.06663005601510837
DD,25,-0.33316119556777624,-0.006363930857768841,-0.11815921466854218,0.053858946808514344,-0.00034275461356163506,-0.34275461356163506
KR,25,0.44045770508645926,0.013007366424325876,0.3770701543662621,0.034495879012719055,0.0004487005384476495,0.4487005384476495
PCL,25,0.5097945198519375,-0.0024511977261783987,-0.1391167545259717,0.01761971614799844,-4.318940815788259e-05,-0.04318940815788259
TIF,25,-0.025868529298422295,-0.007646116951128851,-0.1455876049938631,0.052519010471057295,-0.0004015664962192648,-0.4015664962192648
ES,25,1.061668895609464,0.0018796090598230037,0.09960619878862689,0.01887040247175479,3.5468979448416706e-05,0.035468979448416704
UNM,25,-0.12365082225151491,-0.001815916986517314,-0.05934324217626149,0.03060023213972151,-5.556748133389334e-05,-0.05556748133389334
KEY,25,-0.19901851300453507,0.001657025195003231,0.056196627409864516,0.02948620355662774,4.885938219832604e-05,0.04885938219832604
CRM,25,0.21202122789707328,0.006400489785780307,0.1311414830773182,0.04880598904014769,0.0003123822343363709,0.31238223433637086
PEP,25,0.36461637131070895,0.0009930656407227123,0.06131402625884931,0.01619638606883014,1.6084074508835215e-05,0.016084074508835214
AFL,25,0.1345001990110983,-0.0009591358965363489,-0.03395831657908378,0.028244506593919826,-2.709032015418611e-05,-0.02709032015418611
LOW,25,0.3541210695671098,0.010993767953648387,0.38658502996206684,0.0284381626332689,0.00031264256101827266,0.31264256101827265
CAM,25,-0.9609987548297764,-0.004929445836310072,-0.06292164165755498,0.07834261323215483,-0.00038618566860289597,-0.38618566860289594
MJN,25,0.11203918953172316,-0.008130281041306054,-0.23435472544456343,0.034692200150362534,-0.00028205733716368754,-0.2820573371636875
AXP,25,0.3680385619620836,-0.006176871191820567,-0.17518144265771773,0.03525984886361159,-0.00021779554467358958,-0.21779554467358958
ZION,25,-0.579473815067433,0.0007486341153564939,0.02095998488347632,0.035717302255626866,2.6739190977061723e-05,0.026739190977061723
FAST,25,0.2664704869706029,-0.005394767447174848,-0.16656060696624278,0.03238921582621405,-0.00017473228717877995,-0.17473228717877995
NOV,25,-0.4654042300360602,-0.027469416473684418,-0.4806915292481883,0.05714562209291927,-0.0015697568929181809,-1.5697568929181809
OKE,25,0.05021830173733631,-0.026457839190384816,-0.3957015666117395,0.06686311458641538,-0.0017690535334956513,-1.7690535334956514
STI,25,0.02862290411060167,0.002378740235469038,0.06725923922414424,0.03536674311081317,8.412829483518871e-05,0.08412829483518872
EQT,25,0.18368267094570853,-0.01033813919951445,-0.16280006463456684,0.06350205832362664,-0.0006564931184053374,-0.6564931184053374
LMT,25,0.43560514182776916,0.006866097484217306,0.26503960026825335,0.02590593057515916,0.0001778726447484085,0.1778726447484085
POM,25,0.21654406207193275,-0.023661803842648686,-0.3309887123619219,0.0714882500789801,-0.0016915409504230415,-1.6915409504230416
HRB,25,1.0833520120865,0.0002363189150018214,0.005311652609004911,0.04449065712640676,1.05139838198305e-05,0.0105139838198305
AIZ,25,0.4150214719858759,0.004724199778696727,0.12140225289438474,0.0389136088175118,0.00018383566216398023,0.18383566216398023
