Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HST,25,1.5440574706843253,0.0027173985664491265,0.0713071431342594,0.038108364001243476,0.00010355561370670052,0.10355561370670052
AIV,25,1.0473265187810648,-0.0035836051521572787,-0.06767680682869515,0.05295174698812505,-0.0001897581533223736,-0.18975815332237359
HON,25,1.1612025516952738,0.0028483629542618545,0.12789480507294632,0.022271138789705002,6.343628667781992e-05,0.06343628667781992
FISV,25,1.1479004348870212,0.003214490700170114,0.21239117046005104,0.015134766163806853,4.8650565082806445e-05,0.04865056508280644
ORLY,25,0.22990194755388468,0.010127004564628665,0.17273154453431086,0.058628576453312896,0.0005937318613603804,0.5937318613603804
PNW,25,0.32891487282245024,0.006330077356219074,0.3090334913611934,0.020483467110108726,0.0001296619313305574,0.1296619313305574
FLS,25,1.4960871893910792,0.004946467066757434,0.11733555732660002,0.04215659071690511,0.00020852618762794332,0.2085261876279433
MUR,25,1.5598681758222577,-0.0073130645765316525,-0.17825430736936929,0.041026018862915334,-0.0003000259252625055,-0.3000259252625055
EBAY,25,0.7696744227406006,0.012287916574465516,0.23344386140476858,0.0526375656250797,0.0006468060150839331,0.6468060150839331
HIG,25,2.15651926010552,-0.01449832559594727,-0.4172564293799704,0.03474679974971582,-0.000503770416188559,-0.503770416188559
KLAC,25,1.4098403235030612,0.007859456684803862,0.19710324060232212,0.039874822254501625,0.0003133944383235086,0.3133944383235086
XEC,25,1.403807452939165,-0.015264277595734281,-0.19729840793547895,0.07736645092810909,-0.0011809429835634112,-1.180942983563411
C,25,2.600901496772067,-0.01645005975800438,-0.36147580886322594,0.04550805158922461,-0.0007486101681130911,-0.7486101681130911
ETN,25,1.5314811169808515,-0.004380454346649094,-0.10533575566008808,0.04158563556314673,-0.00018216397806075123,-0.18216397806075124
MAR,25,1.0649076143957474,0.0068512573140940575,0.21617582704950064,0.031692985324049364,0.00021713679750686883,0.21713679750686882
UTX,25,0.9100311553498104,-0.0016686291187986732,-0.07817449788208673,0.02134492915215808,-3.561677032198565e-05,-0.035616770321985645
RIG,25,1.5243327046570072,-0.01227577134456266,-0.18015393474493224,0.06814045644877584,-0.0008364766626793023,-0.8364766626793023
CCL,25,0.938955550504144,-0.0025816165150709188,-0.0623621369142795,0.041397178525481027,-0.000106871639758721,-0.10687163975872101
AMAT,25,1.6231708360800998,-0.007424651436427151,-0.17697445838857956,0.04195323723000175,-0.00031148816306250155,-0.31148816306250154
EL,25,1.0050916242630068,0.002807782381516837,0.05514529071023931,0.05091608631225316,0.00014296129008333503,0.14296129008333502
TGT,25,0.43127356015975105,0.0071494731414492125,0.23161072541502786,0.030868489050487318,0.00022069343338357818,0.2206934333835782
PNC,25,1.14001071248182,0.0037176356804459734,0.12950348590130728,0.028706838696829592,0.00010672156781214088,0.10672156781214087
ROK,25,1.3111471583628405,-0.0006650408637339433,-0.015624856156306084,0.042563007113863086,-2.830613901411748e-05,-0.028306139014117482
XOM,25,0.8872449100733576,0.0027857681211077064,0.14947588816646676,0.01863690629491548,5.191809943244708e-05,0.05191809943244708
IBM,25,0.6714511412929947,0.0018625495494819363,0.057825849025475766,0.03220963601695448,5.999204305235572e-05,0.05999204305235572
CMG,25,0.6008238443522854,-0.005849193957540808,-0.08124235006122754,0.0719968582042816,-0.0004211235879704063,-0.4211235879704063
RL,25,0.8818205108581483,0.0014374296764475556,0.02988991909480048,0.04809078512017801,6.91271216954064e-05,0.0691271216954064
ROP,25,0.8560524937099658,0.008081209783290202,0.30778352631983974,0.026256147883926845,0.00021218143915110397,0.21218143915110396
NFX,25,1.0299406291588271,-0.024290467068549773,-0.40008753717023937,0.06071288108685587,-0.0014747442386770508,-1.4747442386770508
ITW,25,1.10826202676404,0.00516202728161574,0.16441702352339935,0.03139594167924525,0.00016206670748028065,0.16206670748028065
UPS,25,0.8787202561018742,0.0006744890261693318,0.03689673281357788,0.018280453978871593,1.2329965602142388e-05,0.012329965602142388
SLB,25,1.6252117929250838,-0.0101367638111799,-0.20301822740923406,0.04993031384687797,-0.0005061317984838872,-0.5061317984838872
ADP,25,0.915716825582762,0.002384490194814657,0.10967300552436651,0.021741814983677863,5.1843144646054254e-05,0.05184314464605425
GLW,25,0.8636740852556724,-0.014155063337427738,-0.3443769891792759,0.04110339477432068,-0.0005818211564138055,-0.5818211564138055
SEE,25,1.2734582602631375,-0.01917169975383982,-0.43075881966935203,0.04450680723973546,-0.0008532711454022327,-0.8532711454022327
PPG,25,1.0487496124701974,0.009272551957280105,0.29828956141092594,0.03108574069243465,0.0002882441457011367,0.2882441457011367
SCHW,25,1.3495687171383504,-0.0046286601917288825,-0.1375316339014817,0.03365524032852354,-0.00015577867115170536,-0.15577867115170535
UNP,25,1.0298289137286185,0.006300199791881194,0.22414560793049687,0.028107620979282186,0.0001770836278439491,0.1770836278439491
D,25,0.15573812789339606,0.004448661843596876,0.2127597948839296,0.020909316283294167,9.301847752518961e-05,0.0930184775251896
WU,25,1.0120075427295034,-0.002742774739216278,-0.10913871201475547,0.025131089496873087,-6.892891744100702e-05,-0.06892891744100703
ETFC,25,2.1100355214498228,-0.02469481615207965,-0.38033576748145503,0.06492898713051949,-0.0016034094001289244,-1.6034094001289245
DGX,25,0.4123114819477652,0.006283542005453956,0.15231722961806718,0.04125299561454623,0.0002592149307948091,0.25921493079480906
PM,25,0.6539975780732222,0.00787946827369718,0.2460421377683756,0.03202487323986317,0.00025233897266267567,0.2523389726626757
URBN,25,0.7334395863699457,0.010256068059000607,0.17392269192984144,0.058969119815244095,0.0006047913062045047,0.6047913062045047
CAH,25,0.3683599160481908,-0.0036190436228288755,-0.11517934874426468,0.031420941881381184,-0.0001137137593390893,-0.1137137593390893
ED,25,0.19810463947229848,0.003827948947964628,0.16413912303968634,0.023321368343360092,8.927300741506084e-05,0.08927300741506085
APH,25,1.3691602864641992,0.003737945139302687,0.08951143169766242,0.04175941629364312,0.00015609440715494072,0.15609440715494072
MSI,25,0.7068671800794242,0.0019671737043939356,0.0684329241979412,0.02874601264595848,5.654840018330506e-05,0.05654840018330506
LEG,25,1.199820527962909,-0.0013256391455882567,-0.037057426388833616,0.03577256368746932,-4.742151076215832e-05,-0.04742151076215832
AMP,25,1.532411508053909,-0.0003682122292830506,-0.011993970640423143,0.030699777440013825,-1.1304033489680995e-05,-0.011304033489680995
T,25,0.4492427222840549,0.009189477805133467,0.38193091712073163,0.024060575861232503,0.00022110412785552612,0.22110412785552613
MCO,25,1.1502271151073886,0.00314119282022761,0.08629507589405565,0.03640060325207951,0.00011434131358738594,0.11434131358738595
MCHP,25,1.1140867093975877,-0.002720875984215524,-0.09779140549676482,0.027823262897121743,-7.57036478192934e-05,-0.0757036478192934
MNST,25,0.41317606530501716,0.009348449233095859,0.12191862092551772,0.07667778032698544,0.0007168183366932998,0.7168183366932998
MHK,25,1.439944209859111,0.0067832082388249275,0.17279569280529652,0.0392556557903798,0.0002662792877777797,0.2662792877777797
AN,25,1.0826528614808641,-0.006319038765501951,-0.10438061201036539,0.06053843375505833,-0.00038254470970098544,-0.3825447097009854
XLNX,25,1.1865017039353596,-0.004129551916864546,-0.14446240826173973,0.028585650527039153,-0.00011804592792875455,-0.11804592792875454
WHR,25,1.9213959197099528,-0.003674808118650664,-0.05613608026091149,0.06546249936886839,-0.0002405621241478815,-0.2405621241478815
