Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PFG,25,1.1998644562899707,-0.001387763346435901,-0.04746098901738489,0.02924008486059078,-4.0578318016203185e-05,-0.04057831801620319
VRSK,25,0.3984217507258749,-0.0022793235856849153,-0.07921231405525697,0.028774864272932407,-6.558722681217705e-05,-0.06558722681217705
DOV,25,1.0146166604416167,0.001096663547601304,0.03778154534074856,0.029026434406284555,3.183223253021257e-05,0.03183223253021257
VRTX,25,1.2969880089493986,-0.0037218735522326777,-0.04951292551091108,0.07516973626235224,-0.00027977225332315446,-0.2797722533231545
LLTC,25,0.7675219331311417,-0.0023358225900640683,-0.07950900166018433,0.029378089792237657,-6.862200578963932e-05,-0.06862200578963933
GLW,25,1.2236424297755937,0.00478300556763459,0.16900652869236585,0.028300714798662342,0.00013536247645004062,0.13536247645004063
HOG,25,0.9131875763867143,-0.0022054155449157224,-0.06554418363098359,0.03364776892076803,-7.420731262959394e-05,-0.07420731262959394
ADBE,25,1.4257970737594847,0.005078022628566848,0.17937240096124207,0.02830994401231259,0.00014375853630798385,0.14375853630798385
BEN,25,1.114802366748137,-0.0022210324867287055,-0.06575120926166798,0.03377934051204646,-7.502501265752625e-05,-0.07502501265752626
INTC,25,0.5743311544200544,0.012095703270198356,0.3332454386132468,0.03629668067035784,0.00043903387908179284,0.43903387908179287
PNW,25,0.3850810185580918,-0.0039707569652838075,-0.1515841772664596,0.02619506228743045,-0.00010401422603385764,-0.10401422603385764
ETR,25,0.029075206295607385,0.004446261263301803,0.13578899307790587,0.0327439003892669,0.00014558793591021025,0.14558793591021024
AAPL,25,0.7942531282779556,0.011101593146197138,0.2638215429582722,0.04207993411649875,0.0004671543081801496,0.4671543081801496
MPC,25,0.4279393990782626,0.0005521856174218053,0.009622511890363875,0.05738476852128103,3.168704383653094e-05,0.03168704383653094
CAH,25,0.8961284615108681,0.007378345041290011,0.22577162527299882,0.03268056839458127,0.00024112850976069778,0.24112850976069777
TPR,25,0.31701108086233926,-0.02213228403283062,-0.448736650200182,0.04932132025088073,-0.001091593468666693,-1.091593468666693
TXN,25,0.6339324824521775,0.003155851736997852,0.15611847635975246,0.02021446667033598,6.3793859754065e-05,0.063793859754065
DFS,25,0.8199636146277137,0.0029417806866410337,0.12651189094940696,0.023252997521137943,6.840521901419543e-05,0.06840521901419543
ROP,25,0.6729061894090974,-0.0007878626149659613,-0.02861013514013345,0.027537885127315285,-2.1696070187038873e-05,-0.021696070187038872
CHRW,25,-0.10820139399716501,0.006469809829708116,0.18257425620044912,0.03543659420748171,0.00022926802553494284,0.22926802553494285
EXPE,25,1.6067681164082288,0.008598977973258202,0.16576297341648644,0.051875143139794605,0.00044607321321871017,0.4460732132187102
BBBY,25,0.3474241199850658,-0.010313306863491741,-0.20504155244729594,0.05029861869653315,-0.0005187450894271093,-0.5187450894271093
FRT,25,0.25710323772489724,0.005055689405414563,0.25838653368970926,0.01956638116244026,9.892154594525231e-05,0.09892154594525232
ORCL,25,0.7140255337644351,0.0030682180748256268,0.10993284609137725,0.027909930324875733,8.56337526899076e-05,0.08563375268990761
DHR,25,0.7713024801908123,-0.001676492605992951,-0.08816872603850526,0.0190145948718913,-3.187782770867725e-05,-0.03187782770867725
VMC,25,0.7802876386213283,0.00572355300966643,0.187294998908805,0.030559027432725316,0.00017490621343505398,0.17490621343505397
CNP,25,0.34935789644775,-0.0011672973720145566,-0.04435738684269303,0.026315738033762123,-3.0718291849434044e-05,-0.030718291849434046
