Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PFG,25,1.0982855301017174,0.019101675499684508,0.668152377445695,0.028588801214341295,0.0005460940037213338,0.5460940037213338
VRSK,25,0.5832886605897026,0.006969055690554246,0.20226066847907664,0.03445581260538144,0.00024012447691020426,0.24012447691020425
DOV,25,0.8789835775112964,0.009199441937111748,0.3431458824392992,0.02680912815189931,0.0002466290178179857,0.24662901781798569
VRTX,25,-0.19859994896456007,0.02300680131802836,0.21333509851912372,0.1078434888479731,0.0024811337213683244,2.4811337213683244
LLTC,25,0.9832378134835236,0.0035964896164971246,0.154398686936556,0.0232935246267668,8.377491945178686e-05,0.08377491945178686
GLW,25,1.3853684585698354,0.004990120290001662,0.111486055928578,0.044760039705759376,0.00022335798231698989,0.2233579823169899
HOG,25,0.9496838285170621,0.008396389514716565,0.23454896081485585,0.03579802479425334,0.00030057416003003237,0.30057416003003234
ADBE,25,0.15468320898183985,0.019335343820569072,0.6295913681626083,0.030710941728755117,0.0005938066173789421,0.5938066173789421
BEN,25,1.562313240197414,-0.0001788330250727891,-0.005207279589593649,0.03434288902600376,-6.1416427342593445e-06,-0.006141642734259344
INTC,25,0.6877157080447379,0.004709566784234365,0.14228748464058757,0.033098953123885354,0.00015588173022518075,0.15588173022518076
PNW,25,0.7544923294262315,-0.0016708461013817525,-0.04984840701845678,0.03351854555278182,-5.600433116085218e-05,-0.05600433116085218
ETR,25,0.1778727266273477,-0.00012738973208790234,-0.004008020382790613,0.03178370365452242,-4.048917493310893e-06,-0.004048917493310894
AAPL,25,1.5078078519040312,-0.012896954525561923,-0.2580845773128182,0.04997181412328188,-0.0006444842143077994,-0.6444842143077995
MPC,25,0.45409221702617397,0.010477872106234135,0.164588538336763,0.06366100709148691,0.0006670318904586642,0.6670318904586642
CAH,25,0.6552250588724623,0.015763934002444968,0.4250990106114455,0.03708297034088777,0.000584573497068379,0.584573497068379
TPR,25,0.4244961113306159,-0.003923603381802034,-0.06798043327448462,0.05771665746759364,-0.00022645727242616003,-0.22645727242616004
TXN,25,0.9438949996895688,0.009000084724690782,0.46743231785584816,0.019254305662849622,0.0001732903822807401,0.1732903822807401
DFS,25,1.28241051743767,0.0019870114047642346,0.051858613207395744,0.03831593792949441,7.613420565014391e-05,0.07613420565014391
ROP,25,0.1724653080984214,0.005219993679384616,0.1981449141631769,0.026344323302115297,0.0001375172011247067,0.13751720112470672
CHRW,25,0.5838900534419297,-0.005148087133888907,-0.11772804368114673,0.04372863909836068,-0.00022511884432474202,-0.22511884432474202
EXPE,25,-0.6577922566270274,0.0055306414115570595,0.06554177531262749,0.08438345444834949,0.00046669462762228046,0.4666946276222805
BBBY,25,0.5453182477922678,0.008073568314547643,0.24780400599604718,0.03258045923065678,0.0002630405633180418,0.2630405633180418
FRT,25,0.7865950244571522,-0.003296802369533185,-0.11073358323258066,0.02977238045849835,-9.815365444222085e-05,-0.09815365444222085
