Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HSIC,25,0.5774043188535946,0.0037236354334999914,0.14335486669291894,0.025974949573748386,9.672124261618499e-05,0.09672124261618499
SEE,25,0.8324573738115731,0.0030587551073841986,0.08599460074756721,0.03556915295604452,0.00010879732826963094,0.10879732826963094
TAP,25,0.806036280535526,0.007982056671048288,0.16354295955000764,0.04880709443568288,0.0003895809937348263,0.3895809937348263
V,25,0.6065716744885915,0.007968126185869862,0.30285811765790166,0.02630976593095777,0.00020963953485857138,0.20963953485857137
WELL,25,0.11008698660834454,-0.00704864386172916,-0.16663060480542408,0.042301015890567756,-0.00029816479600195805,-0.29816479600195805
CVC,25,-0.14702273514633643,0.01990110165426854,0.3144439795329916,0.06328981615048065,0.0012595370648906823,1.2595370648906823
THC,25,0.9424951395271415,-0.017577960480559297,-0.25013631204147546,0.07027352541139517,-0.0012352652525110838,-1.2352652525110839
VAR,25,0.48108585706329754,-0.003434113738870391,-0.1054944987966692,0.03255253854979988,-0.0001117891198689758,-0.1117891198689758
O,25,0.11615128912966562,0.0022215546052400652,0.0578656057553174,0.03839162445881631,8.52890901191305e-05,0.08528909011913051
RAI,25,1.8760212129399094,-0.01067606417323877,-0.08134502046194321,0.13124422506271916,-0.0014011717691365818,-1.4011717691365817
ANDV,25,0.8819782580452641,0.005182234152108432,0.08504341176900852,0.060936338798168246,0.00031578637602431756,0.3157863760243176
SNA,25,0.6826965970453077,0.00970302751732504,0.4531600715945255,0.021411920699860396,0.00020776045574952704,0.20776045574952703
STI,25,0.8995395486024012,-0.0011955736222383452,-0.03284937007411971,0.03639563314427982,-4.3513658951964597e-05,-0.043513658951964594
PSA,25,0.2813530246480283,0.010922009952960927,0.34778867901633653,0.03140415606353849,0.0003429965050903056,0.3429965050903056
HAL,25,0.8325614655500483,-0.009637674197685072,-0.2470730556998368,0.03900738658202234,-0.00037594048318068357,-0.37594048318068357
AVB,25,0.23294203193992835,0.0018463894701178682,0.05421130179812388,0.03405912436844981,6.288640859534061e-05,0.0628864085953406
DFS,25,0.6831488777682287,-0.0026858933918715803,-0.09437349943527763,0.02846025004841105,-7.644119753604007e-05,-0.07644119753604006
LMT,25,0.4648024830968214,0.006499942050268451,0.2744316930000755,0.023685099848386175,0.0001539517764693322,0.1539517764693322
ITW,25,0.6967216987809689,-0.0008940338475926497,-0.03086814228007167,0.02896299490526302,-2.589389777295861e-05,-0.02589389777295861
EFX,25,0.7322986066693856,0.010571168090665318,0.3805929551241787,0.027775522243222262,0.00029361971443911595,0.29361971443911594
ABC,25,0.6594185310789216,-6.90022473623117e-05,-0.0019218506295356759,0.03590406366751969,-2.4774610824983824e-06,-0.0024774610824983825
GOOGL,25,0.6545731921725589,0.01599462551371484,0.30035253561662467,0.05325283996979691,0.0008517592328586871,0.851759232858687
MCHP,25,0.8014701326033591,0.0019119322304742517,0.041886134507870765,0.04564594591833207,8.72719551917437e-05,0.0872719551917437
CRM,25,1.0111165761152494,0.011119077257084645,0.2925272215751864,0.038010401894261935,0.000422640595235135,0.42264059523513503
EOG,25,0.8210943142444367,-0.009157660464755328,-0.1740245085732136,0.052622820428207796,-0.0004819019221793176,-0.4819019221793176
SPGI,25,0.8193378385361513,0.00040459245563567096,0.01242206485341737,0.03257046718157856,1.3177765298195901e-05,0.013177765298195901
KMX,25,0.7055391315719344,-0.010532641879802667,-0.2432895891189052,0.043292612388173134,-0.0004559855823257361,-0.4559855823257361
RTN,25,0.4585394890502367,0.006489840773320098,0.17918137427234265,0.036219393894456976,0.0002350580992811879,0.2350580992811879
TSCO,25,0.7452275174268124,0.0050199842984606745,0.14338438814867266,0.035010675592209835,0.00017575304175139375,0.17575304175139375
ICE,25,0.46526761574770215,0.009761205970144763,0.24815959342634591,0.039334388952574996,0.00038395107227587127,0.3839510722758713
UNH,25,0.6210586489933935,0.004171866508955732,0.14319163219629372,0.02913484848916831,0.0001215466986554608,0.1215466986554608
BAX,25,0.6247685404099202,0.000740950437409965,0.019377961657527944,0.03823675836008896,2.8331542832047054e-05,0.028331542832047054
MKC,25,0.5380866564351735,0.007806247609779404,0.3647672535695664,0.021400626107164082,0.0001670585863968323,0.1670585863968323
CVX,25,0.42995104426319003,-0.005531632309777272,-0.11865809399765695,0.046618246791377764,-0.0002578750001763559,-0.2578750001763559
AZO,25,0.38707439357974865,0.008847395335954545,0.3600546156425162,0.02457237027823237,0.00021740147419298115,0.21740147419298114
AMZN,25,0.7604644196243948,0.02916897446265095,0.488283113466967,0.05973783171722212,0.001742491287813792,1.742491287813792
MCD,25,0.43429202054542304,0.014635460918031237,0.5490767601558886,0.026654671951287973,0.00039010340962601853,0.3901034096260185
PWR,25,0.35992313668652476,-0.014504207880257596,-0.21082127388300406,0.0687985970918037,-0.0009978691540896067,-0.9978691540896067
