Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HSIC,25,0.9050215337633131,0.00568030374590997,0.3043061765998385,0.01866640963183455,0.00010603087655439973,0.10603087655439973
SEE,25,1.0149142572634768,0.004792649864775342,0.12930172615573798,0.0370656294178379,0.00017764258381721375,0.17764258381721376
TAP,25,1.16960561203321,0.010361835239453838,0.2309305627056572,0.044869917251537536,0.00046493468976835936,0.4649346897683594
V,25,0.8824809253700495,0.00976765942273393,0.4464959963802283,0.021876253095035502,0.0002136797896778358,0.2136797896778358
WELL,25,0.09835445876820656,-0.006953832707665794,-0.16385624380867925,0.04243861903599586,-0.0002951110571206762,-0.2951110571206762
CVC,25,0.16577669777979148,0.02088876321468341,0.329686220712646,0.06335952764277043,0.0013235021703240197,1.3235021703240197
THC,25,0.9534483604953325,-0.016348482004576545,-0.21927016199565025,0.07455862601543048,-0.0012189203556992178,-1.2189203556992179
VAR,25,0.8024297611084552,-0.0016224202559736159,-0.05943835297557048,0.027295848130927187,-4.428533691159583e-05,-0.04428533691159583
O,25,0.18385403208941878,0.002621906311343394,0.0686197383207736,0.03820921465900798,0.00010018098106592755,0.10018098106592754
RAI,25,2.563873684220173,-0.005731020363064266,-0.04501805461644666,0.12730493158561598,-0.0007295871552356685,-0.7295871552356684
ANDV,25,0.9661670345847055,0.006610050399157594,0.10328295893438737,0.06399942901865123,0.00042303945133059367,0.4230394513305937
SNA,25,0.9550225990279873,0.01158510977635532,0.698658149477035,0.016581943236512874,0.00019210363270029426,0.19210363270029426
STI,25,1.2425903429679082,0.0012251566772119404,0.037769517958870326,0.03243771018063013,3.974127722126474e-05,0.03974127722126474
PSA,25,0.41478953836650867,0.011777177664804303,0.38515609040344384,0.03057767476159582,0.00036011870824391657,0.36011870824391656
HAL,25,1.0571647092015304,-0.0077455931090664966,-0.19813933267794862,0.03909164830819339,-0.00030278800175799367,-0.30278800175799364
AVB,25,0.27136292257209416,0.0022841926077497667,0.0665872880879899,0.03430373384078031,7.83563352573259e-05,0.0783563352573259
DFS,25,1.0396735381028668,-0.00048748343211973966,-0.023506874035159924,0.020737909744638794,-1.0109387417305912e-05,-0.010109387417305913
LMT,25,0.5881361142792746,0.007548535858295668,0.31732436111379775,0.023788075494111337,0.00017956514086714387,0.17956514086714387
ITW,25,1.084164885074653,0.0014374392711716108,0.07336633242228417,0.019592628167617185,2.816321315359602e-05,0.028163213153596017
EFX,25,0.9787746335332933,0.012418852830323096,0.48074839417557585,0.025832333463369953,0.00032080794754542195,0.32080794754542197
ABC,25,0.880570783452521,0.0015918193218855238,0.045832262204105335,0.03473141506296715,5.5286137573657035e-05,0.05528613757365704
GOOGL,25,0.9262234908432595,0.017838712681166193,0.3468938777356743,0.05142412082221557,0.0009173401162290793,0.9173401162290793
MCHP,25,1.3485814225655486,0.0049742627691994785,0.1452117392370387,0.03425523855946427,0.00017039455781638947,0.17039455781638946
CRM,25,1.2994091336198617,0.01347514475033464,0.35916714901920477,0.03751775402380723,0.0005055571661782523,0.5055571661782523
EOG,25,1.1785318443306758,-0.006781890221070207,-0.13779688983289243,0.049216569614123136,-0.00033378137218064276,-0.33378137218064274
SPGI,25,1.1893609295802183,0.002825345654163764,0.10846871490831016,0.02604756271476122,7.35933681177087e-05,0.07359336811770871
KMX,25,0.9335887771601128,-0.008787800104244913,-0.20723181580013045,0.04240565122838335,-0.00037265238628536064,-0.3726523862853606
RTN,25,0.6584116847881194,0.007817568435691005,0.22536798937281532,0.03468801606406836,0.0002711759394792033,0.2711759394792033
TSCO,25,1.055232590350066,0.007122214554621207,0.2279976277121758,0.03123810815967037,0.0002224845085936358,0.2224845085936358
ICE,25,0.7484474715683294,0.01140983323984118,0.31618792722661926,0.03608560687285029,0.00041173075677768855,0.41173075677768856
UNH,25,0.8651665246230579,0.005870406670011527,0.22119619816188144,0.026539365137348774,0.00015579686612016364,0.15579686612016364
BAX,25,0.8140675644794592,0.002238627145325617,0.0592669000352977,0.03777196283241326,8.45573413288706e-05,0.0845573413288706
MKC,25,0.6886923089078374,0.009049520332911546,0.4256555990652086,0.021260193341249102,0.0001923945519232644,0.19239455192326438
CVX,25,0.9449381023066732,-0.003058224811528041,-0.07952347869897529,0.03845687917029525,-0.00011760978205253283,-0.11760978205253284
AZO,25,0.5146429789948441,0.009813862662655893,0.4082125282964129,0.024041061903739055,0.00023593567978770372,0.23593567978770372
AMZN,25,1.1987868378077318,0.031771626105616624,0.5816651834890433,0.05462184605074459,0.001735424869922809,1.735424869922809
MCD,25,0.7092127035062684,0.01621405760683115,0.7404255038464272,0.021898297023266948,0.00035506024942674936,0.35506024942674935
PWR,25,0.6258598934462134,-0.013053074769813182,-0.1941413617599608,0.067234898588752,-0.0008776221584197867,-0.8776221584197867
DOV,25,1.027477585691374,-0.003247855409160309,-0.11202690843268208,0.028991743631950468,-9.416099137601927e-05,-0.09416099137601927
JPM,25,1.1560922459742433,0.007078929968488787,0.2898000502483718,0.024426945276309727,0.00017291663495510454,0.17291663495510454
SYY,25,0.4724147998911049,0.00217275686670564,0.07406323814729762,0.02933650919211015,6.374110179233046e-05,0.06374110179233046
GE,25,1.285128211237757,0.013052826553722197,0.4966919743899776,0.026279519756189522,0.0003430220132926577,0.3430220132926577
PBI,25,0.9656333045606772,-0.004241501672410027,-0.15040674139159185,0.02820020986537468,-0.00011961123730630044,-0.11961123730630044
ROST,25,0.7899891195206947,0.009274719625424262,0.21844297228852788,0.04245831087288931,0.00039378892911515076,0.3937889291151508
