Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PFG,25,0.26538729913916215,0.011441259218550022,0.43747940359717086,0.02615268084502804,0.00029921960080797367,0.29921960080797366
VRSK,25,0.3322659632311114,0.0027513844487495505,0.11463197817930178,0.024001892774160875,6.603843451938043e-05,0.06603843451938043
DOV,25,-0.07362924928321836,0.016768287507598605,0.49953965403706047,0.03356748032330298,0.0005628691609668033,0.5628691609668033
VRTX,25,0.4925790846973661,0.007029564466800825,0.06220580786974852,0.11300495415990558,0.0007943756103349284,0.7943756103349284
LLTC,25,0.05914374027880768,0.005600862218009109,0.16933766789438845,0.033075111330234115,0.00018524914140595326,0.18524914140595325
GLW,25,0.29346706195745137,0.0005933905654222412,0.010063213410881944,0.05896631038158975,3.499005225819491e-05,0.03499005225819491
HOG,25,0.3156642549981741,0.0031396645048095114,0.06519085596147114,0.048161117974353705,0.0001512097526160217,0.15120975261602168
ADBE,25,0.12193832481996976,0.011858713139343696,0.35150514521161613,0.03373695463889842,0.000400076867257747,0.400076867257747
BEN,25,0.19480990826382205,0.006488214298071935,0.18444083265893463,0.03517775432119117,0.00022824080856081436,0.22824080856081436
INTC,25,0.1651319992832534,-0.004690958770099623,-0.11290709050776827,0.04154706979874638,-0.00019489559144437053,-0.19489559144437052
PNW,25,0.10655342398687777,0.002769790614561271,0.10276277926401146,0.02695324741505195,7.465485172215874e-05,0.07465485172215874
ETR,25,-0.05348006645838753,0.0037870323090225767,0.12265655789169536,0.030875090367092253,0.00011692496476417009,0.1169249647641701
AAPL,25,0.04250817514429114,-0.01527577776639793,-0.24521338504898413,0.062295856171743734,-0.0009516176546470462,-0.9516176546470462
MPC,25,0.15853117253949509,0.016891662042098795,0.2969769167150598,0.056878703668089545,0.0009607758397540537,0.9607758397540537
CAH,25,0.07373546448724368,0.004595940176007696,0.1248432391964821,0.03681368895575086,0.00016919351209878616,0.16919351209878616
TPR,25,0.09842428729486263,-0.0015314636968932589,-0.024830944403319847,0.06167561217238702,-9.44539610256787e-05,-0.0944539610256787
TXN,25,0.1718231483105403,0.0063288805780823305,0.16538123400246493,0.03826843242678913,0.0002421963387395618,0.24219633873956178
DFS,25,0.1480421496663085,0.011150544599284174,0.3220852852800441,0.03461985104221414,0.0003860301930667835,0.38603019306678354
ROP,25,-0.1397201198031729,0.011546442381396248,0.48207083687514685,0.023951754593250163,0.00027655755434430595,0.27655755434430596
CHRW,25,0.28157753874222113,-0.004776679082579855,-0.1343059159252075,0.035565664026593585,-0.0001698857634138924,-0.1698857634138924
EXPE,25,-0.4131231203775638,0.015813976000597505,0.2959655582404963,0.05343181177773176,0.0008449693891214932,0.8449693891214931
BBBY,25,0.04005429770303096,0.004927278065192468,0.12427303433682335,0.03964881111567472,0.00019536071732122333,0.19536071732122334
FRT,25,0.08559813198373152,-0.0003226729972516841,-0.012130680691024529,0.026599743697023476,-8.583019024845158e-06,-0.008583019024845158
ORCL,25,0.13565465579299268,-0.0002880230120209063,-0.007389619020139391,0.038976706544131594,-1.1226188417495751e-05,-0.011226188417495751
DHR,25,0.02178914647356039,0.007556972705993683,0.2948686304593625,0.02562826942364475,0.00019367213253633584,0.19367213253633583
VMC,25,0.5032382229657243,0.00047915941086189035,0.008613761338873798,0.05562719838770664,2.6654295607351012e-05,0.02665429560735101
CNP,25,0.09946050565980304,0.00515313212839196,0.1906028923111115,0.02703595976907193,0.00013931987290791704,0.13931987290791703
ZION,25,0.34022962848849686,0.010969969315320478,0.29668121117278545,0.03697561187631673,0.00040562132769839397,0.405621327698394
BLK,25,0.4341402455679574,0.011272122650449946,0.3801104726521801,0.029654859472300035,0.0003342732131536234,0.3342732131536234
ALB,25,0.10945917931376717,0.0006880617566193453,0.015268825129253068,0.04506317616416401,3.1006248150361703e-05,0.031006248150361702
NSC,25,0.24224105826579864,-0.00198256311447031,-0.04828558028083556,0.041059113361368985,-8.140228366310522e-05,-0.08140228366310522
BBY,25,0.34635833398221666,0.006943335013850239,0.06692019291631625,0.10375545423984184,0.00072040887830143,0.7204088783014301
GOOG,25,0.0037212512842467282,0.01663111124669972,0.4001274807658206,0.04156453142100799,0.0006912643459797298,0.6912643459797299
SLG,25,0.11394273149143867,0.002686017168744825,0.10207355489624524,0.02631452555439146,7.068126742646991e-05,0.07068126742646991
SWKS,25,-0.06456891478255752,-0.00790579826106208,-0.09878237282136054,0.08003247983685348,-0.0006327206399226823,-0.6327206399226822
DLR,25,0.05164141776605785,-0.0072581194534071984,-0.16269214848166325,0.04461259821782518,-0.00032380356699183624,-0.32380356699183627
WHR,25,0.07744191046155982,0.02474367215691906,0.4958144605107642,0.04990510387984513,0.0012348355293598772,1.2348355293598772
FDX,25,0.1617580292384618,0.0007734124180460203,0.021367038322439184,0.0361965194415269,2.7994837626121106e-05,0.027994837626121104
ADI,25,-0.0048408561255789415,0.008440613073108385,0.2801442596899334,0.030129523562076713,0.0002543116504645918,0.2543116504645918
CVS,25,0.24831677120249124,0.004991232598992576,0.20924304998574364,0.023853755712950293,0.0001190596431228829,0.11905964312288289
LKQ,25,0.03734499263889043,0.016785010670572226,0.32396336762476363,0.05181144644111048,0.0008696556813718207,0.8696556813718207
AVB,25,0.03146378775794018,-0.0011363797678033975,-0.03261955610853069,0.0348373768184482,-3.958849017982763e-05,-0.03958849017982763
FITB,25,0.12820045306126093,0.011057963668629055,0.3236549852612441,0.03416589940582382,0.0003778052743356348,0.3778052743356348
GPN,25,0.15207739081947122,0.0005659367127473277,0.017700403462518915,0.03197309676842757,1.8094749281476105e-05,0.018094749281476103
PPG,25,0.2809042367207816,0.009440033476176198,0.23306114110774917,0.04050453641180735,0.00038236417966445915,0.3823641796644591
KMI,25,0.11306091897569112,0.006662643907372402,0.23376916081731366,0.028500953179958315,0.00018989170205875537,0.18989170205875536
PG,25,-0.08117367583490763,0.011636547490454669,0.4561862481495599,0.02550832590341401,0.0002968288457770721,0.2968288457770721
MDLZ,25,0.11981949497424436,0.0033450068729782524,0.09838602576736197,0.033998800611050865,0.00011372622171698235,0.11372622171698235
DVA,25,0.06383942065272875,0.007331844638738323,0.19023958907998148,0.038540057167889656,0.00028256971152306024,0.28256971152306026
CAT,25,0.029293323564211132,-0.000604667507628836,-0.017011709483638688,0.03554419432158688,-2.1492419391108966e-05,-0.021492419391108967
JCI,25,-0.004478800895559695,0.009941002479237768,0.3573026196268854,0.02782236102723987,0.0002765821599500398,0.2765821599500398
BKNG,25,0.04832611927069849,0.008015017264082176,0.12819265020918214,0.06252321994282382,0.0005011246872477399,0.5011246872477398
HST,25,0.20310484020937677,0.00046662918840759127,0.012929082270318745,0.03609143933431613,1.6841319045033753e-05,0.01684131904503375
AVY,25,0.062336723547973566,0.018162850210365237,0.47613623831281376,0.038146330291357784,0.0006928460831570495,0.6928460831570495
