Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PFG,25,1.1412986826340745,0.0018574557298338297,0.05312490069219243,0.03496393792048656,6.494396682796208e-05,0.06494396682796208
VRSK,25,0.7393869139100218,-0.007471953974303925,-0.3152409442049984,0.023702358820004613,-0.00017710293418551115,-0.17710293418551115
DOV,25,0.8228755845371676,0.0059787138979800255,0.1740165320718363,0.03435716036170595,0.00020541163214965978,0.2054116321496598
VRTX,25,1.3526414911655424,-0.006929079809536536,-0.09051130841188264,0.07655485188662749,-0.0005304546785296905,-0.5304546785296905
LLTC,25,0.6718711889035515,0.0031086308550780034,0.1061340099914128,0.02928967684655955,9.105079318047881e-05,0.0910507931804788
GLW,25,1.0375848414159579,0.007905425411359074,0.23085274702857267,0.03424445025287318,0.00027071694722708534,0.27071694722708534
HOG,25,0.6956367161194226,0.0032189738464903327,0.09402432366630252,0.03423554375051553,0.00011020331995328505,0.11020331995328504
ADBE,25,1.2989423596397163,0.006295733418103872,0.1879926229806882,0.03348925781385906,0.0002108394395662087,0.2108394395662087
BEN,25,1.2827063008307047,-0.002512524981198706,-0.08468498391648929,0.02966907313433975,-7.454428741904001e-05,-0.07454428741904001
INTC,25,0.5378259574522833,0.005880070601433311,0.1691763394492087,0.03475705066427842,0.0002043739118035517,0.20437391180355172
PNW,25,0.5400363513678876,-0.002976549687135046,-0.11134618433646788,0.02673239056077984,-7.95702887600611e-05,-0.0795702887600611
ETR,25,0.22533524659377846,0.005774274412195288,0.18898548619027095,0.03055406279391073,0.00017642754297948678,0.1764275429794868
AAPL,25,0.9375254041353609,0.01086752816272034,0.2653466143041551,0.04095597070729296,0.00044509016509305553,0.44509016509305555
MPC,25,0.5907563718786552,0.00036771766334689135,0.006560051430179714,0.05605408238953664,2.0612076197334543e-05,0.02061207619733454
CAH,25,0.6104534233080171,0.010040087243710567,0.26306372620380725,0.03816598885979461,0.00038318985789482347,0.38318985789482346
TPR,25,0.28380003799548364,-0.02194829230242034,-0.4370316333593213,0.050221289781041456,-0.0011022715479188535,-1.1022715479188534
TXN,25,0.64565024156559,0.007555189856243275,0.3671765814128771,0.02057644805987158,0.00015545897165945838,0.15545897165945838
DFS,25,1.0282461618794507,0.0011480545021856949,0.06598307757359925,0.017399226353228596,1.9975260149372077e-05,0.01997526014937208
ROP,25,0.872040204591797,-0.001699105691198465,-0.0695346579853613,0.02443537856411355,-4.151829078487431e-05,-0.04151829078487431
CHRW,25,0.05482483862683084,0.005423321786882826,0.1476723795940761,0.03672536327910832,0.00019917346280277464,0.19917346280277465
EXPE,25,1.340938044894437,-0.0026164607948771235,-0.028723906424483896,0.09109000552400091,-0.000238333428258689,-0.238333428258689
BBBY,25,0.8962077620427651,-0.01757806598701874,-0.3936521123314363,0.04465380836625321,-0.0007849275900336885,-0.7849275900336885
FRT,25,0.336368062651162,0.00363374303133359,0.2000053421627439,0.01816822986846432,6.6018678676199e-05,0.066018678676199
ORCL,25,0.7490605325267944,0.004071755674423475,0.1466025738409937,0.027774107696361,0.00011308938061470661,0.11308938061470661
DHR,25,0.8585406979768897,0.0008148441163169946,0.04209760710681828,0.019356067299725915,1.577217755421744e-05,0.01577217755421744
VMC,25,0.8210389392376105,0.0027420550433026342,0.08633463974271831,0.03176077471886256,8.708979249705589e-05,0.08708979249705588
CNP,25,0.40519425834817957,0.00035670079723384073,0.013195450312680898,0.027032104913543523,9.642373373569797e-06,0.009642373373569798
ZION,25,0.8620072263785814,-0.006890300627188171,-0.2479550413426922,0.02778850790803348,-0.00019147117346734652,-0.19147117346734652
BLK,25,1.2608368425711292,-0.0029430695455355295,-0.10539432888449991,0.027924363451858933,-8.218334365363141e-05,-0.08218334365363142
ALB,25,0.49819389304348144,0.0010988958743118294,0.04265289984956005,0.025763684958999666,2.831160710851447e-05,0.02831160710851447
NSC,25,0.4475236337828639,0.010120419602782014,0.4514733326543503,0.022416428326521437,0.00022686366066008556,0.22686366066008556
BBY,25,1.6889363370398944,-0.011230251120261436,-0.09764168639013833,0.11501492380405748,-0.0012916464768973003,-1.2916464768973004
GOOG,25,1.116739269972903,6.082300063099677e-05,0.001823407934130557,0.033356770853362874,2.028858894662105e-06,0.002028858894662105
SLG,25,0.7225207364676037,0.0022870853708249145,0.11980538268827327,0.01909000513587757,4.3660471475238074e-05,0.04366047147523808
SWKS,25,0.3767600470087051,0.026508667511654142,0.5236072282380829,0.0506270083414523,0.0013420545312332998,1.3420545312332999
DLR,25,0.9221305607785072,-0.008628863210252758,-0.16998190161250662,0.050763423213862194,-0.00043803063499658635,-0.43803063499658634
WHR,25,1.409769964917767,-0.005253337870213247,-0.10679991490413585,0.04918859602958177,-0.0002584043143048229,-0.2584043143048229
FDX,25,0.8714163313232197,0.009013568429310458,0.2538117368245978,0.03551281174810085,0.0003200971588087274,0.32009715880872736
ADI,25,0.7646999694751965,0.0006965419938234907,0.02549481988145551,0.027320922330976858,1.9030169713515352e-05,0.01903016971351535
CVS,25,0.7465921559214203,0.004572195504826773,0.1955483908739527,0.023381401833032393,0.00010690434035753917,0.10690434035753917
LKQ,25,1.0014222693342363,-0.008736020336446396,-0.16831266014250024,0.05190352483913053,-0.00045343024852789493,-0.45343024852789493
AVB,25,0.5660985452637958,-0.0021947252696788155,-0.07670429592910075,0.028612807706460693,-6.279725210983003e-05,-0.06279725210983003
FITB,25,0.7902040690579857,-4.5548273991263995e-05,-0.0016122700105140409,0.028251021041284404,-1.2867852469213863e-06,-0.0012867852469213863
GPN,25,0.8024263451133584,0.010026659152288443,0.2840364989395728,0.03530060111894831,0.0003539470952905867,0.3539470952905867
PPG,25,0.9619020686585297,0.00429528952665224,0.21028372798558725,0.020426162156239863,8.773628037939742e-05,0.08773628037939742
KMI,25,0.5924775031293074,-0.006174504016496252,-0.2212172484938081,0.027911494508390818,-0.0001723396349484722,-0.1723396349484722
PG,25,0.5176019059984752,-0.002903619541802566,-0.136787801480627,0.021227181885906693,-6.163566014131612e-05,-0.06163566014131613
MDLZ,25,0.9701189046810843,0.002402958967291745,0.11061594759233061,0.02172344060322773,5.220053639795567e-05,0.05220053639795567
DVA,25,0.3979060359356622,0.0029870731743434254,0.11830864887653564,0.02524813868393232,7.541803776487674e-05,0.07541803776487674
CAT,25,0.5787949326849235,0.006461459071305595,0.22728096042342646,0.02842939003455388,0.00018369534013045304,0.18369534013045305
JCI,25,0.8615517691484759,0.0054310369465352636,0.32422396723909097,0.01675088054958713,9.097465115180661e-05,0.09097465115180661
BKNG,25,1.3688079544677692,0.0023421693728471766,0.056787409548566814,0.04124451866120186,9.660164840609083e-05,0.09660164840609083
HST,25,0.79534161222531,0.0039878548885221065,0.16892543390420156,0.023607190441101003,9.414204980481698e-05,0.09414204980481698
AVY,25,0.559653362720426,0.0030168158446450197,0.11357750878961298,0.026561736357796545,8.013186710548431e-05,0.08013186710548431
LLY,25,0.5345932858855694,0.006296561305969095,0.18177453983086436,0.03463940171064579,0.00021810911647317195,0.21810911647317194
COF,25,0.8849279314696501,0.003082954212946085,0.14979697576315296,0.020580884208374183,6.344992367636274e-05,0.06344992367636274
EMN,25,0.9850070270149414,-5.527077099734892e-05,-0.0021686301633336525,0.02548649001191878,-1.4086579529749835e-06,-0.0014086579529749834
PKI,25,0.4232953013520288,0.010766126433490177,0.3747728847810945,0.02872706876800516,0.00030927925441991046,0.30927925441991044
HON,25,0.6463601816124235,0.0009594410415743994,0.08423841784247756,0.011389590001185865,1.0927640093843132e-05,0.010927640093843132
MJN,25,0.5486105926104062,0.0008802831935208512,0.022522570485458533,0.039084490559778556,3.440542016709743e-05,0.03440542016709743
MMM,25,0.9643274759361725,0.002593664952734699,0.11829934454660268,0.021924592758102344,5.6865047839671046e-05,0.05686504783967104
