Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PFG,25,0.8087181195789069,0.0002222496311926423,0.005102999790963913,0.043552741582742895,9.679580754193064e-06,0.009679580754193064
VRSK,25,0.27452779893048246,0.015978568121296777,0.526512035875962,0.030347963640969984,0.00048491700437987663,0.4849170043798766
DOV,25,0.8805816010804105,0.0039778699359627676,0.13655633292673178,0.029129882523259192,0.00011587488392739998,0.11587488392739997
VRTX,25,-0.21337580723641594,0.0018801175102086782,0.013051981120784012,0.1440484392989792,0.0002708279930442427,0.2708279930442427
LLTC,25,0.6444834458804919,-0.0004924616422670829,-0.013852950998065537,0.03554922285770386,-1.750662866982336e-05,-0.01750662866982336
GLW,25,0.5858217722379998,-0.011247504802490775,-0.19694824106950917,0.057108937563556,-0.0006423330495112419,-0.6423330495112419
HOG,25,0.9531918185891053,0.019489022586947426,0.5635330352243686,0.03458363816983319,0.0006740013054306962,0.6740013054306961
ADBE,25,0.6897348707915414,0.0025801594078080944,0.06701223350846812,0.03850281169157044,9.934339181306896e-05,0.09934339181306896
BEN,25,0.85974880643401,0.0019580839392462825,0.06304548264914839,0.031058275025716408,6.081470950854922e-05,0.06081470950854922
INTC,25,0.31100775101419365,0.010470307882347341,0.25192880788699445,0.04156058201586822,0.0004351520894756882,0.43515208947568823
CCEP,25,0.4790836740298914,0.0027267210852779155,0.10501819020452278,0.025964274188763202,7.079733389443777e-05,0.07079733389443776
PNW,25,0.17059113025294229,0.007225529593965274,0.3165756281161954,0.02282402355785022,0.00016491565767060736,0.16491565767060737
ETR,25,0.13870829979142626,0.0015391254466131745,0.06888265000159625,0.022344167168038796,3.4390476271707146e-05,0.034390476271707146
AAPL,25,0.3936145026750129,0.02309632165598538,0.4832620220555698,0.047792544420818484,0.0011038319787011932,1.1038319787011932
CAH,25,0.28404219182124574,0.0002782751866422051,0.008312815006208295,0.033475445614317124,9.315385876255084e-06,0.009315385876255083
TPR,25,0.9074986646086911,0.011930244765151098,0.2721180013196168,0.043842174010158205,0.0005230478669775335,0.5230478669775335
TXN,25,0.5934150714325479,-0.0006175098287715423,-0.014949161821611087,0.041307321182305096,-2.5507676830296322e-05,-0.02550767683029632
DFS,25,0.461952231249756,0.018029421415638736,0.3718031679941506,0.04849184452328923,0.0008742799001320148,0.8742799001320147
ROP,25,0.6126787905900389,0.014611251790313936,0.5484227376466033,0.02664231584017445,0.00038927758501785826,0.38927758501785825
CHRW,25,0.2961120265508187,-0.007354241467560452,-0.1699421175165974,0.043274978416355206,-0.000318254640777343,-0.318254640777343
EXPE,25,0.16412969897053653,0.005714001646395027,0.05653608643126545,0.10106822044256468,0.0005775039780070301,0.5775039780070301
BBBY,25,0.34592759703284703,0.015804492493085635,0.4111699659419749,0.03843785733930769,0.000607490827769385,0.607490827769385
FRT,25,0.25862398179957913,0.00942047306225267,0.5040070476401066,0.018691153439940572,0.00017607950748339148,0.1760795074833915
ORCL,25,0.3987680061051474,-0.005423912449162616,-0.10207694594888057,0.053135528289403114,-0.0002882024533817259,-0.2882024533817259
DHR,25,0.5467936595567456,0.004890592573494563,0.16948357012775786,0.02885585056892536,0.0001411222084942552,0.14112220849425522
VMC,25,0.38819758115216607,7.663154393891362e-05,0.0011702417729267253,0.06548351435726087,5.018102807742917e-06,0.005018102807742918
