Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PFG,25,1.2886909697341957,0.00402910173139584,0.12949992389985426,0.03111277296588723,0.00012535652742538193,0.12535652742538192
VRSK,25,0.21143539349284354,0.0005006755423943421,0.016125641640741255,0.031048410571731355,1.5545179803483823e-05,0.015545179803483824
DOV,25,1.1333579195462815,0.00804875617147953,0.2889473986730255,0.027855437385638303,0.0002242016235669179,0.2242016235669179
VRTX,25,0.3926600421964721,-0.005465333781214195,-0.07708415387396753,0.07090087270270888,-0.0003874969346996822,-0.3874969346996822
LLTC,25,0.6085140134830311,0.00588137683712254,0.18587000311024832,0.03164242071720425,0.0001861010002766515,0.1861010002766515
GLW,25,1.3426615682099863,0.008923010809751657,0.3057560603690205,0.029183430735542488,0.0002604040679188844,0.2604040679188844
HOG,25,0.9135984059913551,0.007694330073430537,0.2501161838686817,0.0307630236253336,0.00023670085783005843,0.23670085783005843
ADBE,25,0.8236327081666517,0.01367013599146173,0.3154733468514746,0.04333214240725589,0.0005923562795085739,0.5923562795085738
BEN,25,1.3045066360497304,-0.0019699771168176523,-0.05424414343355506,0.03631686283756557,-7.154338874460957e-05,-0.07154338874460957
INTC,25,0.8248738077112231,0.002460441403988712,0.09666851884256114,0.025452354431910785,6.262402667326889e-05,0.06262402667326888
CCEP,25,0.7533202352143423,0.006394654107140856,0.19661491761592054,0.032523748374131814,0.00020797812112025772,0.20797812112025774
PNW,25,0.5063577578301788,-0.0015231129696556978,-0.055371373092854614,0.02750722773483556,-4.189661532220096e-05,-0.04189661532220096
ETR,25,0.30257573629561046,0.00448193946967544,0.1532677651666502,0.029242544672078725,0.00013106331515953687,0.13106331515953687
AAPL,25,0.7338744790629746,0.011897725109260909,0.2383338092841531,0.049920425243050036,0.0005939394968792186,0.5939394968792185
CAH,25,0.5537970375925588,0.015278148521635969,0.40920899818297457,0.037335807837745705,0.0005704220173203392,0.5704220173203391
TPR,25,0.7813242172157093,-0.016480147263967685,-0.39900908019073233,0.041302687287442,-0.0006806743688946501,-0.6806743688946502
