Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PFG,25,0.8552782839344426,0.0019710453265346173,0.05037830961888012,0.03912488016064626,7.711691219186878e-05,0.07711691219186878
VRSK,25,0.29564149357236746,0.016620063956847193,0.5640612525595811,0.02946499849338904,0.000489710159448532,0.489710159448532
DOV,25,0.7930862743570858,0.0046364121723986625,0.13227089914399695,0.03505239778669097,0.00016251736376997393,0.16251736376997394
VRTX,25,0.004816506235293371,0.0034961976812922474,0.024184647545382628,0.14456268898405952,0.0005054197380274413,0.5054197380274412
LLTC,25,0.6056923130397113,0.00021707258268691045,0.005875303723385902,0.03694661466144815,8.02009706609862e-06,0.00802009706609862
GLW,25,0.6304984454779127,-0.009882011295559412,-0.17974510476861102,0.05497791613452113,-0.0005432923882476558,-0.5432923882476558
HOG,25,0.8469929750606535,0.020098306775836662,0.4862606270916293,0.041332375388989505,0.0008307107603419523,0.8307107603419522
ADBE,25,0.6544514236516202,0.0033956810681201213,0.08567843876500039,0.03963285415872045,0.00013458053254233285,0.13458053254233285
BEN,25,0.7332363780840049,0.0022306927522593115,0.056869317988619876,0.039224890171985105,8.749867821481468e-05,0.08749867821481468
INTC,25,0.3693200663816963,0.011507061299928756,0.2897900189322086,0.03970827339854184,0.00045692553611135134,0.45692553611135134
CCEP,25,0.4336487536639265,0.0031045386099365674,0.11114242002288996,0.027932976529548147,8.671900412643416e-05,0.08671900412643416
PNW,25,0.1919164183549688,0.007698115360737765,0.3477608730242864,0.022136231985477435,0.00017040726747625848,0.17040726747625848
ETR,25,0.18324988007832227,0.002168581303687588,0.10253785127733694,0.02114908081916176,4.5863501254611966e-05,0.045863501254611964
AAPL,25,0.33615764928737457,0.02322530852011432,0.47375209594083184,0.04902418104133304,0.0011386017296308993,1.1386017296308992
CAH,25,0.2741256978979395,0.0006557054797823819,0.019531917332194917,0.033570973531695594,2.2012671306362104e-05,0.022012671306362103
TPR,25,0.7987907180392239,0.012441816646215464,0.2524879057672219,0.04927688163284163,0.000613093926173078,0.613093926173078
TXN,25,0.6337363891628226,0.0007212044516042345,0.018730027093504204,0.038505254050292155,2.7770160631222682e-05,0.027770160631222684
DFS,25,0.4324002647352993,0.018522250783379414,0.37740202057546773,0.049078303171605796,0.0009090406393672078,0.9090406393672078
ROP,25,0.5995289297512414,0.015499643047211291,0.583300635955511,0.026572306100474518,0.00041186125949859,0.41186125949859
CHRW,25,0.38738721714759033,-0.006044845598781826,-0.14899531179154915,0.04057071008542084,-0.0002452436782993096,-0.2452436782993096
EXPE,25,0.18335193725827803,0.006157011584408953,0.06100002408956591,0.10093457627768566,0.0006214553554091197,0.6214553554091197
