Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HSIC,25,0.47624659114052803,0.007788332571533182,0.42051738296586844,0.018520833827612132,0.00014424641335154513,0.14424641335154514
SEE,25,0.9916537660547151,0.009274902452781317,0.17124101885639847,0.05416285487392005,0.0005023551955197596,0.5023551955197596
TAP,25,1.0717877659283839,0.002832946742680994,0.09979860233160298,0.02838663745277615,8.041783210750851e-05,0.08041783210750851
V,25,0.6913652145722455,0.00924814708253855,0.318009263561242,0.029081376369269035,0.00026894884602566096,0.26894884602566094
WELL,25,0.9807189977239523,-0.00956913306715217,-0.25602540784103667,0.037375716526906334,-0.00035765320492612526,-0.3576532049261253
CVC,25,0.79946925467119,0.0023511888440066334,0.03818817237078482,0.061568509254068635,0.00014475919210028533,0.14475919210028534
THC,25,0.6421233759707763,-4.356833226242321e-05,-0.0006659465826809513,0.0654231636522961,-2.8503781316621255e-06,-0.0028503781316621254
VAR,25,0.33756053534560826,0.0038330779810338447,0.08607734188967914,0.04453062672342394,0.0001706893647751936,0.1706893647751936
O,25,1.2393264839837141,-0.008500661393043158,-0.2102820472740731,0.0404250458050931,-0.0003436396261873562,-0.3436396261873562
RAI,25,0.5140375808791706,0.0012821484156228034,0.04974294292926744,0.025775483719287968,3.304799561259643e-05,0.033047995612596436
ANDV,25,0.7896779296264769,-0.008809173916898672,-0.1351021797788113,0.06520378820919849,-0.0005743915103754565,-0.5743915103754564
SNA,25,0.6891469265676272,0.007924867970383949,0.2654477924780027,0.02985471416583987,0.00023659466805783235,0.23659466805783236
STI,25,0.71399373558937,0.006722041723656848,0.17596860144781182,0.03820023383916277,0.0002567835657203003,0.2567835657203003
PSA,25,0.6614566663196684,0.0003325343513309615,0.010408102856183984,0.0319495642890756,1.0624327636174605e-05,0.010624327636174605
HAL,25,0.6201202009358198,0.007139741857023474,0.1857054259433044,0.03844659799656703,0.00027449878497624446,0.27449878497624447
AVB,25,0.5499039382100576,-0.0016782730754655159,-0.04303739341422325,0.03899569519261058,-6.544542530081839e-05,-0.06544542530081839
DFS,25,0.8423463504025911,0.009765019398516957,0.25171616578079103,0.038793771421978915,0.0003788219304772569,0.3788219304772569
LMT,25,0.6904451800950077,0.020075666748177297,0.7107219908180981,0.028246863059729718,0.0005670746094685336,0.5670746094685336
ITW,25,0.7892645110639724,0.006648718699154442,0.3057267143701252,0.021747261153976988,0.0001445914218898418,0.1445914218898418
EFX,25,0.6991730079855718,0.004733724469275328,0.1721921133978056,0.027490948196560398,0.00013013457416163838,0.13013457416163837
ABC,25,0.6582676514912547,0.010351170779804832,0.5318301426467714,0.019463302189473352,0.00020146796490218798,0.201467964902188
GOOGL,25,0.6359362389766332,0.012006155437252065,0.3525454306456476,0.03405562629265718,0.0004088771427826104,0.40887714278261045
MCHP,25,0.36822854853617215,0.007467297029368307,0.2688355423901222,0.02777645010395276,0.00020741500334764344,0.20741500334764346
CRM,25,0.7800265382706836,0.01049266709400467,0.19173319031290018,0.054725355984955426,0.0005742149419510333,0.5742149419510333
EOG,25,0.9802052498447664,0.00854420651202343,0.20682298229021936,0.04131168798269226,0.00035297559348439927,0.3529755934843993
SPGI,25,0.9240286191120415,0.01514652435048483,0.4697153293134646,0.032246178494159373,0.0004884175277718652,0.48841752777186515
KMX,25,0.47640033775494317,0.005550640718712632,0.1360530325907328,0.04079762584498769,0.0002264529632419915,0.2264529632419915
RTN,25,0.5103879450853657,0.01897263503409384,0.5828385865697228,0.032552125873746035,0.0006175996037864666,0.6175996037864666
TSCO,25,0.9270037450455813,0.005464045854144974,0.172704661897565,0.03163809126001371,0.00017287198138233827,0.17287198138233828
ICE,25,0.3101281116399493,0.009756209818047043,0.27853610339336515,0.03502673333614044,0.000341728159668169,0.341728159668169
UNH,25,0.5137200632469007,0.01085973722637758,0.25836182024995846,0.042033057422614,0.00045646795843082765,0.45646795843082766
BAX,25,0.3255221001715494,-0.00040471325338815953,-0.011994387075040585,0.03374188700565928,-1.365578886551603e-05,-0.01365578886551603
MKC,25,0.37929267371921493,-0.003045341767855555,-0.09734332783493643,0.03128454549057018,-9.527213307081052e-05,-0.09527213307081052
CVX,25,0.7778074839603668,-0.005111632956658711,-0.23281008689256222,0.021956234907543504,-0.0001122322139575398,-0.1122322139575398
AZO,25,0.0912767030974909,0.012980197039373321,0.550100161900842,0.02359606111461763,0.0003062815226208317,0.3062815226208317
AMZN,25,0.9338588813914918,0.005285784944935546,0.11799893478861204,0.044795192044781676,0.0002367777517158035,0.2367777517158035
MCD,25,0.4205437363511069,-0.0022205649833678632,-0.1100884535808189,0.0201707346332891,-4.4790427015487196e-05,-0.044790427015487196
PWR,25,1.1912037207264592,-0.0009380295830973221,-0.03016878109762979,0.031092723967260927,-2.9165894900369882e-05,-0.02916589490036988
