Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HSIC,25,0.5510240035735459,0.004397354801680872,0.2755354418610863,0.015959307347102877,7.017873679428366e-05,0.07017873679428366
SEE,25,1.443043230331601,-0.0015397194428561911,-0.03464129108340326,0.04444751897812131,-6.843670915733292e-05,-0.06843670915733292
TAP,25,0.5627777827689344,0.0038000921240456953,0.10641153445756359,0.03571128020488375,0.00013570615464616768,0.13570615464616767
V,25,0.5542747154400318,0.007444021390912698,0.24685359405113277,0.03015561276118491,0.0002244790264503404,0.2244790264503404
WELL,25,-4.6501858246056066e-05,-0.002145990626233068,-0.048116479480183626,0.04459990941600115,-9.571098753758242e-05,-0.09571098753758242
CVC,25,0.7242924892738313,-0.0007931881044641563,-0.012883608363958753,0.061565679587332084,-4.8833164691923535e-05,-0.04883316469192354
THC,25,0.9448466911371814,-0.007178826384503941,-0.11549092694339116,0.06215922388451088,-0.00044623027646241426,-0.44623027646241425
VAR,25,0.8509209915873935,-0.004414838544470121,-0.1136320679519417,0.038852047877341145,-0.00017152551850048423,-0.17152551850048423
O,25,0.04661416279774473,0.0002873733289209671,0.0056595664105269965,0.05077656273923077,1.4591829865537088e-05,0.014591829865537087
RAI,25,0.2952508662974692,0.0014243195497975242,0.05161058856104267,0.027597428929005595,3.930755754773042e-05,0.039307557547730416
ANDV,25,1.0916497127049554,-0.01669138348499733,-0.27290692667909594,0.0611614504919631,-0.0010208692246600347,-1.0208692246600346
SNA,25,0.7179015653296184,0.004026653684911499,0.14265310926729602,0.028226890430874264,0.00011365991236707298,0.11365991236707298
STI,25,1.1787319781762766,-0.0028385216684568594,-0.10506362164407303,0.027017169444938788,-7.668882088982933e-05,-0.07668882088982933
PSA,25,-0.012140630361570797,0.0054928853837472695,0.1529311463934825,0.035917375324019424,0.00019729002593987113,0.19729002593987113
HAL,25,0.7635737887992926,0.0021392754878330218,0.059861352787289886,0.035737172453062994,7.645165703329916e-05,0.07645165703329916
AVB,25,0.37218437617135836,-0.0022413456854420265,-0.05598382915521293,0.040035590978030194,-8.97335991027297e-05,-0.0897335991027297
DFS,25,1.0057479372116067,0.003371982506581871,0.09806464608031397,0.03438530236289489,0.00011594663805120984,0.11594663805120983
LMT,25,0.6135337263513014,0.01751226412833256,0.6157833607555075,0.028439001837994905,0.0004980313117331019,0.4980313117331019
ITW,25,0.6328884897392901,0.0045875127816913195,0.1945967670208076,0.023574455279623385,0.00010814811491668269,0.10814811491668269
EFX,25,0.4347599992487922,0.004505972617258823,0.1489772211956303,0.030246050913661348,0.00013628787719717424,0.13628787719717425
ABC,25,0.43087919727883894,0.009863095681759396,0.4383706887831879,0.022499441532318205,0.0002219141446194057,0.2219141446194057
GOOGL,25,0.708944511089017,0.007818930034456372,0.2434609327029937,0.032115748295415227,0.0002511107889260631,0.25111078892606314
MCHP,25,0.6309256239872679,0.002244408126249542,0.09517251747876074,0.0235825234606242,5.2928807292495425e-05,0.052928807292495425
CRM,25,0.3665746747440829,0.011742489873982444,0.20538998894309765,0.05717167586603087,0.0006713378249354739,0.6713378249354739
EOG,25,0.9772901813132845,0.003555833004687689,0.08942491544934836,0.039763336502138126,0.00014139178431080547,0.14139178431080549
SPGI,25,0.6725274087984724,0.013602048079583094,0.3884809560524124,0.03501342309749659,0.0004762542644029338,0.4762542644029338
KMX,25,0.7202603969608832,1.2311954135257874e-05,0.0003273397682556829,0.037612155103748615,4.6307912856555834e-07,0.00046307912856555835
RTN,25,0.6336304178238333,0.01479133838086507,0.4880319862877238,0.030308133065984528,0.00044829785187126267,0.44829785187126264
TSCO,25,0.5238485185532511,0.005829616765425149,0.16021000422197554,0.03638734543286103,0.0002121242789847229,0.21212427898472289
ICE,25,0.8196510829454784,0.0016976538627868146,0.06072119429038928,0.027958176426307754,4.746330620659662e-05,0.04746330620659662
UNH,25,0.6037650292304363,0.007082811093668799,0.17407327188142757,0.04068867676878823,0.0002881902112046772,0.2881902112046772
BAX,25,0.6295096588311044,-0.005932848887225264,-0.19708212087529137,0.030103435364283615,-0.0001785991330026477,-0.1785991330026477
MKC,25,0.3059375397757953,-0.00405865578439974,-0.12853725083258588,0.03157571644103359,-0.00012815496417996694,-0.12815496417996694
CVX,25,0.6545525961572702,-0.007534584487740616,-0.3263923333190922,0.02308444077445456,-0.0001739316693673723,-0.17393166936737228
AZO,25,0.25466471955864356,0.010437966129245442,0.46075353647850625,0.022654120484938187,0.00023646294230963012,0.2364629423096301
