Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HSIC,25,0.8982272513262999,-0.0022477220423924556,-0.07603309464573561,0.029562416903657112,-6.644809610074542e-05,-0.06644809610074541
SEE,25,1.2563634059440039,-0.01859599378331615,-0.5941886106983052,0.031296449390811575,-0.0005819885783114006,-0.5819885783114006
TAP,25,0.5841438499373417,-0.0039555448100013595,-0.11139750033488931,0.03550838033268235,-0.00014045498953649602,-0.14045498953649602
V,25,0.8034458122424799,0.014359802365368646,0.3863512015049819,0.03716774351789735,0.0005337214512837176,0.5337214512837175
WELL,25,0.9097692921602433,-0.00043275682370282585,-0.013221331790411487,0.032731711945741676,-1.4164871695995009e-05,-0.014164871695995009
CVC,25,0.8324977556713421,-0.03850983003609132,-0.46060602757496705,0.08360687383715047,-0.003219686501317595,-3.219686501317595
THC,25,1.7439742327685002,-0.019439380019891456,-0.3483049746508381,0.05581137633586388,-0.001084938554026035,-1.084938554026035
VAR,25,0.8666690161334734,-0.006869061771209856,-0.1447355329717351,0.04745940150406114,-0.0003260015605560459,-0.3260015605560459
O,25,0.7697806084371638,-0.0010060053112629203,-0.034450543793821384,0.029201434882527015,-2.9376798588320487e-05,-0.029376798588320485
RAI,25,0.2001551075504355,0.007064513582823887,0.2160459608982435,0.03269912361912304,0.0002310034029537321,0.2310034029537321
ANDV,25,1.947954321715417,-0.004930082475140019,-0.07809963381298805,0.06312555174004082,-0.0003112141763671198,-0.3112141763671198
SNA,25,1.461778165310191,-0.004974741663146417,-0.17263688608733943,0.02881621521271894,-0.0001433532263929065,-0.14335322639290649
STI,25,1.3044806448114041,-0.01809747416201426,-0.28884709854523494,0.06265416635016018,-0.001133882156664567,-1.1338821566645672
PSA,25,0.8456205881922859,0.004493485393647699,0.11665901908337281,0.038518113978280026,0.00017308058255225856,0.17308058255225856
HAL,25,1.8957907725952432,-0.019556648351346635,-0.2974517177068514,0.0657473034686603,-0.0012857968939858624,-1.2857968939858624
AVB,25,0.8685916791772395,0.0008081019691748388,0.017114005718433394,0.04721875068117085,3.815756540742993e-05,0.03815756540742993
DFS,25,1.1009093562775412,0.007535563127586956,0.18542811255151204,0.040638730685960966,0.000306235720509064,0.306235720509064
LMT,25,0.5893729858736345,0.0025881676416684954,0.1144195816722125,0.0226199711958661,5.854427750461406e-05,0.058544277504614065
ITW,25,1.3388366116338088,-0.005047939596768773,-0.17132546327852582,0.029464035877505713,-0.00014873267338667685,-0.14873267338667684
EFX,25,0.8509657716364413,0.0025576551793338185,0.08672943389514767,0.029490048123984283,7.542537432311195e-05,0.07542537432311196
ABC,25,0.737961427223398,-0.0036170486159346664,-0.11775889145723926,0.030715715570811847,-0.00011110023649284788,-0.11110023649284788
GOOGL,25,0.9192227320174786,-0.005057573474841025,-0.08524965250765965,0.05932661689602318,-0.0003000487239653822,-0.3000487239653822
MCHP,25,1.0212851399015592,-0.004765286675606062,-0.13270817625975304,0.035908011170908166,-0.0001711119671802423,-0.1711119671802423
CRM,25,1.521682636013143,-0.004819783604449103,-0.07364532910272792,0.065445883169671,-0.00031543499467987174,-0.31543499467987174
EOG,25,1.271500287863015,-0.004787183284160687,-0.07423814498132414,0.06448414471246532,-0.0003086974196609127,-0.3086974196609127
SPGI,25,0.904879156423048,0.0040298232398242335,0.10091024190372913,0.03993472975388152,0.00016092990203829205,0.16092990203829205
KMX,25,1.4334481224565832,-0.013650675570745553,-0.2571237746889944,0.05308990033013015,-0.0007247130054898239,-0.7247130054898239
RTN,25,0.6587233151665761,-0.0038515584619353786,-0.1558751443025974,0.02470925354499382,-9.51691345793277e-05,-0.0951691345793277
TSCO,25,1.3043663167550654,0.01414971974607409,0.32593451451610306,0.04341276887193551,0.0006142785129389765,0.6142785129389765
ICE,25,0.8355817545849905,-0.0013590614882899687,-0.031659685331669574,0.0429271950763984,-5.834069762864383e-05,-0.058340697628643835
UNH,25,1.006141310834366,0.00523479916416745,0.15089262441446544,0.034692213648486396,0.00018160677101021518,0.1816067710102152
BAX,25,0.6444811094047636,0.0011735410168230015,0.0373203209456711,0.0314450944441603,3.690210810809519e-05,0.03690210810809519
MKC,25,0.4864922874152793,0.0004782011631167811,0.02599092666554854,0.018398773128418144,8.798314709931334e-06,0.008798314709931334
CVX,25,0.8471297417286822,-0.0014112249628273088,-0.046055400347343844,0.030641899802933716,-4.3242613910353255e-05,-0.04324261391035326
AZO,25,0.47008964141654574,0.010266308733130848,0.43216252072944755,0.023755666539065756,0.00024388300685135504,0.24388300685135503
AMZN,25,1.1745942763028727,-0.005089926063193731,-0.07743585381042083,0.06573087029756185,-0.00033456526988396673,-0.33456526988396673
MCD,25,0.28857412792073417,0.010804349100091232,0.6455267221666545,0.016737260796621044,0.00018083520862596482,0.18083520862596483
PWR,25,0.9403412746192976,-0.007703634915511161,-0.19083543928545973,0.04036794708758334,-0.0003109799266514141,-0.3109799266514141
DOV,25,1.3613324034733767,-0.006645989810830993,-0.21723905202333835,0.0305929792499601,-0.00020332062837819884,-0.20332062837819884
JPM,25,1.0269341931606566,-0.01138769432037954,-0.23836603983665783,0.047773979582758704,-0.0005440354759565093,-0.5440354759565094
SYY,25,0.4824566242898387,0.0005574385909676875,0.022300246728844647,0.02499696966341896,1.3934275547638294e-05,0.013934275547638295
GE,25,1.0322543546805902,-0.007284260231891185,-0.23250304610812006,0.03132974106715063,-0.0002282139869308934,-0.2282139869308934
PBI,25,0.8715377943709831,-0.014978167369813278,-0.6021458523461162,0.024874650072660067,-0.0003725766720538405,-0.3725766720538405
