Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HSIC,25,0.20166104151233474,0.00791522936593186,0.2746749365086603,0.02881671501062602,0.00022809090888179653,0.22809090888179653
SEE,25,0.5071761263019349,0.017697853294456098,0.3721536735483437,0.047555229337692136,0.0008416254722026901,0.84162547220269
TAP,25,0.4895624024003108,0.01628095766937006,0.43395622837909537,0.037517511224996976,0.0006108210121142919,0.6108210121142919
V,25,0.4724448910138073,0.011030471149741376,0.2607145728904202,0.042308609861933355,0.00046668390046771934,0.46668390046771935
WELL,25,-0.21147397501222093,0.010832513758860277,0.34102152901615124,0.03176489704363279,0.00034409368427393234,0.34409368427393233
CVC,25,0.5251663478379539,0.006199883796752074,0.1602334915473786,0.0386928084564572,0.00023989091620002062,0.23989091620002062
THC,25,0.41152608304251004,0.00496527169149415,0.06651931079391617,0.07464406399033635,0.000370628057869295,0.370628057869295
VAR,25,0.3795367406646254,0.006366265755316971,0.25656450818388876,0.024813509087367788,0.000157969393172156,0.157969393172156
O,25,-0.08002733311851234,0.0060070432511742265,0.1503832617603523,0.03994489267526946,0.0002399506979638562,0.2399506979638562
RAI,25,0.1628153792050333,0.016946172304646543,0.4860589594818827,0.034864437686140816,0.0005908187683339547,0.5908187683339547
ANDV,25,0.2159771136033393,0.026354277030695313,0.362324464901695,0.0727366755039456,0.0019169224965227718,1.9169224965227718
SNA,25,0.461937593111613,0.014453225152541056,0.5617376308137726,0.025729494268708863,0.00037187417372666387,0.37187417372666387
STI,25,0.46924037157494436,0.006583453425113019,0.1657491698348222,0.039719374954781235,0.00026149065508940277,0.2614906550894028
PSA,25,-0.0024654679490385537,0.007361639408155345,0.29635412985438886,0.0248406843925962,0.0001828681611500856,0.1828681611500856
HAL,25,0.9299924344929341,-0.005086373380149436,-0.08101724924153587,0.062781363570929,-0.00031932945643665684,-0.31932945643665683
AVB,25,-0.057718066125502385,0.011073122047100717,0.4261539438945476,0.025983854439795534,0.00028772239146595576,0.28772239146595574
DFS,25,0.6807760724489886,0.007663311461564562,0.2436312808699824,0.03145454653523825,0.00024104598698180714,0.24104598698180713
LMT,25,0.3668925423138669,0.012235185103598977,0.3863695320882367,0.03166705469106394,0.0003874522758309597,0.3874522758309597
ITW,25,0.42954848965044967,0.011020185327242008,0.4279635853481989,0.025750287418205887,0.000283772939578377,0.283772939578377
EFX,25,0.24763402223287356,0.01341993686840761,0.42740856464309235,0.03139838079663643,0.0004213642880610827,0.4213642880610827
ABC,25,0.0980649361948749,0.01783598589416145,0.5212605903162624,0.03421702354927675,0.0006102943493650902,0.6102943493650902
GOOGL,25,0.43750640654932227,-0.0005474408065158525,-0.01662548918825114,0.032927801420887914,-1.8026022166644713e-05,-0.018026022166644715
MCHP,25,0.5465243884895009,0.009628610488486618,0.23551717078800694,0.04088283863240484,0.0003936449288550792,0.3936449288550792
