Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HSIC,25,1.114829669974876,0.0019895977297124624,0.09900253452272977,0.020096432271192767,3.9983816022085393e-05,0.039983816022085394
SEE,25,1.3517162463553722,-0.012432179347558487,-0.35611622630093215,0.034910454591453546,-0.00043401303258574716,-0.43401303258574714
TAP,25,0.5528001922885042,-0.0010032953491641498,-0.026044300549962665,0.03852264518447926,-3.8649590751088776e-05,-0.03864959075108878
V,25,0.7493600348959252,0.018432928069087924,0.4302621243434387,0.042841158973069664,0.0007896880017469538,0.7896880017469537
WELL,25,1.016370125648489,0.003987769179411332,0.1228807117450893,0.03245236069012837,0.00012941252375923377,0.12941252375923376
CVC,25,0.7905556060002703,-0.034305519514911176,-0.3978514703370818,0.08622695169593225,-0.0029580603741161072,-2.958060374116107
THC,25,1.7365923196977242,-0.010723776986890084,-0.15908312917056122,0.06740989470600978,-0.0007228886775369913,-0.7228886775369914
VAR,25,0.9511981005369246,-0.00263852583652361,-0.0550347793558132,0.047942880255136495,-0.00012649852823053528,-0.12649852823053528
O,25,0.8207715208380081,0.002779081755694441,0.08941319899836558,0.031081336836469086,8.637757614482482e-05,0.08637757614482482
RAI,25,0.2097901578908197,0.00805283249749274,0.24505862163068506,0.032860841393406434,0.00026462285146777796,0.264622851467778
ANDV,25,1.6296932510927842,0.005158842078400196,0.058078938219416766,0.08882466237434604,0.000458232405856467,0.458232405856467
SNA,25,1.4700514275857837,0.0023140630464288585,0.05526406556501924,0.04187283405174595,9.689637792839328e-05,0.09689637792839328
STI,25,1.4877474963391666,-0.011793788231671948,-0.19346211740255156,0.060961744810906326,-0.0007189699085330555,-0.7189699085330555
PSA,25,0.8972656576520621,0.0086564734739889,0.21405196712720717,0.04044099005567427,0.00035007635767879316,0.35007635767879314
HAL,25,1.9324614509760125,-0.010133359121246641,-0.1344068320083089,0.07539318477962642,-0.0007639862166664608,-0.7639862166664608
AVB,25,1.1204954616847569,0.0048571588608084335,0.12101019923241978,0.04013842545188666,0.00019495870884253004,0.19495870884253005
DFS,25,1.17856511156734,0.012943442314291457,0.29996097831455804,0.043150420388075095,0.000558514977130476,0.558514977130476
LMT,25,0.5505054553313344,0.005575114122486687,0.2030042853374552,0.027463036621217837,0.00015310956331332065,0.15310956331332065
ITW,25,1.4881621922158523,0.001466024114970709,0.04964877690246588,0.029527899908807154,4.3288613330752684e-05,0.043288613330752686
EFX,25,0.7776921870693497,0.006889939943946347,0.18238798925170116,0.03777628106003193,0.00026027630780925783,0.2602763078092578
ABC,25,0.8792565414839721,-9.391893828404239e-05,-0.0034240469148325275,0.02742922063281251,-2.5761232797925e-06,-0.0025761232797925
