Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HSIC,25,0.697346884499239,0.007578905352233399,0.49040711254778924,0.015454313688190746,0.00011712678072652273,0.11712678072652273
SEE,25,1.8977234650199235,0.006401292644457469,0.15375542022767216,0.041632955995819884,0.0002665047349830633,0.2665047349830633
TAP,25,1.2882171920160714,0.0038993066217369813,0.1494231445077502,0.02609573392785034,0.00010175526810395324,0.10175526810395324
V,25,1.0297303228808063,0.008848988218044408,0.35876981582110085,0.024664806870087756,0.00021825858539374732,0.21825858539374732
WELL,25,1.1399713074029292,-0.008381247357284079,-0.22916899142136768,0.03657234473696171,-0.0003065218676763426,-0.3065218676763426
CVC,25,1.3419800454605495,0.0010624747803498983,0.018548209273395976,0.05728179818813155,6.086046594798227e-05,0.06086046594798227
THC,25,0.7195324019506316,0.000881103797895696,0.013476778918398514,0.06537940580837251,5.760604276192094e-05,0.05760604276192094
VAR,25,0.2949032907596147,0.004775029788944046,0.10651946195047474,0.04482776857401094,0.000214053930312792,0.214053930312792
O,25,1.201500357521496,-0.0056920212938505145,-0.13212144192495012,0.043081737611399926,-0.000245222167860169,-0.24522216786016898
RAI,25,0.931270713013832,7.937861869321446e-05,0.0040081792596424835,0.01980415883402749,1.5720267726261228e-06,0.0015720267726261228
ANDV,25,1.6615442897876394,-0.01191973605574759,-0.20904734953153345,0.05701931204800841,-0.0006796551496925689,-0.6796551496925689
SNA,25,1.0057538865869782,0.007640050602138014,0.2937360430949766,0.02600991870673386,0.0001987170950769428,0.1987170950769428
STI,25,1.293113604272976,0.005053665473155154,0.16529944571415667,0.03057279140484344,0.00015450466034063194,0.15450466034063196
PSA,25,0.8203538778399511,0.0008521230084392907,0.02760701107085392,0.030866181284612836,2.630178325527682e-05,0.02630178325527682
HAL,25,0.7916826496483076,0.007503283358079905,0.20048755916908176,0.03742518183760215,0.0002808117440551945,0.28081174405519455
AVB,25,0.7861265536519942,-0.0018157748670547562,-0.048581072188809055,0.03737617934815837,-6.786672708691699e-05,-0.06786672708691699
DFS,25,1.3573345753960724,0.008716843651123551,0.2731972986346778,0.03190677102111395,0.00027812633440325006,0.2781263344032501
LMT,25,1.1146639658160897,0.019205030361757316,0.887369818298468,0.021642645451456725,0.0004156476630039753,0.41564766300397527
ITW,25,1.0393146046076553,0.006938090888909646,0.39099359594165733,0.017744768612386486,0.00012311481743540855,0.12311481743540854
EFX,25,0.9984822860498112,0.004564558722298201,0.19343393349091564,0.023597507634370518,0.00010771220929696434,0.10771220929696433
ABC,25,0.8081963922062877,0.010913114472495544,0.6118780083187539,0.01783544158169912,0.00019464021564858947,0.19464021564858947
GOOGL,25,0.9076473281784931,0.011855172867229011,0.3757003272396773,0.031554864363123186,0.00037408837182678964,0.37408837182678967
MCHP,25,0.6704799615359123,0.006587276469165045,0.26252520481688946,0.02509197725894415,0.0001652877913626672,0.1652877913626672
CRM,25,1.0372677134331565,0.010723316612811555,0.20157453532240766,0.05319777419136889,0.0005704565757509038,0.5704565757509038
EOG,25,1.030000905871305,0.010329647809901777,0.2457849810060386,0.0420271725620533,0.0004341258910119779,0.4341258910119779
