Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HSIC,25,0.3939685108507474,0.00299880797451443,0.06536759546361712,0.045876063716976306,0.00013757350571380066,0.13757350571380067
SEE,25,0.6774076012782024,-0.011342110037656837,-0.21809301043971335,0.05200583922790178,-0.0005898559511235524,-0.5898559511235525
TAP,25,0.35710560208628483,-0.0006110539982434964,-0.015729030554217906,0.038848802291863806,-2.3738715967414484e-05,-0.023738715967414482
V,25,0.5880164912149652,0.018895123640306512,0.5064852421862882,0.0373063656479783,0.0007049083914890335,0.7049083914890335
WELL,25,0.37951293713497275,0.004894244473947694,0.0998889673311289,0.04899684724663758,0.00023980254887771528,0.2398025488777153
CVC,25,0.5563318974057662,-0.03377510230961835,-0.3960525097674436,0.08527935431958407,-0.002880318917042146,-2.880318917042146
THC,25,0.9001236667620033,-0.009343286786903545,-0.11360264277621974,0.08224532949738173,-0.000768441700377415,-0.7684417003774151
VAR,25,0.5726773166089886,-0.0019356483640936945,-0.0380242022831051,0.05090569289743498,-9.853552117997603e-05,-0.09853552117997602
O,25,0.3036472419199415,0.00351299973238513,0.0816221923916257,0.04303976197465578,0.00015119867229888547,0.15119867229888548
RAI,25,0.0907710348474032,0.00823162189010365,0.24509291591267013,0.03358571935647739,0.00027646494264965714,0.27646494264965715
ANDV,25,1.1380529856846133,0.006258157420868408,0.0733085397534589,0.08536737250414446,0.0005342424557368494,0.5342424557368494
SNA,25,0.7260003921919469,0.0035067253933559347,0.05861143031598767,0.059830060014750934,0.00020980759073973665,0.20980759073973665
STI,25,0.8397936234956075,-0.01065703318569636,-0.1528760414686599,0.06971029000565199,-0.0007429048739747506,-0.7429048739747506
PSA,25,0.4172534692864634,0.009401734296730833,0.19136565588209567,0.04912968449533826,0.00046190423970738677,0.46190423970738675
HAL,25,1.1768205897550534,-0.008714326773387416,-0.10602502157117803,0.08219122848786413,-0.000716241222949397,-0.716241222949397
AVB,25,0.36540020106895466,0.005891944924187218,0.10058090331687006,0.05857916095290212,0.0003451451900395977,0.3451451900395977
DFS,25,0.49185742991117765,0.013959942187404926,0.23726769656480876,0.0588362528465472,0.0008213506882613375,0.8213506882613375
LMT,25,0.36343168066023884,0.005960504619019406,0.21698885881243996,0.02746917354024856,0.0001637301357672972,0.1637301357672972
ITW,25,0.6938204361983757,0.0027008853292120657,0.04929607193311817,0.05478905769361214,0.00014797896212603048,0.14797896212603048
EFX,25,0.6260888287908138,0.0073590157649803725,0.25048135240490477,0.02937949549667264,0.0002162041705271838,0.2162041705271838
ABC,25,0.263263692356275,0.0007337768717151024,0.01670239206157274,0.04393244207237273,3.2236609910670614e-05,0.032236609910670615
GOOGL,25,1.1013943049329233,-0.00015540487016963127,-0.011298450603419781,0.013754529326578087,-2.1375208442412537e-06,-0.0021375208442412537
MCHP,25,0.4462523755462928,0.0012011528064188334,0.02235495596963202,0.05373094038076092,6.4539069829874e-05,0.06453906982987401
CRM,25,0.8354831016898155,0.003955931443951699,0.04831317509679957,0.08188100732410265,0.0003239156515358571,0.3239156515358571
EOG,25,0.9409218731552887,0.0023833063014535583,0.03722608755219281,0.06402247612274713,0.0001525851707780032,0.1525851707780032
SPGI,25,0.6720883670653037,0.009131140555086584,0.23191878272487632,0.039372147644974466,0.0003595126141018831,0.3595126141018831
KMX,25,0.6840470266597952,-0.005314934550576712,-0.0708127817857968,0.07505614687831329,-0.00039891850827670773,-0.3989185082767077
RTN,25,0.35472581365599715,-4.7980100597047875e-05,-0.0014558290031220736,0.03295723638844463,-1.5812915173182602e-06,-0.0015812915173182601
TSCO,25,0.7014218765386147,0.021682007988897935,0.35379728261250937,0.06128370412795057,0.0013287537624914816,1.3287537624914816
ICE,25,0.5273608452832704,0.0034139615440649824,0.07156892397269914,0.04770173078705614,0.0001628518744923503,0.1628518744923503
UNH,25,0.595686549763789,0.011008393648346097,0.2435078607030696,0.045207549425969426,0.0004976624999581341,0.4976624999581341
BAX,25,0.2786556498890522,0.004940631622563035,0.12228844750043989,0.04040145838424568,0.00019960872289086866,0.19960872289086865
MKC,25,0.3153804565450876,0.003251571474150216,0.15121658080037223,0.021502744321687587,6.99177100523449e-05,0.0699177100523449
CVX,25,0.5840763578483247,0.003394703739855989,0.10051889082006589,0.033771798635668274,0.00011464525113016648,0.11464525113016648
AZO,25,0.20759346679784732,0.013011151901824622,0.43398289796695444,0.029980794088377543,0.00039008466602120587,0.39008466602120584
AMZN,25,0.696938270597912,0.001649295082183777,0.02232796564869594,0.073866786976184,0.00012182812849653694,0.12182812849653694
MCD,25,0.17454995008596091,0.012457815094901226,0.6720408479830277,0.018537288517938195,0.00023093411271730963,0.23093411271730963
PWR,25,0.5446013312768904,-0.002299512423345518,-0.04672319750711539,0.04921564760192899,-0.00011317199308363076,-0.11317199308363075
DOV,25,0.7042305097104095,0.0012338692911546814,0.021985470181317968,0.05612203336925471,6.924725353148168e-05,0.06924725353148169
JPM,25,0.6221492949015975,-0.00550424856028085,-0.09916264465577883,0.055507278768004126,-0.00030552585924389453,-0.3055258592438945
SYY,25,0.22645531364399799,0.0033655294840768553,0.10911762156392206,0.030843134553709996,0.00010380347872186064,0.10380347872186063
GE,25,0.6393894256429341,-0.0013797096816288142,-0.03335903380457882,0.04135940176539036,-5.7063967042084945e-05,-0.05706396704208495
PBI,25,0.47351338306533425,-0.009948562387988958,-0.2627158635058236,0.03786814490465068,-0.00037673360210132347,-0.37673360210132345
ROST,25,0.3825607067424781,0.016004984363087112,0.4435097784931242,0.03608710594266016,0.0005775735663213438,0.5775735663213438
SLG,25,0.7230656117185523,0.0007888577212526217,0.011438989114403079,0.06896218829855812,5.4401354713794764e-05,0.054401354713794765
ILMN,25,0.034232730006536274,-0.010457558694353726,-0.07067988746848744,0.1479566404094265,-0.0015472652513009659,-1.547265251300966
CI,25,0.5698268909300934,0.002242768139530051,0.05059802524492978,0.0443252108886362,9.941117075898378e-05,0.09941117075898377
MCO,25,0.7008740792374872,0.009149053521362577,0.14125884444210496,0.06476800484597142,0.0005925659428076633,0.5925659428076633
NFX,25,0.9074293208592668,-0.027430497507690353,-0.3786964606013858,0.07243399493126917,-0.0019869005174342346,-1.9869005174342345
CAM,25,0.8682429538648317,-0.0016905324145804457,-0.028452575239248493,0.059415796298412565,-0.0001004443295805753,-0.10044432958057531
ALL,25,0.38862745166871315,0.0008669053969305306,0.022451388795997288,0.03861255109016176,3.3473428929317076e-05,0.033473428929317074
VRSN,25,0.3997012155869118,0.005679907712235785,0.14062085640736563,0.040391645004505,0.00022942081597097794,0.22942081597097794
HAS,25,0.23421159055443408,-0.008176043980135427,-0.15303360993899828,0.05342645960841238,-0.00043681708346130855,-0.43681708346130854
WYNN,25,1.0423619675406275,-0.0015105145473310751,-0.01756762283633613,0.08598286526318123,-0.000129878368801243,-0.129878368801243
