Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HSIC,25,0.5898236932056203,0.005581033140008249,0.2120377335358942,0.0263209431969498,0.0001468980562584515,0.1468980562584515
SEE,25,0.7411363639552523,-0.007975466908486677,-0.21196760464628966,0.037625876471998346,-0.00030008393270523025,-0.30008393270523026
TAP,25,0.3857815352072899,0.0011443823792261268,0.0333987590550646,0.03426421853995777,3.921136793508084e-05,0.03921136793508084
V,25,0.4581239503327357,0.021089396030606843,0.5193911441930577,0.04060407318529081,0.0008563153798603417,0.8563153798603417
WELL,25,0.528185011608522,0.007224486321024161,0.1962944221071204,0.03680433831727356,0.0002658924387274882,0.2658924387274882
CVC,25,0.5851626290986858,-0.03110260561668753,-0.3836560665383055,0.08106897903980398,-0.0025214564828225307,-2.5214564828225305
THC,25,1.0548759619932953,-0.004594304684436354,-0.07627408623849312,0.06023414911941291,-0.00027673403346235663,-0.27673403346235664
VAR,25,0.6398929618105902,0.0009629374540321444,0.02431382125228701,0.03960452962290197,3.813668492321787e-05,0.03813668492321787
O,25,0.403824369237507,0.005303611248891381,0.14846439219191832,0.03572311966922991,0.00018946153932322072,0.1894615393232207
RAI,25,0.10452410196428945,0.008703239826120283,0.2625963944948653,0.03314302864996291,0.00028845172690460276,0.28845172690460275
ANDV,25,1.1673682760104527,0.011608507589676494,0.16792352009898562,0.06912972990819657,0.000802492994311586,0.802492994311586
SNA,25,0.8945481578844127,0.007508963931101179,0.22849244432627447,0.03286307323308598,0.00024676763157237925,0.24676763157237924
STI,25,0.9328370702895071,-0.00642816324571434,-0.12320599943984034,0.05217410901206249,-0.00033538368992923345,-0.33538368992923345
PSA,25,0.45723081850933145,0.011478282412498497,0.26190456625616826,0.04382620195049068,0.0005030495230549244,0.5030495230549245
HAL,25,1.1574942103855272,-0.00337686433575815,-0.04884505826878148,0.06913420631369002,-0.00023345683568164573,-0.23345683568164574
AVB,25,0.47356599254568704,0.007998028552192369,0.15482669861902654,0.05165794157939564,0.0004131616916994917,0.4131616916994917
DFS,25,0.6377532822883705,0.016796060874224313,0.36854609458294074,0.04557384034480491,0.0007654609967035232,0.7654609967035232
LMT,25,0.34211012159731236,0.007548490459274847,0.3005552725221498,0.02511514902377416,0.00018958146278922524,0.18958146278922525
ITW,25,0.864956112491132,0.006565267953614576,0.26479628452073356,0.02479365586831153,0.00016277699432517366,0.16277699432517365
EFX,25,0.526342915835274,0.009846935820234493,0.3248140976867519,0.030315604803984826,0.00029851581485643104,0.298515814856431
ABC,25,0.46348723350143894,0.002731925732953178,0.08903000538834141,0.03068544948455015,8.383036907407739e-05,0.08383036907407738
GOOGL,25,0.569194603895551,0.002818877774954419,0.047158986371797,0.05977392628269514,0.00016849539232005313,0.16849539232005314
MCHP,25,0.5815306261417533,0.003785745703561688,0.09110143837458651,0.04155527916030965,0.0001573177195414488,0.1573177195414488
CRM,25,0.9252368302844068,0.008152040163437367,0.119929995956663,0.0679733214231336,0.0005541212462836227,0.5541212462836227
EOG,25,0.7681248088055374,0.0060322957345793375,0.09053004905109845,0.066633077059027,0.0004019504265250649,0.4019504265250649
SPGI,25,0.5114907814122843,0.011591440034018696,0.26172904189329077,0.044287939734042304,0.0005133609976573852,0.5133609976573852
KMX,25,0.8915786346575383,-0.0013524299436252197,-0.025089873988830044,0.053903417140608936,-7.290059540468044e-05,-0.07290059540468044
RTN,25,0.40798531180367975,0.001793152376300089,0.07102291605394132,0.025247518349404363,4.5272647523914536e-05,0.045272647523914536
TSCO,25,0.8093611707298838,0.02533291914840603,0.569951821074172,0.04444747470174198,0.001125984282970052,1.125984282970052
ICE,25,0.497578157999899,0.005722767931091155,0.12771302943080376,0.044809585651492276,0.00025643485977184236,0.2564348597718424
UNH,25,0.624835044844128,0.01386317307351886,0.3915293382463284,0.03540775037603166,0.0004908637716068794,0.49086377160687944
BAX,25,0.42009166834870243,0.00677847799065249,0.22454141043361572,0.030188097498641594,0.00020462935447421355,0.20462935447421354
MKC,25,0.3193470773228184,0.004717932323031,0.27907558593061355,0.01690557168337906,7.975934308433165e-05,0.07975934308433165
CVX,25,0.5192667483800898,0.0058267062348989415,0.18267473696361158,0.031896617626221674,0.0001858522207948933,0.1858522207948933
AZO,25,0.2561411020207237,0.014156944257726397,0.5376293927678131,0.026332161984008902,0.00037278294939303613,0.37278294939303613
AMZN,25,0.6636202720607824,0.004724268762344202,0.06720924268564657,0.07029195053485006,0.00033207806615603597,0.33207806615603597
MCD,25,0.1529813735346598,0.013175963646556899,0.7180437164737833,0.018349807044148084,0.00024177639053502885,0.24177639053502883
PWR,25,0.6003412913456972,0.0004248089645450485,0.010766994079092259,0.039454741167728326,1.6760727741855566e-05,0.016760727741855566
DOV,25,0.8507917467651709,0.0050495314386838405,0.16189180272715142,0.031190778987088063,0.00015749881909234048,0.15749881909234048
JPM,25,0.7301199827190353,-0.002217872162831829,-0.055903583490514865,0.03967316626863704,-8.799001107860879e-05,-0.08799001107860879
