Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PFG,25,1.3782438912122428,-0.0016722501002652422,-0.057139807810390505,0.029265938482228398,-4.893996856126285e-05,-0.04893996856126285
VRSK,25,0.3702950866308413,0.004347711577765144,0.11686903355760357,0.03720157038538528,0.00016174169827558448,0.1617416982755845
DOV,25,1.2865845633296114,-0.009196671311541829,-0.26498289002340514,0.03470666091206687,-0.0003191857527294155,-0.3191857527294155
VRTX,25,1.7462033814693567,0.002499954783248206,0.04921464900419298,0.05079696459960967,0.00012699011462528398,0.12699011462528398
LLTC,25,0.6470517579565073,0.0004951561011673057,0.016852837322100286,0.029381171354331735,1.454826625553943e-05,0.01454826625553943
GLW,25,1.1579855272877,-0.003674309556852425,-0.10160780723970111,0.03616168537309765,-0.00013286922615826324,-0.13286922615826324
HOG,25,0.8177817651990269,-0.01110282024438856,-0.2888505568011843,0.03843793956066571,-0.0004267695335067432,-0.4267695335067432
ADBE,25,0.7323125011301457,0.008285234778060296,0.2549627179735931,0.032495867803379826,0.00026923589406781235,0.26923589406781234
BEN,25,1.2102305731650456,-0.01363034975295053,-0.5893985586878943,0.02312586203687723,-0.0003152135879011176,-0.3152135879011176
INTC,25,0.5264467652125748,0.0005709306253864773,0.014183568020133758,0.040252962059760554,2.2981648802437237e-05,0.02298164880243724
PNW,25,0.3149525373039357,0.0022146457865699102,0.05192568436353672,0.042650295585224485,9.445529741377865e-05,0.09445529741377866
ETR,25,0.4319058123111588,-0.00752616410131399,-0.1710113864055254,0.044009725080334294,-0.0003312244130083099,-0.3312244130083099
AAPL,25,0.9237122543372355,0.004004994548063448,0.12161667922453359,0.03293129341797984,0.00013188965059968697,0.13188965059968696
MPC,25,1.6200706324234606,0.003741049750144658,0.06128819779231083,0.061040296254461036,0.00022835478505150737,0.22835478505150736
CAH,25,1.0006660243368115,0.0017824058876810865,0.10341898513017389,0.017234803507668976,3.0719415245095824e-05,0.030719415245095825
TPR,25,1.221803992657639,-0.0042085677100571345,-0.11524102763831445,0.036519699592282205,-0.00015369562848506558,-0.15369562848506557
TXN,25,0.9383223697613445,0.005140030103071514,0.1661937427290891,0.030927939997417535,0.00015897054261271567,0.15897054261271568
DFS,25,1.2116836138720046,-0.005235363588897996,-0.13249101382657955,0.0395148579340685,-0.0002068746484484993,-0.20687464844849932
ROP,25,1.0855900966872651,0.005047112652090303,0.2120536676144082,0.023801109921229073,0.00012012688301722728,0.12012688301722728
CHRW,25,0.5646142441090075,0.00033175809262147356,0.010526152830869037,0.031517506723687166,1.0456187914834922e-05,0.010456187914834922
EXPE,25,1.0978810603281546,0.015127739332627052,0.36592065895939857,0.041341583106149736,0.0006254046928279714,0.6254046928279714
BBBY,25,0.6088575392975738,-0.006904145272063302,-0.2777390202996548,0.024858391394246174,-0.0001716259454156838,-0.1716259454156838
FRT,25,0.41893162286330254,0.003973032792692371,0.13400434080529572,0.0296485380161309,0.00011779461379347449,0.11779461379347449
ORCL,25,0.8554298280684834,-0.0006319077994746346,-0.025983326883571026,0.02431974174462559,-1.5367834489637768e-05,-0.015367834489637768
DHR,25,0.6616571153138152,0.005338263674844347,0.2931467721530681,0.018210207929756583,9.721089150278205e-05,0.09721089150278205
VMC,25,1.0996635386985676,0.016076144629143994,0.4341695994799471,0.037027338276102634,0.0005952568453588652,0.5952568453588652
CNP,25,0.936821653456806,-0.010507463179201352,-0.2849697867546877,0.036872200729990215,-0.0003874332915064934,-0.38743329150649336
ZION,25,1.1214105355840673,-0.0003277952646256997,-0.007297965548077431,0.04491597863353216,-1.4723245102100948e-05,-0.014723245102100949
BLK,25,1.4066835463313807,0.0003476605069424191,0.014604078888490094,0.023805712746212335,8.276306161473788e-06,0.008276306161473788
ALB,25,1.5924676990677646,-0.0038970211802799607,-0.05422766473164641,0.07186407896347638,-0.00028005583782197903,-0.280055837821979
NSC,25,1.3080252578661955,-0.012775537303894836,-0.41686101187760477,0.030646994897296567,-0.000391531826562687,-0.391531826562687
BBY,25,-0.10262118688209072,0.0019506803852020822,0.03620618999071545,0.053876985833149135,0.00010509677947853448,0.10509677947853448
GOOG,25,1.4202261252108972,0.008400314803499809,0.16958042775715243,0.049535874597093695,0.0004161169406822763,0.4161169406822763
SLG,25,0.6051494647596724,0.0012980734550949878,0.036503647037311536,0.035560103180051726,4.6159625998464006e-05,0.04615962599846401
SWKS,25,1.1100839946771723,0.008938800280872584,0.14904764432563497,0.05997277126596749,0.0005360846246369375,0.5360846246369375
DLR,25,0.42393531550917646,0.0032330210811980092,0.08246153744248975,0.03920641284978199,0.0001267551592614977,0.1267551592614977
WHR,25,1.3431938164492132,-0.003082897249440707,-0.08827688420904485,0.03492304103235254,-0.0001076641471407446,-0.1076641471407446
FDX,25,0.6382018432226261,-0.0032554111548431363,-0.1150298370868148,0.02830058041711584,-9.213002517841412e-05,-0.09213002517841412
ADI,25,1.0910936496906638,0.007406193194170433,0.19360706154274154,0.03825373483360993,0.00028331455057628227,0.2833145505762823
CVS,25,0.9744672823407705,0.007017118703682976,0.3454603814767597,0.02031236888492535,0.00014253430361851777,0.14253430361851777
LKQ,25,0.5920811191384787,0.0011846465081894425,0.030938526000138272,0.03829033445821394,4.5360511013329036e-05,0.04536051101332904
AVB,25,0.13505735519882867,0.006315903718714385,0.19675447132162052,0.0321004329725764,0.00020274324398383714,0.20274324398383714
FITB,25,1.0408744361969786,-0.001214437031794676,-0.0359276453960831,0.03380229954972435,-4.105076433300175e-05,-0.041050764333001755
GPN,25,0.8244677670606685,0.020178091890422876,0.6552040452335292,0.03079665340471297,0.0006214177023178028,0.6214177023178028
PPG,25,1.0343352947166429,0.0002475717262093956,0.007964884056470296,0.03108290396371558,7.695248189897931e-06,0.007695248189897931
KMI,25,1.255993652070474,-0.013394486883384538,-0.27158706057391185,0.04931931166042889,-0.0006606068731331688,-0.6606068731331688
PG,25,0.33659401906491765,-0.004100346548230773,-0.1572715144193076,0.026071768707578425,-0.00010690328682639026,-0.10690328682639026
MDLZ,25,0.8011512253951527,0.010586261955415701,0.30175282732102293,0.0350825609469879,0.0003713931802516506,0.3713931802516506
DVA,25,0.74599236334428,-0.0010346766474888846,-0.041665820979347866,0.02483274355740485,-2.5693859851926845e-05,-0.025693859851926844
