Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PFG,25,0.3759370950165725,0.005826770649724711,0.13604016654697998,0.04283125195757901,0.00024956788179738545,0.24956788179738545
VRSK,25,0.2142760856163369,0.008137472548868891,0.22330321046361623,0.03644135940533092,0.00029654056180434553,0.2965405618043455
DOV,25,0.5208030525868345,0.00046546526260400015,0.011892285622663127,0.03914010118601281,1.8218357476894593e-05,0.018218357476894594
VRTX,25,0.3716707227778231,0.010361436798427428,0.15506740323549598,0.06681892249586356,0.000692340042379911,0.6923400423799111
LLTC,25,0.2534201466064005,0.0052212120677489465,0.1683742000609269,0.031009573116662942,0.00016190755737246386,0.16190755737246387
GLW,25,0.25616994327895126,0.0016909663004555974,0.03673332316007381,0.04603357809710892,7.784122925160208e-05,0.07784122925160208
HOG,25,0.338428874445292,-0.004845473225680173,-0.12143315769258804,0.03990239006998932,-0.00019334596272477966,-0.19334596272477966
ADBE,25,0.1861087741381243,0.012055994829485288,0.32803131896466964,0.03675257249074979,0.0004430888239187627,0.4430888239187627
BEN,25,0.36478906439670056,-0.006502048393960515,-0.1874254389053783,0.034691386782575835,-0.00022556507571391024,-0.22556507571391024
INTC,25,0.21118838403124535,0.004494496598452842,0.10971994733943218,0.04096334994172539,0.00018410963697431816,0.18410963697431817
PNW,25,0.22935703554410675,0.006176155484302467,0.1493628595597653,0.04135000831201394,0.0002553840806121975,0.25538408061219753
ETR,25,0.32040855740119656,-0.002001416208789587,-0.04828352340237792,0.04145132889558385,-8.296136152748969e-05,-0.08296136152748969
AAPL,25,0.32986207336073137,0.010251693302437727,0.2776698912916733,0.03692043546654838,0.0003784969809954983,0.3784969809954983
MPC,25,0.7587990493990303,0.0175216930529523,0.2869488125225832,0.06106208594807592,0.001069911127155178,1.069911127155178
CAH,25,0.24446273356542314,0.006780676956612684,0.23057243429695948,0.02940801218188856,0.00019940623054151687,0.19940623054151688
TPR,25,0.4119113793339831,0.0036716466677485754,0.08435414372875048,0.04352657149309863,0.00015981419118115572,0.15981419118115572
TXN,25,0.17713435449808923,0.009010521787394688,0.23029647681281581,0.03912574743693717,0.00035254339972862425,0.35254339972862425
DFS,25,0.4792821890205338,0.0036887478771169017,0.08484227296633999,0.043477711618833716,0.0001603783164358737,0.16037831643587372
ROP,25,0.4310064258123629,0.013067620519113393,0.45478821579137924,0.028733419348551857,0.00037547742026342604,0.37547742026342606
CHRW,25,0.16101787948176224,0.0035136807550967012,0.10362813503386137,0.03390662925612409,0.00011913707068744199,0.11913707068744199
EXPE,25,0.17103386937627177,0.019088800623888416,0.3784677060645709,0.05043706587909418,0.0009627830946199542,0.9627830946199541
BBBY,25,0.23329047095529634,-0.002538085630497744,-0.0950081516796188,0.026714398560836496,-6.780343111464873e-05,-0.06780343111464873
FRT,25,0.1801304059358264,0.007284475250797473,0.24272523077076338,0.030011199196992994,0.00021861583779724848,0.21861583779724847
ORCL,25,0.2912736808136007,0.0049304400015547116,0.16808074772709672,0.02933375813843945,0.00014462833452169292,0.14462833452169294
DHR,25,0.12560549343476565,0.008078496394170437,0.3253476896110851,0.02483034812334868,0.000200591877780469,0.200591877780469
VMC,25,0.19966550666291752,0.020487945256719434,0.43968943872805194,0.046596400668589256,0.0009546645060582215,0.9546645060582215
CNP,25,0.4828508283397987,-0.0018481252437699503,-0.05298790843681873,0.03487824483530242,-6.44593647385113e-05,-0.0644593647385113
ZION,25,0.2514918296899119,0.004921500487207217,0.09346982710392443,0.05265336033771889,0.0002591335385551807,0.2591335385551807
BLK,25,0.4294696962234424,0.0087187225105517,0.228683017695707,0.03812579787692461,0.00033240825218228685,0.33240825218228687
ALB,25,0.4886285096507238,0.0056178263980026346,0.07081946309235547,0.07932602356327444,0.00044563982922234217,0.4456398292223422
NSC,25,0.4324804423072305,-0.004472405964758331,-0.11151854440139822,0.0401045941620294,-0.0001793640261444724,-0.17936402614447242
BBY,25,-0.028374718416462354,0.0013863137329118151,0.02570743291505135,0.05392657203435305,7.475914738008187e-05,0.07475914738008187
GOOG,25,0.309578885495371,0.014908480697428114,0.24560780496323265,0.06070035396334374,0.0009049500553895642,0.9049500553895642
SLG,25,0.19842123974224896,0.0051134035708106495,0.13617153294689902,0.03755119341136194,0.0001920144064778595,0.1920144064778595
SWKS,25,0.3729321483834564,0.016077858589345524,0.25222824063497845,0.06374329277669268,0.0010248556472829148,1.024855647282915
DLR,25,0.32952342508686094,0.008891299995992029,0.24734431241023408,0.03594705659229116,0.0003196160641349636,0.31961606413496363
WHR,25,0.43074247707182245,0.005234032867450498,0.11802406876783272,0.04434716513414275,0.00023211451989035796,0.23211451989035795
FDX,25,0.07677022717557845,-0.00130779662875713,-0.039482735226162295,0.033123253018462355,-4.33184786310145e-05,-0.043318478631014505
ADI,25,0.415968726440923,0.015197480578678788,0.3605252446816296,0.04215372100253142,0.0006406303562550154,0.6406303562550154
CVS,25,0.2949823579171869,0.012776468300209107,0.4399143449095917,0.029043081790921917,0.0003710680138420942,0.3710680138420942
LKQ,25,0.11601649935134939,0.0036934414824418326,0.08980706836850533,0.04112640073369876,0.00015189795449336923,0.15189795449336924
AVB,25,0.09949691998502902,0.008032604736001907,0.2528089125536279,0.03177342386731704,0.0002552233550356069,0.2552233550356069
FITB,25,0.3096774316048102,0.0048526656752977,0.11960184532760829,0.04057350170480634,0.00019688963904954644,0.19688963904954643
GPN,25,0.3080296741076441,0.025966882316955105,0.7686131082515385,0.03378407424773858,0.0008772670801783012,0.8772670801783012
PPG,25,0.325193607678082,0.00655018440747826,0.1735625202210388,0.03773962488638871,0.00024720150247490186,0.24720150247490186
KMI,25,0.9234189410702174,0.002540975233097256,0.10057945263940192,0.025263363106649388,6.419357995873905e-05,0.06419357995873905
PG,25,0.10870290924155257,-0.0020042447954138867,-0.07438121581832545,0.026945577231611978,-5.4005532925881236e-05,-0.054005532925881235
MDLZ,25,0.20489904180294843,0.014731784103029884,0.37041870848950026,0.03977062649752062,0.0005858922832037134,0.5858922832037133
DVA,25,0.26679658661078176,0.004016427657345105,0.14221105886657856,0.02824272380331047,0.00011343485700237511,0.11343485700237511
CAT,25,0.5808175486820688,-0.0031476585982566276,-0.0855254162524311,0.03680377993094134,-0.00011584573434797221,-0.11584573434797221
JCI,25,0.32249875008666784,-0.00065990801281216,-0.023151611296892215,0.02850376176196184,-1.880986078200747e-05,-0.01880986078200747
BKNG,25,0.33350947578229767,0.01191190284104552,0.2071160857905471,0.057513170913686636,0.0006850913040042804,0.6850913040042804
HST,25,0.46971491452429714,-0.002991245425256304,-0.07869578028194775,0.03801023910734988,-0.0001136979538427586,-0.11369795384275859
AVY,25,0.07665649307873074,0.015444751717005769,0.3697986412392783,0.04176530142254427,0.000645054710857104,0.645054710857104
LLY,25,-0.11546617514131118,0.007768213598483603,0.20160817867389305,0.03853124238103906,0.0002993189210308554,0.2993189210308554
COF,25,0.27763215953097525,0.003782800067377052,0.09187759108896655,0.04117217291552742,0.00015574609847891676,0.15574609847891677
EMN,25,0.5466647108381686,0.005773970473443083,0.12159329948305236,0.0474859264284366,0.0002741823371018835,0.2741823371018835
PKI,25,0.4206988273715376,0.0133771741125226,0.3717022220758061,0.03598895384002955,0.0004814305016456141,0.4814305016456141
HON,25,0.2651266496911584,0.007701433642617196,0.3146860135501859,0.02447339033512202,0.00018848019167581128,0.1884801916758113
MJN,25,0.2554421809469129,-0.003274763852188965,-0.07551579558352135,0.0433652830760028,-0.00014201106145723586,-0.14201106145723585
