Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PFG,25,1.200036734028136,0.007321193122149272,0.2582082163131808,0.02835383484958277,0.00020758390068732172,0.20758390068732172
VRSK,25,0.9381728271622589,0.003317686633179733,0.13621752211888558,0.02435579932429089,8.080490985860786e-05,0.08080490985860786
DOV,25,0.49054402667006125,0.012988854406742852,0.47068374831694926,0.027595714645317244,0.0003584367197780472,0.3584367197780472
VRTX,25,0.8277201896537808,0.007728807643755086,0.07739696791635976,0.09985930782336774,0.0007717933816053367,0.7717933816053367
LLTC,25,0.974452096491729,-0.002931675612441894,-0.1426647127150632,0.020549409567712635,-6.024420287974325e-05,-0.060244202879743254
GLW,25,1.0781538085319473,0.002951627168461769,0.06530364300385301,0.04519850704634684,0.00013340914137190805,0.13340914137190804
HOG,25,1.1348585989127886,-0.0001487929836579381,-0.00609714693566262,0.02440370639382791,-3.6311002866499557e-06,-0.003631100286649956
ADBE,25,0.6989008319889737,0.009723267341938005,0.35109687149379276,0.027693973177741367,0.0002692759049676397,0.2692759049676397
BEN,25,1.397408993477227,-0.006456000110308089,-0.2327781047099788,0.027734567726426424,-0.00017905437230115616,-0.17905437230115614
INTC,25,0.6691322660860879,-0.0025600269726341164,-0.0802271276766251,0.03190974233744135,-8.168980107365467e-05,-0.08168980107365467
PNW,25,1.116142630887681,-0.008441222110625694,-0.3173065098702402,0.02660273851323649,-0.00022455962454112556,-0.22455962454112557
ETR,25,0.731940012727892,-0.009417667722923429,-0.2841070976217414,0.03314830147419287,-0.0003121796888632413,-0.31217968886324127
AAPL,25,0.38254464280531586,-0.009068638127100128,-0.12970750839061526,0.06991606144950258,-0.0006340434605576345,-0.6340434605576345
MPC,25,0.5550663331175105,0.0038114760778114546,0.05955356038495845,0.06400080957668697,0.00024393755466210862,0.24393755466210862
CAH,25,0.6515728907938517,0.005591005550034254,0.18100368328146857,0.030888904848085316,0.00017270003844012497,0.17270003844012496
TPR,25,0.5687074198810201,-0.010470961295045541,-0.1891307642644083,0.05536360695083399,-0.000579710185536297,-0.579710185536297
TXN,25,0.8703701840706782,0.004265377059354912,0.21307929914558424,0.020017791857108735,8.538343016625317e-05,0.08538343016625317
DFS,25,1.1136850662307178,-0.0034061126095017366,-0.08058832671079566,0.04226558297611919,-0.0001439613351229015,-0.1439613351229015
ROP,25,0.5398579577305739,-0.0012043266031982114,-0.051115793074011796,0.023560753551342493,-2.83748422932785e-05,-0.0283748422932785
CHRW,25,0.9510114500551263,-0.009967968571768003,-0.2764753006331756,0.03605373987817232,-0.00035938254600032047,-0.3593825460003205
EXPE,25,0.5929773305030573,-0.01338676297176402,-0.17901100421085125,0.07478178802905427,-0.0010010860709496496,-1.0010860709496496
BBBY,25,0.7667296509665068,0.001974492847235018,0.07572482873267433,0.026074576598983424,5.1484064989374346e-05,0.05148406498937435
FRT,25,0.9556461369635795,-0.010666111503795957,-0.39947609945684814,0.026700249447459426,-0.00028478783778576865,-0.28478783778576866
ORCL,25,0.5595735469764873,-0.00377010823904909,-0.10289745105505255,0.03663947163309219,-0.00013813477387832626,-0.13813477387832626
DHR,25,0.8332918134119685,0.0029632767430133895,0.1470338133322324,0.02015370938056047,5.972101829286563e-05,0.05972101829286563
VMC,25,1.324576259822559,-0.009897172451517056,-0.2216255361587274,0.04465718447006367,-0.00044197985589942946,-0.44197985589942945
CNP,25,1.0118324905451037,-0.005300468162152934,-0.1878894395518605,0.02821056986914861,-0.00014952922742761306,-0.14952922742761307
ZION,25,1.1394488458413856,-0.0021324052941559517,-0.06125550133108601,0.034811653611816845,-7.42325544601614e-05,-0.0742325544601614
BLK,25,1.517892446434547,0.0021804561798415556,0.09884196092791565,0.022060025513169837,4.8100918957653554e-05,0.04810091895765355
ALB,25,0.5715630841319521,0.0012114637031998866,0.04397250088816393,0.02755048447849315,3.337641195126631e-05,0.03337641195126631
NSC,25,1.213842083498379,-0.0004298351491264039,-0.01467043066988631,0.029299422682165534,-1.2593921717906163e-05,-0.012593921717906163
BBY,25,1.1197205649494912,0.029420462460954755,0.3483521146965864,0.08445610409622427,0.0024847376401614532,2.484737640161453
GOOG,25,0.9235172490759852,0.004777923761876374,0.14629507489123908,0.03265949838317149,0.0001560445933759181,0.1560445933759181
SLG,25,1.0681546648740081,-0.002148898555356096,-0.09314243620126499,0.023071101025451932,-4.95774556640682e-05,-0.0495774556640682
SWKS,25,1.4734268469335832,-0.01656627846099279,-0.3083986930351717,0.0537170838759147,-0.0008898921696009087,-0.8898921696009087
DLR,25,0.6621657687023232,-0.008207963858112542,-0.13892906799697277,0.05908024847824784,-0.00048492854423776675,-0.48492854423776677
WHR,25,1.02967558965694,0.005002253451729041,0.1061400722821355,0.047128792586765306,0.0002357501653929688,0.2357501653929688
FDX,25,1.1208918578248452,0.0014257224373647355,0.039140034522344096,0.036426192637894206,5.193364015161591e-05,0.05193364015161591
ADI,25,0.7953415810754888,-0.0009000280416189971,-0.03915929065698286,0.02298376774755251,-2.0686035474855554e-05,-0.020686035474855556
CVS,25,0.801720338017934,0.002355576970054408,0.09116976144608256,0.025837261529388634,6.08616582279006e-05,0.0608616582279006
LKQ,25,0.8169645859567243,0.00876291328725309,0.20768865069597683,0.042192547632660976,0.00036972963627330375,0.36972963627330374
AVB,25,0.880680877909386,-0.010950779540324291,-0.3810283805856551,0.028740062678513676,-0.0003147260903675053,-0.31472609036750526
FITB,25,0.9636882451165423,0.0002691244517519526,0.013043339762296918,0.02063309372112531,5.552870035644505e-06,0.005552870035644505
GPN,25,0.7878405213224329,0.003386416668758531,0.1143554792246912,0.029613068754709468,0.00010028218964404057,0.10028218964404056
PPG,25,0.8968335506455682,0.0072268867715022615,0.23684650615573735,0.030512954946231102,0.00022051367046036204,0.22051367046036205
KMI,25,0.7017675967423764,-0.005564462788646547,-0.15236874933280337,0.03651971164042742,-0.00020321257647526054,-0.20321257647526053
PG,25,0.8600444570839683,-0.003188955234110111,-0.13411995311694672,0.023776888971393254,-7.582343453617948e-05,-0.07582343453617948
MDLZ,25,1.0914526545160894,-0.003390163084527567,-0.10777998254262379,0.031454477951755634,-0.00010663580999512823,-0.10663580999512823
DVA,25,0.4030209364008185,-0.004511756719892507,-0.13979281554665826,0.03227459653237066,-0.00014561512778674273,-0.14561512778674274
CAT,25,0.9859348036539464,-0.011240403492770185,-0.3875910205292462,0.029000680865675588,-0.00032597935449525336,-0.32597935449525334
JCI,25,1.0215511550283827,-0.00013615041030371963,-0.006062813788660123,0.022456637305664103,-3.0574803832079848e-06,-0.003057480383207985
BKNG,25,0.5655246799703522,0.01710845638283204,0.48372001702996725,0.03536851025491497,0.0006051006150219606,0.6051006150219606
HST,25,1.6126321938993025,-0.009901964284010707,-0.37251689506525576,0.026581248837790637,-0.000263206576616204,-0.263206576616204
AVY,25,0.8486220683032245,0.0063151544628658966,0.22476553395850396,0.028096631861857412,0.00017743457009390898,0.17743457009390898
LLY,25,0.8221302057208274,-0.008233015578259499,-0.2689928041124444,0.03060682461534522,-0.0002519864638591935,-0.2519864638591935
COF,25,1.1002723389672822,-0.006675919938244252,-0.1850262938238153,0.036080925582399434,-0.0002408733704858475,-0.2408733704858475
EMN,25,0.9264428020477743,-0.001410446879411307,-0.0353564303688407,0.039892230768135487,-5.626587239967242e-05,-0.056265872399672415
PKI,25,0.6745416900074404,7.914329693683476e-05,0.0025801414584965595,0.030674014665440598,2.4276426509117897e-06,0.0024276426509117896
HON,25,0.8698860171357597,0.00409536570854744,0.22934566175858517,0.017856739373855353,7.312987809815609e-05,0.07312987809815609
MJN,25,-0.05293330831082278,0.011342998448198702,0.2138536514762442,0.0530409388378329,0.0006016432869285408,0.6016432869285409
MMM,25,0.6230959755823288,0.007187718076069619,0.6252175127382357,0.011496347958312794,8.263250802875093e-05,0.08263250802875094
DAL,25,1.8578254817396014,0.016843328470295533,0.3365238610076609,0.050050918885398435,0.0008430240670268838,0.8430240670268838
HD,25,0.7822999876928312,0.0005125630870486796,0.018648861584398737,0.027484953155396875,1.408777243671857e-05,0.014087772436718571
SYY,25,0.8349027781769496,-0.006096344493916122,-0.23621352268966156,0.025808617662950346,-0.0001573382241851137,-0.1573382241851137
ADSK,25,1.183733214912646,-0.006557048934216233,-0.16784741455332616,0.0390655343227406,-0.0002561546201955139,-0.2561546201955139
