Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PFG,25,0.3367779892422561,0.003341466284628186,0.08663144126803443,0.038571057294196624,0.0001288838875110201,0.1288838875110201
VRSK,25,0.17587344457247509,0.010276190613350077,0.48060732456526706,0.02138167707420064,0.00021972218924758315,0.21972218924758316
DOV,25,0.7832921864581072,0.003412552243632627,0.15337126344415916,0.022250271445896388,7.593021374412869e-05,0.07593021374412869
VRTX,25,0.15203485083847254,-0.0020288226758802697,-0.025177465593920065,0.08058089358963105,-0.00016348434415733854,-0.16348434415733853
LLTC,25,0.29967643597509164,0.00045370127581562635,0.011944234680527915,0.037984959936803044,1.7233824785132996e-05,0.017233824785132995
GLW,25,0.3807874743149173,0.002257782690679287,0.0490145179533745,0.04606354984102921,0.00010400148550231837,0.10400148550231837
HOG,25,0.20805354338217372,0.0012785795148921755,0.028479000510607932,0.04489551922357412,5.740249118970974e-05,0.05740249118970974
ADBE,25,0.468190817008202,0.01598019433217132,0.4000779888050423,0.03994269812218652,0.0006382920781437951,0.6382920781437951
BEN,25,0.3056912605483121,-0.00856695882028181,-0.27164418727162476,0.0315374273468825,-0.0002701798413783718,-0.2701798413783718
INTC,25,0.24243312620458804,-0.0013583415308180812,-0.03443255326908969,0.03944934086655353,-5.358567806243861e-05,-0.05358567806243861
PNW,25,-0.14240914285324047,0.004291195278658963,0.10877412846195507,0.039450514008575625,0.00016928985945426902,0.16928985945426903
ETR,25,-0.0472085545528626,-0.006793006147375706,-0.1939140511097177,0.03503101558912914,-0.00023796590424576843,-0.23796590424576844
AAPL,25,0.2819101398969831,0.011033748164327298,0.28971789054145014,0.038084455687933054,0.00042021429303613564,0.42021429303613567
MPC,25,0.6604493840430694,0.01728903853552897,0.30956392254820897,0.055849655842361665,0.0009655868520546216,0.9655868520546216
CAH,25,0.12794621235549122,0.004369214130833953,0.1289830102330043,0.03387433835619968,0.0001480042378185582,0.1480042378185582
TPR,25,0.2736213898143625,-0.0030904028480657148,-0.0620944978807432,0.04976935080465661,-0.00015380734347309247,-0.15380734347309247
TXN,25,0.34775424299541635,0.007781080479778499,0.16330406707629708,0.047647805832925834,0.0003707514118708553,0.3707514118708553
DFS,25,0.22542331548288583,-0.004148457686302044,-0.12226140074814959,0.033931049872785224,-0.00014076152464905387,-0.14076152464905387
ROP,25,0.3583343207224259,0.009601767926597518,0.33818257808944174,0.02839226071562464,0.0002726158983028793,0.2726158983028793
CHRW,25,0.15322135380519197,0.005062548761029615,0.11049814355339155,0.04581569063722274,0.00023194416787118813,0.23194416787118813
EXPE,25,0.34952380824947993,0.0191863722359255,0.3117948942175075,0.0615352354761176,0.0011806379334701207,1.1806379334701207
BBBY,25,0.2534002313060102,-0.0002899458304479619,-0.008870507129925063,0.03268649990368829,-9.47731435901213e-06,-0.00947731435901213
FRT,25,-0.06741815021867588,0.004395792144772472,0.11872265735834457,0.03702572232277875,0.0001627573793409976,0.1627573793409976
