Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PFG,25,0.45870427022945676,0.004125694933200063,0.0773955558984505,0.053306612832051015,0.00021992682246725035,0.21992682246725034
VRSK,25,0.20828208874051798,0.011219489164519052,0.4622039905081921,0.02427389073855302,0.000272340654121915,0.272340654121915
DOV,25,0.31486773650757743,0.007289521358689745,0.1662778442344929,0.043839402611028054,0.00031956826168528797,0.31956826168528796
VRTX,25,0.6048076752908679,0.003093166923287278,0.02275426557534942,0.13593789318510133,0.0004204785948215145,0.4204785948215145
LLTC,25,0.42894215640199485,-0.000982913024064746,-0.026440998040739537,0.03717382462455848,-3.65386363777773e-05,-0.0365386363777773
GLW,25,0.5282523978084038,-0.003596700295067236,-0.059242062818280004,0.06071193547226417,-0.00021836263622719551,-0.2183626362271955
HOG,25,0.6520904351426101,-0.0009452142504840291,-0.020071068852804092,0.04709336893894293,-4.45133234243908e-05,-0.044513323424390794
ADBE,25,0.41673350725597597,0.006553708319492499,0.14462290157925303,0.045315840353964146,0.00029698679993256876,0.29698679993256877
BEN,25,0.49613785728385357,0.006212971915409614,0.14410675602887987,0.04311367549044332,0.00026786405499220814,0.26786405499220817
INTC,25,0.3752207362611892,-0.0009945457181943524,-0.02637825508325661,0.03770324136510578,-3.749759726171414e-05,-0.037497597261714144
PNW,25,0.05038592942914549,0.010124675348956325,0.4261475761508805,0.0237586130147825,0.0002405482435161613,0.2405482435161613
ETR,25,0.007589296366521328,0.004659423588986335,0.19636520996315734,0.0237283559030673,0.00011056046122261492,0.11056046122261493
AAPL,25,0.49737302521529875,0.015192732794315003,0.36477812226891515,0.04164924338065124,0.0006327658257676272,0.6327658257676272
MPC,25,0.8006398104155164,0.016031257723702223,0.24380586187056433,0.0657541931137536,0.0010541224162206701,1.0541224162206702
CAH,25,0.34197513163453136,-0.005569459208714801,-0.2003661838020061,0.027796403080762967,-0.00015481093310730376,-0.15481093310730376
TPR,25,0.6595707999523918,-0.0059483957287859044,-0.0887272957578017,0.06704132790233121,-0.00039878834854636225,-0.39878834854636225
TXN,25,0.42939040257532923,-0.004419382254722709,-0.09823895172318804,0.04498604858056085,-0.00019881054480702434,-0.19881054480702434
DFS,25,0.381962810543254,0.017498261517320292,0.524395110411734,0.03336846810715179,0.0005838901813713037,0.5838901813713037
ROP,25,0.2785064840560137,0.015883902331664534,0.433408089073098,0.03664883681713097,0.0005821265445724197,0.5821265445724196
CHRW,25,0.14688933182611666,-0.006466441400650004,-0.1405977738505822,0.04599248781507807,-0.0002974077273263117,-0.2974077273263117
EXPE,25,0.55656639729193,0.010624706000136312,0.10408792003931812,0.10207434249933077,0.0010845098792126085,1.0845098792126084
BBBY,25,0.31113089307047015,0.00020198958927166322,0.0036437884927163055,0.05543395004277202,1.1197080800845418e-05,0.011197080800845418
FRT,25,0.16986411892904557,0.009300953666946863,0.3658572277919772,0.025422358670020025,0.00023645218009436111,0.23645218009436111
ORCL,25,0.32275295377964097,-0.00015354831012393943,-0.0027066074432973747,0.056730912531917206,-8.710935751064904e-06,-0.008710935751064904
DHR,25,0.36283164816652325,0.006629178910915212,0.21942114584735306,0.030212124202135923,0.0002002815766147505,0.20028157661475052
VMC,25,0.5092353402559007,0.015425321722289408,0.16269567196524512,0.09481089162337734,0.0014624885060677093,1.4624885060677093
CNP,25,0.04389008200543329,0.005091662214335099,0.16888191308939113,0.03014924524001587,0.00015350977277931116,0.15350977277931116
ZION,25,0.6153800678174527,0.006624320032202195,0.09982782477818783,0.06635745141117805,0.00043957299466895056,0.43957299466895056
BLK,25,0.311828522193323,0.005447212833133146,0.14098076267465579,0.038637986699673284,0.0002104693369968881,0.2104693369968881
ALB,25,0.47604344943722526,0.0048556718825886434,0.07657471546993198,0.06341090336137499,0.0003079025405013742,0.3079025405013742
NSC,25,0.19072124354492095,0.0002713908744243886,0.004770744524547562,0.05688648239870406,1.5438472201111888e-05,0.015438472201111888
BBY,25,0.38047946376749125,-0.014956416670306713,-0.1599989579741884,0.09347821298135914,-0.0013980991029448812,-1.3980991029448813
GOOG,25,0.272178650076097,0.012408883913569861,0.26314329533161795,0.04715637500067012,0.0005851579831680834,0.5851579831680834
SLG,25,0.49291158611636937,0.00747358597001305,0.15422757695599604,0.04845816887952147,0.0003621562910705147,0.36215629107051467
SWKS,25,1.232379933667395,-0.006822190215801166,-0.07633609457369801,0.08937043811187828,-0.0006097021284687197,-0.6097021284687196
DLR,25,0.2680874046126353,0.007918018372080726,0.23922570197642234,0.033098527067384725,0.00026207474540836345,0.26207474540836345
WHR,25,0.5483092462721088,0.013807117982916053,0.18142062695070765,0.07610555764790447,0.0010507984136002362,1.0507984136002362
FDX,25,0.3515578507004458,0.005017523140052114,0.11585987364134653,0.04330682385848492,0.0002172929908321091,0.2172929908321091
ADI,25,0.4401801041130581,0.0033924526588192967,0.08868676383874778,0.03825207406358325,0.00012976835036235563,0.12976835036235562
CVS,25,0.29031250765005273,0.011249655133753377,0.4110865948394733,0.02736565792943527,0.0003078542142144103,0.3078542142144103
LKQ,25,0.36991866190984124,0.01328491401260368,0.24020585602711647,0.055306370262280226,0.0007347403732836141,0.7347403732836141
AVB,25,0.3258726826959229,0.00404616339244812,0.09663219369904462,0.041871794870451375,0.00016942012358091732,0.16942012358091732
FITB,25,0.3167520376140249,0.014195566709241672,0.3336343555067396,0.04254827620399217,0.000603996893217011,0.603996893217011
GPN,25,0.5064045298144952,-0.005674108292041262,-0.1207807019429555,0.046978600064115646,-0.00026656166417228874,-0.2665616641722887
PPG,25,0.3726110147164384,0.015462575103724684,0.34868723045230576,0.044345114341202384,0.0006856896609841004,0.6856896609841004
KMI,25,0.2846736387583296,0.010205609240963417,0.25559163205255236,0.039929355898729244,0.0004075034035457883,0.4075034035457883
PG,25,-0.03138296920480427,0.005788918106017624,0.22657028902718845,0.02555020841820506,0.00014790806412467118,0.1479080641246712
