Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PFG,25,0.4854560353528462,-0.00486831034120282,-0.1201694006972216,0.04051206307892804,-0.00019722529563060632,-0.1972252956306063
VRSK,25,0.22730418844782505,0.006047073969458149,0.2671728529501405,0.022633564386074237,0.00013686683803508452,0.13686683803508454
DOV,25,-0.15775261214175074,-0.012823737788749272,-0.24965202950324214,0.05136644718757528,-0.0006587098498731028,-0.6587098498731028
VRTX,25,0.3771725898980917,-0.006086030818578912,-0.07592383269599444,0.08015968902607833,-0.0004878543378204145,-0.48785433782041454
LLTC,25,0.21107838710767537,-0.0063609785595360934,-0.1536620997858528,0.04139588466122034,-0.00026331833478305167,-0.26331833478305167
GLW,25,0.5509343140874224,-0.0070293622918092494,-0.14607354158348143,0.04812207752073944,-0.0003382675171278073,-0.33826751712780734
HOG,25,0.48878283880691514,-0.004212767808077196,-0.0962003694748234,0.04379159696657631,-0.00018448382996508368,-0.18448382996508367
ADBE,25,0.2704836607819471,0.005465168259179313,0.11411320423045311,0.04789251424526064,0.00026174064870549156,0.2617406487054916
BEN,25,0.33577146355916987,-0.015785975000059557,-0.4544507339956938,0.03473638354869318,-0.0005483476822921505,-0.5483476822921506
INTC,25,0.14213729531618854,-0.00680772706943475,-0.16306883483233514,0.04174756676488398,-0.0002842060403483352,-0.2842060403483352
PNW,25,0.9723128483585525,0.0051470907412908195,0.20426596280025722,0.025197985365402926,0.00012969631717344696,0.12969631717344696
ETR,25,0.7284393281273769,-0.007411348489996328,-0.28470640994749874,0.026031547696319927,-0.00019292887171138808,-0.1929288717113881
AAPL,25,0.13513590377337018,0.004763964252899867,0.11512837355953649,0.041379584420484075,0.0001971308609790384,0.1971308609790384
MPC,25,0.48316074349741983,0.002230420622134788,0.03356240243771094,0.06645592866226621,0.0001482246737514369,0.14822467375143691
CAH,25,0.47180986443645767,0.0006118889387954692,0.019631237738493342,0.031169147200314554,1.907205640356024e-05,0.01907205640356024
TPR,25,0.18044218308815643,-0.009285301898841027,-0.17844704431838182,0.052033934965458814,-0.00048315079513894525,-0.48315079513894527
TXN,25,0.5165755033405208,-0.0007302477137387369,-0.01485168108447961,0.04916936403259188,-3.59058156707879e-05,-0.0359058156707879
DFS,25,-0.0961848304420563,-0.008708288032213041,-0.2395708593057762,0.03634952956068092,-0.0003165421732498518,-0.3165421732498518
ROP,25,0.26584249560892176,0.0014233292766021787,0.04133096563220605,0.034437358402608614,4.901570042327488e-05,0.049015700423274876
CHRW,25,0.590521712212595,0.0005063237725842628,0.01188221448302714,0.04261190313535483,2.1575419552488033e-05,0.021575419552488033
EXPE,25,0.4620519047715097,0.010758680450988326,0.17023072375067944,0.06320057985975276,0.0006799548430282485,0.6799548430282485
BBBY,25,0.3875383629214237,-0.006516652351045518,-0.19320156639335812,0.0337298111640442,-0.00021980545322248997,-0.21980545322248998
FRT,25,1.0725036266739978,0.0034411633512213408,0.2574609974823948,0.013365765630021873,4.599378284704508e-05,0.045993782847045084
ORCL,25,0.4039403646626992,-0.003466637028736892,-0.09630591973216684,0.0359960949272676,-0.00012478539556479406,-0.12478539556479407
DHR,25,0.3069287806864577,0.0027498261897455703,0.0848104052483586,0.032423217194788606,8.915821179803861e-05,0.08915821179803861
VMC,25,0.10854585390521601,0.014480020294474132,0.24697815163316117,0.05862874994700517,0.000848945489072284,0.8489454890722841
CNP,25,0.45023932494169416,-0.012476786924292677,-0.34806686798335357,0.035845948212713495,-0.0004472422579492562,-0.4472422579492562
ZION,25,-0.2649989939698091,-0.0015844974585013639,-0.03962682087354734,0.039985480126140685,-6.33568916368267e-05,-0.0633568916368267
BLK,25,0.4420915159470602,-0.004415640166850832,-0.12816143252254483,0.03445373604164481,-0.00015213530076356303,-0.15213530076356302
ALB,25,0.29171500697855934,-0.013507040017274279,-0.2439879623825507,0.0553594525130567,-0.0007477423404282519,-0.7477423404282519
NSC,25,0.024381577345187058,-0.014953651030560672,-0.30874710334887334,0.04843333222680821,-0.0007242551483668979,-0.7242551483668979
BBY,25,-0.3506228963371432,0.0044608127026126675,0.07700542645552898,0.05792855007677686,0.0002584084120264202,0.25840841202642023
GOOG,25,0.47751609934855643,0.00023793279442528852,0.0039121176838929975,0.060819436849997466,1.4470938565092264e-05,0.014470938565092264
SLG,25,1.0208608744006689,0.0009690148086636801,0.054620483117541516,0.017740868504923173,1.7191164299825635e-05,0.017191164299825635
SWKS,25,0.5850087981961419,0.013170461872963175,0.18699297137095852,0.07043292470515099,0.0009276341494304772,0.9276341494304772
DLR,25,0.8590319332215205,0.0004890064651415723,0.01827716859756695,0.02675504482716588,1.3083389895636696e-05,0.013083389895636696
WHR,25,0.7891783544473614,-0.0006127926430682439,-0.0133862263019602,0.04577784875626301,-2.8052328933328727e-05,-0.028052328933328728
FDX,25,0.3915681902112189,-0.006149714374529228,-0.18324321605766516,0.033560393158532875,-0.00020638683222188198,-0.20638683222188198
ADI,25,0.2620083914267407,0.003606809941601148,0.06685495741666425,0.053949775468739074,0.00019458658650779782,0.19458658650779784
CVS,25,0.5648188804559814,0.006934828118206494,0.2533919692608922,0.027367986990410098,0.00018979228571980547,0.18979228571980547
LKQ,25,0.1888268083751872,0.0020092672613282693,0.04475356580408237,0.044896249611131235,9.020856450006803e-05,0.09020856450006803
AVB,25,1.052504185992837,0.00566420898517315,0.40903892237419304,0.013847603920664238,7.843572255054532e-05,0.07843572255054532
