Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PFG,25,0.7401351842672743,0.004198612765936031,0.11162525941967094,0.03761346479967184,0.00015792437347898771,0.15792437347898772
VRSK,25,0.14113178867842532,0.013022419527762601,0.46760598001806564,0.02784912957541623,0.0003626630488140913,0.36266304881409134
DOV,25,0.7343094445215851,-0.00021719570955725746,-0.005978238464835288,0.036331054847482,-7.890949236562492e-06,-0.007890949236562491
VRTX,25,0.5934907448641428,0.005219840775989765,0.04159863514712116,0.12548105863398756,0.0006549911464720509,0.6549911464720509
LLTC,25,0.6862205479046475,0.004299166651392305,0.13291446408809995,0.032345363470319376,0.00013905810795875994,0.13905810795875995
GLW,25,0.49571055300823524,-0.009357232671848462,-0.16418710089764318,0.05699127775988875,-0.0005332806462652217,-0.5332806462652216
HOG,25,0.7550203473746356,0.00408168148793338,0.10643183465261778,0.038350193823638905,0.00015653327618860396,0.15653327618860396
ADBE,25,0.549605437831761,0.008834198127155834,0.3054245900058567,0.02892431852650251,0.00025552316055608726,0.25552316055608726
BEN,25,1.0191983448913726,-0.0012751732407108776,-0.04376760791711199,0.02913509102726901,-3.715228844364903e-05,-0.03715228844364903
INTC,25,0.4325609908021622,0.008654351965923112,0.2504187711752731,0.03455951774424194,0.0002990902303312349,0.2990902303312349
PNW,25,0.20524580793530042,0.00786223954504059,0.39259523024737353,0.02002632467054327,0.00015745176176656727,0.15745176176656728
ETR,25,0.08635491048812911,0.0037851997439674414,0.15559536379399888,0.024327201348870987,9.208331631719086e-05,0.09208331631719086
AAPL,25,0.2891365954878452,0.0222297777337811,0.47430700986011265,0.04686790891059638,0.0010418631979296562,1.0418631979296562
MPC,25,1.3460429285131643,0.009512561034355755,0.1420421056789046,0.06697000856816018,0.0006370562939759516,0.6370562939759516
CAH,25,0.3220630144403766,-0.002049954588344953,-0.08807446782095568,0.023275242406371993,-4.771318996578329e-05,-0.04771318996578329
TPR,25,0.7662505276050342,-0.000823739025043824,-0.014434812277980866,0.057066140465184365,-4.700760690980488e-05,-0.047007606909804885
TXN,25,0.49118333395862257,0.005259395048425015,0.12444136070265577,0.042264043230706747,0.00022228329969399983,0.22228329969399982
DFS,25,0.6550557035130884,0.016404249199558088,0.4808357032373859,0.034116121346878026,0.0005596493562965505,0.5596493562965504
ROP,25,0.496135638670606,0.011485178884830326,0.35276562386611104,0.03255753426016765,0.0003739291050270174,0.3739291050270174
CHRW,25,0.25405186762892124,-0.007858222985798857,-0.16780245363808963,0.046830203107442,-0.0003680021784885298,-0.36800217848852984
EXPE,25,0.3163900446689824,0.006580716819348668,0.06228882254600736,0.10564843820073919,0.0006952424542055227,0.6952424542055227
BBBY,25,0.12083651857600634,0.00593799340934663,0.10836419119237878,0.054796638483693566,0.00032538207817052234,0.32538207817052234
FRT,25,0.38247299961555087,0.008084901167142082,0.47415681533509024,0.0170511124287614,0.00013785655877636391,0.1378565587763639
ORCL,25,0.417628122315668,0.004225947829263711,0.07736159525681958,0.05462591373968837,0.0002308462615897828,0.2308462615897828
DHR,25,0.580465648293253,0.005778484028962668,0.21866645464660894,0.026426019657662565,0.00015270233254085664,0.15270233254085663
VMC,25,1.1258169857060545,0.0034780985403660963,0.048175875375397116,0.07219585556596492,0.0002511042998644641,0.2511042998644641
CNP,25,0.16996200097524325,0.0027934321331891097,0.10502718139638383,0.02659723031742038,7.429755782251368e-05,0.07429755782251368
ZION,25,0.9521522391655944,0.0035860975127212803,0.05446036933812222,0.06584783680875654,0.0002361367637979586,0.2361367637979586
BLK,25,0.5326905578050599,0.0030805306068038343,0.0983351352158602,0.03132685585921668,9.650333828924901e-05,0.09650333828924901
ALB,25,0.9339363831304557,0.0019036039542761041,0.0376178659274188,0.05060371999700841,9.632944148738598e-05,0.09632944148738598
NSC,25,0.6345857819964207,0.0033345623255950467,0.07560399093676867,0.04410563892564752,0.0001470730019077626,0.1470730019077626
BBY,25,0.5140516671588122,-0.012449836565471483,-0.16066180387345586,0.07749095469684573,-0.0009647497212780841,-0.9647497212780841
GOOG,25,0.23454690780421947,0.009686183277855618,0.19285100367308772,0.05022625287589997,0.00048650069071588993,0.4865006907158899
SLG,25,1.0315513788862205,0.0028604916490005887,0.1081823578564965,0.026441387539315978,7.563536824420157e-05,0.07563536824420157
SWKS,25,1.1033820887071117,0.011339902914325257,0.12423723695836103,0.09127620021142215,0.0010350632487860416,1.0350632487860416
DLR,25,0.3713450375393439,0.010108336215887949,0.43675805167234444,0.023144018014512106,0.00023394751547725583,0.2339475154772558
WHR,25,0.4803466734020043,0.008312348456002663,0.10196862064347878,0.08151869078494066,0.00067761176348156,0.67761176348156
