Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PFG,25,0.8766555191976615,-0.004176441047834394,-0.12479039537288676,0.0334676481740021,-0.00013977565960838218,-0.13977565960838217
VRSK,25,0.5764338131640105,0.0026366604564439103,0.06252687169809495,0.04216843710292711,0.00011118385061933011,0.11118385061933012
DOV,25,0.9643921618264442,0.0034215596046118287,0.11957526874430309,0.02861427484581624,9.79054469277052e-05,0.0979054469277052
VRTX,25,1.2920919169571115,-0.016561305391133294,-0.19998839874469607,0.08281133053260431,-0.001371463734796541,-1.371463734796541
LLTC,25,0.5649020744131296,0.012481446304461456,0.2340613732285172,0.05332552796857966,0.0006655797139968846,0.6655797139968846
GLW,25,0.6785556033863411,0.00885574856372136,0.19004185477066987,0.04659893776772438,0.0004126684762074662,0.41266847620746616
HOG,25,0.5749097622177056,-0.003907623541266054,-0.0738757849544615,0.0528945112891158,-0.00020669183751711198,-0.20669183751711198
ADBE,25,0.35478362692632326,0.008909831695462087,0.1890193070960485,0.04713715139657471,0.0004199840855469964,0.4199840855469964
BEN,25,0.8435335974038113,-0.007537914681578,-0.1923233131984196,0.039193972671431404,-0.0002954408220293497,-0.2954408220293497
INTC,25,0.7682270018711458,0.006365428847956741,0.21393458253336775,0.02975409011754289,0.00018939754357891208,0.1893975435789121
PNW,25,0.005759990336908415,0.010577957448349157,0.3649152142316916,0.028987438823619482,0.00030662789441287126,0.30662789441287125
ETR,25,0.18536852091911213,0.00777505336962377,0.2759189860342435,0.028178754500999912,0.00021909132013480032,0.21909132013480032
AAPL,25,0.5799978502643365,-0.003811314514874138,-0.09013797843811902,0.042283115074415144,-0.0001611542502172119,-0.16115425021721191
MPC,25,0.7160533609187346,-0.006672811773493541,-0.07603862424974912,0.08775555632853992,-0.0005855763094585567,-0.5855763094585568
CAH,25,0.4984775886401722,-0.00282589031373815,-0.06532770540226818,0.04325714941826252,-0.00012223995954099192,-0.12223995954099191
TPR,25,0.691802293353812,0.008624881323210251,0.1843068783266328,0.046796307340874393,0.0004036125971795143,0.4036125971795143
TXN,25,0.6647677571876902,0.013204121920049569,0.3866660609759605,0.034148644664395524,0.00045090286755312866,0.45090286755312864
DFS,25,0.7489600630556551,0.0009539011857547818,0.028833981335381356,0.033082534619812524,3.155746900161279e-05,0.03155746900161279
ROP,25,0.6768671106553165,0.0010018922817979148,0.03035024777127121,0.033011008323506376,3.307347445368776e-05,0.03307347445368776
CHRW,25,0.2497383467501329,0.0006874168442680074,0.017534455880818815,0.039203773926055056,2.694933455564516e-05,0.02694933455564516
EXPE,25,0.6094004139207226,-0.003602452511686692,-0.06494222947262628,0.05547164827787684,-0.0001998339786660382,-0.1998339786660382
BBBY,25,0.6144640721482544,-0.01506452132441526,-0.3477393122078653,0.04332130649470619,-0.0006526147454910307,-0.6526147454910307
FRT,25,0.0015418993486100228,0.009373353170686,0.38494995638994906,0.024349536907573827,0.0002282368089773429,0.2282368089773429
ORCL,25,0.575618342020522,0.002364437011000598,0.0864593410780887,0.02734738643063537,6.46611726307298e-05,0.0646611726307298
DHR,25,0.5835750090306575,0.006044168755946532,0.3042433044766009,0.019866234250724105,0.0001200748723565415,0.1200748723565415
VMC,25,0.8683933729150506,0.005061978433641232,0.10575106713629714,0.047866925324896316,0.0002423013436793405,0.2423013436793405
CNP,25,0.3310057531612028,0.00788367212487523,0.20455049621755395,0.03854144707862447,0.00030384813198610554,0.30384813198610555
ZION,25,1.137453861675146,-0.003659750144228326,-0.07162586005984174,0.05109537450818308,-0.00018699630422572335,-0.18699630422572336
BLK,25,0.8478588145313876,0.005240184260085594,0.20663471503909403,0.025359651010693835,0.00013288924406750156,0.13288924406750155
