Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PEG,25,0.23170705524945345,0.004458635175493268,0.10006356877749235,0.04455802676204534,0.00019866798547182575,0.19866798547182576
NI,25,0.7193741800968575,0.008593933573260212,0.23531244650090383,0.03652137275801602,0.00031386225148666476,0.31386225148666475
STZ,25,0.7527929019864572,0.010978971912008787,0.308935026207717,0.035538126080358765,0.0003901720880416858,0.3901720880416858
MCHP,25,1.3445839267774262,0.0007202185705756812,0.01954744364570882,0.03684464238032415,2.6536195668529225e-05,0.026536195668529227
TWX,25,0.8858217251671306,0.011836397975833454,0.25359568468745397,0.0466742878153519,0.0005524554458210993,0.5524554458210993
K,25,0.21462739795287203,0.0016969715505897023,0.0565795644452408,0.029992658431156293,5.08966880842266e-05,0.0508966880842266
PRGO,25,0.6447279533745599,0.0021329704310804683,0.040125561557277145,0.05315739763631132,0.00011338315735143881,0.1133831573514388
COL,25,1.2923365963081113,0.005060890007156423,0.04003556948305798,0.12640984186069992,0.0006397463054790399,0.6397463054790399
CVX,25,1.4488887215139956,-0.005631094306724191,-0.19255749454814616,0.029243703652969057,-0.00016467405314776347,-0.16467405314776346
BDX,25,0.2890087034792916,0.008783931448707897,0.3062833824506653,0.028679099004409007,0.0002519152396654356,0.2519152396654356
DGX,25,0.4787332611848068,0.01123137195614624,0.3368402188627255,0.03334332222579225,0.0003744912541715107,0.3744912541715107
FIS,25,0.8006203005456208,0.00873478684197148,0.42907120567081275,0.020357429551385198,0.0001778178077818008,0.17781780778180079
AMG,25,1.3150492883761913,0.0010308715707665528,0.03207091878825594,0.03214349977226247,3.313582010016654e-05,0.033135820100166545
DIS,25,0.8725714001944791,0.010435755317026982,0.4718040396355439,0.022118834177613924,0.00023082674137547265,0.23082674137547265
BK,25,0.9318132052913825,0.00433648867490947,0.14707518883206566,0.029484841796538416,0.00012786068253218622,0.12786068253218622
INTC,25,0.679173673164424,0.008896142981027389,0.19946899591544248,0.0445991264968245,0.0003967602061446779,0.3967602061446779
HD,25,0.7307127892049805,0.014472560642786514,0.5329500237133288,0.027155568062365323,0.0003930106055718988,0.39301060557189876
CMI,25,0.7978233894373317,-0.00339112426557873,-0.10459567306753613,0.03242126721044305,-0.00010994454595814545,-0.10994454595814544
SRE,25,0.37083490908634403,0.006127769228958099,0.19600588213698747,0.031263190482597014,0.00019157361663831368,0.19157361663831368
GLW,25,1.3678780839931521,0.00259019827964389,0.07678620483374679,0.0337325993028571,8.737412068217715e-05,0.08737412068217715
DVN,25,1.7944183218823073,-0.006598280071747657,-0.18604318536072115,0.03546638947808908,-0.000234017170910116,-0.234017170910116
KMB,25,0.40594629434093743,0.0009677409725073868,0.04303627129556494,0.022486636118197265,2.176123910544395e-05,0.02176123910544395
ADP,25,0.7469546364645933,0.00884941118395506,0.3850848513948791,0.022980418865868532,0.00020336317572358884,0.20336317572358883
O,25,-0.0158046115315893,0.010696958888090543,0.2959404588487477,0.03614564541023996,0.00038664848293683545,0.38664848293683546
MHK,25,0.5783046009338221,0.010762659532895172,0.26959431298077924,0.03992168608416639,0.00042966351530300187,0.4296635153030019
