Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PEG,25,0.23654253860228178,-0.0011681740510269465,-0.03968845022594992,0.029433602077592512,-3.4383570175296394e-05,-0.0343835701752964
NI,25,-0.01881373638329662,0.0019521125998040287,0.06158469152329974,0.031698017015567466,6.187809840489174e-05,0.061878098404891745
STZ,25,-0.5671691942707144,0.006164583449994385,0.18908192561863932,0.03260271138991771,0.00020098213505923015,0.20098213505923015
MCHP,25,0.6134234637158048,0.014034862237207945,0.49839419420557063,0.02816016398340917,0.0003952240220843326,0.3952240220843326
TWX,25,0.16267905134217106,0.011971961208594527,0.33204271515749373,0.03605548521947248,0.00043165487040457785,0.43165487040457784
K,25,0.03777142433636752,-0.0013212975361871003,-0.05414977025575947,0.024400796715228254,-3.224071258083338e-05,-0.03224071258083338
PRGO,25,0.25028591270798134,-0.02603124273334766,-0.3474789546155541,0.07491458802777931,-0.0019501198252198637,-1.9501198252198637
COL,25,1.992691980696473,-0.039238060018251475,-0.2509596066083994,0.15635209406220918,-0.006134952850792264,-6.1349528507922635
CVX,25,0.4451825043380243,0.003888129113829688,0.14660735470149328,0.02652069619390033,0.00010311589099053606,0.10311589099053606
BDX,25,0.09831031080535507,0.007621010912972284,0.32628899357457014,0.02335662882612857,0.00017800112317416884,0.17800112317416883
DGX,25,0.4943526528897185,0.010902479799336897,0.8292777722999242,0.013146957706462927,0.0001433344408174486,0.14333444081744862
FIS,25,0.1719829393535649,0.009388354274005573,0.3119738017595641,0.030093405988112776,0.0002825275567278835,0.2825275567278835
AMG,25,0.956189831931204,-0.005493100992879693,-0.09631833611323523,0.05703068817988934,-0.00031327532986556234,-0.31327532986556234
DIS,25,0.43454423112186613,0.0036426518940273216,0.17560607144281407,0.020743314078485876,7.556067231640019e-05,0.07556067231640018
BK,25,0.7043390768707183,0.006135395114263966,0.15550143610288775,0.039455552746178325,0.00024207540554948672,0.24207540554948673
INTC,25,0.04156499842988763,0.0041847271049038305,0.13719833716333463,0.030501296090213632,0.00012763960048341422,0.12763960048341422
HD,25,0.3459213678502929,0.003067034279144198,0.12511580442931153,0.024513563998839364,7.518394108843545e-05,0.07518394108843546
CMI,25,0.44034851117410395,0.011709855577115248,0.38659234748411314,0.030289931120782106,0.00035469071886512705,0.35469071886512704
SRE,25,-0.13576496588809067,0.005964297976212684,0.15745093766411664,0.03788035857198937,0.00022592974596912698,0.225929745969127
GLW,25,0.18035838683893543,0.011087279934014895,0.328464309119744,0.03375490007948763,0.00037425002632598096,0.374250026325981
DVN,25,0.9271399751105008,0.011619075881950852,0.14834549884793252,0.07832442488775106,0.0009100574361809394,0.9100574361809394
KMB,25,0.133763879837155,-0.0004486612836681566,-0.013621933360516173,0.03293668173187683,-1.4777413905593384e-05,-0.014777413905593385
ADP,25,0.604096039454496,0.0038149906813731227,0.14720710112297947,0.02591580604651681,9.886855856773486e-05,0.09886855856773485
O,25,-0.05831355248349552,-0.00035531560959957507,-0.007905492798932622,0.04494540930421805,-1.596980550563065e-05,-0.015969805505630652
