Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PEG,25,0.20883845734965917,0.004712203400083565,0.16392251480466588,0.028746529454472702,0.0001354594938359686,0.13545949383596861
NI,25,0.5665521775414224,0.004150762665876885,0.18438124246123788,0.022511848876110553,9.34413418548222e-05,0.0934413418548222
STZ,25,2.45006204370664,0.007644984396715057,0.085510676792376,0.08940385789808965,0.0006834910986370256,0.6834910986370256
MCHP,25,1.4349566606666526,-0.01052567575376187,-0.29037450650730373,0.03624862209967155,-0.00038154124274178956,-0.3815412427417896
TWX,25,0.8201872428799799,0.011477578685576355,0.3259260032516034,0.03521528988503586,0.0004041862605908802,0.4041862605908802
K,25,0.30451746030548804,0.00615897540977387,0.20970716223906616,0.029369408960637396,0.00018088546758815807,0.18088546758815807
PRGO,25,0.7493482535040699,-0.0010840425669336124,-0.028457114568984573,0.038093903171585466,-4.129541257864599e-05,-0.04129541257864599
COL,25,-5.514690289068369,-0.12684388766636462,-0.17667921652338744,0.7179332700378711,-0.09106544705662954,-91.06544705662954
CVX,25,0.9634941511823416,-0.00277181632131125,-0.12243511743141232,0.022639062872333266,-6.275132396872489e-05,-0.06275132396872489
BDX,25,0.7446547795981717,0.003113304652165044,0.17788761193035013,0.017501525926291162,5.4487582086309405e-05,0.054487582086309404
DGX,25,0.7300200570680583,-0.009015366412206603,-0.24268210007345742,0.03714887257641887,-0.00033491069807678963,-0.33491069807678964
FIS,25,0.2089588143740642,0.005881990156816616,0.19072534689438161,0.030840107267304635,0.00018140120738145446,0.18140120738145446
AMG,25,1.0191488511781348,0.003820124533253127,0.1747042172191286,0.021866241090572003,8.353176404012172e-05,0.08353176404012172
DIS,25,0.314996276653965,0.008420638651171718,0.3647783630846925,0.02308426020656454,0.0001943842137291026,0.19438421372910258
BK,25,1.1314275875196882,-0.0029671936275429056,-0.09183740557829112,0.03230920569738201,-9.586766925624483e-05,-0.09586766925624483
INTC,25,1.0654335054005566,-0.01764413707730889,-0.5332883155354263,0.033085549717311945,-0.0005837659744903703,-0.5837659744903703
HD,25,0.4396325669156314,0.010614633873750504,0.39768553329683537,0.026691023396688822,0.0002833154410715604,0.2833154410715604
CMI,25,1.106598797354402,-0.010239160925679336,-0.23974672498523797,0.04270824106694177,-0.0004372965531371238,-0.4372965531371238
SRE,25,0.4443232406868357,0.009890206452867761,0.4523173406788779,0.021865636276565615,0.00021625565699854866,0.21625565699854865
GLW,25,1.1422611245093712,-0.009814211156227935,-0.19925899936817681,0.049253540303562014,-0.00048338464473094057,-0.48338464473094056
DVN,25,1.2003132730550683,-0.01910510354414382,-0.41063473843286846,0.04652578497634137,-0.0008888799394455727,-0.8888799394455728
KMB,25,-0.14319183214181283,0.013501786302498662,0.6387320264608072,0.021138420719736897,0.00028540643933019753,0.28540643933019755
