Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PEG,25,-0.26252780345365395,0.0023915794791800225,0.08362177100466381,0.028599962072635817,6.839908239824276e-05,0.06839908239824276
NI,25,-0.4706853910930845,0.006231638663254426,0.23173501460810234,0.026891226057456332,0.00016757640400195974,0.16757640400195975
STZ,25,-0.49963563409634415,0.008109467292068552,0.2602020628346192,0.031166037669819766,0.0002527399631067798,0.2527399631067798
MCHP,25,0.44597574321728445,0.012807638387976272,0.4516051648960662,0.02836025666562928,0.00036322791196357354,0.36322791196357357
TWX,25,-0.03465117455991799,0.0130659191565967,0.36002830677654524,0.03629136629166822,0.00047418005804937557,0.4741800580493756
K,25,-0.21030826964349933,0.0008100811055132163,0.034856234554558475,0.02324063731684048,1.8826801170457842e-05,0.018826801170457843
PRGO,25,-0.19554041135695052,-0.02302801056702347,-0.307517292412292,0.0748836281250472,-0.001724420979760643,-1.724420979760643
COL,25,1.7748530901067368,-0.04625159330886522,-0.3034748344050454,0.15240668439457353,-0.00704905198417039,-7.04905198417039
CVX,25,0.3403618779082519,0.0028424651192926007,0.10780585861172047,0.026366518071435988,7.49459079352548e-05,0.07494590793525481
BDX,25,-0.18793894731222308,0.009832172668084005,0.4364973753416406,0.02252515873752619,0.0002214712500833586,0.2214712500833586
DGX,25,0.09908546053330985,0.012329753313724778,0.6766360162315636,0.01822213570952628,0.00022467443814767424,0.22467443814767424
FIS,25,-0.18911949756154825,0.011960239581773906,0.4029764034562923,0.029679751665834548,0.0003549769406509344,0.3549769406509344
AMG,25,1.0724584765739102,-0.010907956017232268,-0.2212119039105398,0.049309986598386445,-0.0005378711650255119,-0.5378711650255119
DIS,25,0.25610628157520077,0.0033285323499215196,0.15200566331853593,0.021897423275252605,7.288628175160273e-05,0.07288628175160272
BK,25,0.9301925285314611,0.0008453569924086763,0.029806117865495585,0.02836186168971994,2.3975898097132507e-05,0.023975898097132506
INTC,25,0.034969593457506415,0.00405747618036954,0.13305081792164067,0.030495687615833836,0.00012373552610523615,0.12373552610523615
HD,25,0.19445142192380083,0.002904444690574143,0.11508944684657307,0.02523641194006335,7.32977626684589e-05,0.0732977626684589
CMI,25,0.4914481378051333,0.009238877258940115,0.33816413662846095,0.027320689151288737,0.00025241249369841346,0.25241249369841345
SRE,25,-0.4809807865057779,0.009784150735070433,0.28807700784684315,0.033963664119533624,0.0003323056092608202,0.3323056092608202
GLW,25,0.0708671829586565,0.01128576294604676,0.33195470175617425,0.0339979005760139,0.0003836922465641595,0.38369224656415946
DVN,25,1.2392454144014524,0.004518208253922398,0.06531892633960434,0.06917150215285928,0.0003125312519632597,0.3125312519632597
KMB,25,-0.19839746790047885,0.0020278934457407735,0.06266230660084086,0.03236225341429677,6.562720158825439e-05,0.06562720158825439
ADP,25,0.11006359063784632,0.00566138071280466,0.18740505619014808,0.030209327474390094,0.00017102650391031198,0.171026503910312
O,25,-0.743749947597776,0.006271234970092598,0.1726964671533587,0.03631362629163448,0.00022773128309097214,0.22773128309097213
MHK,25,0.3033634592323653,0.004177018574066716,0.14441988350696058,0.02892273884063476,0.00012081081735021223,0.12081081735021224
NTAP,25,0.561880786890737,0.01290971333171764,0.21799849221874965,0.05921927807997609,0.0007645039037237614,0.7645039037237614
PBCT,25,0.9110905822790416,-0.004304412032618544,-0.17234633456957973,0.024975361636604836,-0.00010750424714760142,-0.10750424714760143
FITB,25,1.169738893072152,0.005195510205134304,0.1475041616672547,0.03522280420029454,0.00018300043867607773,0.18300043867607774
IP,25,0.5423028555766027,0.004691037072581935,0.13704927607054213,0.03422883511013484,0.00016056873445293669,0.16056873445293668
VLO,25,0.8828178667839386,-0.005146073294668962,-0.1387457285667685,0.0370899583563938,-0.00019086764419822206,-0.19086764419822205
FE,25,-0.39952604577395745,0.00025738248749827266,0.006401244466678887,0.04020819527172482,1.0348885316852819e-05,0.010348885316852819
LLY,25,-0.20019979990806616,0.009314912705170507,0.20926846682439673,0.04451178357887489,0.0004146233783886617,0.4146233783886617
CERN,25,-0.3410733599292348,0.007863632874121122,0.14396987313762838,0.054619988909789904,0.000429511540375155,0.429511540375155
CB,25,-0.035885022237314344,0.00627740765097271,0.3546182914165739,0.017701872133827897,0.00011112186756943186,0.11112186756943186
LOW,25,0.22276985868889682,0.001457888622534775,0.04170588324792318,0.03495642602431572,5.096257578532841e-05,0.05096257578532841
SNA,25,0.27072950667873047,-0.0002929449913241216,-0.011210449998000258,0.026131421252168975,-7.655068972003607e-06,-0.007655068972003607
AYI,25,0.22911978429540938,-0.005465807520076999,-0.09342325255257193,0.058505857703907635,-0.0003197817570065732,-0.3197817570065732
DAL,25,0.4483619437919303,-0.006178105577030064,-0.13421863320475155,0.046030163096694006,-0.00028437920733928866,-0.2843792073392887
MSI,25,0.6093194570224081,-0.00015060161971927177,-0.005039051325517596,0.02988689933691089,-4.501015448525609e-06,-0.00450101544852561
GT,25,0.2870425456957104,0.0015304446963690017,0.036199894772487085,0.04227760069435842,6.470352975788728e-05,0.06470352975788728
STI,25,0.882245336804989,0.007739998342386893,0.24457707785179247,0.03164645849222688,0.00024494353627225167,0.24494353627225166
EOG,25,0.6027925094146488,0.004196239739957913,0.09084449373848548,0.04619145935292072,0.00019383043738337654,0.19383043738337655
KSU,25,0.3513361690210939,-0.00415679606167141,-0.10622603963155391,0.03913161100695554,-0.00016266212652057038,-0.16266212652057038
CRM,25,0.18954263374428196,0.0019943208667760138,0.05696278513098938,0.03501094376249251,6.982305571106033e-05,0.06982305571106033
CPRI,25,0.3275532704197469,-0.01937866502033362,-0.2740031869888014,0.0707242322007212,-0.0013705412046380685,-1.3705412046380685
AN,25,0.44333741843002417,-0.00916547290533146,-0.19266234069444269,0.047572726835430984,-0.00043602653884287755,-0.43602653884287756
HIG,25,0.4288164302315698,-0.0022281179611974623,-0.07714078658209103,0.028883785866331068,-6.435648207615366e-05,-0.06435648207615366
D,25,-0.4192546481061302,0.007073794761479779,0.24017262522770455,0.029452960156359228,0.00020834419526412655,0.20834419526412654
