Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
JPM,25,1.081637887315093,0.0064906271784097615,0.2599437803221526,0.02496934979696695,0.00016206674041941395,0.16206674041941393
O,25,1.779732511907079,-0.014507971236820138,-0.352557302800982,0.04115067571018338,-0.0005970128195790536,-0.5970128195790536
PXD,25,1.3178777859850532,0.005271076791801867,0.10172758342141598,0.05181561002944443,0.00027312405947926057,0.27312405947926055
JEC,25,1.180337161967108,0.0035830463480957912,0.11376617481571992,0.03149483011008906,0.00011284743600985196,0.11284743600985196
CI,25,0.7245246044288548,0.017789318663042848,0.6117507765754968,0.02907935607801791,0.0005173019317879524,0.5173019317879525
MMC,25,0.7184293539311557,0.0025304851648185744,0.12785762627571653,0.019791429252422926,5.008191811381258e-05,0.05008191811381258
APH,25,0.7337190034355155,0.003525835291230116,0.13838423584829004,0.025478590604030016,8.983331392249307e-05,0.08983331392249307
FLS,25,1.1431342593138247,0.002334398511167875,0.0948934713977545,0.02460020143412221,5.742667360224471e-05,0.05742667360224471
GE,25,0.7924402013784821,-0.0006885999568229367,-0.02433050383480564,0.028301919331315706,-1.948870042955023e-05,-0.01948870042955023
DVN,25,1.375155232876256,-0.015980733984586423,-0.4037003459452378,0.039585633614379466,-0.0006326074804027006,-0.6326074804027005
SBUX,25,0.9249212512579785,0.010355866635625174,0.26328645762995495,0.03933307747328267,0.0004073281046820281,0.4073281046820281
UPS,25,0.8350017396268788,-0.0023333240310357793,-0.14727247494201162,0.015843585381141473,-3.696821850758457e-05,-0.03696821850758457
ADP,25,0.9171014683575346,0.0013315657919820926,0.09303240776148257,0.014312924109155323,1.9058600126986994e-05,0.019058600126986992
CCL,25,0.8478361814052996,-0.0037678324939569895,-0.09653815106057666,0.039029466097737,-0.00014705649058484617,-0.14705649058484616
HRL,25,1.0677901398277965,0.005851741659267053,0.23910387400877783,0.02447363800994804,0.00014321340709663456,0.14321340709663455
BIIB,25,0.996659707813483,0.005429840014878801,0.1183524323771524,0.04587856713899711,0.00024911327967663013,0.24911327967663013
GT,25,1.541700136516819,0.0022772674846346444,0.05258439397169807,0.04330690748019866,9.862141226473726e-05,0.09862141226473725
CAT,25,1.1797966816601557,-0.01161788424905951,-0.3781114338003802,0.030726085514761355,-0.0003569721049372015,-0.3569721049372015
UNM,25,1.2417614267837778,0.008216517543992533,0.2935802829370737,0.027987293498704303,0.00022995808804097208,0.2299580880409721
NUE,25,1.2704750428761449,-0.005213407828343628,-0.17299848434673745,0.030135569383917243,-0.0001571090133377067,-0.15710901333770672
TROW,25,1.223794902145164,-0.003328977598713697,-0.13819405313696442,0.024089152341557996,-8.019224851704817e-05,-0.08019224851704818
AMT,25,0.9841435875573878,-0.00959178398136425,-0.3751562845470176,0.02556743516357682,-0.0002452373150465652,-0.2452373150465652
CXO,25,0.86771716871688,-0.008876560767727958,-0.17109935375868604,0.051879569225300654,-0.0004605121488319305,-0.4605121488319305
MAA,25,0.566432846874378,-0.005039580625450832,-0.14775624577799928,0.03410739491190577,-0.00017188696658264061,-0.1718869665826406
ORLY,25,0.35093942270256684,0.011420479030518356,0.32610386480435793,0.03502098644973108,0.0003999564413772213,0.3999564413772213
PRGO,25,0.7561129360849536,-0.0040512872134515505,-0.10167114064969295,0.03984697316822899,-0.0001614315328911931,-0.1614315328911931
UTX,25,0.8658857138333573,0.0043326605039076555,0.21730972087706954,0.019937720624833937,8.638337468916307e-05,0.08638337468916307
APA,25,1.2465496490212138,-0.01623901786079105,-0.36502931293271995,0.044486887177151525,-0.00072242335544076,-0.72242335544076
VZ,25,0.6348278490221919,-0.0008362956631848793,-0.03001087472526457,0.027866420783824945,-2.3304566849997787e-05,-0.023304566849997786
MSFT,25,0.7053876263844993,-0.003307644092660633,-0.09454924750491393,0.034983293679716775,-0.00011571228468152725,-0.11571228468152725
MDLZ,25,0.9396859579331706,-0.002529756307689337,-0.08229046752488874,0.030741790437929066,-7.77692382700148e-05,-0.07776923827001479
NEE,25,0.7024290206577998,0.0018925254987321779,0.09023181338516525,0.020974038177130578,3.969390206160179e-05,0.03969390206160179
CBS,25,1.1409090622918856,0.005899703571710969,0.19188354481502198,0.0307462715335927,0.00018139388798353215,0.18139388798353215
AIZ,25,1.1414065666229374,0.00359742578186043,0.09640501849352948,0.03731575220953754,0.00013424064906810567,0.13424064906810568
NFX,25,2.667737878035691,-0.038059076526185794,-0.5331936213353979,0.07137946705151085,-0.002716636598911809,-2.7166365989118093
NKE,25,0.44812708327320566,0.007769865901150782,0.26970606470276187,0.028808643623619696,0.00022383929774956758,0.22383929774956757
PWR,25,1.6768872047321015,-0.011622846586502882,-0.31272342841725187,0.03716653608374706,-0.00043198094705311567,-0.4319809470531157
CMG,25,0.8275064516898157,0.005866807377790698,0.0973270374331691,0.06027931736665897,0.0003536471438549018,0.3536471438549018
FBHS,25,1.6067273639872164,0.00767292704894908,0.2211677081654576,0.034692799923616756,0.0002661953229376976,0.2661953229376976
