Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PEG,25,1.0616013700837168,0.006432450724361586,0.19497881094459107,0.03299051160071724,0.0002122098402430929,0.2122098402430929
NI,25,1.0343336768021232,0.0047493865879455685,0.13828619321161012,0.034344618776784894,0.0001631158717865657,0.1631158717865657
STZ,25,1.0742299559701474,0.008907710209341915,0.24724409778037032,0.036027999411556155,0.00032092697818048325,0.32092697818048327
MCHP,25,1.6197525361251979,-0.007178298303706098,-0.17915923667095485,0.04006658231576311,-0.00028760987987254313,-0.2876098798725431
TWX,25,1.0440776123916717,0.005937051112980428,0.12030044616503756,0.049351862792225365,0.000293004531918239,0.293004531918239
K,25,0.8445680170691829,0.0023949525197193254,0.11133847571910889,0.021510556025227518,5.151676035318236e-05,0.05151676035318236
PRGO,25,1.0393362619746587,-0.006287020802849515,-0.11227306535588864,0.05599758751505189,-0.0003520579976165175,-0.3520579976165175
COL,25,0.7921504638208545,0.0034771024023968304,0.02194278488626809,0.15846221983303585,0.0005509893652705836,0.5509893652705836
CVX,25,1.4676423216300551,-0.010247408589967791,-0.26609017594570755,0.03851103692027567,-0.0003946383305453996,-0.3946383305453996
BDX,25,0.7653597240097657,0.006761591646748557,0.2633317931732306,0.025677080481886595,0.0001736179328992148,0.1736179328992148
DGX,25,0.6850465873740027,0.009042342430945058,0.2649780699900623,0.03412487090454006,0.00030856876813064503,0.30856876813064504
FIS,25,1.0480131339994574,0.003572057577725013,0.14821989748164816,0.024099716963893375,8.608557660190336e-05,0.08608557660190336
AMG,25,1.4172555781173517,-0.00697762054624839,-0.160151160102021,0.04356896660507136,-0.0003040077165623559,-0.3040077165623559
DIS,25,1.21130896296843,0.003540636827342904,0.1658775764270899,0.021344879179008028,7.55744652963806e-05,0.0755744652963806
BK,25,0.9722496553529687,0.0002196990909972994,0.006705599256610667,0.0327635282977447,7.198117384878806e-06,0.007198117384878806
INTC,25,1.0649453714536126,0.008430720669894726,0.20892607247237682,0.04035264995951807,0.00034020192009873553,0.3402019200987355
HD,25,0.8590855316615008,0.009391783584375684,0.29905992414675675,0.031404353529384574,0.0002949428919552046,0.2949428919552046
CMI,25,1.553801863808812,-0.0034783885895330836,-0.11060328945371958,0.03144923271914591,-0.00010939265223984765,-0.10939265223984765
SRE,25,0.7257742118434473,0.006484442115083712,0.2725370956358046,0.023792878910506073,0.00015428354604637263,0.15428354604637262
