Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PEG,25,0.9731837528037367,0.004587510125783491,0.22595561852852736,0.020302704379109335,9.313886191995289e-05,0.0931388619199529
NI,25,0.6152586986772477,0.012451809148991732,0.37818489326178745,0.0329251891623612,0.00040997817164417264,0.40997817164417266
STZ,25,0.24633494180053478,0.014354339070006338,0.6026673814965888,0.02381801224144663,0.0003418918236872866,0.3418918236872866
MCHP,25,0.09267817349908508,-5.072698384695135e-05,-0.0008511357266644329,0.059599171151877725,-3.0232861923129903e-06,-0.00302328619231299
TWX,25,-0.13040201063028917,-0.0045078105273037615,-0.1035325064103773,0.04354005020834629,-0.00019627029668851774,-0.19627029668851773
K,25,0.4162752707623782,0.0077029253416571125,0.3130858452252529,0.02460323728821136,0.00018951689999416652,0.18951689999416652
PRGO,25,0.1624384893259104,-0.001313079516422583,-0.021974628302908826,0.05975434479812194,-7.846220617166624e-05,-0.07846220617166624
COL,25,0.43213557491222077,-0.03885279708128259,-0.28033923920993453,0.13859207576784258,-0.00538468979688173,-5.384689796881729
CVX,25,0.09079240539538687,-0.004809566752940568,-0.0916334366453549,0.05248702797816954,-0.0002524398647244656,-0.2524398647244656
BDX,25,0.08751874752265124,0.002353511234648957,0.06971335411452131,0.03375983360064323,7.945414765899319e-05,0.07945414765899318
DGX,25,0.3130425277196683,-0.0015236642441544559,-0.03720171324546976,0.040956829974490495,-6.240445738604463e-05,-0.06240445738604463
FIS,25,0.33131098527526237,-0.00036985175900229117,-0.009545694046417212,0.038745402608111844,-1.4330055307862126e-05,-0.014330055307862126
AMG,25,0.5713918010146578,-0.01561473249488637,-0.2227953624397596,0.07008553644875958,-0.0010943669034079893,-1.0943669034079893
DIS,25,-0.5142169587008952,-0.001174246718449826,-0.027833500841478398,0.04218825095476042,-4.953941524076516e-05,-0.04953941524076516
BK,25,0.0986072877743838,0.0002948185192187204,0.006028189774109722,0.04890664200469052,1.4418583775782929e-05,0.01441858377578293
