Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PEG,25,0.13263344712593272,0.0034017576476881757,0.11749127961091155,0.028953277715193515,9.849203389329917e-05,0.09849203389329916
NI,25,0.0533623424718506,0.007649058805905088,0.3143292777445167,0.024334541347186107,0.00018613633777935534,0.18613633777935534
STZ,25,0.4464009490664465,0.02711173352385314,0.4416114604218058,0.061392730836191005,0.001664463358732452,1.664463358732452
MCHP,25,0.3900189075050199,-6.733493648612091e-06,-0.0001975424036213383,0.034086320330086066,-2.2952002144719174e-07,-0.00022952002144719174
TWX,25,0.3428374188602077,0.014735590689747858,0.4417093457084448,0.033360377888572566,0.0004915848738213202,0.4915848738213202
K,25,0.1746851284349475,0.009535446234668931,0.3598323662934939,0.026499690211000734,0.00025268637124238006,0.2526863712423801
PRGO,25,0.13463273178652077,0.0027883914824182524,0.05682535130788512,0.04906949835312911,0.00013682497125440168,0.13682497125440168
COL,25,-5.00597877205207,-0.18510922433878782,-0.26249308313567504,0.7051965793822851,-0.1305383918158212,-130.5383918158212
CVX,25,0.2808296756591203,0.008138952271338968,0.27852144025745684,0.029221995490959565,0.00023783642657420245,0.23783642657420245
BDX,25,0.20433770446874647,0.004559715426348259,0.22963039587749579,0.019856758984036226,9.054117025678937e-05,0.09054117025678937
DGX,25,0.13949625030217153,0.0016046827275350071,0.04941195867240336,0.0324755943834144,5.211302537349798e-05,0.05211302537349798
FIS,25,0.10872163409273515,0.012035060415248874,0.367628984694602,0.03273697373248924,0.0003939914566829234,0.3939914566829234
AMG,25,0.4846035294669629,0.016547739397785748,0.5811565308461071,0.02847380786325133,0.0004711771521837056,0.4711771521837056
DIS,25,0.10032862048921785,0.013781731058047605,0.5141393147193865,0.02680544098357772,0.0003694253785280352,0.3694253785280352
BK,25,0.5879585530387192,0.016072212687575377,0.5495569804690599,0.029245762057025216,0.00047004410799073124,0.47004410799073126
INTC,25,0.2297331503496609,-0.005809308215151184,-0.17002342666799883,0.034167692823265455,-0.00019849065861095818,-0.1984906586109582
HD,25,0.0460964738959457,0.01770083686153256,0.6824212021840986,0.02593828680129044,0.00045912938313728537,0.45912938313728535
CMI,25,0.5954827504479452,0.008049371835080673,0.14656910692406705,0.054918611459171984,0.00044206032430119764,0.4420603243011976
SRE,25,0.09237708596773829,0.014036825307253309,0.5623457459161052,0.024961201199070554,0.0003503760206905552,0.3503760206905552
GLW,25,0.3121926335576709,0.00015301365985637464,0.002734513840163827,0.05595644008413849,8.562099689807975e-06,0.008562099689807975
DVN,25,0.41511482569692776,-0.0007345102074645458,-0.016080726602996902,0.045676431519435075,-3.3549805191580376e-05,-0.03354980519158038
KMB,25,0.07386038737434239,0.010033061209698957,0.4951919107033633,0.020260955384848966,0.00020327940554316936,0.20327940554316937
ADP,25,0.20353468789875714,0.005644770376953875,0.3179055154453097,0.017756125964178065,0.0001002292538520539,0.1002292538520539
O,25,0.022345487210630843,0.008659485921033563,0.33570688661921216,0.025794781895123596,0.00022336955065695423,0.22336955065695424
MHK,25,0.2200282035856737,0.02047299895076903,0.38167960706511606,0.053639226649267256,0.0010981558309105107,1.0981558309105106
NTAP,25,0.38342541866017843,-0.0005290097576660323,-0.007473627175221474,0.07078353592750038,-3.7445181187751866e-05,-0.037445181187751864
PBCT,25,0.14591430915717357,0.0012702133050365315,0.05739000472952204,0.022133005756368583,2.8113638392189514e-05,0.028113638392189513
FITB,25,0.23490381257463092,0.01121219803761085,0.35090326173299047,0.03195239047433661,0.0003582565297733325,0.3582565297733325
IP,25,0.2660339828416128,0.014528759440453912,0.33708701103113076,0.04310091746345025,0.0006262028614893278,0.6262028614893278
VLO,25,0.3499702176400987,0.027328200102256346,0.45253782065847636,0.060388764993148575,0.0016503162536608974,1.6503162536608973
FE,25,0.04623527516268559,-3.4889370615865875e-05,-0.0010789142589559837,0.03233748217363142,-1.1282344003397827e-06,-0.0011282344003397827
LLY,25,0.16196002547399013,0.015195106112340791,0.37918385277976385,0.04007318877359041,0.00060891635567457,0.60891635567457
CERN,25,-0.2365479346016768,0.010262482742005776,0.20801489645743948,0.049335326059715696,0.0005063029322590601,0.5063029322590601
CB,25,0.2213798136474059,0.008310397982243778,0.4031109778779967,0.020615657817086182,0.0001713243211257412,0.1713243211257412
LOW,25,0.2345642490284855,0.016388044118061287,0.38822908061472094,0.0422123043748101,0.0006917771064194194,0.6917771064194194
SNA,25,0.07808683750494166,0.015675809774592177,0.45743760114522164,0.0342687390265839,0.0005371902341958723,0.5371902341958723
AYI,25,0.4460137443261103,0.009128055490936239,0.18479061327289556,0.049396748726928494,0.00045089626345123733,0.45089626345123734
DAL,25,0.45163634065642233,0.0124853538825803,0.19208942615550267,0.06499761143787788,0.0008115181803243543,0.8115181803243543
MSI,25,0.19482734075919345,0.011327403623685197,0.45789782790816513,0.024737840918426443,0.00028021550886153163,0.2802155088615316
GT,25,0.5960902914306121,0.005454866631142308,0.0956662628390756,0.0570197525152433,0.0003110351453113933,0.3110351453113933
STI,25,0.5321868540788033,0.015627918240829312,0.38733660149960986,0.0403471249046033,0.0006305415692616686,0.6305415692616686
EOG,25,0.3693749450094803,0.009696688408229463,0.21501065679683798,0.04509864093569926,0.00043730746878809776,0.43730746878809773
KSU,25,0.5223456671154448,0.015438217470729713,0.3885926816728662,0.03972853375485403,0.0006133377439006626,0.6133377439006625
CRM,25,0.3488113679939553,0.016956191335807298,0.30218082223791265,0.056112731477239046,0.0009514582113028422,0.9514582113028421
CPRI,25,0.12462602131935945,0.024304401356213427,0.2745702252789934,0.08851797871206718,0.0021513764818588367,2.151376481858837
AN,25,0.18641463192014684,0.009611326659933564,0.18646999034879616,0.051543557448334554,0.0004954019678509951,0.4954019678509951
HIG,25,0.6164978781975489,0.01686950393187003,0.4001023047585334,0.042162976146940666,0.0007112684918901579,0.7112684918901578
D,25,0.08769376078335898,0.005329398207306419,0.32224101181121345,0.016538547273519222,8.814050419094581e-05,0.08814050419094581
