Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PEG,25,0.968524604455678,0.007546213534998288,0.23805132353960823,0.03169994362053068,0.00023921454360793123,0.23921454360793123
NI,25,0.8746033790597023,0.006189810075693206,0.18057111473788467,0.03427907107223808,0.00021218093950834275,0.21218093950834274
STZ,25,0.8885108495776111,0.010505717355339613,0.2897778790616426,0.03625438004225574,0.00038087826961700425,0.3808782696170043
MCHP,25,1.2391793679575152,-0.004251445675686557,-0.10029307205819357,0.042390222858262015,-0.00018021972966214748,-0.18021972966214747
TWX,25,1.044936459579503,0.006556987738001492,0.13838886200528344,0.04738089209629571,0.0003106759284909828,0.3106759284909828
K,25,0.8874948283124209,0.0026791215962515495,0.15615034329688132,0.01715732120523015,4.596654977475675e-05,0.045966549774756754
PRGO,25,0.4390631972562562,-0.00257678675521432,-0.043703819194075004,0.05896021910056911,-0.00015192791166288085,-0.15192791166288083
COL,25,1.479619507934452,0.0004134247536821626,0.0026646985175502514,0.15514879111436522,6.414235075054174e-05,0.06414235075054174
CVX,25,1.4330852939258785,-0.009191948430013743,-0.2689391404704834,0.034178544684620116,-0.00031416742015394843,-0.31416742015394844
BDX,25,0.6072236709221781,0.008032966166197635,0.3065470202375633,0.026204678681829508,0.00021050129724721687,0.21050129724721686
DGX,25,0.9725106750529824,0.007972848078372778,0.28203216975211315,0.0282692860370516,0.00022538672285747724,0.22538672285747724
FIS,25,0.8448845139115475,0.005243968027366446,0.21081787266188828,0.02487439969464435,0.00013044055669864866,0.13044055669864865
AMG,25,1.295186180536402,-0.005501995400006462,-0.13167028362395222,0.04178615894623615,-0.00022990725430613017,-0.22990725430613018
DIS,25,0.6263541246824528,0.0072748899753866236,0.2509297109443077,0.02899174413428165,0.00021091174877145954,0.21091174877145955
BK,25,0.5482821283121536,0.0029826328805485814,0.08294942288554401,0.0359572469197779,0.00010724726695693376,0.10724726695693376
INTC,25,0.863248073004403,0.01010539167004686,0.2478271631307897,0.04077596475860793,0.0004120570946097609,0.4120570946097609
HD,25,0.5112917933849889,0.011695092201879405,0.34612321910741584,0.03378881148753546,0.00039516326573864915,0.3951632657386491
CMI,25,1.2084249021759488,-0.0007720768783521376,-0.02289459536660218,0.03372310652314108,-2.6036830812723373e-05,-0.02603683081272337
SRE,25,0.6609447078095653,0.00725203443065983,0.3155975239829565,0.022978743112862535,0.00016664263622776654,0.16664263622776654
GLW,25,1.6967570323008034,0.004994898534807789,0.13137092330426012,0.038021339952368394,0.00018991273521951375,0.18991273521951374
DVN,25,1.7265130905609631,-0.00865748853063386,-0.20130512609797807,0.04300679619266196,-0.00037233084477727887,-0.37233084477727885
KMB,25,0.41108265842693514,0.0010897308340884855,0.04647292005472411,0.02344872740523459,2.5552801273619817e-05,0.025552801273619818
ADP,25,0.6000841948609829,0.006925309740705194,0.2520316985030268,0.027477931473853967,0.0001902931864903107,0.1902931864903107
O,25,0.5746454758113149,0.011067423494599635,0.33840557052101106,0.032704613808691656,0.0003619558112481217,0.3619558112481217
MHK,25,0.6247397927808099,0.0037046884483631294,0.09045783872834987,0.04095486361871328,0.00015172501015253448,0.15172501015253448
NTAP,25,0.5129786227445696,-0.006233166904674985,-0.16018801570018149,0.03891156824329102,-0.00024254229938308372,-0.24254229938308372
PBCT,25,0.6187644168468904,-0.0032683978817401858,-0.1383136845822399,0.023630329071284557,-7.723331748140997e-05,-0.07723331748140998
FITB,25,0.9084739998765208,-0.011158265070352977,-0.24623311054389618,0.04531585961654732,-0.0005056463734923391,-0.5056463734923391
IP,25,0.6460269647953086,0.0029750942970253225,0.09961178897023171,0.02986688952965606,8.885681270956506e-05,0.08885681270956505
VLO,25,1.2010218335062712,-0.004595509274468362,-0.08125753385432624,0.056554870133111876,-0.00025989843021306943,-0.2598984302130694
FE,25,0.6462026785682526,0.009358583159793182,0.2862713827407446,0.03269129827157253,0.00030594423347611463,0.30594423347611466
LLY,25,0.5295043698778564,0.010141301992378332,0.3600761466174578,0.028164326039492905,0.00028562293577830236,0.2856229357783024
CERN,25,0.6207661963724364,0.0035155762497400002,0.08417127255621133,0.041766937138704004,0.00014683485222921137,0.14683485222921136
CB,25,0.7105210217413216,0.003740965846328094,0.20342384325884252,0.01839000672879815,6.879638708617772e-05,0.06879638708617772
LOW,25,0.5420569409616808,0.014378587865378817,0.4461435826760157,0.03222861075157587,0.0004634019114706261,0.4634019114706261
SNA,25,0.6902544825807913,0.009072918914427453,0.3329335856786465,0.027251437838370557,0.00024725008580909623,0.24725008580909624
AYI,25,0.4916053315661488,0.0047909688075600115,0.08062956565592529,0.059419504106034256,0.00028467699073269416,0.28467699073269415
DAL,25,1.2841614156906984,0.01350347440720458,0.22926659876161748,0.058898568217714824,0.0007953353085489053,0.7953353085489052
MSI,25,0.8567510135885406,-0.00357876506228664,-0.12053614523614346,0.029690389179738978,-0.00010625492748214315,-0.10625492748214314
GT,25,1.5859139638735709,-0.006166530227559351,-0.1035748374170935,0.05953695300265715,-0.00036713642034766575,-0.36713642034766575
STI,25,0.8460492050879084,-0.002371920388687595,-0.05653168704378047,0.04195736077804793,-9.951951948497311e-05,-0.09951951948497312
EOG,25,1.0493067002675842,-0.0022071972515438983,-0.05029019209781204,0.04388921894056408,-9.687216341802144e-05,-0.09687216341802145
KSU,25,0.7124226569806408,-0.0017320370934222735,-0.034330159595708946,0.050452346095086816,-8.738533488686876e-05,-0.08738533488686875
CRM,25,0.7723778593082822,-0.005613219736111146,-0.1156902486217104,0.048519385194386824,-0.00027234997055711104,-0.272349970557111
CPRI,25,0.6570857606529718,-0.007267083899048361,-0.10768649134678218,0.06748370949932998,-0.0004904097787506378,-0.4904097787506378
AN,25,1.0746334628747327,0.002632529014441818,0.06332711207899694,0.04157033106385602,0.00010943510266555299,0.109435102665553
HIG,25,0.8654673111089985,0.0032109927162928256,0.1075677308690883,0.02985089199474382,9.585099676996622e-05,0.09585099676996622
D,25,0.7092466824390915,0.0038286702303639186,0.13646238408584088,0.028056597838386845,0.00010741946090912438,0.10741946090912438
MMC,25,0.45835408351598456,0.005636926225205202,0.22279388515875156,0.025301081406200247,0.0001426203293046619,0.1426203293046619
TSCO,25,0.9117728806688882,0.004679755227133512,0.08294397315716848,0.056420678308548834,0.0002640349642328498,0.2640349642328498
UNP,25,0.9161138376348837,0.008858434792893076,0.2560765693362019,0.034592914204746604,0.0003064390747788924,0.30643907477889243
DISCK,25,3.2144786213069008,-0.054177783331950086,-0.4179758763043178,0.12961940246643466,-0.007022491902443334,-7.022491902443334
ORCL,25,0.9126925870840978,0.0017601140910718143,0.06245255847995749,0.028183218332627265,4.9605679719010735e-05,0.04960567971901073
BXP,25,0.5120135705243265,0.010920239717347829,0.5158035314888159,0.02117131630686521,0.00023119584920276322,0.2311958492027632
HBI,25,0.6065488166733612,0.017006409373313366,0.46972988076096783,0.03620465733574962,0.0006157112238722908,0.6157112238722908
EMN,25,1.5865644261188239,-0.012557687507843637,-0.38021466335380477,0.033027888501391676,-0.00041475390284437876,-0.41475390284437874
SPGI,25,0.9877406201596458,0.0023711597773778776,0.06353828181406956,0.03731860084470873,8.848836527099342e-05,0.08848836527099342
TAP,25,1.0507319793372905,0.011224504027395272,0.34860639891606976,0.03219821570199483,0.00036140900182198265,0.36140900182198266
KO,25,0.753688213624537,0.0015991259941344625,0.06124211120930428,0.026111542573527633,4.1755646476276716e-05,0.04175564647627671
LKQ,25,0.8084817247454408,-0.00544947394786443,-0.135003717184682,0.04036536223969059,-0.00021996998992130447,-0.21996998992130448
LYB,25,1.081744634913241,-0.0049293430219845575,-0.08480206872100059,0.058127627029974135,-0.00028653101268472396,-0.286531012684724
MAT,25,0.6287232682618725,-0.015148324565521346,-0.36639822219928714,0.041343881186415916,-0.00062629053101018,-0.62629053101018
CBS,25,0.7339316684686858,-0.005874105176278729,-0.15832217591235814,0.037102226156432036,-0.00021794237871696146,-0.21794237871696145
BRK.B,25,0.37826861437821246,0.008880409626681605,0.3995349398790205,0.022226866139343406,0.0001973836760347886,0.1973836760347886
NTRS,25,0.7845757677359729,0.0006809101017260085,0.01990670797441267,0.034205058043812395,2.3290569552156325e-05,0.023290569552156325
SBUX,25,0.5905832915161962,0.0065516038383775215,0.19706309631563387,0.03324622398038386,0.00021781608864144172,0.21781608864144172
SJM,25,0.8163598951291489,0.00023408065967984396,0.00948988850010928,0.0246663234954919,5.773909275701179e-06,0.005773909275701179
HES,25,1.3543127880891124,-0.012041069468610336,-0.2311384771603996,0.05209461279029878,-0.0006272748515483441,-0.6272748515483442
BA,25,1.2765297593266374,0.0009679434569938253,0.032159360959495446,0.030098342383511455,2.9133493576479852e-05,0.029133493576479853
DHI,25,1.0349150816790738,-0.002711545182987285,-0.06607571832020218,0.04103693840825412,-0.00011127351266544737,-0.11127351266544737
VIAB,25,0.8956333664113185,-0.012446837238005897,-0.3678654693951367,0.03383529652422019,-0.00042114242873663533,-0.4211424287366353
EXPE,25,0.40972585790433685,0.009693183184568698,0.1786810526118098,0.05424852295686573,0.00052584087051318,0.52584087051318
VMC,25,0.9746017783561713,0.0009069750524390782,0.02870681975502118,0.031594410672413024,2.8655342276393574e-05,0.028655342276393575
RIG,25,1.9777061965504572,-0.0475633815891079,-0.6305839939868203,0.07542751170766636,-0.003587587521668639,-3.587587521668639
ED,25,0.4353945388516804,0.01039445874862161,0.39125547661014154,0.026566934829078327,0.0002761489081581734,0.2761489081581734
CAG,25,0.313448303603889,0.0050974838156063774,0.1334581306970475,0.03819537849797824,0.00019470032372440388,0.19470032372440388
KLAC,25,1.043278808784738,0.005681929227305926,0.1167261219626092,0.04867744367559829,0.00027658178993091997,0.27658178993092
DISCA,25,3.20717967881806,-0.055973784528623255,-0.4476695981512559,0.12503369618973137,-0.006998609169341366,-6.998609169341366
CTXS,25,0.9044336741513558,1.2310735759171222e-05,0.0002783756193062603,0.04422346967687328,5.444234495457081e-07,0.0005444234495457081
PNW,25,0.6347206245201701,0.01050965589876236,0.39094328214637164,0.02688281492154526,0.0002825291344155549,0.28252913441555494
AZO,25,0.42462418309272637,0.006240320166771344,0.18733923400849983,0.033310268400522085,0.0002078667396603442,0.2078667396603442
TGNA,25,1.4080310412072814,-0.000509681640689306,-0.01380426731883255,0.03692203497058985,-1.8818483361398167e-05,-0.018818483361398165
CLX,25,0.32054277616336524,0.007865065175883727,0.35472594919036443,0.02217222955872034,0.00017438603057399115,0.17438603057399116
NKE,25,0.20487565130294333,0.009993830891754719,0.30031991252302276,0.033277283573358074,0.0003325675445691078,0.33256754456910775
AMZN,25,1.0314147531152964,-0.010900983353791195,-0.21029765353369026,0.05183597234975724,-0.0005650630717122843,-0.5650630717122843
RL,25,0.6180688941874215,0.00047291909077623465,0.01531975557166752,0.03086988487276227,1.4598957886393771e-05,0.014598957886393772
