Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PEG,25,0.6772559134281098,0.0010912064123088686,0.04542471183925825,0.024022307861198026,2.621329637659703e-05,0.02621329637659703
NI,25,0.3766057143262521,0.004588251028301434,0.23098527207700434,0.019863825026782803,9.114021560513596e-05,0.09114021560513595
STZ,25,1.2784369380511322,0.023376520573170273,0.3946937997222768,0.05922697693659991,0.0013845206448451091,1.384520644845109
MCHP,25,0.7995541582864402,-0.0006625053754916736,-0.018002476594992333,0.03680079082430024,-2.4380721743443568e-05,-0.024380721743443568
TWX,25,0.819167352614054,0.013355467891181094,0.40088434265611006,0.03331501500580628,0.0004449376132042621,0.4449376132042621
K,25,0.26510737092180575,0.0057618859643788186,0.19480580624330565,0.02957758844817194,0.00017042269173969497,0.170422691739695
PRGO,25,0.9492764654203124,0.0039497771604270464,0.09360300527440193,0.04219711908659423,0.0001666692172040501,0.1666692172040501
COL,25,-12.00562892909992,-0.1833847083902159,-0.2624509610251807,0.6987389479310048,-0.12813803820721356,-128.13803820721355
CVX,25,0.9604369674382962,0.002240657434406608,0.09050869145400313,0.024756268137467428,5.547031625037982e-05,0.05547031625037982
BDX,25,0.48571489463793294,0.003693756425070655,0.18200921066547,0.02029433791600646,7.496234106980387e-05,0.07496234106980387
DGX,25,0.49688481449986377,0.00162643287263032,0.05303671180131653,0.03066617098592351,4.987646856920814e-05,0.04987646856920814
FIS,25,0.15086809566472104,0.0113304310929336,0.3301128308652163,0.03432290427256906,0.00038889330176969996,0.38889330176969994
AMG,25,1.259039960259988,0.013901863705274835,0.5517114445842146,0.025197707681687977,0.000350295097876183,0.350295097876183
DIS,25,0.6217409542523565,0.012108834384031571,0.578400814006127,0.020935023068455263,0.0002534987271618052,0.2534987271618052
BK,25,1.2381143946577786,0.012575043289326533,0.41137605258261795,0.030568243363658237,0.0003843969835766708,0.3843969835766708
INTC,25,0.5638625231056626,-0.004980039025604186,-0.1466956596158921,0.03394810070484648,-0.00016906286635527643,-0.16906286635527643
HD,25,0.2983792329770005,0.01616406763442644,0.5675246804113843,0.028481699901948786,0.0004603801235585371,0.4603801235585371
CMI,25,0.9041933541014617,0.008922015994160822,0.13948583717809887,0.06396359784376515,0.0005706842430061433,0.5706842430061433
SRE,25,0.4480642079592978,0.013952922818947038,0.5929329457680168,0.02353204172332511,0.00032834076193779675,0.32834076193779677
GLW,25,0.8999487408497844,0.0014520283652409414,0.024250767038699245,0.05987556446869504,8.694101799335785e-05,0.08694101799335785
DVN,25,1.1481989507717179,-0.006902223573079089,-0.17345349433889215,0.039792934696337545,-0.0002746597319030578,-0.2746597319030578
KMB,25,0.21329201873144993,0.007083866821346429,0.32795979987572216,0.021599802244149452,0.00015301012246497444,0.15301012246497445
ADP,25,0.610486714035331,0.004019099812101679,0.21833474850121154,0.01840797142777929,7.398347450656082e-05,0.07398347450656081
O,25,0.4145067861790668,0.00850743194744109,0.3746017190443218,0.022710605731188636,0.0001932089327432529,0.1932089327432529
MHK,25,0.42419974241542985,0.016906745973813725,0.3247360959358807,0.05206303267608406,0.0008802164680809165,0.8802164680809166
NTAP,25,0.8314485565148153,-0.0025174438380653227,-0.033391245703966,0.07539233068403665,-0.00018979595831791123,-0.18979595831791124
PBCT,25,0.30499786196038786,-0.002396820430299658,-0.08168662438325085,0.029341651076857395,-7.032666875973576e-05,-0.07032666875973576
FITB,25,0.3398569585455018,0.0072883641558667564,0.22301412148617422,0.032681177798503665,0.00023819232483812255,0.23819232483812255
IP,25,0.7067272647171834,0.013549916122896138,0.3143832137034963,0.04309999876671357,0.0005840013681858958,0.5840013681858959
VLO,25,0.7680305312979732,0.021211738182864592,0.3805565957164631,0.05573872170821229,0.0011823151715221502,1.1823151715221503
FE,25,0.4509546257944353,0.001486672759248622,0.05456467447790724,0.0272460666809359,4.0505985131218916e-05,0.04050598513121892
LLY,25,0.9095935913834355,0.010100352199818837,0.30174098584138637,0.03347358388074003,0.0003380949865856529,0.3380949865856529
CERN,25,0.10797476981083134,0.00809858894972856,0.15715450358055788,0.051532655859125275,0.00041734179729087666,0.41734179729087667
CB,25,0.6844296263494176,0.007622810584575849,0.4046149217748061,0.018839667482205284,0.00014361121669324387,0.14361121669324386
LOW,25,0.7103448207440366,0.015193738529942354,0.3657157980333318,0.04154520699310227,0.0006312270122255285,0.6312270122255285
SNA,25,0.43677221112726017,0.018390933678479108,0.5262308422366824,0.03494841465450905,0.0006427339760790632,0.6427339760790632
AYI,25,0.98737740902476,0.01166948754836334,0.21975305490066363,0.053102731853435996,0.0006196816681477487,0.6196816681477487
DAL,25,0.9010304110607742,0.01649648311112665,0.22372414809707347,0.07373581820040659,0.0012163816796281124,1.2163816796281124
MSI,25,0.4986468777016927,0.00793268850874316,0.3295320487623624,0.024072585772874893,0.00019096032453621876,0.19096032453621875
GT,25,1.7742640258515552,0.0006899340758377238,0.01378147940144312,0.050062410263841325,3.453976275959234e-05,0.03453976275959234
