Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PEG,25,0.3393680012802028,0.012583381437351316,0.3979638595465283,0.03161940748009084,0.00039787906514502237,0.39787906514502236
NI,25,0.6316693326959337,0.011403422585089175,0.40433665020273246,0.028202792349819275,0.00032160835924450933,0.3216083592445093
STZ,25,0.6942550499171641,0.01251822597708079,0.31976584888969994,0.039148101714260385,0.0004900647838328554,0.4900647838328554
MCHP,25,1.1119016612670138,-0.000642993376491843,-0.015851147561341976,0.040564468534756766,-2.6082684588760377e-05,-0.026082684588760376
TWX,25,0.7937437411075348,0.009019799620380782,0.1709377248693911,0.052766582843386776,0.0004759440038995711,0.4759440038995711
K,25,0.5477323985862035,0.0033693282590005116,0.13382475842320335,0.025177166756733087,8.483013943502905e-05,0.08483013943502905
PRGO,25,0.5072928757627219,0.0019708180738121136,0.04252954968604469,0.046339970405536696,9.132765121515018e-05,0.09132765121515019
COL,25,6.444392358288373,0.1927841710957828,0.20220707320888304,0.9533997403574195,0.18380037866773966,183.80037866773966
CVX,25,0.9816233720679116,-0.004942017638826057,-0.15488099689197576,0.031908482886851164,-0.00015769228525499784,-0.15769228525499784
BDX,25,0.3399576794588323,0.009056867686937524,0.3009663140643852,0.03009262918706578,0.00027254496089932907,0.27254496089932906
DGX,25,0.4948353236926465,0.008611451120448742,0.2540086612781063,0.03390219481933464,0.0002919470935626308,0.2919470935626308
FIS,25,0.853386910739618,0.005393804134187604,0.28406243396402253,0.01898809377543652,0.00010241805870629142,0.10241805870629142
AMG,25,0.9811486340023571,-0.0028693373891273445,-0.0998467875101366,0.02873740318221099,-8.245730541714512e-05,-0.08245730541714512
DIS,25,0.8660049240231849,0.00698879999604833,0.2942188005619093,0.02375375055129338,0.0001660102117590122,0.1660102117590122
BK,25,0.7193072146556979,0.005950574198713945,0.23866381358916705,0.024932871511712244,0.00014836490191744484,0.14836490191744484
INTC,25,0.7805876157250771,0.014089272165892473,0.3375480055387316,0.04174005455433157,0.0005880869888351772,0.5880869888351772
HD,25,0.6488083270033702,0.008549300386576527,0.2916249064572509,0.02931608445395168,0.0002506320121550792,0.25063201215507924
CMI,25,1.1435604938937363,-0.0004561733160508047,-0.015811180156948955,0.028851313534007026,-1.3161199367229446e-05,-0.013161199367229447
