Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
JPM,25,-0.005520767126213349,0.01615566618901429,0.5531971817693471,0.029204172981037196,0.0004718128700078673,0.4718128700078673
O,25,1.7152480752405976,-0.0009328529200693287,-0.021573379464363746,0.043240926699049324,-4.0337424737711965e-05,-0.040337424737711965
PXD,25,-0.28400615407481883,0.020960994708308017,0.38230928699992583,0.05482732285368752,0.0011492352242068393,1.1492352242068393
JEC,25,-0.07503234208371129,0.015371200267539742,0.46163773788623846,0.03329710508053757,0.000511816470522258,0.511816470522258
CI,25,0.002965830655627325,0.020926767339701693,0.6980985428070252,0.029976809943702262,0.0006273177272783135,0.6273177272783135
MMC,25,0.09170899869510805,0.009187759734820165,0.4290928039845124,0.021412057367319045,0.0001967288385191134,0.1967288385191134
APH,25,0.2991798050802611,0.013964114806197855,0.3629669893725335,0.03847213442285159,0.0005372293019201761,0.5372293019201761
FLS,25,-0.21689164938318142,0.014362157459590016,0.41144696813717185,0.03490646078792305,0.0005013320861931554,0.5013320861931554
GE,25,0.13551431970791375,0.006054850767385438,0.17683093516368836,0.0342409022594412,0.00020732355332154733,0.20732355332154734
DVN,25,0.3803360123387909,-0.0038587453452845633,-0.08233304671589405,0.04686751552629776,-0.00018084980738215347,-0.18084980738215348
SBUX,25,-0.4960031519359819,0.010012457299913527,0.18948034080550888,0.052841668203408826,0.0005290749465428292,0.5290749465428292
UPS,25,0.2853866156978696,0.004532696888100582,0.20052125206498786,0.022604571043829107,0.00010245966882721272,0.10245966882721272
ADP,25,0.5118404439084571,0.00874702854425445,0.5328918124458024,0.01641426709881016,0.00014357606284630915,0.14357606284630917
CCL,25,0.1080823630880927,0.001337525320562949,0.034288642972927386,0.039007823133128734,5.217395114060083e-05,0.052173951140600826
HRL,25,0.325095145238365,0.009425303435726926,0.28724965663403584,0.0328122356913207,0.00030926527779528664,0.3092652777952866
BIIB,25,0.7779657623346226,0.014414854385288368,0.3879374893795831,0.03715767302701684,0.000535622445980605,0.535622445980605
GT,25,-0.2721627346552395,0.01212296899932692,0.19305017737461014,0.06279698451559841,0.0007612858965338121,0.7612858965338122
CAT,25,-0.20322654351564984,0.0007289176229363009,0.022806282275705813,0.03196126462543936,2.3297129036813343e-05,0.023297129036813344
UNM,25,0.2242195537778002,0.017228355630049746,0.5439404913988657,0.03167323613975334,0.0005456777761702145,0.5456777761702145
NUE,25,-0.004656087978197378,0.00675686698577072,0.20567912965779767,0.03285149541916371,0.00022197318483094532,0.22197318483094533
TROW,25,0.37489261828855147,0.006853857796479925,0.2606912183793983,0.026291095799418636,0.00018019543192284603,0.18019543192284604
AMT,25,0.6438686830563453,0.00046111004496478974,0.01702882342592484,0.02707820930615744,1.2486034310728245e-05,0.012486034310728245
CXO,25,0.12589247277246143,-0.0008310598020230863,-0.0176247702516472,0.04715294384875263,-3.918691617975007e-05,-0.039186916179750064
MAA,25,0.6385282382655485,-8.547020944119814e-05,-0.002685495791458635,0.031826603382898895,-2.720226456938314e-06,-0.002720226456938314
ORLY,25,-0.21993745556347347,0.011549936015212479,0.27136893553464847,0.042561747137552446,0.0004915854561343836,0.49158545613438365
PRGO,25,0.9160487943231974,-0.0004920145428894078,-0.014375507034414578,0.03422589142153652,-1.6839636322749798e-05,-0.016839636322749797
