Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
JPM,25,0.5985485519259773,0.010409622096925215,0.37534103539840663,0.02773377039863466,0.0002886980691726778,0.28869806917267776
O,25,0.07258361225712501,-0.0020026541983758856,-0.047863501556586745,0.041840946300350436,-8.379294677241677e-05,-0.08379294677241678
PXD,25,0.45733793668146133,0.0007437853686713854,0.015043124469360626,0.04944354280829787,3.677538371608926e-05,0.03677538371608926
JEC,25,0.44250914883503945,0.0009569946033977743,0.023450852116033465,0.04080852152674965,3.905353487374132e-05,0.03905353487374132
CI,25,0.39181194833370625,0.008257197153243521,0.1725865203591575,0.04784381269209239,0.0003950557939614615,0.3950557939614615
MMC,25,0.3623375353009191,0.0059841947366041474,0.3294434243412036,0.01816455966171094,0.00010870026232034263,0.10870026232034262
APH,25,0.28039494498479,0.00970464981781198,0.5512768208819236,0.017603950411494974,0.00017084017415368584,0.17084017415368585
FLS,25,0.7238702974820868,-0.0011054987689143594,-0.029046637764092883,0.03805944005956394,-4.2074664131417786e-05,-0.042074664131417784
GE,25,0.24520069670650027,-0.0029467636664552133,-0.1048980488796462,0.028091691865843524,-8.277957691952316e-05,-0.08277957691952316
DVN,25,0.4514054209179403,-0.0009175842388008245,-0.015325805410838653,0.05987184452648044,-5.493746088543187e-05,-0.05493746088543187
SBUX,25,0.32085466385601386,0.005244408661323608,0.16701195375273822,0.03140139698675685,0.00016468175833500866,0.16468175833500864
UPS,25,0.19884546665045516,0.00189442967513788,0.08580540555695589,0.022078208975778293,4.18256142576099e-05,0.041825614257609896
ADP,25,0.21646333900909065,0.006035566055018606,0.17326100269216876,0.034835109812575316,0.00021024960630762512,0.21024960630762513
CCL,25,0.27741448527744866,0.010721374694403566,0.3119240884620878,0.03437174328941471,0.00036851233870566647,0.36851233870566646
HRL,25,-0.05918932466815998,-0.0011178783806582138,-0.033114512158533886,0.03375796011447891,-3.7737293787098254e-05,-0.03773729378709825
BIIB,25,0.6575073932972556,-0.005858967599659558,-0.10344510683911723,0.056638421851810776,-0.00033184267852560923,-0.3318426785256092
GT,25,0.8003898053473135,0.004425959998841223,0.10987393255131335,0.040282166079513085,0.0001782872557346037,0.1782872557346037
CAT,25,0.5634544780775709,0.015314076019187689,0.4199171631829215,0.03646927861464113,0.0005584933050695502,0.5584933050695502
UNM,25,0.7052674886902531,0.007650232123698633,0.22815999993881994,0.033530119765734605,0.00025651319934328536,0.25651319934328537
NUE,25,0.7687368185844042,0.006992444249765551,0.12468920094864815,0.05607898836921179,0.00039212919975496416,0.39212919975496413
TROW,25,0.4778917063774497,-0.003876839917017526,-0.09569454695396276,0.04051265239682483,-0.00015706106795626627,-0.15706106795626626
AMT,25,0.10257528867284041,0.009057729108990603,0.25789167006724484,0.0351222244077477,0.0003181275943905566,0.3181275943905566
CXO,25,0.24010957617373363,0.0014835406636768181,0.034738987710019674,0.042705351003907474,6.335512477088837e-05,0.06335512477088837
MAA,25,0.033514721407531305,0.0007007034104396619,0.01904281072032257,0.0367962177816465,2.5783235290880228e-05,0.025783235290880228
ORLY,25,0.20983713231616016,-0.003906985054176465,-0.14321012366550206,0.027281486491151044,-0.00010658835997664427,-0.10658835997664427
PRGO,25,0.5803866498603105,-0.012779480595616233,-0.28820713875260184,0.044341304836956835,-0.0005666588447481941,-0.5666588447481941
UTX,25,0.30837064100323797,0.007075708102873995,0.37473175450484747,0.0188820616822919,0.00013360395684435938,0.13360395684435938
APA,25,0.006921628717737422,-0.007326922245811339,-0.12286876175387942,0.05963209965839833,-0.0004369197575515575,-0.4369197575515575
VZ,25,0.06373486951077198,-0.002812729500335452,-0.08840527330054346,0.03181630908795755,-8.949067116348914e-05,-0.08949067116348913
MSFT,25,0.24702753612877865,0.011886389142413956,0.4664918121397107,0.025480381076558048,0.0003028697249729696,0.3028697249729696
