Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
JPM,25,0.7163707574282607,-0.007242480500155323,-0.1971860159891788,0.03672917911457158,-0.00026601036352399683,-0.2660103635239968
O,25,0.3511150276426127,-0.005187757556525373,-0.13700995428298074,0.03786409231120948,-0.00019642973100845123,-0.19642973100845124
PXD,25,0.38848183279984017,0.009163539903510596,0.15827887486567505,0.05789490171248265,0.0005305222420521587,0.5305222420521587
JEC,25,0.8500190821993162,-0.011561044014735598,-0.3284971668590693,0.035193740406581575,-0.00040687638188366827,-0.40687638188366826
CI,25,0.6596433088354404,0.0024143341503125365,0.05527208728757342,0.043680893354923846,0.00010546027254295259,0.10546027254295258
MMC,25,0.8274640787987141,-0.00024961538131422663,-0.01136757400822449,0.02195854464053885,-5.481190493553573e-06,-0.0054811904935535725
APH,25,0.5637044653239627,0.0016744754571878491,0.047173263479273336,0.03549628186999546,5.943765281272941e-05,0.05943765281272941
FLS,25,1.2618927112153482,-0.0031231913122086313,-0.115667470276878,0.027001466399606728,-8.433074527614501e-05,-0.08433074527614501
GE,25,0.9187413778729429,-0.004360089745845273,-0.18586649111162007,0.023458180760656148,-0.00010227977339072173,-0.10227977339072174
DVN,25,0.47327162663156996,0.004340191323244338,0.11068744410021866,0.03921123446770205,0.00017018425961041973,0.17018425961041972
SBUX,25,0.7554419374652597,-0.0023689194478280105,-0.07464850158139968,0.03173432014900991,-7.517604816458987e-05,-0.07517604816458986
UPS,25,0.6983002477125254,0.00027575143071330126,0.014773154059387415,0.018665711438789097,5.147096634527727e-06,0.005147096634527727
ADP,25,0.7030895771784694,-0.0021859819376337207,-0.10087654276517732,0.021669873666490518,-4.736995242575288e-05,-0.047369952425752884
CCL,25,1.4240926964438516,-0.008656677698941063,-0.2350463580852076,0.03682966104840857,-0.00031882250545731675,-0.3188225054573168
HRL,25,0.8645053863544215,-0.0027143940810536015,-0.11322437083262507,0.02397358502496056,-6.50737572933882e-05,-0.0650737572933882
BIIB,25,0.6819692224639969,0.00245222437527365,0.03848307921221855,0.0637221455630052,0.00015626099859433705,0.15626099859433704
GT,25,0.620155925377408,0.013265727020643884,0.2567590055707007,0.05166606324540799,0.0006853878912449046,0.6853878912449045
CAT,25,0.12040412696458973,0.006663726941716587,0.22895924352239322,0.02910442417261413,0.00019394393548219626,0.19394393548219627
UNM,25,0.8250612147971454,-0.002629161272245428,-0.10081848998547427,0.026078165549039987,-6.856370291274087e-05,-0.06856370291274087
NUE,25,0.9759003183849237,-0.005330042226207716,-0.1874662245439605,0.02843201349562481,-0.00015154383250778788,-0.15154383250778788
TROW,25,1.0372882609259166,-0.009188015916595899,-0.40121653866120643,0.022900391761652688,-0.0002104091640023465,-0.2104091640023465
AMT,25,0.4921114869974361,-7.38186076779581e-05,-0.002207307741220962,0.03344282552877093,-2.468702817350743e-06,-0.0024687028173507428
CXO,25,0.2561714171604043,0.014440705697877317,0.29487161867373674,0.04897285728219019,0.0007072026191962565,0.7072026191962565
MAA,25,0.23734302559072915,0.0007223952648609546,0.02531897127773881,0.028531777888468394,2.0611221244694053e-05,0.020611221244694052
ORLY,25,0.6431418610397927,0.004149260291914093,0.09986972690744614,0.04154672712542213,0.00017238818512050418,0.17238818512050416
PRGO,25,0.7963301297766938,-0.0028516191806717377,-0.05819655493001149,0.04899979361495127,-0.00013972875132135158,-0.1397287513213516
UTX,25,0.9041188003151572,-0.0027938576616971097,-0.15057514663028065,0.018554573740891613,-5.1838838005514035e-05,-0.05183883800551403
APA,25,0.5600563788393553,-0.0028434545409188154,-0.08884509414450911,0.032004631975445424,-9.100371612101581e-05,-0.0910037161210158
VZ,25,0.3662816135768971,-0.0019462489978243768,-0.06956456160099062,0.027977593088097056,-5.4451362509247105e-05,-0.054451362509247106
MSFT,25,0.14104583314996486,0.0048606985170099445,0.11090666480463285,0.04382692893679822,0.00021302948848819534,0.21302948848819533
MDLZ,25,1.1661356936896303,-0.0033396851914594076,-0.18154654606815462,0.018395751744049442,-6.143601968536549e-05,-0.061436019685365495
NEE,25,0.3549144579390609,0.0069505242592407595,0.23803200628598245,0.029199956626379413,0.0002029550069004281,0.2029550069004281
CBS,25,0.8971982720226657,-0.002911333764733119,-0.07608027977903027,0.0382666017158307,-0.00011140684963689222,-0.11140684963689222
AIZ,25,0.4943094291420179,0.0064743319125225235,0.260605363021928,0.02484343314138841,0.00016084463200391068,0.1608446320039107
NFX,25,0.5655946837143963,0.008223704567494633,0.12045544581807598,0.06827175402193858,0.0005614467353810864,0.5614467353810864
NKE,25,0.48192632562052584,0.0028770731705408817,0.09510742304441347,0.030250774108318966,8.703369057513727e-05,0.08703369057513727
PWR,25,0.8149685929376711,-0.0022361987561231996,-0.06244058102603787,0.03581322786203254,-8.008549559783388e-05,-0.08008549559783389
CMG,25,0.3899413602944858,0.010540280363251532,0.23230405137881852,0.045372778910616085,0.00047824181057772,0.47824181057772
FBHS,25,1.0171552327120983,-0.01428644870751482,-0.35581789297826116,0.040151012609103545,-0.0005736153821947386,-0.5736153821947386
MAR,25,0.8183312899866255,0.004596967561941452,0.24157968660924098,0.019028783530865,8.747470063459213e-05,0.08747470063459213
V,25,1.0181099767093504,-0.004709472449533692,-0.1418573941956613,0.03319863921254611,-0.00015634807673349478,-0.15634807673349477
ADBE,25,1.1246404153366811,0.003361976875301159,0.08950352939841202,0.03756250617040815,0.0001262842771232693,0.12628427712326928
XRX,25,0.5804348274713017,0.006462813916104829,0.14905052215876388,0.04335988779174383,0.0002802268862212259,0.28022688622122593
