Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PEG,25,0.7033812073802349,0.0011956023734176367,0.045411508177950546,0.026328180265066788,3.1478034812681234e-05,0.03147803481268124
NI,25,0.48642919634786225,0.004928811063637715,0.2469077575234433,0.01996215555588502,9.838969315790317e-05,0.09838969315790316
STZ,25,0.05288096768434333,0.027169192292414247,0.28335891423146004,0.09588261010282265,0.0026050530713821697,2.60505307138217
MCHP,25,0.6958028589563781,-0.0006427449476580954,-0.014783367307057668,0.04347757410798047,-2.7944991094334872e-05,-0.027944991094334872
TWX,25,0.7663556385003368,0.011871684854177202,0.3339935511588026,0.035544652922153634,0.0004219749177429167,0.4219749177429167
K,25,0.14739493922809596,0.006275913825419426,0.24658698373945398,0.025451115587068508,0.00015972900818523109,0.1597290081852311
PRGO,25,0.6899953901782414,-0.0002928112082481709,-0.006671310881751964,0.0438911052772398,-1.2851807567576256e-05,-0.012851807567576257
COL,25,-11.289741784864983,-0.11131855443444558,-0.15598776406866818,0.7136364515452729,-0.07944097817774705,-79.44097817774706
CVX,25,0.8106276012429767,0.00029096519742500713,0.01152975106170116,0.025236034660931925,7.34280780734238e-06,0.00734280780734238
BDX,25,0.359675852950702,0.005177601757960456,0.2315794170280254,0.0223577804297429,0.00011575968325713072,0.11575968325713072
DGX,25,0.41050624047938233,-0.002448828085247057,-0.07657626454434792,0.031978944126072606,-7.8310936512473e-05,-0.078310936512473
FIS,25,-0.07326189755675037,0.007932062905869135,0.2712223600103487,0.029245608310341672,0.0002319780048380393,0.2319780048380393
AMG,25,0.9727418423494145,0.007906689465082065,0.23842618308519611,0.03316200160054062,0.00026220164869602907,0.2622016486960291
DIS,25,0.7639341630250925,0.007375341299842717,0.4026399916151783,0.018317458408084988,0.00013509750750530044,0.13509750750530045
BK,25,0.8635736058334325,0.0050821361413320495,0.12502564731966345,0.04064874887900504,0.00020658247577792215,0.20658247577792216
INTC,25,0.39166038893765026,-0.010179478024560071,-0.2802612780364969,0.036321385872059186,-0.00036973274930619316,-0.36973274930619315
HD,25,0.3506749901386778,0.013778406698734829,0.5771448622021671,0.023873394014392896,0.000328937332009447,0.328937332009447
CMI,25,0.8217544761726647,-0.0047805097039288185,-0.08345312707531376,0.05728376960176175,-0.00027384561645884474,-0.27384561645884475
SRE,25,0.3668208485354155,0.01220636947171016,0.5183318592679159,0.023549332832734325,0.00028745185736863,0.28745185736863
GLW,25,0.7557698907473129,-0.003323408568397221,-0.05832689936967625,0.056979002901104636,-0.00018936450646026126,-0.18936450646026126
DVN,25,0.5870776014064524,-0.014550379782879708,-0.29679338647527015,0.04902528306200009,-0.000713336487515281,-0.713336487515281
KMB,25,0.34290422149235605,0.011089815287106857,0.52843051379686,0.020986326484866882,0.00023273448427209225,0.23273448427209226
ADP,25,0.5316390444339989,0.003517415705423728,0.2140014821963335,0.016436408146915125,5.781368015671378e-05,0.05781368015671378
O,25,0.34764596902319655,0.008554025208902994,0.3524917535424687,0.024267305895632516,0.00020758314638340077,0.20758314638340078
MHK,25,1.0143907440590376,0.016629065372234915,0.35589731572231226,0.04672433490678443,0.0007769820196391161,0.7769820196391162
NTAP,25,0.5448412912779872,-0.01150576973704461,-0.16225613505585548,0.07091115373285474,-0.000815887406638398,-0.815887406638398
PBCT,25,0.2849302567980423,-0.0003195231134265462,-0.013308957253682065,0.024008125305094562,-7.671150945018464e-06,-0.007671150945018464
FITB,25,0.7047648196521186,0.00340562398273343,0.11094124899640387,0.03069754499378155,0.00010454429544186099,0.10454429544186099
IP,25,0.6019356170225962,0.007693601237098915,0.18409091474338343,0.04179240049854463,0.0003215340641769363,0.3215340641769363
VLO,25,1.028807117335439,0.01978363406924067,0.32787388808313495,0.060339157182972676,0.0011937278057543262,1.1937278057543261
FE,25,0.44074943803336,-0.004593027024962989,-0.15282160766894248,0.030054827291915845,-0.00013804263398236466,-0.13804263398236466
LLY,25,0.5203337178056789,0.012713516200049482,0.3296476422627796,0.03856698659447673,0.000490322008855971,0.49032200885597105
CERN,25,0.49468273585004063,0.004281363867879812,0.09885981544176334,0.04330742323104873,0.00018541483703239084,0.18541483703239084
CB,25,0.5462522822296043,0.005465306849613906,0.2612215092031116,0.020922116506739807,0.00011434578665270523,0.11434578665270523
LOW,25,0.5539641033061828,0.009799561063741696,0.22227178728247043,0.044088191234491154,0.00043204492219231744,0.43204492219231744
SNA,25,0.4705701243329166,0.009244810593402746,0.28859408539582687,0.03203395724733182,0.00029614786730874384,0.2961478673087438
AYI,25,0.852894306599256,0.003190284102618028,0.06100883562531351,0.05229216505968408,0.00016682686288138802,0.166826862881388
DAL,25,0.34313081451650707,0.014212267902370686,0.21766477145837734,0.06529429547623607,0.0009279800198048173,0.9279800198048173
MSI,25,0.42152301248347473,0.007625885401843864,0.301559770330528,0.025288139042835278,0.00019284445036655542,0.19284445036655543
GT,25,1.4083922832244529,-0.005912244822923665,-0.09722016263373662,0.060812949317902515,-0.00035954104477148833,-0.35954104477148835
STI,25,1.1871963781221941,0.0023258455052130892,0.054749054446830585,0.04248193012121933,9.880640622521452e-05,0.09880640622521453
EOG,25,0.3392790486430733,0.0020907050965239113,0.041690150382238216,0.05014865807283442,0.0001048460550167099,0.1048460550167099
KSU,25,0.8990179743531236,0.011499284422307899,0.24960564294122667,0.04606980950753415,0.0005297698428086798,0.5297698428086798
CRM,25,0.368455117127506,0.004062322316432743,0.07373597265885522,0.05509281521554438,0.0002238047727252113,0.2238047727252113
CPRI,25,0.6511871126816287,0.007710933610691622,0.1170245344662825,0.06589159825210261,0.0005080857396243274,0.5080857396243275
AN,25,0.47013507556128836,0.00821965016385078,0.14682870132696746,0.055981222264894534,0.0004601460627622073,0.4601460627622073
HIG,25,0.8228967207698089,0.0026461190496686465,0.052827225426034144,0.05009006299930707,0.00013254426990156907,0.13254426990156906
D,25,0.49571662185407145,0.0035661462407025088,0.293878685210175,0.012134756347341373,4.327431572991234e-05,0.04327431572991234
MMC,25,0.5797062044578891,0.0040860277088311005,0.19208784300212098,0.021271662198768006,8.691660115706116e-05,0.08691660115706117
TSCO,25,0.7434375317038778,0.0037843028481428826,0.07047625156569691,0.05369614251710326,0.00020320246506176,0.20320246506176
UNP,25,0.601614563593438,0.006406392218399523,0.24740772147548087,0.025894067413067472,0.0001658875519777881,0.1658875519777881
DISCK,25,0.9792083786629308,0.011867738071361444,0.34618676927339054,0.034281316112312936,0.0004068416803624727,0.4068416803624727
ORCL,25,0.9357303175656713,0.0024837359328895737,0.09255460062213643,0.026835358979395076,6.665194536911442e-05,0.06665194536911442
BXP,25,0.7336232290663381,-0.0017178985454305025,-0.07601340463839389,0.022599942123402834,-3.882440770060727e-05,-0.03882440770060727
HBI,25,0.4718477579973558,0.010219118345595534,0.2533102046704256,0.040342308194379006,0.00041226282177284757,0.41226282177284757
EMN,25,0.9584473536758392,0.007670666537555698,0.1727261411256736,0.04440941300237008,0.0003406497982697711,0.3406497982697711
SPGI,25,1.3852414335892826,-0.0030627801552620608,-0.05576320938835991,0.0549247467793952,-0.0001682224244687254,-0.1682224244687254
TAP,25,0.900026346452482,-0.0019580443084444682,-0.06128626221026901,0.03194915528910135,-6.255786167343337e-05,-0.06255786167343337
KO,25,0.6883972431357172,0.002154126828850902,0.1043176465175378,0.020649687763889035,4.448204641958756e-05,0.044482046419587556
LKQ,25,0.470045300671395,0.011837029805281554,0.2782646998997768,0.04253874030570504,0.0005035323368777623,0.5035323368777623
