Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PEG,25,0.6884248741530864,0.00366601723464799,0.09524783730806356,0.03848924383228625,0.00014110223123773026,0.14110223123773027
NI,25,0.6595600036876709,0.005652206997569643,0.17908476827927405,0.03156162889718962,0.00017839285970739144,0.17839285970739144
STZ,25,0.677942953862633,0.010785141561053587,0.3261278772451632,0.03307028412338382,0.00035666769573495746,0.35666769573495744
MCHP,25,0.9145597217584083,0.0013951411690716125,0.03835002392550111,0.03637914729288875,5.0754046084029193e-05,0.05075404608402919
TWX,25,0.8768788047019191,0.006065823094632468,0.13581843706579072,0.0446612641529233,0.0002709073275342833,0.2709073275342833
K,25,0.4089455924153111,0.0016990951512142862,0.07052262509284761,0.024092908466996472,4.093614395492333e-05,0.04093614395492333
PRGO,25,0.8971703184123662,-0.0067957365349887965,-0.1406534411987462,0.048315465850467754,-0.00032833917648502725,-0.32833917648502725
COL,25,0.5069310633952128,-0.008331311737880126,-0.0721530986920946,0.11546713708628206,-0.0009619927145463554,-0.9619927145463554
CVX,25,0.7290732487476811,-0.005285387295374953,-0.13927927916873503,0.03794812356094818,-0.0002005705301523544,-0.2005705301523544
BDX,25,0.35405360483876336,0.009069122211496198,0.36341093966922916,0.024955556428077726,0.00022632499110212642,0.22632499110212642
DGX,25,0.6338524466433365,0.00933567126583162,0.3378630712541525,0.027631523123191528,0.00025795881645234115,0.25795881645234114
FIS,25,0.7610477815224177,0.004889255412223247,0.21663153544704902,0.022569453713807617,0.00011034782372115596,0.11034782372115597
AMG,25,1.0285659434042356,0.00081242186576801,0.0258380097431619,0.031442896486368103,2.5544896628605582e-05,0.025544896628605582
DIS,25,0.700562484286172,0.007206024518457369,0.25886175675065276,0.0278373468870434,0.00020059660419683765,0.20059660419683764
BK,25,0.6292238564714225,0.0058709588968510135,0.16233763975066004,0.03616511183646886,0.00021232388509192875,0.21232388509192876
INTC,25,0.818147297379435,0.009211496398773384,0.2457886100696453,0.03747731189074736,0.0003452221235173262,0.34522212351732623
HD,25,0.5918561210167533,0.011457461105360774,0.37705464324312415,0.03038673919199829,0.0003481548824110623,0.3481548824110623
CMI,25,0.9536299975344837,-0.005099361493718958,-0.17511297209175705,0.029120409714975058,-0.00014849549598186328,-0.1484954959818633
SRE,25,0.6205989065285916,0.004384076507660491,0.15704664842134514,0.027915759755014452,0.00012238482653545302,0.12238482653545302
GLW,25,1.2367860073867711,0.003967913214260426,0.11979271487618837,0.03312315960416674,0.00013142982269143035,0.13142982269143036
DVN,25,0.9832143410819401,-0.005661339590741155,-0.10685659741934173,0.05298072114840161,-0.00029994185418346324,-0.29994185418346325
KMB,25,0.4933088537081399,0.00019733427909260273,0.009887078767018881,0.0199588051984441,3.938556435384658e-06,0.003938556435384658
ADP,25,0.5057672778087516,0.00887497361021501,0.3614781021927754,0.024551898320750862,0.00021789744967734613,0.21789744967734614
O,25,0.04261435554554351,0.006304711908207614,0.15721944742434946,0.04010134885661205,0.00025282745167146977,0.25282745167146975
MHK,25,0.6730176606652734,0.0075001381998220425,0.19632200232468777,0.03820324829113099,0.0002865296418655977,0.2865296418655977
NTAP,25,0.7347463255720412,-0.004879562121768077,-0.12315122683522045,0.0396225214085529,-0.00019334055463411944,-0.19334055463411945
PBCT,25,0.4550311846650664,0.00012281490793046189,0.005999888588848708,0.020469531410753795,2.513963615591425e-06,0.0025139636155914248
FITB,25,1.0535853598343916,-0.008857542497892744,-0.23868958121881043,0.03710904536621939,-0.00032869494638751803,-0.328694946387518
IP,25,0.4260639965476864,0.00551926295329244,0.16955479764737028,0.03255149975037018,0.00017966028664632625,0.17966028664632624
VLO,25,0.283788285731357,0.009676047547786249,0.13647053962337546,0.07090209780432992,0.0006860520695924873,0.6860520695924873
FE,25,0.3326214633022044,0.005754342743793956,0.13641197884415596,0.042183558896744786,0.00024273865604488833,0.24273865604488834
LLY,25,0.4012146944108353,0.005600552893734879,0.24944274440801434,0.022452258160590294,0.0001257450594121765,0.1257450594121765
CERN,25,0.6694992893539199,0.003374646369352188,0.0840802412891384,0.04013602146724726,0.00013544487912468746,0.13544487912468747
CB,25,0.538056416683265,0.004592612621165474,0.3402778289332714,0.013496655469922158,6.198491025468653e-05,0.06198491025468653
LOW,25,0.6866109963025048,0.012846130632591046,0.47966473342462335,0.026781478264775838,0.0003440383683232082,0.3440383683232082
SNA,25,0.5544027513026426,0.00861842857638915,0.30994098132248604,0.027806676418249722,0.00023964985465744972,0.23964985465744973
AYI,25,0.3863349033245371,0.0030310619481721964,0.055922913868929676,0.05420071556493465,0.00016428572651257792,0.16428572651257792
DAL,25,1.0543023068162645,0.007867803647451464,0.13401093501520078,0.0587101615741956,0.0004619200233759209,0.46192002337592086
MSI,25,0.8435619828079735,-0.002183183662068708,-0.07292040036113105,0.029939271469392757,-6.536292832621806e-05,-0.06536292832621807
GT,25,1.6281786546737902,-0.0072954915794568405,-0.1366522162885004,0.05338729058045122,-0.00038948652887969734,-0.3894865288796973
STI,25,0.7806123634334304,-0.0004619618546741083,-0.012666780019512484,0.03647034636762312,-1.6847908848594304e-05,-0.016847908848594304
EOG,25,0.5795487511374262,-0.004708463835267003,-0.10181971310966338,0.04624314576683027,-0.00021773417947210073,-0.21773417947210072
KSU,25,0.8511366399930008,0.004438947646169319,0.1099364721906211,0.04037738848371027,0.00017923311356822988,0.17923311356822988
CRM,25,0.96208975962292,-0.00019493541287237195,-0.0033568972084231596,0.05807011676831751,-1.1319922187778824e-05,-0.011319922187778823
