Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
JPM,25,1.2000758887756275,-0.0018170883128575226,-0.049907138850354776,0.036409386607114735,-6.615907088209939e-05,-0.06615907088209938
O,25,0.11583210475546267,0.010195239032928672,0.33413833864294096,0.030512030060169983,0.00031107743984333796,0.31107743984333797
PXD,25,1.2495821565122474,-0.006975310242866495,-0.15107947354152257,0.04616980771348403,-0.0003220487326550417,-0.3220487326550417
JEC,25,0.8687919338862091,0.0030740637498562658,0.09714676767402465,0.0316435000716778,9.727413648891887e-05,0.09727413648891887
CI,25,0.5832205922080991,0.010244248695167572,0.3218387007293763,0.0318303817159069,0.000326078346359865,0.326078346359865
MMC,25,0.23516914326124,0.00293814747994286,0.1590124576511703,0.018477467258498383,5.428952386128373e-05,0.05428952386128373
APH,25,0.5141983143157414,0.007074416159356207,0.18172293055603267,0.03892968343461131,0.00027540478156843593,0.27540478156843595
FLS,25,0.5526061222876774,0.010215832657579983,0.3118811414897542,0.032755531831076067,0.0003346250317963075,0.33462503179630754
GE,25,0.574117630018006,0.0025138173947569704,0.08628847759606532,0.02913271232486779,7.323431899870343e-05,0.07323431899870343
DVN,25,0.9539307770226467,-0.01632667352250147,-0.39804932358609085,0.041016709626364445,-0.0006696664270368955,-0.6696664270368955
SBUX,25,0.5502433328205538,-0.0012001159569468463,-0.02395799436303127,0.05009250518894447,-6.011681480069495e-05,-0.06011681480069495
UPS,25,0.33044085307875776,0.0027188441994009595,0.11812805843433119,0.023016074550250884,6.257712078392966e-05,0.06257712078392966
ADP,25,0.3438768214759723,0.006547018441123717,0.4095609074953663,0.015985457404031633,0.00010465708441399276,0.10465708441399277
CCL,25,0.25799079747148773,0.0018097139702983385,0.04671142774271479,0.03874242466460651,7.011270715876934e-05,0.07011270715876934
HRL,25,0.22322411665258632,0.013519040120417266,0.5973087280222714,0.02263325393750682,0.00030597986803674676,0.30597986803674676
BIIB,25,-0.12509219500986038,0.020069570124181427,0.5041413068183596,0.039809414251017576,0.0007989578309133847,0.7989578309133848
GT,25,1.1881235204291782,-0.0031523683382338697,-0.05639317594607143,0.05589981917756267,-0.00017621682008834704,-0.17621682008834705
CAT,25,0.840471517872625,-0.011665918710452488,-0.34963129981953306,0.033366345394345444,-0.0003892490730353147,-0.3892490730353147
UNM,25,0.9530219001939235,0.0006120948329958083,0.02281824918904647,0.026824793958759748,1.6419317778334015e-05,0.016419317778334015
NUE,25,0.7290895645212745,0.00023334457710437028,0.007516556270930641,0.031044080386493186,7.243967809380329e-06,0.007243967809380329
TROW,25,0.49722788248251737,0.0032737246144241066,0.16673702307192087,0.01963405939550695,6.4276503524136e-05,0.064276503524136
AMT,25,-0.12257356744491993,0.01077304862941972,0.37557691259379933,0.02868400124762509,0.00030901414032700103,0.30901414032700103
CXO,25,1.3187843066791602,-0.017301037396961427,-0.3503831673797196,0.04937747873661931,-0.0008542816061899184,-0.8542816061899184
MAA,25,0.2673876655628395,-0.0004175198259718624,-0.02017066829492578,0.02069935511640412,-8.642391145930828e-06,-0.008642391145930827
ORLY,25,0.37955216628649996,-0.0020126227449982392,-0.03535774063594473,0.05692170112680232,-0.00011456191037179424,-0.11456191037179424
PRGO,25,0.5126442485531748,0.0019843761028135697,0.05339176673980433,0.037166331514821155,7.375198008725795e-05,0.07375198008725796
UTX,25,0.5819177531774221,0.0009389193550224557,0.04923849318911695,0.019068807638288623,1.790407256878923e-05,0.01790407256878923
APA,25,0.8136712845900858,-0.016733212612491777,-0.434794685508681,0.03848532001469849,-0.000643983042265735,-0.643983042265735
VZ,25,0.0769735804387806,0.01246539662573064,0.39058357045648584,0.03191480023381932,0.0003978306431455187,0.39783064314551875
MSFT,25,0.5852729959746401,-0.0026811232563576336,-0.08032034785729653,0.0333803740631344,-8.949689720658679e-05,-0.08949689720658678
MDLZ,25,0.05082413098281572,0.007816304963934205,0.2384785808900373,0.032775710651927734,0.00025618494986513393,0.25618494986513396
NEE,25,-0.07509338592075117,0.011238040008551803,0.5756383044694308,0.019522745309504673,0.00021939739286498056,0.21939739286498056
CBS,25,0.6547024900168621,0.008995255608891577,0.30584600672787177,0.029411061158287927,0.00026456001284754264,0.26456001284754266
AIZ,25,0.8453677686309311,0.001227481257326711,0.02899466142114639,0.042334733263396006,5.196509161474427e-05,0.05196509161474427
NFX,25,1.031408448650051,-0.02558131864408089,-0.290098075093476,0.08818162145970126,-0.0022558021571123395,-2.2558021571123397
