Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
JPM,25,-0.32135090058703736,0.014589893740497403,0.43505985713609524,0.033535371055696823,0.0004892775002507689,0.4892775002507688
O,25,0.50236038064087,0.000664575724219814,0.018805245662813292,0.03533991185948658,2.348604751788269e-05,0.02348604751788269
PXD,25,0.26630594381785905,0.001616553555157523,0.036592206014331795,0.04417753754786961,7.141535538111357e-05,0.07141535538111357
JEC,25,0.07440177797916071,0.007977480559413996,0.1779544947650965,0.044828766870679104,0.0003576206162133448,0.3576206162133448
CI,25,-0.23733674626935758,0.00540396809498293,0.10203372745753132,0.052962566688864524,0.0002862080206150296,0.2862080206150296
MMC,25,-0.04405402365262546,0.0073125885109284125,0.3407499805748015,0.021460275650179095,0.00015693016516085643,0.15693016516085642
APH,25,-0.051393976703644983,0.00992293494722956,0.4805783181407901,0.020647903937111328,0.0002048878075646008,0.20488780756460082
FLS,25,0.10203597635680105,0.002645866275086094,0.05091109426468006,0.05197032814361806,0.0001375065385403567,0.1375065385403567
GE,25,0.06039643608521827,-0.0008713272117926594,-0.03750975085089867,0.02322935215582174,-2.0240366645681957e-05,-0.02024036664568196
DVN,25,0.04078586783500722,0.0039405217722907225,0.05476404892995851,0.07195453676791731,0.0002835384187490715,0.2835384187490715
SBUX,25,0.12693386993697908,0.003100715430253854,0.10157299973710956,0.03052696521988226,9.465543209611165e-05,0.09465543209611166
UPS,25,-0.0021751117454266644,0.0015159358293441927,0.049887906815842264,0.030386839739341327,4.6064499101407465e-05,0.04606449910140747
ADP,25,-0.1278733381022712,0.007351619490045427,0.2441966253133891,0.030105327952877094,0.00022132291573258065,0.22132291573258064
CCL,25,-0.08226194744447565,0.009010776873981354,0.24332811480165745,0.03703138406889912,0.0003336815391795578,0.3336815391795578
HRL,25,0.41942858660398574,-0.0036699289177014576,-0.09259435081340157,0.039634479700572545,-0.0001454557231911826,-0.1454557231911826
BIIB,25,-0.23482548234176734,0.0015121463336474532,0.025049087777352055,0.06036732144052962,9.128422378841417e-05,0.09128422378841416
GT,25,-0.11403991880033075,0.0073981475083234926,0.178860661582367,0.041362630792442734,0.00030600684393481477,0.30600684393481475
CAT,25,-0.025242774706232953,0.01277458538079126,0.28310832438157907,0.04512260601554555,0.0005764225831493919,0.5764225831493919
UNM,25,-0.5190274398560011,0.014753481148535865,0.3540802181654175,0.041667058456350714,0.0006147341614507122,0.6147341614507122
NUE,25,0.14546165510373535,0.008219810191078333,0.1563924083672128,0.05255888234535041,0.00043202403673399837,0.43202403673399836
TROW,25,-0.2943224556337513,-0.0023810098648217267,-0.06523057902863073,0.03650143690701663,-8.691028135577445e-05,-0.08691028135577444
AMT,25,0.17983436082079576,0.007224649100858942,0.19746996621664836,0.03658606541175295,0.0002643214845809874,0.2643214845809874
CXO,25,0.07849499893564738,0.0028186283837833767,0.05389165409756686,0.052301760467037405,0.00014741922657423095,0.14741922657423095
MAA,25,0.10632575481673552,0.003088053989366846,0.10114359981175672,0.030531383054530133,9.42825592424291e-05,0.0942825592424291
ORLY,25,0.1567337110884968,-0.0016939080655689,-0.053760615218867165,0.031508346001487476,-5.3372241424655234e-05,-0.053372241424655235
PRGO,25,-0.02209154307774236,-0.01409631547836053,-0.2526049363187147,0.05580380052658606,-0.0007866279771142586,-0.7866279771142586
UTX,25,0.1073912987832494,0.003695684698951689,0.16006675967470793,0.023088395782248364,8.532743101579599e-05,0.08532743101579598
APA,25,-0.12000242248867336,-0.0044443427531933345,-0.07206371445753698,0.06167240735019468,-0.00027409331667882503,-0.274093316678825
VZ,25,0.1702262883548229,-0.002702565685803528,-0.0796761137355532,0.03391939640496779,-9.166939680723351e-05,-0.0916693968072335
MSFT,25,0.06863137085072683,0.012388402505860424,0.4955192513774396,0.02500085006066518,0.00030972059354018524,0.3097205935401852
MDLZ,25,0.24490230001452384,0.0015760816791966293,0.05450359111958996,0.028917024489972475,4.557559251552587e-05,0.04557559251552587
NEE,25,0.19170598948492237,0.005871624521845918,0.19301310807356487,0.03042085887559518,0.0001786198609495587,0.1786198609495587
CBS,25,-0.0038285391791118934,0.00655117245892735,0.2099145049558136,0.031208765017483445,0.0002044540018596729,0.20445400185967288
AIZ,25,-0.3851349125064996,0.0069171538179144745,0.19850610135208413,0.034846051435193585,0.00024103549772419347,0.24103549772419347
NFX,25,0.4848196066224235,-0.0036383273791896816,-0.059351722711214916,0.06130112510621692,-0.00022303356184908102,-0.22303356184908102
NKE,25,0.14172481079344343,-0.00249689733028451,-0.08862351320145705,0.028174208402330172,-7.034810574265762e-05,-0.07034810574265761
PWR,25,-0.035746103184054294,0.015830292435978048,0.42032432167703676,0.03766209000901337,0.0005962018985928088,0.5962018985928088
CMG,25,-0.3287450364612857,0.005681926229758338,0.09293318166159018,0.0611399085683807,0.00034739245017970886,0.3473924501797089
FBHS,25,0.18178032807704705,0.004835015431067373,0.13770490064592747,0.0351114260159801,0.0001697642865940442,0.1697642865940442
MAR,25,0.06441143348966469,0.013286118912878378,0.37629503284787374,0.03530771802201707,0.00046910254018289776,0.46910254018289776
V,25,-0.003901504446162464,0.006575712149056629,0.28216390165401034,0.023304583295420168,0.00015324423150439657,0.15324423150439656
