Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
JPM,25,1.3265246719631385,0.002188187968825858,0.0969887152774069,0.02256126357140836,4.936828550846488e-05,0.04936828550846488
O,25,-0.014943808410743048,0.006938941876539663,0.1845678756147714,0.037595610034665876,0.0002608737528435978,0.2608737528435978
PXD,25,1.4542970897344252,-0.007827959940848929,-0.1308153375467601,0.059839771754981064,-0.000468423336167535,-0.468423336167535
JEC,25,1.8688837304622206,-0.01702362022698832,-0.42569567072827524,0.039990118287706586,-0.0006807765865622573,-0.6807765865622574
CI,25,0.9607887265172401,0.01808484979139606,0.5451003174469851,0.03317710375972207,0.0006000029380081351,0.6000029380081351
MMC,25,0.9368195296834547,0.004439168396393726,0.4529034198971506,0.009801578441164813,4.351085725079292e-05,0.04351085725079292
APH,25,0.8204651993040408,0.004894201910182307,0.19553553025072368,0.02502973195667693,0.00012250056195371937,0.12250056195371936
FLS,25,1.513747484595314,-0.013533433918542169,-0.33428849451530773,0.04048429467536594,-0.0005478915267278535,-0.5478915267278535
GE,25,1.2109130320263728,-0.0019492314251984642,-0.06020361051026728,0.0323773177169505,-6.311088515751491e-05,-0.06311088515751491
DVN,25,1.9378471423143206,-0.00702886761563676,-0.15963702330480686,0.04403030995019256,-0.0003094832197153575,-0.30948321971535747
SBUX,25,0.4055807053057519,0.014646067717456045,0.5321031523831526,0.02752486553003884,0.00040313104446682057,0.4031310444668206
UPS,25,1.039794437107882,-0.0018965150202608293,-0.07432190416805837,0.025517578451332283,-4.839447081363575e-05,-0.04839447081363575
ADP,25,0.9118955812460263,0.008240403079042053,0.442672918639938,0.018615105492244138,0.00015339597261498122,0.15339597261498122
CCL,25,1.3105297941269147,0.004651274331444324,0.12276743062952186,0.03788687526971696,0.00017622225044066722,0.17622225044066722
HRL,25,0.9328078093297371,0.003479891012410147,0.11832116988373395,0.029410552784675775,0.00010234551830540745,0.10234551830540745
BIIB,25,0.43537578836222046,0.012777460220649184,0.2965073393363435,0.04309323421554519,0.0005506220859682469,0.5506220859682469
GT,25,2.554777416522356,-0.005998847218009232,-0.1434642524543839,0.04181422978464014,-0.00025083717601678726,-0.25083717601678723
CAT,25,1.570466764297159,-0.01153609908941208,-0.5181419290339585,0.022264361255072286,-0.00025684387760098096,-0.256843877600981
UNM,25,1.3624323385822747,-0.001482763875640994,-0.05093122369401969,0.029113062049107987,-4.3167796715712096e-05,-0.043167796715712095
NUE,25,1.0696357139975023,-0.0039249245700529395,-0.12039899365064795,0.032599313757069905,-0.00012794984753198847,-0.12794984753198846
TROW,25,1.0794960824700175,-0.0003565521116846884,-0.025008338980034107,0.014257328804178026,-5.083480692112608e-06,-0.005083480692112608
AMT,25,0.5859629944676114,0.004306700905353876,0.17477862408223724,0.02464089031463869,0.00010612094462678,0.10612094462678
CXO,25,1.6672837816882116,-0.005309740860720873,-0.08233110778419725,0.06449252297975314,-0.00034243858447657513,-0.34243858447657516
MAA,25,-0.046801904617020856,0.005657608280062581,0.15687570381513596,0.03606427345007847,0.00020403753208560505,0.20403753208560504
ORLY,25,0.913148865600364,0.014839607968541703,0.3983937829961996,0.03724859323089202,0.0005527545209261137,0.5527545209261137
PRGO,25,1.2027413075173867,0.007613152906012742,0.13335716303483114,0.057088443790786744,0.0004346230517455732,0.4346230517455732
UTX,25,0.8809645016835886,-0.0029892119008311387,-0.12751123841224307,0.023442732876352707,-7.00752961019989e-05,-0.0700752961019989
APA,25,1.9755659443188827,-0.015747600792065906,-0.294869370264112,0.05340534616383151,-0.000841006071550107,-0.841006071550107
VZ,25,0.8985397866229254,0.0021182976106246406,0.08530341774965623,0.024832505736655283,5.2602637567779566e-05,0.05260263756777957
MSFT,25,1.3638078805575273,0.0035826518351056613,0.08941948734878977,0.040065671827564445,0.00014354135269776494,0.14354135269776494
MDLZ,25,1.3005340439194695,-0.002013113231770456,-0.08574424021241774,0.02347811616014426,-4.726410629903018e-05,-0.04726410629903018
NEE,25,0.848931168173362,0.001885843249044332,0.0663679603731081,0.028414964667325595,5.3586169289709196e-05,0.0535861692897092
CBS,25,0.6485198841111545,0.0019984467848098136,0.05157553742115309,0.038747958523262516,7.743573312875798e-05,0.07743573312875798
AIZ,25,0.9302270004864478,-0.005697764553510397,-0.23249360106953365,0.024507188702394968,-0.00013963619109469652,-0.13963619109469652
NFX,25,2.938240230164159,-0.0003335271690255281,-0.003961908739855718,0.08418345573443832,-2.807746966989307e-05,-0.028077469669893072
NKE,25,0.40170766592584123,0.013057129154216071,0.45547742619131354,0.028666907300762046,0.00037430751107798965,0.37430751107798965
