Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
XEL,25,0.37301300245618574,-0.0010459531881368829,-0.03864864482745383,0.0270631271240304,-2.8306764096333348e-05,-0.02830676409633335
WU,25,0.17682626771473708,0.012231465074103992,0.33121549762302255,0.03692902403988778,0.0004516960677646341,0.4516960677646341
FRT,25,0.6731576660177598,-0.006276183586755511,-0.22182368784536086,0.028293567958038838,-0.00017757562682899498,-0.17757562682899497
OKE,25,0.41783599109831926,0.004525462534359157,0.08701953788991038,0.052005131768044804,0.00023534727541069795,0.23534727541069794
BA,25,0.5623652867818945,0.0195273087505937,0.7342367653112993,0.026595384041160856,0.0005193362755123603,0.5193362755123604
CERN,25,-0.5728733423672004,-0.007305644314858281,-0.052505206823687756,0.13914133010447138,-0.0010165170672395507,-1.0165170672395507
TSS,25,0.38593664970335484,0.007650499646556836,0.20839909458979386,0.036710810388192114,0.0002808560418996788,0.2808560418996788
WYNN,25,0.6504851266850797,0.010066348370681015,0.26251447825336316,0.03834587881650315,0.00038600297474683813,0.38600297474683815
NOC,25,0.49742864812043236,0.014126944460339626,0.4528874185960827,0.03119306008573191,0.0004406626273791715,0.4406626273791715
ROK,25,0.5131314757924902,0.011221438366091678,0.4074462793650348,0.0275409027751565,0.0003090485430379419,0.3090485430379419
NFX,25,0.9964612071984117,-0.004849808099554614,-0.07641562257184868,0.06346618579197798,-0.0003077988219017728,-0.30779882190177277
TRIP,25,0.13638926584784092,0.0387854673869107,0.4634350349154091,0.08369127162341151,0.0032460050861189125,3.2460050861189127
SWKS,25,0.9478607362411086,-0.008742188963829492,-0.14195375242650016,0.06158476837980005,-0.0005383856824698834,-0.5383856824698834
FISV,25,0.3080591197424876,0.010269883673122123,0.3895447214203558,0.026363811671420243,0.00027075327904558524,0.2707532790455852
SNA,25,0.5693257776183426,0.0049554526368416965,0.22277477956784247,0.02224422641761651,0.00011023021045568145,0.11023021045568146
L,25,0.5462455124787424,6.207063194125367e-05,0.0035821821307322134,0.01732760358797451,1.0755353047331124e-06,0.0010755353047331123
KIM,25,0.729852341347432,-0.001446624019532273,-0.04387512847809022,0.03297139107534851,-4.769720628699117e-05,-0.04769720628699117
CMI,25,0.4479477231817452,0.005876277856779819,0.1590908089383408,0.03693662692391804,0.00021704988289715686,0.21704988289715685
GD,25,0.4678811586913394,0.00532658480877617,0.16663800051947367,0.031965006734185425,0.00017026431928274005,0.17026431928274005
MTD,25,0.7101925636951375,0.00711023469650454,0.3334266805387305,0.02132473227702191,0.00015162385132975147,0.15162385132975148
XRAY,25,0.43169172271959855,0.003911047160359789,0.21137684911905755,0.018502722396798052,7.236501988892249e-05,0.0723650198889225
UTX,25,0.6122241074892482,0.005641288933021047,0.21025179947400027,0.02683110892336809,0.00015136203783007866,0.15136203783007865
T,25,0.44071129099585193,-0.0003671916589360752,-0.014432841171412197,0.025441398167908122,-9.341869198927407e-06,-0.009341869198927407
VAR,25,0.2408561729679926,-0.00022528061010018176,-0.004989096307496136,0.04515459237812202,-1.0172454119768345e-05,-0.010172454119768345
TGT,25,0.4022995520435462,-0.0013462545542338215,-0.053337024682278654,0.02524052592459507,-3.398017297724295e-05,-0.03398017297724295
TSCO,25,0.6288094062242344,0.009678114312288166,0.28850240622529705,0.03354604364973768,0.00032466244516716976,0.32466244516716974
BSX,25,0.4822474640776392,0.02735006233068317,0.5322527854417803,0.05138547524553033,0.0014053959508570316,1.4053959508570315
RRC,25,-0.009825264037918873,0.006879890372895712,0.15924013577039411,0.04320449954159622,0.00029724222046200507,0.29724222046200505
MKC,25,0.1793692830906318,0.004010058257473642,0.12530297586732242,0.03200289721546365,0.00012833348224195024,0.12833348224195024
BAC,25,0.7717531697224045,0.007455447914148261,0.1762559759660628,0.042298979500041294,0.0003153578384841829,0.3153578384841829
FL,25,0.6163448552287176,-0.004739119403304768,-0.11305144699487768,0.04192002428345296,-0.00019866400046871898,-0.198664000468719
IPG,25,0.694401773391702,0.013267765402922165,0.4269546683942802,0.03107534917657762,0.0004123004426887223,0.4123004426887223
OXY,25,0.43339965901925287,0.004656541670963155,0.13924776012090334,0.03344069353015132,0.00015571798292905758,0.15571798292905759
NFLX,25,0.43651851206778425,0.052063290169234874,0.47555233734028207,0.1094796220757105,0.005699869331745888,5.699869331745888
IT,25,0.357855678964342,0.0057442357882794125,0.17168134206550786,0.033458707388759834,0.00019219470441208305,0.19219470441208306
MMC,25,0.3587633274813033,0.008977738361397829,0.45777674150610037,0.019611608776498295,0.0001760678924414951,0.1760678924414951
PKI,25,0.47957989044494287,0.0031815634994240916,0.07609072580976427,0.0418127631924339,0.00013302996118311084,0.13302996118311083
AEP,25,0.5498530567677908,-0.001407497878805392,-0.04867693070043456,0.028915090958946323,-4.069792919018192e-05,-0.04069792919018192
WAT,25,0.3640345356460929,0.0036650942399749646,0.16597206477948256,0.022082597121657565,8.093479951427488e-05,0.08093479951427487
A,25,0.5651632127098377,0.007656377815123485,0.22035310194700666,0.034745949784563454,0.0002660281190959263,0.2660281190959263
DAL,25,1.165484686946434,0.028744489992212845,0.7197149847746024,0.03993871268529296,0.0011480179270842677,1.1480179270842676
JBHT,25,0.4981669344669459,0.005469720021851011,0.16103128349801202,0.03396681627963635,0.00018578897508326185,0.18578897508326184
CAG,25,0.3746799582014955,0.0027649563463853803,0.0839558797423557,0.03293344498170342,9.105953771049462e-05,0.09105953771049462
ATVI,25,0.6152479622026918,0.010079716166105843,0.16831415107082787,0.05988632626536686,0.0006036371709857073,0.6036371709857073
MLM,25,0.8734849888336377,-0.0015271851926466889,-0.05391585204118397,0.028325346532224672,-4.325804980059976e-05,-0.04325804980059976
PLD,25,0.7869424753970886,-0.0003708106609002929,-0.010772264183982022,0.03442272251841681,-1.2764312487041533e-05,-0.012764312487041532
JEC,25,0.37591010964758936,0.013433339768901112,0.410314136767967,0.032739159012933734,0.00043979624676882,0.43979624676882
CTL,25,0.5507730361441168,-0.010988648593616396,-0.25423260968643957,0.04322281318344393,-0.0004749603053003954,-0.4749603053003954
DLR,25,0.3570783270087854,-0.009714593768970305,-0.1747657939011299,0.055586356758497796,-0.0005399988750058631,-0.5399988750058631
USB,25,0.4243052820940736,0.0013703134354481634,0.05765245686954241,0.023768517594123472,3.257031899991345e-05,0.032570318999913445
DLTR,25,0.2011642251982187,0.012881331490348438,0.30909037237451953,0.04167496836407557,0.0005368290823474415,0.5368290823474415
IDXX,25,0.12009339705388826,0.0036960036704079724,0.12061256530547161,0.030643603848796528,0.00011325887229967984,0.11325887229967985
UAA,25,0.3975311285766889,0.01316152523490871,0.2900606752771787,0.04537507617098287,0.0005972052100602959,0.5972052100602959
DUK,25,0.5127855342301176,0.0006301375712076188,0.022711249836273394,0.027745613990877386,1.7483553811875603e-05,0.017483553811875604
SYMC,25,0.30138715788877507,0.004691651891796902,0.09939880394963653,0.04720028516816029,0.00022144730720255248,0.22144730720255248
HRB,25,0.5269707975363473,0.01409861057998046,0.2695118524344448,0.05231165328214929,0.0007375216284199796,0.7375216284199796
