Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
XEL,25,0.5610471512609732,-0.001731425476263896,-0.06662149055732583,0.025988993368049235,-4.499800521989388e-05,-0.04499800521989388
WU,25,0.1671589696287569,0.012678438855621352,0.3399013121475999,0.0373003527862694,0.0004729102420938221,0.4729102420938221
FRT,25,0.8906451075533267,-0.006561268966099984,-0.22724015637166806,0.02887372140058091,-0.0001894482521614485,-0.1894482521614485
OKE,25,0.6863105996174496,0.0033056977384098643,0.0653181721971991,0.05060915863398296,0.00016729858123918352,0.1672985812391835
BA,25,0.6373625274928483,0.020122708232223993,0.6824202298786769,0.029487268036883195,0.0005933636912715849,0.5933636912715848
CERN,25,-1.5631391895495874,-0.0007724897365537064,-0.005819333267083443,0.1327454024541313,-0.00010254446097050761,-0.10254446097050761
TSS,25,0.7335090678655045,0.005745766492499851,0.1734777609564935,0.03312105517629336,0.00019030584902818512,0.19030584902818512
WYNN,25,0.8909644185902823,0.009554010179930005,0.2507897985136273,0.038095689045385406,0.00036396660095106015,0.36396660095106015
NOC,25,0.7973244888003544,0.01282889308344871,0.453564209989091,0.028284623876644207,0.0003628604156190291,0.3628604156190291
ROK,25,0.5626403502312188,0.01191254610584231,0.39404162263979464,0.030231694880446497,0.00036013645912107584,0.36013645912107584
NFX,25,0.7066956632613427,-0.0004927867396026043,-0.0067887028308459205,0.07258923418528831,-3.577101204441813e-05,-0.03577101204441813
TRIP,25,-0.16634008093882266,0.04143707447548078,0.494907045792089,0.08372698434543714,0.003469401285929292,3.4694012859292918
SWKS,25,1.1514514069416864,-0.008341654166472303,-0.1304119790724632,0.06396386456061123,-0.0005335644373156928,-0.5335644373156928
FISV,25,0.40846789435692793,0.010132549141340923,0.3826139236042051,0.026482437037034064,0.0002683345946602146,0.2683345946602146
SNA,25,0.9309822671229424,0.003325919471642246,0.21641899290473304,0.01536796483063899,5.111261346973545e-05,0.051112613469735446
L,25,0.6673093520597089,0.0002637084720033345,0.013272725532864701,0.019868449125265482,5.239478359899748e-06,0.0052394783598997486
KIM,25,0.9971940841076593,-0.002002106427446495,-0.06127190290375358,0.03267576707371763,-6.542036328003462e-05,-0.06542036328003462
CMI,25,0.49012506888480933,0.006487736773941183,0.16842762205934786,0.03851943460708088,0.0002499039524117812,0.2499039524117812
GD,25,0.6404429711873029,0.004961274852173371,0.1559283808442819,0.03181765131729262,0.00015785611333570478,0.1578561133357048
MTD,25,0.7612011592868174,0.008203578687699463,0.2941189512952129,0.02789204385359504,0.00022881457651373108,0.22881457651373108
XRAY,25,0.4533104435089376,0.004648974506208199,0.21446694959417026,0.0216768808201232,0.00010077526630686623,0.10077526630686623
UTX,25,0.8269830701947191,0.0052495210396809,0.19548149066962733,0.02685431250651158,0.00014097227850909847,0.14097227850909846
T,25,0.7432452697678804,-0.0018049960911284812,-0.08405717325919994,0.021473433154390865,-3.875946290678424e-05,-0.03875946290678424
VAR,25,0.3699295893773114,-0.0007277292360775302,-0.016232442800445147,0.0448317757853164,-3.262539394424742e-05,-0.03262539394424742
TGT,25,0.5884131819383508,-0.0019552023111763417,-0.08052284111315973,0.02428133786820403,-4.747492791836615e-05,-0.04747492791836615
TSCO,25,0.9015604786781115,0.008868116876850733,0.2749259910050684,0.03225637868733642,0.0002860533362232564,0.2860533362232564
BSX,25,0.616432808404882,0.027314750705386272,0.5273279412023372,0.05179841341823669,0.0014148607494536703,1.4148607494536702
RRC,25,-0.019951315396392715,0.006938361891641703,0.1606024942221773,0.04320208054828328,0.00029975166931584397,0.29975166931584396
MKC,25,0.09231240833986369,0.005066987796353301,0.15478441288837444,0.03273577553320857,0.00016587177513092881,0.16587177513092882
BAC,25,0.6335526723049946,0.010156323112792317,0.20570559408310948,0.049373101193781556,0.0005014491688046375,0.5014491688046375
FL,25,1.221398588301342,-0.008171448089168719,-0.25774277720689687,0.031703887797442654,-0.00025906667336163226,-0.25906667336163225
IPG,25,0.9475557429476639,0.012748657769945064,0.41356430890764706,0.030826300759894548,0.00039299395870129306,0.39299395870129306
OXY,25,0.5182556992725981,0.004904008874033961,0.14222935243825113,0.034479583784669456,0.00016908818485301648,0.1690881848530165
NFLX,25,-0.06349872204788908,0.05688668995115322,0.5127092897494381,0.11095310946863055,0.006311755137458349,6.311755137458349
IT,25,0.8281102866500238,0.0028220479390076054,0.10716770241390286,0.026333007757395957,7.431301026963054e-05,0.07431301026963054
MMC,25,0.5668385976268322,0.008105759472469883,0.46529113898360275,0.01742083352409498,0.00014120908635625377,0.14120908635625376
PKI,25,0.9046889520241024,0.0008677776130545057,0.023420395074564858,0.037052219242746,3.215308637284235e-05,0.03215308637284235
AEP,25,0.6854352614876859,-0.0013117080943363677,-0.04338078047419105,0.030237079185718083,-3.966222151699611e-05,-0.03966222151699611
WAT,25,0.4152369541083042,0.004029773083519632,0.17128151997828678,0.023527191281525774,9.480924215711032e-05,0.09480924215711031
A,25,0.7633011720402346,0.0072956055183945445,0.20986360317432246,0.03476355789209659,0.0002536212047966081,0.2536212047966081
DAL,25,0.7477922679826635,0.034456009126912567,0.5900369368430409,0.058396359575838566,0.0020121054985235616,2.0121054985235616
JBHT,25,0.6312453234011566,0.005476497557100941,0.15770987721716784,0.03472513994516499,0.0001901721440796844,0.19017214407968439
CAG,25,0.4855298142705559,0.002685995734829137,0.08082682399155347,0.03323148927774061,8.925963846203147e-05,0.08925963846203147
ATVI,25,0.6492101102221572,0.011106793497245358,0.17919838717553396,0.06198043225894487,0.0006884038619701053,0.6884038619701053
MLM,25,0.8895932363173467,0.00018183867689806465,0.004909934196329587,0.03703485008699258,6.734368138936905e-06,0.0067343681389369055
PLD,25,0.7984321011918979,0.0011925026158489298,0.029343800299735073,0.040638997119255074,4.8462110370188796e-05,0.0484621103701888
JEC,25,0.3087797753026765,0.014747451310886504,0.4212520964979431,0.03500861226208405,0.0005162878047967887,0.5162878047967887
CTL,25,0.6308837174560222,-0.010457549439867608,-0.23291425549027048,0.04489870926043189,-0.0004695304718772081,-0.4695304718772081
DLR,25,0.3658737003396344,-0.009033218079119684,-0.16010071413320978,0.05642209735306807,-0.0005096731098715853,-0.5096731098715853
USB,25,0.6156823486846129,0.0007664705093607359,0.03368207403363181,0.02275603659665997,1.7441830961273512e-05,0.017441830961273514
DLTR,25,0.3190044628855454,0.012383264992797112,0.2994068900353175,0.041359318722880435,0.0005121634036669835,0.5121634036669834
IDXX,25,0.18343027831280675,0.0034534500659858533,0.1131116497660252,0.030531338488382208,0.00010543845291733996,0.10543845291733996
UAA,25,0.9497362063296926,0.00968243468173004,0.2516364409842098,0.03847787166222723,0.00037255947906150646,0.37255947906150644
DUK,25,0.6523146404533623,0.0006172265410667984,0.0215297516128602,0.02866853980322352,1.7694983660179484e-05,0.017694983660179485
SYMC,25,0.4599358181788197,0.004086078340647334,0.08741476578777913,0.046743571338591645,0.00019099789441112284,0.19099789441112283
HRB,25,0.4757818003277048,0.015605501856293304,0.28482737236657873,0.054789333365785856,0.0008550150435448438,0.8550150435448438
ZION,25,0.7126096249543401,0.005238837258605932,0.12453553907940627,0.0420670059111845,0.00022038219792550935,0.22038219792550934
HPQ,25,0.39574061683256784,0.019939246593146984,0.25280902535432104,0.07887078621976175,0.0015726240554312086,1.5726240554312085
O,25,1.019099261821184,-0.0030176607015051007,-0.0758561347924529,0.03978136652706611,-0.00012004666642089786,-0.12004666642089785
PDCO,25,0.4640240127323234,0.005800306250489124,0.24477331140699296,0.02369664493709756,0.00013744779774426842,0.1374477977442684
SCHW,25,0.37920105110228364,0.018252737710920192,0.411053787098293,0.044404742843436006,0.0008105081242420979,0.8105081242420978
VZ,25,0.6980906479754533,0.000796932103018416,0.02590739887112619,0.03076079181019586,2.4514262507811057e-05,0.02451426250781106
KMX,25,1.0014461243918333,0.004183677551334135,0.1421090312905469,0.029439913236622237,0.0001231671041212811,0.12316710412128111
FMC,25,0.5039926936262392,0.007993495892067723,0.2766910295956883,0.02888960984296502,0.00023092897760318017,0.23092897760318015
CNP,25,0.6836995000642115,0.0008841600431092004,0.02655413521506991,0.03329651054150786,2.9439444195765535e-05,0.029439444195765534
DRE,25,1.3172096582216855,-0.004040683134055061,-0.08266933435158595,0.04887765415976818,-0.00019749911279555148,-0.1974991127955515
TJX,25,0.7406130669202351,0.008787398931242866,0.6806333213988299,0.012910621115614944,0.00011345077819303633,0.11345077819303633
PSX,25,0.36575217187213704,0.010525597966049922,0.1655498803169656,0.06357961688584353,0.0006692134861758679,0.6692134861758678
CF,25,1.0723035336147626,-0.007019304326523246,-0.17606049467310966,0.03986870728470882,-0.0002798505895364455,-0.2798505895364455
COP,25,0.6418342738024929,0.005719092103530389,0.22677824365548735,0.025218874665149143,0.00014422906695737707,0.14422906695737706
GOOG,25,0.8507310231883418,0.009517660579480561,0.2992984317594361,0.031799901267543125,0.00030266066672546916,0.30266066672546915
K,25,0.2313006568999222,0.0064955650897960855,0.2680739106808378,0.024230500735036263,0.00015739079468277993,0.15739079468277994
RJF,25,1.0079982522167266,-0.0007033454512393568,-0.016623275650429647,0.042310881803922805,-2.975916625471518e-05,-0.02975916625471518
ILMN,25,0.7854379185869036,0.019470814803336362,0.4369335167721552,0.04456241980971599,0.0008676666233035076,0.8676666233035075
MCK,25,0.7626349192759381,0.014372203085423309,0.4480287515945433,0.032078751719108095,0.00046104233443389366,0.46104233443389364
MNST,25,0.8051919997848656,0.0038743684420853184,0.059533032676511374,0.0650793058559226,0.00025214120884100476,0.25214120884100477
ORCL,25,1.073110189623878,-0.005333301403803012,-0.1613384116820631,0.03305661279418648,-0.00017630087942020737,-0.17630087942020736
KEY,25,0.9125421052140748,0.009226030032795547,0.2914118161682355,0.031659766423024004,0.0002920939558501115,0.2920939558501115
