Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
XEL,25,0.5237406862968249,-0.0007571021578999548,-0.02109775052173197,0.0358854446174294,-2.7168947557055116e-05,-0.027168947557055116
WU,25,1.3441311665253723,-0.006164718860896342,-0.16313706163833036,0.037788585861398716,-0.00023295600798636549,-0.23295600798636548
FRT,25,0.5740693638191241,-0.0006480652983841401,-0.022750187033523054,0.028486152550271225,-1.8460886952307653e-05,-0.018460886952307652
OKE,25,0.9413425973693256,-0.02884858232917925,-0.3678754578731246,0.07841942622638542,-0.0022622892736988785,-2.2622892736988787
BA,25,1.5250209901068,-0.006022675436818283,-0.21549843865315305,0.027947652309963326,-0.00016831963908395386,-0.16831963908395386
CERN,25,1.2789980298103605,-0.008946957450418873,-0.275215619573317,0.03250890143622614,-0.00029085575790977625,-0.29085575790977625
TSS,25,1.1649034098307596,0.008524263842023448,0.27749387465627495,0.03071874596360821,0.0002618546954898892,0.2618546954898892
WYNN,25,1.9587633401324922,-0.0561083610854575,-0.5326656787848258,0.10533504094624214,-0.005910176512363205,-5.910176512363205
NOC,25,0.8439630652514659,0.00606731737966916,0.2131158603343625,0.02846957223244672,0.0001727339303976705,0.17273393039767052
ROK,25,0.9424661122396181,-0.008868921018579244,-0.2542919781142002,0.03487692016220934,-0.00030932065028992865,-0.30932065028992867
NFX,25,1.6245705856873924,-0.0060906483983539025,-0.0718750071755909,0.08473944751719366,-0.0005161181802979902,-0.5161181802979902
TRIP,25,0.5755482425586999,-0.008772018853157822,-0.085010380082805,0.10318762067189173,-0.0009051637539463321,-0.9051637539463321
SWKS,25,0.9277605431083522,0.0019758390685351464,0.03115215887698767,0.0634254298823159,0.0001253184423001163,0.1253184423001163
FISV,25,0.871201980511048,0.005472401161785153,0.26303328485624716,0.02080497593593878,0.00011385317448274354,0.11385317448274354
SNA,25,0.848404968566481,0.0018486899856163287,0.06894429471288394,0.026814256253039244,4.957124700674367e-05,0.04957124700674367
L,25,0.6565756197600604,-0.01236998672566851,-0.3923910194548723,0.03152464279853669,-0.0003899594129493402,-0.38995941294934017
KIM,25,0.6805739877352915,-0.001183533330721358,-0.03229989647201337,0.0366420162289636,-4.336704751181134e-05,-0.04336704751181134
CMI,25,0.6621953817486681,-0.018776654227430044,-0.5781624469187562,0.03247643344443738,-0.0006097987613263457,-0.6097987613263457
GD,25,0.8194771420398285,-0.003696068438673508,-0.15105638344464056,0.024468138018331746,-9.043591268266332e-05,-0.09043591268266332
MTD,25,1.2853063643342244,-0.004242632665753779,-0.15222863525274702,0.027870135331041268,-0.0001182427465544542,-0.1182427465544542
XRAY,25,1.0587824953685236,-0.0021471696575099874,-0.06342450976505191,0.0338539417247986,-7.269015645859888e-05,-0.07269015645859889
UTX,25,0.5285823117849865,-0.007793160032845163,-0.2425798703621694,0.032126161256538104,-0.0002503643159131915,-0.25036431591319147
T,25,0.8032215227636442,-0.005679624412101302,-0.21976977416369903,0.02584351935435281,-0.0001467814834195947,-0.1467814834195947
VAR,25,1.0161015946717613,-0.01178484587160901,-0.47076274870286444,0.02503351402395553,-0.00029501610439707854,-0.29501610439707854
TGT,25,0.49156125990289323,0.005155122622971746,0.15749228580911045,0.032732540495475734,0.00016874026001556576,0.16874026001556577
TSCO,25,1.2757055842088365,-0.002258300476557902,-0.08043283808979153,0.02807684684751319,-6.340595661598226e-05,-0.06340595661598226
