Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
XEL,25,0.07241380013868609,0.006911099954181039,0.3033027348223107,0.022786144537173047,0.0001574773224668192,0.1574773224668192
WU,25,0.31740801253235795,1.0026630605647075e-05,0.00033817824186905106,0.029648952428848376,2.972790938484653e-07,0.0002972790938484653
FRT,25,0.059856654132442406,0.00963560586839615,0.41261021584423896,0.023352804895246722,0.00022501842389214966,0.22501842389214965
OKE,25,0.7196848507401395,0.008006804521315365,0.1810023605697457,0.04423591215115728,0.00035418830141639544,0.35418830141639546
BA,25,0.2445329321156242,-0.0012997664517538112,-0.04593532829297158,0.028295573364884044,-3.677763699281498e-05,-0.03677763699281498
CERN,25,0.6582370494548933,0.004406557242956824,0.12295186811600212,0.03583969329200711,0.00015792966006124504,0.15792966006124504
TSS,25,0.17052601418703534,0.001074401119559292,0.028658079391166647,0.037490339282487205,4.027966249776196e-05,0.04027966249776196
WYNN,25,0.571380219713507,0.0047308124532837795,0.08530851882279264,0.05545533457345418,0.0002623487874011156,0.26234878740111556
NOC,25,0.46649198133116127,0.009298004395221039,0.32235590600246333,0.02884390892825766,0.0002681907919902951,0.2681907919902951
ROK,25,0.9607283263685319,0.000247073247558691,0.009554452036071035,0.02585948902416512,6.389187933408802e-06,0.006389187933408802
NFX,25,1.4416810150525332,-0.002860578126811115,-0.033479372196479895,0.08544300383003846,-0.00024441638784524633,-0.24441638784524633
TRIP,25,1.417132491814801,0.0028099798844568014,0.0468768981598181,0.059943810165866675,0.00016844090076378247,0.16844090076378246
SWKS,25,0.7573842797427401,0.0324847520496422,0.5475594525952204,0.059326438244608905,0.0019272046363645304,1.9272046363645303
FISV,25,0.21685254821595865,0.009644430303874438,0.3199959142061376,0.030139229520479472,0.0002906756985227393,0.2906756985227393
SNA,25,0.5232975949293747,0.010176916234841273,0.29783855119862845,0.03416923764195418,0.000347737469290553,0.347737469290553
L,25,0.3723927546537811,-0.005229379884488706,-0.2533324667349317,0.020642359630754874,-0.00010794674022145126,-0.10794674022145126
KIM,25,0.20694855163676587,0.005887294371199864,0.21667160369221844,0.027171508729693778,0.00015996667040133413,0.15996667040133414
CMI,25,0.7587324520236995,0.005753281433917545,0.1508597815237359,0.038136615178727,0.00021941068006022806,0.21941068006022807
GD,25,0.6321595223728835,0.018605442893028373,0.6044502103708242,0.030780769985362593,0.0005726898581661055,0.5726898581661055
MTD,25,0.4943176118238114,0.0009871462951409986,0.036998571302967194,0.026680659830284635,2.633771450338274e-05,0.02633771450338274
XRAY,25,0.19356183858317744,0.0007290138412616188,0.033305840481376296,0.021888468530594903,1.595699652282305e-05,0.01595699652282305
UTX,25,0.5831031318450337,-0.00039929082460894553,-0.019989519678844405,0.019975008455632316,-7.975837597820086e-06,-0.007975837597820086
