Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
IFF,25,0.7747336825361731,-0.005012172143282347,-0.13993057991014327,0.035818990720262324,-0.00017953094748858773,-0.17953094748858772
K,25,0.07603436911140424,-0.007549517871890831,-0.27391150145673493,0.02756188707571777,-0.0002080789590611682,-0.20807895906116822
LNC,25,-0.0436252619345215,0.019039909597537936,0.3756503242999464,0.05068519409112794,0.00096504151342874,0.96504151342874
AIV,25,0.1701953827280191,-0.0027517537748360265,-0.08615551585137386,0.031939380173674,-8.788930995883038e-05,-0.08788930995883039
GIS,25,0.14724562554510434,-0.008264297924720752,-0.32234669361078455,0.025637917461313952,-0.00021187938806969882,-0.21187938806969883
BSX,25,0.5680465665115804,0.0029199292501992007,0.09201966042140348,0.031731580369101585,9.265396967478647e-05,0.09265396967478647
NDAQ,25,-0.3368437812602189,0.008053878080293366,0.3629586323564816,0.02218952068450382,0.00017871169425314157,0.17871169425314157
ADSK,25,1.6055590541179467,0.003742570845558523,0.09603235325385535,0.038971978908662976,0.0001458553920572837,0.1458553920572837
D,25,0.10230818451681459,0.001915302278193544,0.07349262275516118,0.02606115017250541,4.9914980297743686e-05,0.04991498029774369
DISCA,25,0.22722829180795492,-0.011075355675244118,-0.22834702654726552,0.048502298640405686,-0.0005371802085094022,-0.5371802085094022
REGN,25,0.2457711063011726,-0.0005142538493924493,-0.008611658296778273,0.05971600726248485,-3.070918660508029e-05,-0.03070918660508029
DXC,25,0.28449083363054445,0.01654583154637195,0.3708497783144997,0.04461599416769837,0.0007382087237726507,0.7382087237726507
NOC,25,0.10995207710655056,0.010398979707505068,0.4004961811224656,0.025965240613181326,0.00027001201023695904,0.27001201023695903
CVX,25,-0.48176021055882146,0.011111229550465469,0.41260612975769706,0.026929385554670594,0.00029921858455093383,0.2992185845509338
AES,25,0.36439558153672325,-0.007872518597823027,-0.2217820869924211,0.03549663863561737,-0.00027944794781910114,-0.27944794781910115
FISV,25,0.3498026351965277,0.006771747560871032,0.27578267347759317,0.02455465194923213,0.0001662779044452498,0.1662779044452498
CBS,25,-0.3022996456505422,0.005208584180877705,0.150809049327229,0.03453761033647256,0.00017989205084386928,0.17989205084386928
BAX,25,0.7624647729061909,0.004861059741478378,0.20564532283999132,0.02363807585967163,0.00011490609892746166,0.11490609892746166
KDP,25,0.014598150475025797,-0.00027865977405373577,-0.011294506398488943,0.024672151594957423,-6.875136188870353e-06,-0.006875136188870353
KSS,25,0.23257350861138112,0.003525515393327312,0.04238975908863873,0.08316903585027022,0.00029321371613831874,0.29321371613831876
MCO,25,0.5093680487683884,0.0057234446998912425,0.19937387776544727,0.028707094249451125,0.0001643034664312994,0.1643034664312994
BRK.B,25,-0.16521508457238104,0.010328073966165438,0.46484384043580973,0.02221837328527889,0.00022947300269823454,0.22947300269823454
FFIV,25,-0.473705384439418,0.0020693820523639923,0.049713570994527785,0.04162609949286844,8.614030320045983e-05,0.08614030320045983
NUE,25,0.4948708259935254,9.161306697384394e-05,0.001500993078884046,0.06103496962288205,5.591600759807624e-06,0.0055916007598076235
SWK,25,0.624399385583462,0.0031538787755068243,0.13368395235074773,0.02359205215022343,7.440647254723981e-05,0.07440647254723981
ED,25,0.18464250203026394,0.0022827259596615444,0.08794681029211696,0.02595575612213141,5.924987830263343e-05,0.05924987830263343
JEF,25,-0.3942769487068091,0.014602276649486035,0.34067562748649755,0.042862698330436884,0.0006258929789645025,0.6258929789645026
NVDA,25,0.28643977890984457,0.035693157352586644,0.3860845294295101,0.09244907431366883,0.003299799356578758,3.299799356578758
HOG,25,0.19841435493282208,-0.0030861510321997807,-0.07226701191520318,0.04270483793934935,-0.00013179357968644737,-0.13179357968644737
ES,25,0.057686081307789405,0.0049846928053712,0.20150582090984812,0.02473721494924609,0.00012330741738242787,0.12330741738242787
EQT,25,-0.4218213975822618,0.00036552986661050803,0.006980448160393113,0.0523648135780902,1.914090332228343e-05,0.01914090332228343
FLS,25,0.4256892127954329,-0.00617745185649295,-0.14348415447019294,0.043053199005164286,-0.00026595906412241253,-0.26595906412241255
UPS,25,0.14598239210798278,0.00340594065283624,0.12381434755850251,0.027508448899485793,9.369214440322699e-05,0.09369214440322698
BLL,25,1.9113481638025698,-0.04254319111039205,-0.31522752430977374,0.13496026783684315,-0.005741640466892515,-5.741640466892515
MO,25,-0.017511646921609506,0.0020400816857922425,0.05588064308282043,0.03650784195107861,7.447897975219321e-05,0.07447897975219321
AFL,25,-0.07780705776654463,0.007246927919976873,0.4100129133316345,0.017674877264451605,0.00012808856152991878,0.1280885615299188
RE,25,0.523425348899595,0.001850510808427317,0.058851925641675344,0.03144350483439234,5.818654555087961e-05,0.05818654555087961
HOLX,25,0.4142632894275897,-0.004749107500394128,-0.1262552661716994,0.03761512406092934,-0.00017863826780601514,-0.17863826780601513
WY,25,0.36144801235051893,0.00018859758166170056,0.006217579188081951,0.030332960137155994,5.7207229265083854e-06,0.005720722926508386
PM,25,0.31544649963353316,0.0038221109524000196,0.12414048579252693,0.03078859348744473,0.00011767742037735442,0.11767742037735442
RHI,25,0.3924570584259648,0.007206861304731889,0.18775297417490106,0.0383848050152236,0.0002766339659538935,0.2766339659538935
OXY,25,-0.2125883652059157,-0.0007518968048803661,-0.019761096601134797,0.038049346150010106,-2.860918179797966e-05,-0.02860918179797966
VNO,25,0.35530694232147303,-0.004956637885104177,-0.14243246194624382,0.03479991721953727,-0.00017249058808884766,-0.17249058808884765
RSG,25,0.3388679215707022,0.009014219943938712,0.45985058234387566,0.01960249761562309,0.00017670122495776073,0.17670122495776072
MCK,25,1.5867130151039637,-0.015527984348463397,-0.40712482534380035,0.038140598120860465,-0.0005922466106617537,-0.5922466106617538
RL,25,0.1450146808165127,-0.0043875184836355,-0.06382788554418238,0.06873983755263849,-0.000301597307824303,-0.301597307824303
T,25,-0.7248209382160093,0.006336314279651636,0.1986569286825008,0.031895762819219436,0.00020210157741180185,0.20210157741180185
ESS,25,0.20118495955875637,0.0037775820437318925,0.13318501700394383,0.028363416011127077,0.0001071451310225313,0.1071451310225313
MCHP,25,0.41947739132996287,0.011486627449870149,0.3491480550035578,0.03289901600555415,0.0003778987403231157,0.37789874032311566
PRU,25,0.10014926572829175,0.01073759668007901,0.2815616887853375,0.038135858349199456,0.0004094874660023275,0.4094874660023275
PDCO,25,0.29318812268807004,-0.00854150572367346,-0.14352252447374433,0.05951334645898053,-0.0005083335894143437,-0.5083335894143437
AYI,25,0.34067015028488096,-0.021287429189303327,-0.30914818673184163,0.06885833429703492,-0.0014658169154415075,-1.4658169154415075
UAA,25,1.0350990927934027,-0.043126347898210744,-0.4927264931326858,0.08752593680120484,-0.003774674000605567,-3.774674000605567
AGN,25,1.1260414424864116,-0.014243819497657472,-0.27791817619059,0.05125184575149695,-0.0007300220398061056,-0.7300220398061056
EFX,25,-0.044728660691625385,-0.00866648607737116,-0.1774325095654777,0.048843845463240644,-0.0004233045066724436,-0.42330450667244357
CCL,25,0.667454118858061,0.007264567286900484,0.28607185591260087,0.025394204766231582,0.0001844779092216183,0.1844779092216183
