Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
IFF,25,0.699285248757049,0.006976168189575095,0.33092439488928427,0.021080851993123918,0.0001470635690835718,0.14706356908357182
K,25,0.24782272686989146,0.004356097397149707,0.17954602762092609,0.024261730849020488,0.0001056864626017649,0.1056864626017649
LNC,25,1.2700141643698606,0.012752302442005545,0.39584060859698056,0.032215750898334734,0.0004108249988518764,0.4108249988518764
AIV,25,0.7181041295307242,-0.0005405684419634961,-0.014920863360661014,0.03622903238888371,-1.9584271592303905e-05,-0.019584271592303904
GIS,25,0.13438367738823306,0.007519797449352714,0.2721122029454287,0.02763491445056871,0.00020780895919846705,0.20780895919846704
BSX,25,1.2721673442585693,0.017830509239268336,0.38705275418836704,0.04606738757526257,0.0008214049797896746,0.8214049797896746
NDAQ,25,0.5943270652317965,0.008369804499555423,0.20629779180206342,0.0405714691681528,0.00033957526519717943,0.33957526519717945
ADSK,25,1.242193824451147,-0.001151792652319258,-0.028289063177197152,0.04071512178062082,-4.6895378105202845e-05,-0.04689537810520285
D,25,0.5863027612642919,0.003533132050917688,0.1395898230015576,0.025310814033185386,8.942644829546448e-05,0.08942644829546448
DISCA,25,0.8354711179978794,0.007070520237024328,0.19849646812834662,0.03562038309141386,0.00025185463949840093,0.2518546394984009
REGN,25,2.3294321661710056,0.008295854979513736,0.09529216805146218,0.08705704937926893,0.0007222126565947813,0.7222126565947813
DXC,25,0.20104773412919436,0.01882451659397318,0.35008662345163466,0.05377102503481923,0.001012213553042902,1.012213553042902
NOC,25,0.598230529596801,0.010506959570420218,0.3562272691984714,0.029495101804141454,0.0003099038421815427,0.3099038421815427
CVX,25,0.8134223823410067,-0.0035401508162032735,-0.16323685488700632,0.021687203044029428,-7.67759695574869e-05,-0.0767759695574869
AES,25,1.0139887305589952,0.0011129611862690375,0.03481732568725508,0.03196572867962797,3.557661531123294e-05,0.03557661531123294
FISV,25,0.6352875328930909,0.007232692959932076,0.28475635833727697,0.025399583707856603,0.00018370739026901992,0.18370739026901992
CBS,25,0.844421286440809,0.010958629119127292,0.3030342589594628,0.03616300400078936,0.00039629694867816703,0.396296948678167
BAX,25,0.21475037753944537,0.003325647569380084,0.11385115495033792,0.0292104860142239,9.714378181361465e-05,0.09714378181361465
KDP,25,0.45392849261871493,-0.002063712444147699,-0.08794972139256227,0.023464684270417976,-4.842436092685835e-05,-0.04842436092685835
KSS,25,0.07784957574454789,0.0006541777098609175,0.015200326134910774,0.043037083813515,2.8153900928217604e-05,0.028153900928217606
MCO,25,1.4514082673076114,0.007266875898886551,0.12940442152990844,0.05615631840838609,0.00040808099681210005,0.4080809968121
BRK.B,25,0.6220753209475717,0.005274838052950139,0.2688642319896296,0.019618965356290288,0.00010348686502087049,0.10348686502087048
FFIV,25,1.471480378107327,-0.01950730113387186,-0.29667983545286736,0.06575202896447246,-0.001282644629173029,-1.2826446291730291
NUE,25,0.8292839304560692,0.004244836851430367,0.18462610486616524,0.022991531205770892,9.759529893306755e-05,0.09759529893306755
SWK,25,0.8889524334470998,0.0007433822100873563,0.02841991830899779,0.026157084689859937,1.944471142619023e-05,0.01944471142619023
ED,25,0.33068500485371877,-0.0040436319554885795,-0.15676134559057103,0.025794828056973494,-0.0001043047910175114,-0.1043047910175114
JEF,25,1.1548978141546384,-0.0006348602389743552,-0.0139978209300665,0.0453542192135572,-2.8793590448414215e-05,-0.028793590448414216
NVDA,25,0.6173396842540304,0.0026722537411646456,0.09733450295497269,0.027454331814904736,7.336494090355473e-05,0.07336494090355473
HOG,25,1.007019147224747,0.009332550883600221,0.25817411896840464,0.036148282100818704,0.00033735568206062566,0.33735568206062566
ES,25,0.5077214931083264,6.701308559784163e-05,0.0024972593517976573,0.02683465197541542,1.7982728298168034e-06,0.0017982728298168034
EQT,25,0.3430292847837747,0.013747028072634724,0.5141618610441013,0.026736771266384532,0.00036755114517060165,0.36755114517060167
FLS,25,0.8076493216268126,0.00890273292471058,0.37175293101750845,0.02394798314123121,0.000213202497991853,0.213202497991853
UPS,25,0.7012797228857508,0.0049360642259778315,0.26053652526109417,0.018945766705958798,9.351752127100509e-05,0.09351752127100509
BLL,25,0.42769278884454365,-0.0011765954173079116,-0.045175111016687995,0.026045213632640975,-3.0644679002970915e-05,-0.030644679002970916
MO,25,0.8359290374743219,-0.003463205275503458,-0.1285171871915421,0.026947409534741024,-9.33244108618673e-05,-0.09332441086186731
AFL,25,0.5243552692750053,0.007480267929952862,0.2570035473400839,0.029105699152294117,0.00021771842794776188,0.2177184279477619
RE,25,0.4119544516047537,0.009059399919622778,0.3602079394972322,0.025150472619419845,0.00022784818962684703,0.22784818962684703
HOLX,25,0.6498220877654268,-0.004316673168521152,-0.08213334128069177,0.0525568922585149,-0.0002268709266331883,-0.2268709266331883
WY,25,1.142916670606267,-0.004153793672769667,-0.12135317768662393,0.034228965009026835,-0.00014218005827994998,-0.14218005827994998
PM,25,0.8079923225113783,-0.006871725675831585,-0.2089526206973075,0.03288652543767848,-0.00022598718123898373,-0.22598718123898373
RHI,25,0.7336950527482548,0.010455789430758543,0.24454826697085616,0.042755524544382084,0.0004470427616376877,0.4470427616376877
OXY,25,1.1202818246814559,-0.00440260785101409,-0.15150107307778124,0.02905991199648978,-0.00012793939670552445,-0.12793939670552446
VNO,25,0.8261050127348419,-0.0028362726267355436,-0.09303494825895739,0.030486098824292814,-8.646688759129634e-05,-0.08646688759129634
RSG,25,0.6530154496329571,0.0043746029416644365,0.1709504623496316,0.025589886576132235,0.00011194559309280736,0.11194559309280736
MCK,25,0.6789476772038945,0.011123223505122895,0.3723107432476857,0.029876181944400653,0.00033231944924728556,0.33231944924728557
RL,25,0.9447712407084685,-0.0037276152243855996,-0.09256019788394006,0.04027233421712867,-0.00015011976614931396,-0.15011976614931397
T,25,0.5440657269458542,-0.00608219210087145,-0.22424951631309484,0.02712243130272601,-0.0001649638374258687,-0.1649638374258687
ESS,25,0.8881995103510105,-0.005080798079831997,-0.14668026663756795,0.03463859315436161,-0.00017599169758676222,-0.17599169758676222
MCHP,25,0.49177141127052537,0.005696872449098023,0.19993174327965535,0.02849408681006447,0.00016232717811046364,0.16232717811046363
PRU,25,1.296178602600737,0.006006054429890717,0.15371254878189827,0.03907328632233318,0.00023467628440663755,0.23467628440663754
PDCO,25,0.5267781372471159,0.0025309222485503094,0.10511021333450553,0.02407874713845205,6.0941436849925386e-05,0.06094143684992539
AYI,25,0.6651605035716707,0.0095726325935332,0.27130030196645705,0.03528426811230287,0.0003377633349707946,0.3377633349707946
UAA,25,0.5827601761750465,0.009863778569083333,0.19387172907450884,0.05087785937728178,0.0005018479389664674,0.5018479389664674
AGN,25,0.6829172482690203,-0.006267091069752087,-0.14505036023975895,0.04320631165198754,-0.0002707778899110966,-0.27077788991109664
EFX,25,0.7175619359859506,0.004274176530757759,0.13588375461403043,0.031454654332287904,0.00013444274533016282,0.13444274533016282
CCL,25,0.6588606807740383,-0.007382066889514975,-0.17845824728751344,0.04136579284913492,-0.00030536504975013423,-0.30536504975013423
MKC,25,0.24497470224448645,0.0005828441712940747,0.020183134024336816,0.028877783330937677,1.6831247694330214e-05,0.016831247694330215
TXT,25,1.3026659999623542,-0.008400214209106022,-0.19698496167668506,0.04264393656046416,-0.00035821820182742683,-0.3582182018274268
MGM,25,1.2813510152586716,0.015035114263693358,0.3029272106952811,0.049632762369496736,0.0007462342534481233,0.7462342534481233
SYK,25,1.0303423537807712,0.0006161305131251738,0.02392311884104012,0.025754606546877223,1.5868198947064424e-05,0.015868198947064423
DE,25,0.6516106147284261,-0.004492971378009391,-0.15114293345231453,0.029726638721266584,-0.00013356093693907644,-0.13356093693907645
KSU,25,0.7078901434735152,0.009188561261091388,0.24678233977830863,0.037233463583114274,0.00034212196109606073,0.34212196109606074
PSA,25,0.2609430124865628,0.005440406650685209,0.17344047592302092,0.03136757219865942,0.00017065234840543515,0.17065234840543514
HBI,25,0.511951513477185,0.02327937376540916,0.5087391269031218,0.04575896080004518,0.0010652399515809579,1.0652399515809579
ALXN,25,1.5140209392732062,-0.012214107239133735,-0.1977701114872883,0.061759115911297846,-0.0007543324647346825,-0.7543324647346825
TJX,25,0.6026286191109473,0.004247548230878849,0.14335039471057084,0.029630530417825415,0.00012585710705623627,0.12585710705623626
UNM,25,0.9569622934980649,0.011100154608742977,0.32358574024630643,0.03430359632131435,0.0003807752228024961,0.3807752228024961
TMO,25,0.7366922101357317,0.012344473840739556,0.5571398408862149,0.022156867871993877,0.00027351487583855114,0.27351487583855116
CTL,25,0.8057621551228108,-0.014991274024272486,-0.3439182662156092,0.04358964177515991,-0.0006534642644712975,-0.6534642644712975
WAT,25,0.6572045619559795,0.004344257880046316,0.208861482114304,0.02079970818970262,9.035929620577949e-05,0.09035929620577948
VTR,25,0.5355863048538788,-0.0022612683149030406,-0.05351017330221907,0.04225866177131715,-9.555817289368388e-05,-0.09555817289368387
SJM,25,0.42273222503031876,0.004809916946807111,0.1936219811940519,0.02484179181074753,0.00011948695541956866,0.11948695541956865
XOM,25,0.5682074576874886,-0.005776089468089392,-0.2598851072872953,0.022225550083961123,-0.00012837676576246115,-0.12837676576246115
BK,25,0.9624415062935243,0.004022031414432213,0.13956432037984545,0.028818478845349906,0.00011590882723214749,0.11590882723214749
HPQ,25,0.9951358292773561,0.0012422748800601739,0.013798374733606414,0.09003052200304221,0.0001118426559230841,0.1118426559230841
AME,25,0.7911253440578757,0.00469441328438072,0.14387248170365094,0.032628986647010715,0.00015317394837160823,0.15317394837160822
RRC,25,0.16871131937387576,0.0024537354104356562,0.06338161831470854,0.03871367559995285,9.499311668772315e-05,0.09499311668772316
ETR,25,0.6128640648923351,-0.006581222829441999,-0.1804359490958478,0.03647401120685793,-0.0002400435952358967,-0.24004359523589672
EMR,25,0.6774505338591509,0.007742412997468707,0.34730567821220737,0.022292791287846475,0.0001725999970168797,0.1725999970168797
REG,25,0.99926950522861,-0.006699027596747085,-0.1794675883442961,0.03732722804462868,-0.00025005613078103923,-0.2500561307810392
AIZ,25,0.5038443125750218,0.011726923041728614,0.3146859087224,0.03726548509699401,0.00043700947584513335,0.43700947584513333
AJG,25,0.3227271741770387,0.007037020102494173,0.25814264951151067,0.027260199412264843,0.00019183057126210754,0.19183057126210754
ALGN,25,0.9834976785080481,0.0011327285643810449,0.013596688898954545,0.0833091477490627,9.436665132960415e-05,0.09436665132960416
CLX,25,0.1737680160125426,0.005024656826784257,0.20284274672255465,0.024771192995413877,0.0001244667439919967,0.1244667439919967
IPG,25,1.1475776636228545,0.008975532840724677,0.23448172997703656,0.03827817562418904,0.00034356702239793553,0.3435670223979355
FRT,25,0.6351333382944008,-0.005145557501941093,-0.15858190118068924,0.03244731879004409,-0.00016695954461798555,-0.16695954461798557
QCOM,25,0.38010766451435773,0.001025662827639965,0.03318746555055645,0.030905126698437143,3.169823963809041e-05,0.03169823963809041
JEC,25,0.662537064139293,0.00871373967321977,0.23041710265351248,0.03781724348093628,0.00032952961485164617,0.32952961485164617
XEL,25,0.5050805429101324,-0.002241141623682109,-0.07883984475047164,0.02842650985393654,-6.37078344496668e-05,-0.0637078344496668
RF,25,0.9269044892157693,0.003473291172964619,0.08123273416121805,0.04275728508745468,0.0001485085008741881,0.1485085008741881
MDT,25,0.7500372347059069,0.002911127281147013,0.10780108544572008,0.027004619379392258,7.861388419234013e-05,0.07861388419234012
INTC,25,0.8822850710214903,-0.00521884258252776,-0.1675694431385665,0.031144357138026622,-0.00016253749723738574,-0.16253749723738575
EXPD,25,1.211313078613484,-0.001275364634066448,-0.03640905756509798,0.03502877358981747,-4.467445901117402e-05,-0.04467445901117402
CINF,25,0.6792959086815852,0.004994238109825309,0.17664280239039656,0.028273091471837,0.0001412025509112253,0.1412025509112253
SNPS,25,0.5104331427918124,0.0018349470198191732,0.08555222047455906,0.021448268784149644,3.9356436885755994e-05,0.03935643688575599
AOS,25,0.9847918901274508,0.010438119543394086,0.33998644034456027,0.030701576018195145,0.0003204667206485219,0.3204667206485219
PNW,25,0.748912523275005,-0.002746868600811089,-0.09092047361066269,0.030211771801515897,-8.29877673364539e-05,-0.0829877673364539
BKNG,25,0.5863197100909849,0.014617448714225885,0.35108314874768154,0.04163529000570528,0.0006086017163603185,0.6086017163603185
BDX,25,0.6240631356775386,0.005193463604712817,0.2210898082484116,0.02349028951564134,0.00012199596366365036,0.12199596366365036
PPL,25,0.4553472385982685,0.00032498180744944217,0.012514171304444375,0.02596910331042262,8.439486131662435e-06,0.008439486131662436
