Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LLL,25,0.2585067541679482,-0.004567933466952125,-0.09857960686533297,0.046337509472849286,-0.00021166666029623937,-0.21166666029623937
NSC,25,0.4751909999373947,0.0058246297324723185,0.1485864179181432,0.039200283673849166,0.00022832713780805106,0.22832713780805106
TRV,25,0.26696845361932703,-0.0017324515697574128,-0.05643968488396306,0.030695627966726594,-5.317868885564503e-05,-0.05317868885564503
CHD,25,0.23697549876499785,0.01353180476589546,0.3493750130279615,0.038731461213033204,0.0005241065714326179,0.5241065714326179
JPM,25,0.4302783029460185,0.0013193656482330981,0.04621529738162239,0.028548245342628623,3.766557422239474e-05,0.037665574222394735
MMC,25,0.25720957328183486,0.0007275052379473329,0.025828338567674684,0.02816693904027718,2.049159568874487e-05,0.02049159568874487
ORLY,25,0.6474577177386804,0.01330276750106704,0.33135496591569225,0.040146576540071255,0.0005340605736763604,0.5340605736763604
BWA,25,0.11700822349220565,-0.013408394472324057,-0.27788603301439097,0.0482514156140754,-0.0006469740144015794,-0.6469740144015793
FE,25,-0.009055473765376009,0.006431481348732445,0.19907778822709135,0.032306373332799676,0.00020777783753508835,0.20777783753508836
ECL,25,0.2880011595315179,0.004484101396209184,0.1586367479821894,0.028266473268303678,0.0001267497322483101,0.1267497322483101
WHR,25,0.47820895649770945,-0.012690531174734057,-0.23538198178070588,0.053914624555065634,-0.0006842052236901427,-0.6842052236901427
AAPL,25,0.5709601612908788,-0.0007314330842019385,-0.01454212381340201,0.05029754206382498,-3.678928631952024e-05,-0.03678928631952024
AEE,25,-0.23647480927583067,0.005266342308704334,0.1931295859491051,0.02726843887136049,0.0001436049333205636,0.1436049333205636
SLG,25,0.3301301937105382,-0.0038342212665926235,-0.12319136066472383,0.031124108426952075,-0.00011933671843435434,-0.11933671843435434
SCHW,25,0.7367769336078231,-0.005424820711770695,-0.14260306053549535,0.038041404521050946,-0.00020636779915064453,-0.20636779915064452
CRM,25,1.121384268158176,0.0035667332026015396,0.15739284059786188,0.022661343356236447,8.082696576424234e-05,0.08082696576424234
WY,25,0.5478421336191873,-0.012129222795013783,-0.32588177947626434,0.03721970223222381,-0.0004514460607387144,-0.4514460607387144
BBY,25,0.6940459185211948,0.0017822280906261644,0.045985555684512944,0.03875625865768074,6.90724928672921e-05,0.0690724928672921
FB,25,1.218479016317463,-0.015599692868667126,-0.37351062230772575,0.041765058172334765,-0.0006515220801304383,-0.6515220801304383
LRCX,25,0.870454195216474,-0.014278729528020626,-0.24600785831025315,0.058041761861171874,-0.0008287626189454562,-0.8287626189454562
DLR,25,0.1325599350898045,-0.0010469776707937772,-0.02775798724957697,0.03771806872667733,-3.948997574229624e-05,-0.03948997574229624
RHI,25,0.7530676185785278,-0.000273766634956589,-0.0063409681559202105,0.0431742642802879,-1.1819673048740877e-05,-0.011819673048740877
STZ,25,0.23102445811260866,-0.0040904709353024515,-0.11339841831022701,0.0360716753924384,-0.00014755013978043393,-0.14755013978043394
IPG,25,0.2794599439588972,0.006973192788745128,0.20263972662164537,0.03441177554372141,0.00023995994506939406,0.23995994506939405
IPGP,25,1.4607577013360364,-0.025510219677098933,-0.33836262857674876,0.07539313601032806,-0.001923295461768867,-1.9232954617688671
IQV,25,0.46576514567657684,0.004811883191562083,0.1273067423358168,0.037797551828551476,0.00018187740432600353,0.18187740432600352
HRB,25,0.2682435230803025,0.003248368748665728,0.05446156263410489,0.05964516241462995,0.00019374948159677562,0.19374948159677563
