Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LLL,25,0.8969708074527243,0.0030028839576201572,0.06509749123370567,0.04612902741273918,0.00013852011639833495,0.13852011639833495
NSC,25,0.49878723169940187,0.007771864662367284,0.28354910381698195,0.027409237263481774,0.00021302088251049455,0.21302088251049456
TRV,25,0.7314911589191944,0.0036333182853210133,0.16629354139670977,0.021848823801601358,7.93837310311152e-05,0.07938373103111519
CHD,25,0.462045111642368,0.004855967894535167,0.27175374986138484,0.01786900050877709,8.677129277805412e-05,0.08677129277805412
JPM,25,0.8259678863244565,-0.000951758221147667,-0.030364646276901473,0.03134428810625316,-2.9832183891147483e-05,-0.029832183891147484
MMC,25,0.7454542322942114,0.0040758627484954076,0.27874509248292656,0.014622186572648122,5.959802555300622e-05,0.059598025553006216
ORLY,25,0.9659056464786272,0.010440478217722036,0.26212226827463847,0.03983056566099539,0.00041585015318316965,0.41585015318316965
BWA,25,0.38465649085549225,0.0010482718907937805,0.02657476506764364,0.03944613952843985,4.135027926799293e-05,0.04135027926799293
FE,25,0.3330876704156667,0.005039864248461792,0.14606049492050402,0.034505320902854845,0.00017390213319999948,0.17390213319999948
ECL,25,0.564038688863754,-0.001254015227031093,-0.04996404679238432,0.02509835186573066,-3.1473715413010484e-05,-0.031473715413010486
WHR,25,1.3488876956240188,0.002751396826008396,0.06223995708408186,0.04420627768575499,0.00012162901211423206,0.12162901211423206
AAPL,25,1.1475733467735878,0.011509209925118332,0.2740881012730124,0.04199091413185533,0.00048328224569114096,0.483282245691141
AEE,25,0.3001915118553026,0.007277859869286653,0.22458179539865886,0.03240627699305549,0.0002358483428407459,0.2358483428407459
SLG,25,0.4269024043163808,0.0086084087829623,0.33168214326184065,0.025953790271327763,0.00022342083612285942,0.22342083612285943
SCHW,25,1.0135989544511477,0.0004963476000437233,0.012648646197110184,0.039241164019365414,1.9477257583934132e-05,0.01947725758393413
CRM,25,0.9920624999604478,0.0009574364716817604,0.020226102094232753,0.04733667748838085,4.532186147561278e-05,0.045321861475612776
WY,25,0.584339242458207,0.00537656090033452,0.1986452826267387,0.027066139347679666,0.00014552274653974016,0.14552274653974015
BBY,25,1.7796895345658326,-0.009774305042710174,-0.09432732064556489,0.10362114577002719,-0.0010128246876313829,-1.012824687631383
FB,25,0.21275792069185592,0.01898074122107848,0.3705418388211418,0.051224286254595845,0.0009722749216329312,0.9722749216329312
LRCX,25,1.1241277056154957,0.013445827803791104,0.45102364856137395,0.029811802211877667,0.00040084435906158583,0.40084435906158583
DLR,25,0.7992958930084699,0.015334504266696046,0.462283093035389,0.03317124181636932,0.0005086645491647217,0.5086645491647217
RHI,25,1.2456282148078184,0.009684648110234822,0.3098187797558188,0.031259073829764936,0.00030273313029312375,0.30273313029312376
STZ,25,1.0464368861411333,0.007098224233016011,0.22890349673875715,0.03100968021085789,0.00022011366353078853,0.22011366353078854
IPG,25,1.1734667203737787,0.00138777190186675,0.04902748655758508,0.02830599729473684,3.928226769995202e-05,0.03928226769995202
IPGP,25,0.5632763451731285,-0.0025046223091521867,-0.04573182885583984,0.054767595607153434,-0.0001371721417763018,-0.1371721417763018
IQV,25,0.40180332040734074,0.01000812680587571,0.2878595804561148,0.03476739176100301,0.0003479564654536766,0.3479564654536766
HRB,25,0.7734388396450257,0.0038672542593325256,0.11244448205257143,0.03439256590220638,0.0001330047969746822,0.1330047969746822
ALXN,25,1.0789195695882425,0.012693545029758991,0.19518619262579454,0.06503300699191719,0.0008254994026725322,0.8254994026725322
INCY,25,1.9373208727670435,0.008979498461899858,0.10831524835615002,0.08290151754418253,0.000744414049277151,0.744414049277151
CAG,25,0.5686149589546534,0.0025505962256768154,0.06474583529662392,0.03939398131156418,0.00010047814004765859,0.10047814004765859
CME,25,0.4388433109095858,0.0016148113705710728,0.04637516560385134,0.03482060601929078,5.62287105301263e-05,0.0562287105301263
GPC,25,0.6663397177374294,0.006562049191977028,0.32568822090070737,0.020148254590937758,0.00013221383775821057,0.13221383775821058
HSY,25,0.5056704780163259,-0.00018210329395513137,-0.007800649784520421,0.023344631407052327,-4.251134275392642e-06,-0.004251134275392642
AIV,25,0.20523394355864988,0.01619278461316172,0.5326060921681152,0.03040292788849762,0.0004923080629079296,0.4923080629079296
CNC,25,1.4339844439153826,0.012668823899838456,0.3591668002880965,0.03527281444074586,0.00044686507460148825,0.4468650746014882
WFC,25,0.7739928499495595,0.005561479821703214,0.2918095903402132,0.01905859164950415,0.00010599397288879872,0.10599397288879872
AOS,25,1.0793781839089627,-0.004894403746330768,-0.15097542043098086,0.032418546889016735,-0.00015866945734420318,-0.15866945734420318
VFC,25,0.7123271163447665,0.00681384524101874,0.263739860354149,0.025835477549237845,0.0001760389457483208,0.1760389457483208
TAP,25,0.8901732851592512,0.01184733880471749,0.38362997104598756,0.030882203422258926,0.00036587192697970744,0.36587192697970744
AET,25,1.1878143026736199,0.0041640853082141405,0.12012505206263428,0.034664586917664345,0.00014434629709915819,0.1443462970991582
DGX,25,0.8079226831345835,-0.0003103038770625589,-0.008883648866073686,0.03492977736294796,-1.0838845340654757e-05,-0.010838845340654758
AMG,25,1.1629016381453563,-0.005328572808298536,-0.1669102266456652,0.031924783252560054,-0.000170113531950416,-0.170113531950416
IRM,25,0.7526123008083471,0.014308540845352522,0.26906262376340784,0.05317922142145729,0.0007609170618329675,0.7609170618329675
ORCL,25,0.7040639823123789,0.004520202303402936,0.12527532493932303,0.03608214391455213,0.00016309859003427478,0.16309859003427477
CAT,25,0.5811466209827892,0.005207389085773015,0.16464214905600102,0.03162852960575597,0.00016470205986806233,0.16470205986806233
GILD,25,1.1164761888417285,0.006237089964346096,0.10577328055786249,0.05896659280539326,0.000367779944218201,0.36777994421820104
NCLH,25,2.025413277277976,-0.00017627655684837595,-0.005340350295347049,0.03300842587085768,-5.8186116594996475e-06,-0.005818611659499647
BRK.B,25,0.4709915549593455,0.00777947066497707,0.38066717874198447,0.02043641033273841,0.00015898445468097273,0.15898445468097272
ILMN,25,1.2250123823993424,0.02027531333098806,0.2582906417493664,0.0784980562736079,0.001591572686820933,1.591572686820933
NOC,25,1.1074117286566802,0.004506918118271006,0.1789266461375045,0.02518863576533735,0.00011352311890532797,0.11352311890532797
ABC,25,0.9933736905639048,0.00551756898824275,0.23708464441843413,0.023272570021467577,0.00012840801062715743,0.12840801062715743
PRU,25,1.2105364229280857,-0.007152722394637325,-0.2324435364377576,0.030771870469079015,-0.00022010264702906044,-0.22010264702906043
ETN,25,1.0619227927434443,-0.006595253832923947,-0.16774497107465966,0.039317147874367825,-0.000259306570218062,-0.259306570218062
ISRG,25,0.48940366374862576,0.010376703371848026,0.17309956792933312,0.05994644294019413,0.0006220464565878077,0.6220464565878078
SYMC,25,0.9846594176953382,0.000974765059696364,0.030134595742012025,0.03234704284874143,3.1530767153454285e-05,0.031530767153454285
FTI,25,0.19717082112007234,-0.001359003985150222,-0.02886975373647454,0.04707362582844734,-6.397324509633035e-05,-0.06397324509633034
CNP,25,0.6032345252403842,-8.977306927420055e-05,-0.0031556055849291742,0.028448761056497955,-2.55393259709017e-06,-0.00255393259709017
WELL,25,0.1544563160410505,0.012369741864245025,0.41392427499171297,0.029884069651369624,0.00036965822744056104,0.36965822744056104
HII,25,1.279664772956529,0.005072522923597106,0.1203006097379844,0.04216539662305202,0.00021388494095299539,0.21388494095299537
BAC,25,0.7154899260695682,-0.00019891553547146624,-0.006381812885767408,0.031169126865985636,-6.200023560725597e-06,-0.006200023560725597
KR,25,0.7013377104495593,0.011400205241372727,0.35693395527333827,0.03193925675309458,0.0003641140822421781,0.3641140822421781
ACN,25,0.7951105282718606,0.001920315791685309,0.08026549248354878,0.02392455004345606,4.594269125741412e-05,0.04594269125741412
HOLX,25,1.0972783645570876,0.0017825569811155111,0.04803699892189907,0.037108000522965236,6.614712538744972e-05,0.06614712538744973
XOM,25,0.3706219384288024,-0.002053249008110817,-0.07010390397232007,0.029288654294082186,-6.013690037822487e-05,-0.060136900378224875
NEE,25,0.452149695012232,0.00763583209509981,0.29808283828793136,0.025616476745045025,0.00019560311529319272,0.19560311529319271
RE,25,0.5536344874887414,0.0027214651966045137,0.1274968934801837,0.02134534514778197,5.809061392919966e-05,0.05809061392919966
GPN,25,1.0749223563556376,0.007428298016323886,0.30031820364760226,0.024734757753946738,0.0001837371519578944,0.18373715195789442
OXY,25,0.3538952454927234,-0.007529313529096677,-0.21957654233552898,0.03429015435351622,-0.000258181323088743,-0.258181323088743
BIIB,25,0.8511796409499864,-0.002600484966832937,-0.06079360646819972,0.04277563247038509,-0.00011123738918600729,-0.1112373891860073
AVY,25,0.9651145357854758,-0.003956172771137233,-0.18948387387481833,0.020878677906653213,-8.259965703164597e-05,-0.08259965703164597
ZTS,25,0.8901795675774007,0.010502525529300297,0.28108930049807956,0.03736366169288628,0.0003924128107976777,0.3924128107976777
UNP,25,0.749969142334253,0.011196397492741223,0.4358686825925645,0.02568754751120131,0.0002876079925490854,0.2876079925490854
RCL,25,1.324676194806136,0.014937445211590883,0.34188528412104136,0.043691395638726635,0.00065263782857142,0.6526378285714199
INTU,25,1.0436751801840032,0.004526823504858009,0.1455496806522857,0.03110156947490987,0.00014079131573699636,0.14079131573699635
CVS,25,0.6145858080733972,0.010094368979401247,0.42265948736794884,0.02388298211939469,0.0002410836338416124,0.2410836338416124
PPL,25,0.34705876406401753,0.006283196639691534,0.2578815116155423,0.024364664998003875,0.00015308798124266787,0.15308798124266787
