Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LLL,25,1.0894886858182118,0.0015955551087252886,0.044911140613949185,0.035526933560661264,5.6685180340056985e-05,0.056685180340056984
NSC,25,1.229217065859324,-0.010913302351616416,-0.28817730084892057,0.03787009705298686,-0.00041328781922430344,-0.41328781922430347
TRV,25,1.0905115487487118,0.005967059140533493,0.30158137760515247,0.01978590053509838,0.00011806363864164533,0.11806363864164533
CHD,25,0.5579804834748422,0.008118002300666413,0.39452197703247527,0.02057680629537699,0.00016704256084623754,0.16704256084623753
JPM,25,1.2129969030628915,0.004673890945278174,0.17352275850996818,0.02693531952472781,0.00012589274603479973,0.12589274603479972
MMC,25,1.0902515780504578,0.002660021759385401,0.1551006103173973,0.017150298467181673,4.562016710265734e-05,0.045620167102657344
ORLY,25,0.7706154668287306,0.01612865590299076,0.47704258183466863,0.03380967762031055,0.0005453046565290364,0.5453046565290364
BWA,25,1.0697495369173193,-0.006943110667581263,-0.15884923236108117,0.04370880843666172,-0.0003034750941238519,-0.3034750941238519
FE,25,0.2900031218622395,-0.006341467803614099,-0.1486157235588434,0.04267023469493951,-0.00027059191949061617,-0.2705919194906162
ECL,25,0.8145970668417779,0.004214195038797809,0.11283878540383334,0.037347043604872454,0.00015738772587341895,0.15738772587341895
WHR,25,0.9302719284555235,-0.0026136403168308038,-0.05569944665981565,0.046923990695879096,-0.00012264243390934312,-0.12264243390934312
AAPL,25,1.1179934742520434,0.004740375373652526,0.11011105453174772,0.04305085800704742,0.00020407722711121928,0.20407722711121928
AEE,25,0.44838059625452226,0.002861522150889122,0.06633039492834898,0.043140435903934814,0.00012344731293812184,0.12344731293812183
SLG,25,0.528725092435999,0.0019403616022717412,0.053202338492323455,0.0364713592909401,7.076762515079689e-05,0.07076762515079689
SCHW,25,1.6445794320030565,0.004264768132810594,0.10610623353666603,0.04019337969749781,0.00017141544488384497,0.17141544488384497
CRM,25,1.2050125189830174,0.009329959587877516,0.17883512175641483,0.05217073411667722,0.0004867508409785013,0.4867508409785013
WY,25,0.7255034342371058,-0.004030459993675847,-0.13400147080495942,0.030077729516433626,-0.0001212270855165889,-0.1212270855165889
BBY,25,0.5017233126107427,0.0026067213762287623,0.04480955689027163,0.058173335268903184,0.0001516416765719725,0.1516416765719725
FB,25,0.8859746736416299,0.013406256690803687,0.34467505926677494,0.03889534891013795,0.0005214410315676807,0.5214410315676807
LRCX,25,0.8705345779137036,0.00010441406381494526,0.002092441460534602,0.0499005901882045,5.210323408314616e-06,0.005210323408314616
DLR,25,0.3138735052551508,0.004888430638765645,0.12050001877189591,0.040567882798585655,0.00019831328122245988,0.1983132812224599
RHI,25,0.8999556655849194,-0.0012590122646510347,-0.04285470874678763,0.02937862142734571,-3.698804469556794e-05,-0.03698804469556794
STZ,25,0.39514070576962174,0.01677032310588813,0.46066763152542684,0.0364043878020166,0.000610513345911871,0.610513345911871
IPG,25,1.2695039970367559,0.0072821368859948684,0.1789348844749161,0.040697133526334334,0.00029636209720637765,0.29636209720637763
IPGP,25,1.0302122266293285,0.005875129427541352,0.09112941998095525,0.06447017251694535,0.00037877060775297333,0.37877060775297333
IQV,25,0.17418686207773204,0.006909871641362536,0.16672215680272967,0.04144543097255207,0.00028638260814128604,0.286382608141286
HRB,25,0.7801263535624321,0.0071704440745917345,0.18939597384567297,0.03785953803027769,0.0002714697001359851,0.2714697001359851
ALXN,25,1.036223184639438,-0.003616791757106735,-0.06268092237751927,0.057701635839422644,-0.00020869480087559836,-0.20869480087559836
INCY,25,0.40499507967328996,0.025049334775641516,0.3652287912231993,0.06858532343999496,0.001718016727544087,1.718016727544087
CAG,25,0.556868986621292,0.00790741476273254,0.19044496555888119,0.0415207340321514,0.00032832166524532537,0.32832166524532536
CME,25,1.0728356372301635,0.007942145850247953,0.2634263887095597,0.030149393495290833,0.00023945088043611672,0.23945088043611673
GPC,25,1.0773006471148472,-0.0014778042518770354,-0.0576652696396961,0.025627284171402403,-3.7872109512559515e-05,-0.03787210951255952
HSY,25,0.3708227873671423,-0.0020610161765696688,-0.06226888465315414,0.03309865253006858,-6.821685828712994e-05,-0.06821685828712994
AIV,25,0.6777589438603049,0.006763289576468214,0.18631491432936015,0.036300312300883965,0.00024550952380710943,0.24550952380710944
CNC,25,1.1794495045043092,0.011935496008449748,0.17027261152909984,0.0700963936669871,0.0008366352268190467,0.8366352268190467
WFC,25,1.1414723259064337,0.0029825537282373573,0.13990676278565098,0.02131815266719367,6.358253571667164e-05,0.06358253571667165
AOS,25,1.071999851719921,0.01505237376228563,0.37497952679523333,0.04014185491920295,0.0006042302037552868,0.6042302037552868
VFC,25,0.5864806902596945,0.0008757035707412618,0.024872063943817937,0.03520831937065367,3.0832050992680157e-05,0.030832050992680157
TAP,25,0.9053837639297577,0.008145860962293534,0.14806094668885642,0.05501694501124395,0.0004481603846317421,0.4481603846317421
AET,25,0.6754498540394774,0.0130529476143501,0.30242104563014693,0.04316150546716089,0.0005633848698193366,0.5633848698193366
DGX,25,0.6680525278532923,0.0024205543617422448,0.05208371206775995,0.04647430579819557,0.00011249358360876519,0.11249358360876519
AMG,25,1.2164814782216973,-0.0031827523782076653,-0.10919653887120906,0.029147007873221477,-9.27677086261332e-05,-0.09276770862613319
IRM,25,0.8860388596769412,-0.0034544916245655474,-0.07870492603768052,0.04389168249661636,-0.00015162344957265144,-0.15162344957265145
ORCL,25,1.161919963591543,0.0006572517286743649,0.01917784533953439,0.0342714062522689,2.2524941003405168e-05,0.022524941003405168
CAT,25,0.9761095694466767,-0.011999099051231844,-0.2724770873865146,0.04403709378400271,-0.0005284054502426346,-0.5284054502426346
GILD,25,0.5187754904686293,-0.0020219313433037,-0.034685693942929786,0.058292947710098894,-0.0001178643380686126,-0.1178643380686126
NCLH,25,1.1829808746029886,0.01912414457129416,0.46716748485295173,0.04093637761907549,0.0007828732038122903,0.7828732038122903
BRK.B,25,1.0475321496321952,-0.0006626486208989778,-0.36527185102279097,0.0018141245186112963,-1.2021271103967974e-06,-0.0012021271103967975
ILMN,25,0.5660311181364925,-0.011131382489103562,-0.17786605175722542,0.0625829514914803,-0.0006966347703486814,-0.6966347703486815
NOC,25,1.0201478190910989,0.013605109690605018,0.4496631312622184,0.03025622681676181,0.00041163928466586954,0.4116392846658695
ABC,25,0.700708921850222,0.005850602365771869,0.15592928298896128,0.037520870061244695,0.00021951969114613712,0.21951969114613712
PRU,25,1.2455672291697126,-0.0008514018003763081,-0.023685046252612366,0.035946807588876965,-3.0605176698950586e-05,-0.030605176698950586
ETN,25,1.0825499848271436,-0.0074232900657272925,-0.2067450200943323,0.03590553263309675,-0.00026653718369991423,-0.26653718369991425
ISRG,25,0.9012118773821044,0.0005865081531971068,0.017316380322211118,0.03387013580689339,1.986511080063624e-05,0.01986511080063624
SYMC,25,0.9584932700966441,-0.007745228453430722,-0.279736712531902,0.027687565151275708,-0.0002144465174158775,-0.2144465174158775
FTI,25,0.9307395374281053,-0.02024509479754209,-0.2723630900325215,0.07433127152113278,-0.0015048436383671736,-1.5048436383671737
CNP,25,0.7332471901847429,-0.009370761839311173,-0.24163442275475636,0.038780740477617724,-0.0003634050829678903,-0.36340508296789026
WELL,25,0.16301163469045898,-0.000143423779862343,-0.0040751366008604005,0.03519483980783892,-5.047776956889915e-06,-0.005047776956889915
HII,25,0.6657041956948013,0.003621271250512086,0.06018006490130919,0.06017393395056486,0.0002179061370453937,0.2179061370453937
BAC,25,1.4979871999652294,0.0006816853822847094,0.022138646453263106,0.030791646802970335,2.0990215522058585e-05,0.020990215522058583
KR,25,1.0019762287362626,0.012773879255733745,0.3601941970023549,0.03546386744162409,0.0004530111606406533,0.4530111606406533
ACN,25,1.2402252145119697,0.012869062604856837,0.44579018088605177,0.02886798129846268,0.0003715038586057526,0.3715038586057526
HOLX,25,0.7213838095409092,0.016709361654350725,0.35427783859731105,0.04716456925589234,0.0007880898449683766,0.7880898449683765
XOM,25,0.827871007377837,-0.004436683184352256,-0.15567210329453887,0.02850018140988206,-0.0001264462756122125,-0.1264462756122125
NEE,25,0.7093034688644974,0.0021966585388006467,0.06169619983738553,0.03560443827319095,7.821079335200545e-05,0.07821079335200545
RE,25,0.615390880090583,0.0035830006614432077,0.1812974042947738,0.019763110648939906,7.081123852732698e-05,0.07081123852732699
GPN,25,0.8530725272331291,0.021569068316364848,0.583376296981749,0.03697282256402618,0.0007974693357323165,0.7974693357323165
OXY,25,0.44654945008395386,-0.003931826186805088,-0.08250342291721748,0.04765652196940017,-0.00018737716105133957,-0.18737716105133959
BIIB,25,0.8499710902122664,-0.003771751267676447,-0.05221166266060575,0.07223963144392015,-0.00027246992147508516,-0.27246992147508514
AVY,25,1.2402572794436042,0.014081655838455472,0.40948062370820903,0.03438906513068587,0.00048425497977654813,0.48425497977654813
ZTS,25,1.0053999142353383,0.00602277921757283,0.15477250452699293,0.03891375432593348,0.000234368950831967,0.234368950831967
UNP,25,0.9395841978264268,-0.009180608571701823,-0.2574065788839466,0.035665788386243846,-0.00032743364257525355,-0.32743364257525354
RCL,25,0.767364433558503,0.0149764564250523,0.28345010552010985,0.052836305696805495,0.0007913006299289501,0.7913006299289501
INTU,25,1.4290296236755122,0.004919774976106285,0.1173308171482606,0.041930799560439436,0.00020629009840557837,0.20629009840557838
CVS,25,0.886290331074493,0.008059027182711165,0.33231761001777316,0.02425097840069369,0.00019543929413853178,0.19543929413853178
PPL,25,0.6123566295695125,0.0029248870154779624,0.07258484876522789,0.040296109521952235,0.00011786156751503597,0.11786156751503597
AZO,25,0.4102549542033666,0.013665550426980136,0.4800216553518256,0.028468612352424285,0.00038903925768820366,0.3890392576882037
BKNG,25,1.051009565097081,0.007850159204027414,0.15867355787329454,0.04947364456462239,0.00038837598623575126,0.38837598623575126
CPB,25,0.6119278293814243,0.006719784216639697,0.23336633226892262,0.02879500290940027,0.0001934962060686821,0.1934962060686821
EL,25,0.8862193568215003,0.004464015221165234,0.12419587246209833,0.03594334604418956,0.0001604516438408714,0.16045164384087138
IBM,25,0.5949314206941192,-0.0051446456267285725,-0.1766349361061188,0.029125866830997525,-0.0001498422634167702,-0.14984226341677018
PSX,25,0.7394776684098766,0.0045935443420685625,0.07090271057792195,0.06478658297584075,0.0002976000416706287,0.2976000416706287
ADBE,25,0.9006177539044161,0.009977982129820413,0.27222964967728525,0.03665281185076209,0.00036572110165457403,0.36572110165457405
NFLX,25,0.6148033103873268,0.026640337943203935,0.27696158303667723,0.0961878454445288,0.0025624767086709164,2.5624767086709164
SNPS,25,0.9625601267291247,0.008380799994253112,0.30453746335190995,0.02751976686877644,0.00023063766201568856,0.23063766201568855
CB,25,0.9589293896211808,0.0030013696606754296,0.1239153088593497,0.024221136906353836,7.269658545779633e-05,0.07269658545779634
CDNS,25,0.9108284169870201,0.009502076361189198,0.2844959052673452,0.03339969463623721,0.00031736644887392726,0.31736644887392723
MLM,25,1.6275051620026044,0.01127219198622673,0.1823417288050723,0.06181904745609259,0.0006968361713307368,0.6968361713307367
GS,25,1.068726234468164,0.0011638192358435194,0.03790547585491502,0.030703195503944916,3.5732969529355355e-05,0.035732969529355355
SRCL,25,-0.2104134153379596,-0.0006742530143344758,-0.013913564670991571,0.04846012005393756,-3.267438202137798e-05,-0.03267438202137798
