Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LLL,25,0.47778625825954707,-0.0025318485865859133,-0.07293539294844313,0.03471357984422785,-8.788952806394553e-05,-0.08788952806394552
NSC,25,1.179626410157395,-0.011112174331397887,-0.3546848617773822,0.0313297113265929,-0.0003481412140134713,-0.34814121401347126
TRV,25,0.41387983051330685,0.003862444924332786,0.16390468730115026,0.02356518893957025,9.101924441058622e-05,0.09101924441058622
CHD,25,0.4631717584989466,0.009269487540176266,0.4409450728865055,0.021021864422923562,0.0001948619103395647,0.19486191033956468
JPM,25,0.34658533249397183,0.0017497277631347862,0.06287825628576742,0.027827231009439422,4.86900786683814e-05,0.048690078668381404
MMC,25,0.5977775173316197,0.0021556491582090725,0.0861373732400772,0.025025712732160633,5.3946656584664135e-05,0.05394665658466413
ORLY,25,0.6371656004831227,0.021449336043734366,0.7916664207935151,0.02709390657524029,0.0005811463068698731,0.5811463068698731
BWA,25,1.0147880696039326,-0.011682333690340135,-0.34160666690915964,0.034198201680433575,-0.0003995148036403758,-0.3995148036403758
FE,25,0.20408387645944148,-0.0019194544811366677,-0.042411440794540824,0.045257940904090646,-8.687055747537528e-05,-0.08687055747537528
ECL,25,0.7881549044903419,0.00045065205411745244,0.016248289740681366,0.02773535315468559,1.2498993870832026e-05,0.012498993870832026
WHR,25,0.8139236182421306,0.004368277687213339,0.10611304718251022,0.04116626374606013,0.00017982567138785386,0.17982567138785385
AAPL,25,0.803485829619257,0.008103866561019371,0.32159411827950296,0.025199050916646933,0.00020420974609283962,0.20420974609283962
AEE,25,0.08493057157140399,0.004973128391846,0.1343146328095408,0.0370259612658729,0.0001841348592067028,0.1841348592067028
SLG,25,0.5059908675205627,0.004504657381344165,0.12968408243007,0.034735622883966706,0.00015647208001984793,0.15647208001984791
SCHW,25,0.8307971622946142,-0.0003088535014515938,-0.006725600237780329,0.04592207245929408,-1.418319287296678e-05,-0.01418319287296678
CRM,25,0.7617135178978255,0.011521328013150107,0.31272807000110253,0.03684136193181983,0.0004244614152676778,0.4244614152676778
WY,25,0.6269743297220971,-0.003682118994247965,-0.11709497974808297,0.031445575225937446,-0.00011578634982447751,-0.11578634982447751
BBY,25,0.403831660732454,0.006742861604449309,0.12102450125072427,0.05571484728104969,0.00037567750452914696,0.37567750452914694
FB,25,0.9126711391341797,0.009664590735020228,0.24308576849603591,0.03975794549724054,0.00038424427169607016,0.38424427169607017
LRCX,25,1.241558745051057,-0.003045764700173868,-0.06772117889124141,0.044975069100100774,-0.00013698347785296743,-0.13698347785296744
DLR,25,0.27525764265238584,0.003811703256811491,0.10531398956972308,0.036193702967524125,0.00013795965547737943,0.13795965547737943
RHI,25,0.7849256204919725,0.0034110185199694473,0.09754448724751184,0.0349688497650743,0.00011927939417069769,0.11927939417069769
STZ,25,0.32580358909637674,0.016473184014469767,0.6079645836955019,0.027095630989453057,0.00044635131527742976,0.44635131527742977
IPG,25,1.1919471735314933,0.006259992555609883,0.2274566918465128,0.027521689974433067,0.00017228557435775414,0.17228557435775413
IPGP,25,1.1318317028255236,0.008329183889197926,0.1597510881814235,0.05213851113013249,0.00043427124691186624,0.43427124691186625
IQV,25,0.8178467329466038,0.013317844916538596,0.6138843174199805,0.021694388565765194,0.000288922502477989,0.288922502477989
HRB,25,0.9016582866453385,0.008746247596537991,0.23585222678691306,0.03708359134739067,0.0003243422716931127,0.3243422716931127
ALXN,25,0.6503050732566711,-0.0008810134507137488,-0.015664369401883017,0.05624314826282391,-4.955097013003548e-05,-0.04955097013003548
INCY,25,0.9063007443954157,0.03489508633312713,0.42216567183106474,0.08265732782529714,0.0028843345905293347,2.8843345905293347
CAG,25,0.2109248541844938,0.010079017492754474,0.2700582387292168,0.037321644176390216,0.0003761655045121951,0.3761655045121951
CME,25,0.35166326459065267,0.007419873638380705,0.2172371059150333,0.034155645772977646,0.00025343057567278615,0.25343057567278615
GPC,25,0.5156279830985661,0.00020773604344339865,0.007359322203387377,0.028227605437329693,5.863891069432237e-06,0.005863891069432237
HSY,25,0.3214876371487297,0.00128124850363932,0.044636898968116005,0.028703797379708473,3.6776697441517714e-05,0.036776697441517715
AIV,25,0.5129428880356207,0.007498495333137546,0.19505628361154345,0.038442726346980316,0.0002882626041059157,0.2882626041059157
CNC,25,0.8344111375577884,0.018047195625358017,0.35630389967695564,0.050651131356464464,0.0009141108762358198,0.9141108762358198
WFC,25,0.5748827749718992,0.0015508869470781663,0.07250175465281174,0.021391026389704356,3.317506361239708e-05,0.03317506361239708
AOS,25,1.0448719500618686,0.016338798956408673,0.5534850910161602,0.0295198537803643,0.00048231895613995283,0.48231895613995285
VFC,25,0.40113429217627383,0.003991472017963998,0.14725716423305463,0.027105452143889902,0.00010819065376659879,0.1081906537665988
TAP,25,0.23169588203304742,0.005122119560963331,0.1221698193601498,0.04192622685201497,0.00021475114667609193,0.21475114667609194
AET,25,0.4425767223575264,0.0156005262606495,0.44459058051472966,0.0350896463946398,0.0005474169500564833,0.5474169500564833
DGX,25,0.7755988719976249,0.005509380901954197,0.18812508269132802,0.02928573278553122,0.00016134625690833956,0.16134625690833956
AMG,25,0.7356660439094602,-0.004936894098826962,-0.20961462994325936,0.023552240128293198,-0.00011627491530352626,-0.11627491530352625
IRM,25,0.5158425676091519,0.0018621488754830646,0.03636918592520249,0.05120128009773969,9.534440615729939e-05,0.09534440615729939
ORCL,25,0.5981170759803941,-0.0009698560019593256,-0.027898868154362134,0.03476327414406894,-3.37153700763827e-05,-0.0337153700763827
CAT,25,0.7659484392921679,-0.01352356351331562,-0.3518783647490877,0.03843249505538315,-0.0005197442878566625,-0.5197442878566625
GILD,25,0.42957220292354226,-0.0007834725789780338,-0.016616571493264367,0.04715007420728273,-3.694079023818548e-05,-0.03694079023818548
NCLH,25,0.5663620401127093,0.022263436429793813,0.4809598945300271,0.04628959021946864,0.0010305653492123455,1.0305653492123454
BRK.B,25,0.38407455794393786,-0.0019243477080878057,-0.09714257778764067,0.019809518667443043,-3.812040184601662e-05,-0.03812040184601662
ILMN,25,1.06677831919495,0.008013357075210194,0.17435025194632514,0.045961258935703506,0.00036830397947798743,0.36830397947798743
NOC,25,0.8056661314124647,0.01228113809583301,0.4893470730794851,0.025096988970521896,0.00030821958733657736,0.30821958733657734
ABC,25,0.5303096690176062,0.012891100393924292,0.40389026343003026,0.03191733389274322,0.00041144955551775526,0.41144955551775525
PRU,25,0.6925435097141798,-0.0038110324886010336,-0.0924761497373814,0.041210977094351384,-0.00015705637259356614,-0.15705637259356614
ETN,25,1.1926364171802857,-0.00451641966447835,-0.15080376011323168,0.029948985761941053,-0.00013526218822641268,-0.13526218822641267
ISRG,25,0.1723414866054297,0.0030555832431847065,0.07924150569702505,0.038560388477063244,0.00011782447688120709,0.11782447688120709
