Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LLL,25,0.9514408191296037,0.004736625926041909,0.13786167263162497,0.03435781559606107,0.00016274012011446991,0.16274012011446992
NSC,25,0.27493470848849505,0.013556678762448086,0.3908789509555091,0.034682550005081095,0.0004701801890814266,0.4701801890814266
TRV,25,0.6196867232600872,0.0036814964082151807,0.11295018318640802,0.03259398350987533,0.00011999463322103086,0.11999463322103086
CHD,25,0.5416909398883135,0.008951222022363339,0.33723481010206796,0.026542995426996844,0.00023759224520562353,0.23759224520562353
JPM,25,0.3799270426318918,0.008936272690619503,0.2886555502876688,0.030958256931882228,0.00027665142596956105,0.27665142596956105
MMC,25,0.1236528223635833,0.0007830882839183573,0.035022542686339295,0.022359549702934748,1.7509501406058388e-05,0.01750950140605839
ORLY,25,0.2268570772606591,0.01894340750266079,0.36227435829276294,0.052290224436343215,0.0009905550299032406,0.9905550299032406
BWA,25,0.803840780298044,-0.005307735456438256,-0.125653607412902,0.042241011346350436,-0.0002242041136388349,-0.22420411363883488
FE,25,0.1870341224710678,0.009359187327735828,0.24673084927874547,0.037932781227378004,0.0003550200053690517,0.3550200053690517
ECL,25,0.41800555180872956,0.008435735482371568,0.36415863718994956,0.023165001790061583,0.00019541382754962339,0.1954138275496234
WHR,25,0.4944810529196784,-0.014895086058301563,-0.2863839038932156,0.0520109051375161,-0.0007747069079934612,-0.7747069079934612
AAPL,25,0.5421808520236372,0.015242070443002447,0.4102661597353009,0.0371516638194982,0.000566268277011537,0.5662682770115369
AEE,25,-0.12381330901509457,0.00460672775621201,0.1398441531058985,0.03294186888688521,0.00015175422174271093,0.15175422174271092
SLG,25,0.32352072515335184,-0.00012804525047493563,-0.004246597744797606,0.0301524321750984,-3.860875730288983e-06,-0.0038608757302889827
SCHW,25,0.35289859464899365,0.0067009224424419206,0.16006472359928134,0.04186383040411539,0.0002805262806815192,0.28052628068151925
CRM,25,0.3596689098860188,0.021354559831328487,0.6051742139113006,0.035286632081218176,0.0007535304960244488,0.7535304960244488
WY,25,0.2815819434005565,0.0001575621055409462,0.006120184915094256,0.025744664209793666,4.05638349933973e-06,0.0040563834993397295
BBY,25,1.0652502467664198,0.013727612656709635,0.2808795955294251,0.04887365574147419,0.0006709186151363306,0.6709186151363306
FB,25,0.006969780280784228,-0.0006658107421511793,-0.011815104196430056,0.05635250701829228,-3.752010451992873e-05,-0.03752010451992873
LRCX,25,0.08757722708607595,-0.006105420937187921,-0.07657252333340095,0.07973383495022862,-0.00048680862530741184,-0.4868086253074118
DLR,25,0.01509582275824031,0.0008268981171712877,0.02264309293144125,0.036518779465109716,3.019730998109271e-05,0.03019730998109271
RHI,25,0.2658123512743919,0.015461367199184374,0.3871864097771548,0.03993261852368002,0.0006174128782195686,0.6174128782195686
STZ,25,0.38041157373903045,0.0033327024921085656,0.1360060636008039,0.024504072861710757,8.166478469303331e-05,0.08166478469303332
IPG,25,0.7611630041791646,0.004831644360456037,0.10487938579214749,0.046068579864030734,0.00022258699409426265,0.22258699409426266
IPGP,25,0.373482758994172,-0.005250816167904214,-0.05551322646327082,0.09458675891191999,-0.0004966576829643675,-0.4966576829643675
