Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LLL,25,0.06635066418881091,0.015017323048550942,0.4283184968325185,0.035061112605704325,0.0005265240544414836,0.5265240544414835
NSC,25,0.34590881449852645,0.0077876019741415945,0.1326077309801418,0.05872660603255325,0.0004573394330737474,0.4573394330737474
TRV,25,0.4353679833494662,0.00388290083222054,0.13819589471629992,0.02809707799346488,0.00010909816752379021,0.10909816752379022
CHD,25,0.2119025666866568,0.004362019197139297,0.14258930755802227,0.03059148874374265,0.00013344066116927617,0.13344066116927616
JPM,25,0.5111814334833886,0.0021163467667104706,0.06543652201015121,0.032341981231553844,6.844684740840971e-05,0.06844684740840971
MMC,25,0.26506465723687295,0.009709401244558555,0.47314482937021723,0.020520991970856623,0.0001992465449814114,0.19924654498141142
ORLY,25,0.3234531021126685,0.0031599673463357553,0.11229460257536757,0.02813997533153843,8.89214031743551e-05,0.08892140317435511
BWA,25,0.9752844602769174,-0.0112939574766826,-0.1526084759230483,0.07400609571893958,-0.0008358216980650058,-0.8358216980650058
FE,25,0.14283774155368925,0.005149559124940836,0.14196025046690425,0.036274655109469346,0.0001867984812230496,0.1867984812230496
ECL,25,0.5886192314775452,0.00047002006714633865,0.015915649487624247,0.029531943858893017,1.3880606235518799e-05,0.013880606235518799
WHR,25,0.6228671851140363,0.00038826196512832187,0.007027217169677701,0.05525116924003207,2.145192754477234e-05,0.02145192754477234
AAPL,25,1.0102568579962372,-0.006205923155994429,-0.15265039285821388,0.04065448532293441,-0.0002522986118606343,-0.2522986118606343
AEE,25,-0.09023834798938478,0.010825968193196651,0.358229078640155,0.030220796799333684,0.0003271693849226456,0.32716938492264563
SLG,25,0.7611972924405116,-0.0022940228249553503,-0.057287510456270674,0.040044030656672516,-9.186192032961854e-05,-0.09186192032961854
SCHW,25,0.9872241951658848,-0.001938816035334784,-0.03488069995793329,0.055584206672257976,-0.00010776755120753646,-0.10776755120753645
CRM,25,1.2572642500682478,-0.008126371784067792,-0.18773493638233904,0.04328641189894302,-0.0003517614762891069,-0.3517614762891069
WY,25,0.8123377120603819,0.0031454307570712315,0.05913699743203449,0.05318888164192376,0.00016730194425072838,0.1673019442507284
BBY,25,0.46366911509868697,0.0012584878849738524,0.0205017585615877,0.06138438715846396,7.725150756547142e-05,0.07725150756547142
FB,25,0.221558810405621,0.012860426562096083,0.3788420211218901,0.03394667393023521,0.00043656870710721157,0.4365687071072116
LRCX,25,0.848653998597025,0.010422836704147362,0.21936752978943586,0.047513124272092234,0.0004952215355918778,0.4952215355918778
DLR,25,-0.09573591200408109,0.020045880649953596,0.5005143249117077,0.04005056329504606,0.0008028488117759056,0.8028488117759056
RHI,25,1.0590274346528916,-0.01780789732129671,-0.4457080401518126,0.03995417564204398,-0.0007114998573905733,-0.7114998573905733
STZ,25,0.2957617286427256,0.009483302726135293,0.30233341126797475,0.031367035109889724,0.0002974630895683987,0.2974630895683987
IPG,25,0.6344860931389451,0.0030391675056169855,0.11435350494734929,0.026576951069547723,8.077180608894203e-05,0.08077180608894204
IPGP,25,0.753574772007446,8.148932449065626e-05,0.0013016577815047892,0.06260426177182304,5.101579002022075e-06,0.0051015790020220745
IQV,25,0.8879694259581,-0.000700555324559822,-0.018588646548171994,0.037687269094301784,-2.6402017032131936e-05,-0.026402017032131936
HRB,25,0.29244919119553414,-0.01760606689508643,-0.2645156781377508,0.06655963464637354,-0.001171853380096565,-1.171853380096565
ALXN,25,1.2349874729226857,-0.014141076109504977,-0.2210671950957019,0.06396732044925608,-0.0009045667469940243,-0.9045667469940244
INCY,25,1.289790586250914,-0.011817174524775941,-0.18537932510084434,0.06374591405135134,-0.0007532965915861857,-0.7532965915861857
CAG,25,0.3343669837909574,0.0015572132496826361,0.06829057052199478,0.022802756482772312,3.550875452425967e-05,0.03550875452425967
CME,25,0.28176729911788634,0.0066839784216377925,0.26777046624000417,0.024961596831395535,0.00016684277459067006,0.16684277459067007
GPC,25,0.4011442950050436,0.0053123726294395535,0.16847438928505148,0.031532226660583085,0.00016751093785696575,0.16751093785696575
HSY,25,0.5036673125170963,-0.0006018401716577958,-0.013251058309985506,0.0454182720790136,-2.7334540664434016e-05,-0.027334540664434016
AIV,25,0.35947378279239545,0.009517215154811205,0.2451357261046433,0.03882426811483409,0.0003694989128769524,0.3694989128769524
CNC,25,0.12361817929146043,0.009673120323322,0.17359288169830378,0.05572302405886334,0.0005390155165007517,0.5390155165007516
WFC,25,0.4523098474865857,-0.005856598439473061,-0.16364614436895122,0.0357881846960535,-0.00020959702664248063,-0.20959702664248062
AOS,25,0.7243355960442248,0.010352711622810547,0.3578523122317663,0.02893012359832265,0.00029950522682570057,0.2995052268257006
VFC,25,0.30921676697395967,-0.00836726645343584,-0.19864879533982252,0.042120902062971026,-0.0003524368108199539,-0.3524368108199539
TAP,25,0.3384643744014369,0.00836179600138912,0.26974407983185616,0.03099899729625729,0.0002592072916389163,0.2592072916389163
AET,25,0.23595494272799236,0.0024368136678386103,0.07708893400273834,0.03161042112415318,7.70287062414708e-05,0.0770287062414708
DGX,25,0.6019743188098831,0.010425479363464784,0.4000831229483071,0.026058283305321558,0.0002716700948469488,0.2716700948469488
AMG,25,1.1958109534139563,-0.013948455568545558,-0.31051927739431096,0.04491977337314617,-0.0006265614630444652,-0.6265614630444651
IRM,25,0.19239938880693758,0.009855872731044685,0.2140335993550474,0.04604825018475428,0.0004538456933082431,0.4538456933082431
ORCL,25,0.45300997659713815,0.0014782759598785662,0.04606576603057299,0.03209055416331212,4.7438694758805346e-05,0.04743869475880535
CAT,25,0.3147510787614132,0.009745745243532288,0.20750616819111128,0.0469660508335181,0.00045771916651825463,0.4577191665182546
GILD,25,1.0128074491585821,-0.012450446581426133,-0.37185457118180626,0.03348203181113751,-0.00041686624850217804,-0.416866248502178
NCLH,25,1.3514582930096726,-0.026744068375118366,-0.4376695789119959,0.06110561406072938,-0.001634212720543741,-1.634212720543741
BRK.B,25,0.32063082077338495,0.0025249063919089722,0.1294533967282473,0.019504365707833347,4.924669764583858e-05,0.04924669764583858
ILMN,25,1.0153435539850544,-0.0044608789058428735,-0.0529358287467721,0.08426955828314839,-0.00037591629494999326,-0.37591629494999323
NOC,25,0.19212878996460162,0.010857425576480551,0.4527976855682427,0.023978535938970015,0.0002603451693903311,0.26034516939033114
ABC,25,0.38296593380961336,-0.007826958734929371,-0.17026532122147475,0.045969189020871465,-0.00035979894554452927,-0.3597989455445293
PRU,25,0.8727480506198559,-0.0017050127852645302,-0.04353098739649529,0.039167794879879106,-6.678159104081248e-05,-0.06678159104081248
ETN,25,0.3051053510583665,0.008739892599519636,0.17949761050973406,0.048690857637047356,0.00042555286632629433,0.42555286632629435
ISRG,25,0.35821239111786146,0.014533031765234359,0.5835074181568056,0.02490633591453143,0.00036196457100148263,0.36196457100148266
SYMC,25,0.15727892784413802,0.007876212869150618,0.14242274931381377,0.055301648838390276,0.00043556755826617785,0.4355675582661778
FTI,25,0.6329833017501005,-0.009943418829202579,-0.19088366051177774,0.05209151376573197,-0.0005179677388198446,-0.5179677388198446
CNP,25,-0.03721379512658394,0.015188123300000547,0.4175968389433402,0.036370302367306186,0.0005523966368129481,0.5523966368129481
WELL,25,0.08675028352180883,0.007139912891500321,0.15905580209657913,0.0448893583093872,0.0003205061080843707,0.3205061080843707
HII,25,0.22556612393218142,0.014524736766539278,0.31609199034941465,0.04595098012601753,0.0006674258904948825,0.6674258904948825
BAC,25,0.5456158033430446,-0.0031612581163764854,-0.058617250276449706,0.05393050853575376,-0.0001704882578289629,-0.1704882578289629
KR,25,0.2019763178023122,-0.007355679418284952,-0.1665523729556013,0.04416436276321198,-0.0003248588941990287,-0.3248588941990287
ACN,25,0.7505878895554045,0.0020725775399856733,0.08173170313054676,0.02535830602569518,5.255705552093919e-05,0.05255705552093919
HOLX,25,0.6099755262757255,-0.003594069204231547,-0.11929980998812877,0.03012636151381284,-0.00010827622815234122,-0.10827622815234123
XOM,25,0.13746340379037156,0.005984873494198514,0.17555843735275414,0.03409049194356265,0.0002040272816372161,0.2040272816372161
NEE,25,-0.05077515644662382,0.012022385130362986,0.5092753125715053,0.023606848464061317,0.00028381062394906305,0.28381062394906303
RE,25,0.32572377032856603,0.0033772501572525387,0.1275176064861298,0.026484579269607646,8.944504950304975e-05,0.08944504950304975
GPN,25,1.1801377891716356,0.003576934683031883,0.06804149457741912,0.05256990172316053,0.00018803910475715044,0.18803910475715044
OXY,25,0.38869768979725833,0.0025433681883742496,0.051522699041544814,0.049364032468940146,0.00012555090983137595,0.12555090983137596
BIIB,25,0.4180517447353717,0.0025615225433227974,0.042952153489223245,0.059636649975314676,0.00015276062332001948,0.1527606233200195
AVY,25,0.3019385155106775,0.012361150768640031,0.4055705083461355,0.030478426104124826,0.000376748420263941,0.376748420263941
ZTS,25,0.4458916404696896,0.007325558176071562,0.18717079129296765,0.0391383619498904,0.0002867103473800677,0.28671034738006773
UNP,25,0.365888480385603,0.0026225409469646127,0.048282480537887945,0.05431661583556519,0.0001424475491293162,0.1424475491293162
RCL,25,1.2626088105320843,-0.016116170632489577,-0.36208919828182234,0.044508841216373406,-0.0007173120796974587,-0.7173120796974587
INTU,25,0.6420233183251068,0.005638195098089279,0.24664487271036925,0.022859567426362488,0.00012888670100775834,0.12888670100775834
CVS,25,0.44152941955853264,-0.004934056242172063,-0.15706154769981104,0.031414794483003806,-0.00015500236281541742,-0.1550023628154174
PPL,25,0.06762107297923217,0.0057242459085831065,0.20442634231604015,0.02800150823876458,0.0001602875189699043,0.1602875189699043
AZO,25,0.2689255668464507,-0.001142175321460831,-0.04043665743583803,0.028246036984465206,-3.226192637272607e-05,-0.03226192637272607
BKNG,25,1.3456532629495086,-0.001742333265858897,-0.033272711685498516,0.05236523197531479,-9.123768564500896e-05,-0.09123768564500896
CPB,25,0.4586373999658689,0.0007176078312436198,0.017075508923094507,0.04202556037864618,3.0157871240118084e-05,0.030157871240118084
EL,25,0.3248208823956888,0.003545413660303679,0.1207890591835126,0.029352109241261637,0.00010406536906269486,0.10406536906269487
IBM,25,0.3732341072763458,0.002216455644864701,0.05951987667954008,0.03723891527528326,8.253840397053992e-05,0.08253840397053992
PSX,25,0.5451383972769238,0.00018261551164621727,0.003948918207899853,0.04624444013069022,8.444952095258857e-06,0.008444952095258857
ADBE,25,0.9907858581307433,0.004533841142811519,0.18183288972915324,0.0249341092778366,0.00011304729050321399,0.11304729050321399
NFLX,25,1.1052077466644903,-0.00926979528411229,-0.12367107796573547,0.07495523962911196,-0.0006948197268334487,-0.6948197268334487
SNPS,25,0.5287733194511787,0.006252316652241243,0.20790615283430955,0.03007278316204531,0.00018802456294329594,0.18802456294329595
CB,25,0.5146867441918098,0.005752615952139138,0.24059122821966922,0.023910331206617286,0.00013754695272011686,0.13754695272011686
CDNS,25,0.5646397722904312,0.003674472512769763,0.11620103986203456,0.03162168356782747,0.00011619300707748533,0.11619300707748532
MLM,25,0.7688238630539983,0.0017956599525802835,0.034991697175625384,0.051316743613999655,9.214742140448918e-05,0.09214742140448919
GS,25,0.4786250934716503,-0.004627615696883083,-0.10928775919319936,0.04234340360755649,-0.0001959489991937842,-0.1959489991937842
SRCL,25,0.5712947975282773,-0.02615959623283033,-0.32480267985515193,0.08053996427768512,-0.002106892946110821,-2.106892946110821
TJX,25,0.41500503026128216,0.0013881211906023655,0.05614575829686615,0.024723527345784292,3.431925221512023e-05,0.03431925221512023
EIX,25,0.09946481768649343,0.00832135327026005,0.25225372913410893,0.03298802875511133,0.00027450504096077826,0.27450504096077827
MKC,25,0.2303746019906712,0.005949310573479053,0.21958874758642008,0.027092966460577295,0.00016118447183082585,0.16118447183082585
CVX,25,0.6213933881551272,0.00821719261639493,0.19301814398255046,0.04257212532899391,0.0003498233539176483,0.3498233539176483
EXR,25,0.440024658385506,0.0005307633295542806,0.012568823854189805,0.04222855978503917,2.2413370993789387e-05,0.022413370993789386
GT,25,1.1023883368256973,-0.002244245225073371,-0.049806047463087116,0.04505969333817654,-0.00010112500161747309,-0.10112500161747309
PCG,25,0.03875407765331756,0.00910606641618626,0.36586417159879703,0.024889199662250287,0.00022664270517017176,0.22664270517017177
PNR,25,0.6367676142024236,0.0035876893863378417,0.07644107323533553,0.04693405304884445,0.00016838480398115646,0.16838480398115646
RL,25,1.1846960995747975,-0.009709425963114388,-0.14004362410647703,0.06933143886459395,-0.0006731684725719664,-0.6731684725719664
AAL,25,1.628837302630629,-0.01488822562274827,-0.22574868010856616,0.06595044372170097,-0.0009818850860490462,-0.9818850860490462
MAS,25,1.1848746483261803,0.003777662170228766,0.1042804599856232,0.036225982995755676,0.00013684952554241677,0.13684952554241678
MAT,25,0.11080160561752167,0.01696835620428757,0.32170584411242553,0.05274494235907537,0.0008949949699234068,0.8949949699234068
PBCT,25,0.621599945691441,-0.0035052389212075997,-0.09862599663135144,0.03554071990075431,-0.00012457871468386152,-0.12457871468386152
AMZN,25,1.1228780008303954,0.010820801253950239,0.24907300054610113,0.04344429637184785,0.00047010209665747707,0.4701020966574771
LH,25,0.5037777364639865,0.005960797816586523,0.22802151135217727,0.026141383684542472,0.0001558235027893713,0.15582350278937132
CBS,25,0.5192011781327877,0.007324053560716255,0.1656389950404416,0.04421696448307991,0.0003238474161663656,0.3238474161663656
ABBV,25,0.3616848125898985,0.0074919792113186025,0.13686630886683512,0.05473939695858948,0.00041010642405386915,0.41010642405386916
CMA,25,0.5599992864321572,0.002718593475284862,0.04471316005381309,0.06080074573152481,0.00016529251063817727,0.16529251063817726
SPG,25,0.3112741473109759,0.005900075036557154,0.18981733140969737,0.03108291004166826,0.0001833915016003986,0.1833915016003986
APD,25,0.2481772393101293,0.005766778507838853,0.1251957224351265,0.04606210496390612,0.00026562995693167114,0.26562995693167113
SO,25,0.10297624386294088,0.008840985389531118,0.4316892356079738,0.020479976474465086,0.00018106317278868684,0.18106317278868683
DLTR,25,0.16723363074546765,0.0049521181319917085,0.08352025949400195,0.059292417935403414,0.00029362305794754164,0.2936230579475416
GOOG,25,0.9378173351545274,0.004560713133530245,0.16365275973105162,0.027868232353828685,0.00012709901330437899,0.12709901330437898
ED,25,-0.10242004886746117,0.009363744615168541,0.2928130065318169,0.031978581573530895,0.0002994392710098779,0.2994392710098779
