Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LLL,25,0.025653009878065198,0.007342065827699535,0.17624042811642607,0.04165937353970394,0.0003058658628692305,0.3058658628692305
NSC,25,0.22793082171297263,0.014367705351813285,0.48278417539405577,0.029760100028312125,0.0004275843484472788,0.4275843484472788
TRV,25,0.2720678181535699,0.004495449757012662,0.16867256444205436,0.02665193223262474,0.00011981242227907081,0.11981242227907081
CHD,25,0.256714607103683,0.0060128892690260345,0.31327370682928707,0.019193724650191122,0.00011540974098177467,0.11540974098177467
JPM,25,0.41127401130534214,0.006017691643853904,0.2214710918108421,0.027171454272657845,0.00016350943332793156,0.16350943332793155
MMC,25,0.42564554375970814,0.0071053273476463594,0.38611614890574075,0.018402046554600135,0.0001307525646370618,0.1307525646370618
ORLY,25,-0.08499210338258006,0.007071594245980519,0.24687985331056705,0.028643869279542537,0.00020255782117983118,0.20255782117983118
BWA,25,0.782542464101186,0.0022809947343716136,0.06032400470805055,0.037812389038342525,8.624986029047022e-05,0.08624986029047021
FE,25,0.07461946024667904,-0.0015943537664832252,-0.036062636296187396,0.04421068258539332,-7.048746829881617e-05,-0.07048746829881616
ECL,25,0.6618463367426626,0.004825368341093447,0.2044432903868178,0.02360247837903405,0.00011389065194153348,0.11389065194153349
WHR,25,1.1653065025551859,-0.0009780547233093051,-0.02970495306075113,0.03292564446437721,-3.220308208638701e-05,-0.03220308208638701
AAPL,25,-0.14120933681480646,0.016035595719737256,0.46025072766034836,0.034841000254911186,0.0005586961945590184,0.5586961945590184
AEE,25,0.207384835340555,0.0044675837304949855,0.14901974925107878,0.029979809742987095,0.0001339373102511042,0.1339373102511042
SLG,25,0.018680145541234535,0.00591010232816623,0.2131789823968922,0.027723663288545603,0.00016384968694693,0.16384968694693
SCHW,25,0.47789620421599266,0.012447321085414388,0.38254864654595516,0.032537877725621764,0.00040500941148876695,0.40500941148876696
CRM,25,0.20084359203041155,0.0022982439487354133,0.04138406694397599,0.05553451167200844,0.00012763185539616957,0.12763185539616956
WY,25,0.34208241670943007,0.0043802214582456325,0.1252499946787513,0.03497182949572403,0.00015318435799127793,0.15318435799127791
BBY,25,1.6617761015390378,-0.009583386020205791,-0.10353672400058284,0.09256025929651632,-0.0008870406949688576,-0.8870406949688576
FB,25,0.85394859979897,0.01537973721229765,0.25205679839211315,0.0610169505857648,0.0009384246655048137,0.9384246655048136
LRCX,25,0.3778376962324922,0.014190716405517651,0.3660139595827424,0.0387709704342838,0.0005501878461996309,0.5501878461996309
DLR,25,0.3221194744069901,0.00689672101778105,0.1293014728126593,0.05333830209168216,0.00036785938908845926,0.3678593890884593
