Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LLL,25,0.024207378583985015,0.015581335388959871,0.44383825631872015,0.035105886360933515,0.000546996589516417,0.546996589516417
NSC,25,0.3386368082812377,0.011555303920983518,0.20609344528693202,0.05606827478135336,0.0006478859554237537,0.6478859554237537
TRV,25,0.24905411472243305,0.00793506918270248,0.28427183265556627,0.027913666678038018,0.00022149687623312857,0.22149687623312858
CHD,25,0.0534246641364306,0.006070270715639737,0.1938846422249047,0.031308672239229084,0.0001900521162393551,0.1900521162393551
JPM,25,0.3339666421868436,0.007035931632675787,0.23085093834322215,0.030478245759672756,0.00021444285344894822,0.21444285344894823
MMC,25,0.14121259998819707,0.012135903863577152,0.5856743121047372,0.020721250040768163,0.0002514710984279066,0.2514710984279066
ORLY,25,0.22067511109600163,0.006309299105721251,0.23367823262084508,0.02699994361887533,0.00017035072012909434,0.17035072012909433
BWA,25,0.7967666536456784,-0.0012863552142918415,-0.019978603744039054,0.06438664236862132,-8.282409314162005e-05,-0.08282409314162005
FE,25,0.15485765322541026,0.006763878805140768,0.1915946504554093,0.03530306712146411,0.00023878566745933301,0.23878566745933302
ECL,25,0.25562224875991546,0.005632730979330842,0.17438274685764218,0.03230096486511442,0.00018194264545800707,0.18194264545800706
WHR,25,0.40613714684759783,0.006379603563011405,0.11884754248642045,0.05367888497770444,0.00034245000586224266,0.34245000586224267
AAPL,25,0.36237915262320386,0.0023575856879969608,0.04813352442482233,0.04898011762423863,0.00011547482430731269,0.11547482430731269
AEE,25,-0.051685286278963447,0.009985829287238169,0.3305136572576217,0.03021306099752068,0.00030170246936615526,0.30170246936615525
SLG,25,0.3067516231362619,0.004289597487947803,0.0971429860912947,0.044157562584255454,0.0001894181695353201,0.1894181695353201
SCHW,25,0.5362106554537568,0.007138601950128759,0.12696929381361716,0.056223057841116864,0.0004013540303467989,0.4013540303467989
CRM,25,0.5208439923089447,0.002802988147347007,0.053344418432158,0.05254510649341453,0.0001472833107021272,0.1472833107021272
WY,25,0.4308522060967413,0.010574406001919027,0.1959169964348283,0.053973908309872434,0.0005707420199789423,0.5707420199789422
BBY,25,0.2872551730824207,0.0056597888224252475,0.09294225117766669,0.06089575785727526,0.000344657129653721,0.344657129653721
FB,25,0.1681137097777644,0.015083687585419068,0.4544863068535287,0.033188431329967925,0.0005006039296313704,0.5006039296313705
LRCX,25,0.509458729749227,0.0184150446047322,0.39956378960004774,0.046087871534017506,0.0008487102100360999,0.8487102100360998
DLR,25,-0.06395075529074518,0.01911905414383739,0.4780901439990452,0.039990479585949326,0.000764580144441789,0.764580144441789
RHI,25,0.5214757483587803,-0.00827952216726751,-0.1893679762727496,0.04372187066804995,-0.0003619961973905227,-0.36199619739052274
STZ,25,0.12479203656838932,0.0120631810353877,0.3757337082416926,0.03210566624921499,0.0003872964642260172,0.3872964642260172
